,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 2,True,BOS,"L,5-6",44,38,5,12,0,0,1,5,5,0,7,0,0,1,1,0,2,0,0.316,0.386,0.395,0.781,12,11,R,T.Gordon(49),ANA,1997,Apr 2,9.0,9,6,6,0,8,12,1,1,6.0,45,184.0,103.0,5.0,1.0,0,0,36,2,0,0,0,0,0,0,5,Ken Kaiser,"M.Langston (99-64), M.James (99-H), C.McElroy (99-H), T.Percival (99-BL), P.Harris (99)"
1,1,2,Apr 3,True,BOS,"W,2-0",32,27,2,7,2,0,0,2,4,1,1,0,0,1,0,2,0,0,0.292,0.368,0.369,0.738,6,9,R,T.Wakefield(57),ANA,1997,Apr 3,9.0,5,0,0,0,0,5,0,0,3.0,29,102.0,69.0,,,0,0,29,0,0,0,0,0,0,3,1,Joe Brinkman,J.Dickson (99-82-W)
2,2,3,Apr 4,True,CLE,"W,8-6",49,42,8,14,2,0,2,8,7,3,6,0,0,0,1,1,1,1,0.308,0.392,0.43,0.822,11,13,R,B.Colón(40),ANA,1997,Apr 4,11.0,9,6,5,1,6,8,1,2,3.41,48,,,4.0,0.0,0,1,39,3,0,0,1,0,2,2,6,Rocky Roe,"A.Watson (99-40), P.Harris (1), M.James (1), T.Percival (1), D.Springer (99), M.Holtz (99-W)"
3,3,4,Apr 5,True,CLE,"L,5-7",42,34,5,8,0,1,1,3,6,0,6,1,1,0,1,0,0,1,0.291,0.386,0.418,0.804,10,11,R,C.Ogea(41),ANA,1997,Apr 5,9.0,10,7,7,0,3,6,3,0,4.26,40,159.0,91.0,2.0,1.0,0,0,37,2,1,1,0,0,0,0,3,Durwood Merrill,"S.Hasegawa (99-29-L), C.McElroy (2), M.James (0)"
4,4,5,Apr 6,True,CLE,"L,8-10",40,36,8,12,2,0,2,7,2,0,10,0,1,1,0,0,2,1,0.299,0.38,0.446,0.827,5,11,R,J.McDowell(19),ANA,1997,Apr 6,9.0,15,10,10,0,8,6,3,0,5.36,49,186.0,99.0,2.0,2.0,1,0,40,3,0,1,1,0,1,2,4,Dale Scott,"M.Gubicza (99-21), P.Harris (1), M.Holtz (1), T.Percival (1-L)"
5,5,6,Apr 7,True,NYY,"L,3-5",38,36,3,10,2,0,0,3,2,0,7,0,0,0,0,0,0,1,0.296,0.37,0.427,0.798,8,13,L,A.Pettitte(47),ANA,1997,Apr 7,9.0,12,5,5,0,6,6,0,0,5.3,42,160.0,93.0,1.0,0.0,0,1,35,2,0,1,0,1,0,2,4,Dale Ford,"M.Langston (4-45-L), D.Springer (2), M.James (1), M.Holtz (0)"
6,6,7,Apr 8,True,NYY,"W,10-9",54,45,10,15,3,0,2,10,6,3,8,0,2,1,0,0,0,1,0.302,0.376,0.446,0.822,10,12,L,K.Rogers(29),ANA,1997,Apr 8,12.0,19,9,9,0,2,7,2,0,5.56,54,204.0,131.0,1.0,0.0,0,0,50,6,1,0,0,2,0,1,5,Mike Reilly,"J.Dickson (4-16), S.Hasegawa (2), C.McElroy (2-BSv), P.Harris (1), M.James (0-W)"
7,7,8,Apr 9,True,NYY,"L,5-12",37,35,5,9,2,0,0,5,2,0,3,0,0,0,0,1,0,0,0.297,0.367,0.43,0.798,5,9,L,D.Wells(50),ANA,1997,Apr 9,9.0,18,12,11,1,5,8,0,0,6.19,50,160.0,96.0,2.0,2.0,0,0,42,3,0,0,1,2,1,1,3,Larry Young,"A.Watson (4-8-L), D.Springer (1), M.Holtz (1)"
8,8,9,Apr 11,False,CLE,"L,3-15",36,34,3,7,1,0,0,3,1,0,6,1,0,0,1,0,1,0,0.287,0.356,0.41,0.766,6,9,R,C.Ogea(58),ANA,1997,Apr 11,8.0,20,15,15,0,6,9,2,0,7.2,48,206.0,121.0,5.0,2.0,1,0,40,3,0,0,1,1,0,2,4,Jim Evans,"M.Gubicza (4-17-L), S.Hasegawa (2), D.May (99), P.Harris (2)"
9,9,10,Apr 13,False,CLE,"W,8-3",46,39,8,13,2,0,1,5,5,2,5,0,1,1,2,1,3,0,0.292,0.361,0.415,0.776,11,10,R,J.McDowell(23),ANA,1997,Apr 13,9.0,10,3,2,1,5,6,0,0,6.7,41,,,0.0,0.0,1,0,36,4,0,0,0,0,1,2,4,Terry Craft,"M.Langston (5-46-W), C.McElroy (4), P.Harris (1-H), M.James (4)"
