,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Mar 31,True,COL,"L,2-9",34,31,2,6,0,0,2,2,3,0,8,0,0,0,0,2,0,0,0.194,0.265,0.387,0.652,5,13,R,D.Kile(66),ARI,1998,Mar 31,9.0,13,9,9,0,4,3,2,0,9.0,44,167.0,98.0,1.0,1.0,0,0,40,3,0,0,0,0,0,0,4,Jim Quick,"A.Benes (99-35-L), C.Sodowsky (99), S.Brow (99), R.Springer (99)"
1,1,2,Apr 1,True,COL,"L,0-6",33,30,0,3,0,0,0,0,3,0,5,0,0,0,1,1,1,0,0.148,0.224,0.246,0.47,6,12,R,J.Thomson(78),ARI,1998,Apr 1,9.0,16,6,6,0,4,3,1,0,7.5,43,148.0,85.0,0.0,0.0,0,2,39,6,0,1,0,0,1,2,3,Dana DeMuth,"W.Blair (99-30-L), G.Olson (99), O.Daal (99)"
2,2,3,Apr 2,True,COL,"L,4-6",41,37,4,11,2,0,2,4,1,0,9,2,1,0,0,0,0,0,0.204,0.271,0.347,0.618,10,13,R,P.Astacio(42),ARI,1998,Apr 2,9.0,9,6,6,0,2,5,3,0,7.0,37,134.0,88.0,0.0,0.0,0,0,35,1,1,0,0,0,0,1,3,Gary Darling,"B.Anderson (99-43-L), B.Manuel (99), F.Rodríguez (99)"
3,3,4,Apr 3,True,SFG,"L,3-8",37,33,3,6,2,1,0,3,4,1,12,0,0,0,0,0,0,0,0.198,0.271,0.336,0.607,7,14,R,M.Gardner(61),ARI,1998,Apr 3,9.0,12,8,8,0,2,4,0,1,7.25,40,132.0,84.0,3.0,1.0,0,1,36,3,1,0,1,0,0,1,3,Angel Hernandez,"J.Suppan (99-33-L), C.Sodowsky (2), S.Brow (2)"
4,4,5,Apr 4,True,SFG,"L,3-5",36,32,3,8,1,0,1,3,3,0,7,0,1,0,0,2,0,0,0.209,0.279,0.344,0.623,6,13,R,D.Darwin(49),ARI,1998,Apr 4,9.0,7,5,5,0,5,8,1,1,6.8,40,140.0,86.0,0.0,0.0,1,0,34,1,0,0,0,0,0,0,3,Randy Marsh,"J.Adamson (99-53), G.Olson (2-L), R.Springer (3)"
5,5,6,Apr 5,True,SFG,"W,3-2",32,28,3,8,0,0,0,2,3,0,3,0,1,0,0,3,0,0,0.22,0.29,0.335,0.626,5,14,L,S.Estes(50),ARI,1998,Apr 5,9.0,7,2,2,0,2,4,2,0,6.0,35,131.0,81.0,0.0,0.0,1,0,31,2,0,0,2,0,0,0,4,Greg Bonin,"A.Benes (4-57-W), O.Daal (3-H), S.Brow (1-H), F.Rodríguez (2-Sv)"
6,6,7,Apr 7,False,LAD,"L,1-9",35,32,1,8,0,0,0,1,1,0,8,0,1,1,0,1,0,0,0.224,0.287,0.323,0.61,7,14,R,C.Park(60),ARI,1998,Apr 7,8.0,13,9,9,0,0,4,2,1,6.53,38,140.0,94.0,1.0,1.0,1,0,36,4,0,0,0,1,0,0,5,Wally Bell,"W.Blair (5-24-L), B.Manuel (4), C.Sodowsky (3), G.Olson (2), R.Springer (2)"
7,7,8,Apr 8,False,LAD,"W,3-0",33,31,3,5,1,0,2,2,1,0,10,1,0,0,0,1,1,0,0.217,0.278,0.331,0.609,3,10,R,H.Nomo(53),ARI,1998,Apr 8,9.0,8,0,0,0,0,5,0,0,5.7,32,108.0,75.0,0.0,0.0,0,0,32,1,0,0,0,0,0,2,2,Jerry Meals,"B.Anderson (5-72-W), F.Rodríguez (2-Sv)"
8,8,9,Apr 9,False,LAD,"L,2-7",38,36,2,10,1,0,0,2,2,0,4,0,0,0,1,2,1,0,0.224,0.283,0.328,0.61,9,14,R,I.Valdez(49),ARI,1998,Apr 9,8.0,10,7,7,0,2,10,2,0,5.92,35,112.0,74.0,0.0,0.0,1,1,33,0,0,1,0,0,1,0,3,Terry Tata,"J.Suppan (5-26-L), S.Brow (3), C.Sodowsky (1)"
9,9,10,Apr 10,False,SDP,"L,4-6",33,32,4,5,1,0,1,3,0,0,9,0,0,1,2,1,0,0,0.217,0.27,0.323,0.593,2,11,R,K.Brown(64),ARI,1998,Apr 10,8.2,9,6,6,0,3,5,2,0,5.95,38,122.0,70.0,0.0,0.0,1,0,35,2,0,1,0,0,0,0,2,Larry Vanover,"A.Benes (4-63), F.Rodríguez (1-BL)"
10,10,11,Apr 11,False,SDP,"L,0-7",32,31,0,6,3,0,0,0,0,0,5,1,0,0,0,1,0,0,0.215,0.266,0.32,0.586,5,18,R,P.Smith(65),ARI,1998,Apr 11,8.0,9,7,7,0,2,7,1,1,6.11,34,128.0,79.0,1.0,0.0,1,0,30,2,0,0,1,0,0,2,5,Mark Hirschbeck,"J.Adamson (6-32-L), B.Manuel (3), G.Olson (3), R.Springer (3), O.Daal (5)"
11,11,12,Apr 12,False,SDP,"L,2-4",33,32,2,4,1,0,2,2,1,0,9,0,0,0,2,1,0,0,0.208,0.257,0.322,0.579,4,11,R,J.Hamilton(72),ARI,1998,Apr 12,8.0,5,4,4,0,2,6,2,0,5.99,31,127.0,69.0,0.0,0.0,2,0,29,1,0,0,0,0,0,0,2,Bruce Froemming,"W.Blair (4-54-L), O.Daal (0)"
12,12,13,Apr 13,False,SDP,"L,0-1",34,31,0,4,0,0,0,0,2,0,7,0,1,0,1,0,1,0,0.202,0.251,0.308,0.559,7,9,R,A.Ashby(84),ARI,1998,Apr 13,8.0,3,1,1,0,0,5,1,0,5.64,27,93.0,67.0,,,0,0,27,0,0,0,0,0,0,0,1,Larry Vanover,B.Anderson (4-77-L)
13,13,14,Apr 14,False,STL,"L,5-15",33,31,5,4,1,0,2,5,2,0,5,0,0,0,0,0,1,0,0.197,0.246,0.311,0.557,1,15,L,K.Mercker(50),ARI,1998,Apr 14,8.0,13,15,15,0,8,5,5,0,6.39,44,172.0,98.0,6.0,3.0,0,0,35,2,0,2,1,0,0,1,6,Gerry Davis,"J.Suppan (4-42), C.Sodowsky (4-L), O.Daal (1), S.Brow (4), B.Manuel (2), F.Rodríguez (3)"
14,14,15,Apr 16 (1),False,STL,"L,4-5",42,36,4,11,2,0,1,4,4,1,7,2,0,0,0,0,0,0,0.205,0.259,0.321,0.58,11,16,R,T.Stottlemyre(60),ARI,1998,Apr 16(1),8.0,5,5,5,0,5,4,1,1,6.34,33,109.0,63.0,0.0,0.0,0,1,27,1,0,0,0,0,0,1,3,Wally Bell,"J.Adamson (4-40-L), G.Olson (4), R.Springer (4)"
15,15,16,Apr 16 (2),False,STL,"W,8-2",38,36,8,10,3,0,4,8,1,0,9,0,1,0,1,1,0,0,0.21,0.262,0.347,0.608,3,10,L,D.Osborne(40),ARI,1998,Apr 16(2),9.0,7,2,2,0,5,3,1,0,6.06,38,129.0,78.0,,,1,1,32,1,0,0,1,0,0,0,1,Jerry Meals,A.Benes (5-63-W)
16,16,17,Apr 17,True,FLA,"W,7-5",43,35,7,12,2,3,0,7,8,2,8,0,0,0,0,1,3,0,0.218,0.276,0.361,0.637,12,13,R,R.Medina(34),ARI,1998,Apr 17,9.0,4,5,4,1,5,6,1,0,5.93,36,134.0,79.0,1.0,1.0,0,0,31,1,0,0,0,0,0,0,3,Terry Tata,"W.Blair (4-53), R.Springer (0-BW), F.Rodríguez (2-Sv)"
17,17,18,Apr 18,True,FLA,"W,7-5",38,34,7,12,0,1,2,7,3,0,4,0,0,1,0,1,0,0,0.226,0.283,0.374,0.657,7,15,R,A.Larkin(44),ARI,1998,Apr 18,9.0,5,5,4,1,2,9,1,0,5.82,35,140.0,90.0,0.0,0.0,0,0,32,2,0,0,1,0,1,0,4,Gerry Davis,"B.Anderson (4-41), B.Manuel (3-W), C.Sodowsky (3-H), F.Rodríguez (0-Sv)"
18,18,19,Apr 19,True,FLA,"L,3-4",37,36,3,10,2,0,1,3,1,0,5,0,0,0,0,0,0,0,0.229,0.284,0.377,0.661,7,16,R,B.Meadows(58),ARI,1998,Apr 19,9.0,8,4,4,0,4,4,2,0,5.72,35,123.0,70.0,2.0,0.0,0,3,31,1,0,0,0,0,0,1,3,Wally Bell,"J.Suppan (4-40-L), S.Brow (4), O.Daal (4)"
19,19,20,Apr 20,True,FLA,"W,15-4",49,37,15,16,1,1,1,14,9,0,10,1,0,2,0,0,0,1,0.241,0.301,0.389,0.689,10,17,R,L.Hernández(24),ARI,1998,Apr 20,9.0,10,4,4,0,6,7,0,0,5.63,40,158.0,88.0,3.0,0.0,0,1,34,2,0,0,0,0,0,2,6,Jerry Meals,"J.Adamson (3-40), C.Sodowsky (1-W), B.Manuel (1), G.Olson (3-H), O.Daal (0), R.Springer (2)"
