,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 9,False,CIN,"L,0-9",30,30,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,16,R,F.Pastore(86),ATL,1980,Apr 9,8.0,9,9,6,3,5,6,1,0,6.75,40,,,0.0,0.0,0,0,33,3,1,1,1,1,2,1,5,Harry Wendelstedt,"P.Niekro (99-25-L), R.Camp (99), L.Bradford (99), P.Hanna (99), T.Boggs (99)"
1,1,2,Apr 11,False,CIN,"L,0-6",24,22,0,7,0,0,0,0,2,0,4,0,0,0,0,3,0,0,0.192,0.222,0.192,0.415,6,12,R,M.LaCoss(60),ATL,1980,Apr 11,6.0,8,6,4,2,1,3,1,1,6.43,29,,,1.0,1.0,1,0,26,1,1,0,1,0,3,2,3,Frank Pulli,"L.McWilliams (99-26-L), T.Boggs (1), R.Camp (1)"
2,2,3,Apr 12,False,CIN,"L,4-5",39,36,4,9,5,0,0,4,3,1,5,0,0,0,0,0,1,0,0.216,0.258,0.273,0.531,8,15,R,B.Bonham(53),ATL,1980,Apr 12,8.2,11,5,4,1,4,6,1,0,5.56,39,,,3.0,0.0,1,0,35,3,0,2,0,0,1,1,3,Ed Montague,"R.Matula (99-60), G.Garber (99-H), A.Hrabosky (99-BL)"
3,3,4,Apr 13,False,CIN,"L,0-5",34,31,0,5,0,0,0,0,3,0,5,0,0,0,0,1,0,0,0.202,0.252,0.244,0.496,7,13,L,C.Leibrandt(79),ATL,1980,Apr 13,8.0,12,5,5,0,6,2,1,0,5.58,38,,,3.0,2.0,1,0,32,2,0,1,0,0,0,3,3,Lanny Harris,"P.Niekro (3-28-L), L.Bradford (3), R.Camp (1)"
4,4,5,Apr 14,False,HOU,"L,4-5",41,34,4,8,2,0,0,4,7,0,10,0,0,0,1,1,1,0,0.209,0.28,0.255,0.535,10,16,R,J.Richard(57),ATL,1980,Apr 14,8.1,12,5,5,0,5,8,0,1,5.54,42,,,1.0,1.0,3,1,33,2,0,3,1,2,0,0,4,Doug Harvey,"D.Alexander (99-40), L.Bradford (0), G.Garber (1-L), A.Hrabosky (1)"
5,5,6,Apr 15,False,HOU,"L,2-6",31,31,2,6,1,0,0,1,0,0,6,0,0,0,0,2,0,0,0.207,0.266,0.25,0.516,2,15,R,J.Niekro(73),ATL,1980,Apr 15,8.0,10,6,6,0,2,6,0,0,5.74,38,,,1.0,1.0,2,0,34,3,0,0,2,0,1,0,4,Andy Olsen,"L.McWilliams (3-22-L), T.Boggs (3), R.Camp (1), A.Hrabosky (0)"
6,6,7,Apr 17,True,CIN,"L,1-4",33,32,1,5,1,0,1,1,1,0,6,0,0,0,0,0,0,0,0.199,0.254,0.255,0.509,5,13,R,F.Pastore(78),ATL,1980,Apr 17,9.0,6,4,4,0,1,9,2,0,5.46,34,,,0.0,0.0,0,0,32,1,0,0,1,0,0,0,2,Jerry Dale,"P.Niekro (3-63-L), G.Garber (2)"
7,7,8,Apr 18,True,CIN,"W,3-0",32,29,3,7,2,0,1,3,3,2,3,0,0,0,0,2,0,0,0.204,0.261,0.273,0.535,5,9,L,C.Leibrandt(54),ATL,1980,Apr 18,9.0,5,0,0,0,1,2,0,0,4.71,32,,,,,0,0,31,1,0,0,0,0,0,0,1,Fred Brocklander,R.Matula (5-78-W)
8,8,9,Apr 19,True,CIN,"L,1-6",33,31,1,5,0,0,1,1,2,0,5,0,0,0,0,0,0,1,0.199,0.256,0.272,0.528,5,13,R,B.Bonham(68),ATL,1980,Apr 19,9.0,8,6,3,3,5,11,0,0,4.5,42,,,2.0,0.0,5,0,37,0,0,1,0,0,3,0,3,Paul Runge,"D.Alexander (4-46-L), R.Camp (3), L.Bradford (4)"
9,9,10,Apr 20,True,CIN,"L,3-5",38,32,3,5,1,0,1,3,4,0,7,0,0,1,1,0,1,0,0.195,0.254,0.273,0.527,8,15,R,T.Seaver(57),ATL,1980,Apr 20,9.0,6,5,3,2,4,5,1,0,4.34,35,,,0.0,0.0,1,2,31,2,0,0,0,0,1,0,3,Jim Quick,"T.Boggs (4-56), L.Bradford (0-L), A.Hrabosky (4)"
