,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 10,False,CHW,"W,5-3",35,31,5,8,2,2,0,4,1,0,6,1,1,1,1,2,0,1,0.258,0.294,0.452,0.746,3,9,L,S.Trout(43),BAL,1980,Apr 10,9.0,7,3,1,2,5,6,0,0,1.0,39,,,0.0,0.0,1,0,34,1,0,0,0,0,1,0,2,Bill Kunkel,"J.Palmer (99-59-W), T.Stoddard (99-Sv)"
1,1,2,Apr 11,False,CHW,"L,4-8",38,34,4,10,0,0,2,4,4,0,4,0,0,0,0,1,0,0,0.277,0.333,0.462,0.795,7,12,L,K.Kravec(39),BAL,1980,Apr 11,8.0,9,8,8,0,5,3,2,0,4.76,37,,,1.0,0.0,0,0,31,2,1,0,0,1,1,2,2,Terry Cooney,"M.Flanagan (99-27-L), S.Stewart (99)"
2,2,3,Apr 12,False,CHW,"L,2-8",34,32,2,5,2,0,0,2,2,0,7,0,0,0,0,0,0,0,0.237,0.292,0.381,0.674,5,10,R,R.Dotson(74),BAL,1980,Apr 12,8.0,11,8,8,0,4,2,1,0,6.12,40,,,4.0,4.0,0,0,35,0,1,1,1,0,1,0,3,Ken Kaiser,"S.Stone (99-41-L), T.Martinez (99), J.Kerrigan (99)"
3,3,4,Apr 13,False,CHW,"L,2-5",35,30,2,5,0,0,0,2,4,0,7,0,1,0,1,2,1,0,0.22,0.286,0.331,0.616,6,9,L,R.Baumgarten(58),BAL,1980,Apr 13,8.0,9,5,5,0,6,4,0,1,6.0,36,,,3.0,0.0,0,2,28,2,0,1,0,1,0,2,2,Richard Shulock,"D.Ford (99-43), S.Stewart (1-L)"
4,4,5,Apr 15,True,KCR,"W,12-2",42,34,12,12,3,0,2,10,7,0,6,0,0,1,0,1,0,0,0.248,0.324,0.391,0.715,6,10,R,D.Leonard(25),BAL,1980,Apr 15,9.0,6,2,2,0,0,6,1,0,5.14,34,,,0.0,0.0,0,0,34,0,0,0,0,0,1,0,2,Mike Reilly,"J.Palmer (4-67-W), T.Stoddard (4)"
5,5,6,Apr 16,True,KCR,"W,2-1",34,29,2,7,0,0,1,2,4,0,1,0,1,0,0,0,0,1,0.247,0.326,0.384,0.71,8,9,L,L.Gura(57),BAL,1980,Apr 16,9.0,7,1,1,0,1,4,0,0,4.41,34,,,,,1,0,33,0,0,0,0,0,0,1,1,Jerry Neudecker,M.Flanagan (4-72-W)
6,6,7,Apr 17,True,KCR,"W,5-2",34,30,5,8,0,1,2,5,4,0,2,0,0,0,0,0,1,1,0.25,0.329,0.405,0.734,5,12,R,R.Gale(40),BAL,1980,Apr 17,9.0,8,2,2,0,2,4,0,1,4.05,36,,,1.0,0.0,0,1,33,2,1,0,0,0,0,1,2,Bill Deegan,"S.Stone (4-56-W), T.Stoddard (1-Sv)"
7,7,8,Apr 18,True,CHW,"W,5-2",34,29,5,5,2,0,3,5,5,0,6,0,0,0,0,0,3,0,0.241,0.325,0.422,0.747,5,9,R,R.Dotson(34),BAL,1980,Apr 18,9.0,4,2,2,0,0,4,1,0,3.78,31,,,,,0,0,31,2,0,0,0,0,0,0,1,Rich Garcia,D.Ford (4-75-W)
8,8,9,Apr 19,True,CHW,"L,4-5",50,42,4,5,1,0,2,4,7,1,9,1,0,0,2,1,1,0,0.223,0.315,0.402,0.717,10,13,L,R.Baumgarten(46),BAL,1980,Apr 19,12.0,14,5,5,0,0,4,3,0,3.78,47,,,2.0,0.0,1,2,47,1,0,0,0,0,0,1,3,Mike Reilly,"J.Palmer (3-46), T.Stoddard (1-BSv), T.Martinez (6-L)"
9,9,10,Apr 20,True,CHW,"L,6-9",44,38,6,11,1,1,1,6,5,0,4,1,0,0,2,2,0,0,0.231,0.324,0.407,0.731,11,13,L,S.Trout(35),BAL,1980,Apr 20,9.0,19,9,8,1,3,5,1,0,4.2,47,,,2.0,1.0,0,1,44,6,0,1,0,0,0,0,3,Jerry Neudecker,"D.Martínez (99-30), S.Stewart (6-L), T.Stoddard (0)"
