,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 10,False,MIL,"L,5-9",36,35,5,10,0,0,2,5,1,0,3,0,0,0,0,2,0,0,0.286,0.306,0.457,0.763,4,9,R,J.Slaton(45),BOS,1980,Apr 10,8.2,9,9,9,0,7,7,5,0,9.35,42,,,1.0,0.0,0,0,34,2,0,2,1,0,0,0,3,Jerry Neudecker,"D.Eckersley (99-38), S.Renko (99), D.Drago (99-L)"
1,1,2,Apr 12,False,MIL,"L,1-18",36,34,1,8,0,0,0,1,2,0,4,0,0,0,0,1,0,0,0.261,0.292,0.348,0.639,8,12,R,L.Sorensen(54),BOS,1980,Apr 12,8.0,14,18,17,1,8,5,4,1,14.04,49,,,0.0,0.0,1,0,39,3,0,1,0,1,2,1,4,Bill Deegan,"M.Torrez (99-21-L), C.Rainey (99), B.Hurst (99), T.Burgmeier (99)"
2,2,3,Apr 13,False,MIL,"W,3-1",35,32,3,5,1,0,0,3,3,0,4,0,0,0,0,0,2,0,0.228,0.271,0.297,0.568,5,10,R,M.Haas(56),BOS,1980,Apr 13,9.0,4,1,1,0,4,3,0,1,9.47,36,,,,,0,0,30,1,0,0,1,0,0,0,1,Rich Garcia,B.Stanley (99-74-W)
3,3,4,Apr 14,True,DET,"W,3-1",29,26,3,6,0,1,1,3,2,0,2,0,0,1,0,2,0,0,0.228,0.272,0.323,0.595,2,9,R,J.Morris(51),BOS,1980,Apr 14,9.0,5,1,1,0,3,2,0,0,7.27,35,,,0.0,0.0,0,0,32,0,0,0,0,0,0,0,2,Marty Springstead,"D.Eckersley (3-65-W), T.Burgmeier (1-Sv)"
4,4,5,Apr 16,True,DET,"W,10-9",43,35,10,11,4,0,1,10,8,1,5,0,0,0,0,0,0,0,0.247,0.313,0.364,0.677,9,9,L,D.Schatzeder(21),BOS,1980,Apr 16,9.0,9,9,8,1,6,2,1,2,7.42,43,,,4.0,1.0,0,0,34,1,3,0,0,1,1,1,3,Joe Brinkman,"B.Hurst (3-28), S.Renko (5-W), T.Burgmeier (1-Sv)"
5,5,6,Apr 17,True,DET,"W,5-4",44,38,5,8,2,1,1,4,5,0,8,1,0,0,2,0,0,1,0.24,0.314,0.37,0.684,9,9,R,M.Wilcox(47),BOS,1980,Apr 17,11.0,10,4,3,1,6,5,0,0,6.42,48,,,5.0,0.0,0,0,40,3,0,0,2,0,0,1,3,Nick Bremigan,"M.Torrez (4-42), S.Lockwood (99), D.Drago (6-W)"
6,6,7,Apr 18,True,TEX,"L,5-6",40,32,5,9,1,0,0,4,5,1,5,0,2,1,1,1,0,0,0.246,0.322,0.362,0.684,8,9,R,S.Comer(32),BOS,1980,Apr 18,9.0,10,6,6,0,3,6,3,0,6.36,39,,,4.0,2.0,0,1,36,3,0,0,0,0,2,2,4,Durwood Merrill,"B.Stanley (4-44), S.Lockwood (0-BL), T.Burgmeier (1), S.Renko (1)"
7,7,8,Apr 19,True,TEX,"L,0-8",35,33,0,5,1,0,0,0,2,0,3,0,0,0,3,2,0,0,0.234,0.307,0.34,0.647,8,10,R,G.Perry(78),BOS,1980,Apr 19,9.0,12,8,7,1,2,4,1,0,6.44,42,,,0.0,0.0,3,0,39,3,0,1,0,1,1,0,2,Marty Springstead,"D.Eckersley (4-26-L), S.Lockwood (0)"
8,8,9,Apr 20,True,TEX,"W,6-5",50,45,6,15,4,1,0,6,5,2,5,0,0,0,0,0,0,0,0.248,0.321,0.358,0.679,13,10,R,D.Medich(31),BOS,1980,Apr 20,11.0,8,5,5,0,5,6,1,0,6.13,43,,,4.0,1.0,0,0,37,3,0,0,1,0,0,3,3,Joe Brinkman,"C.Rainey (7-39), D.Drago (2), T.Burgmeier (1-W)"
9,9,10,Apr 21,True,CHW,"W,9-8",38,32,9,12,2,0,3,9,4,0,0,0,2,0,0,1,0,0,0.26,0.332,0.392,0.724,5,12,L,K.Kravec(20),BOS,1980,Apr 21,9.0,15,8,8,0,0,5,2,1,6.31,42,,,2.0,1.0,1,0,41,2,0,0,0,0,0,1,4,Ken Kaiser,"B.Hurst (4-30), S.Renko (2), S.Lockwood (1-W), D.Drago (0-Sv)"
10,10,11,Apr 22,True,CHW,"L,0-2",33,31,0,6,0,0,0,0,2,0,7,0,0,0,0,2,1,0,0.255,0.325,0.375,0.701,6,13,L,B.Burns(65),BOS,1980,Apr 22,9.0,7,2,2,0,4,2,0,1,5.93,35,,,,,0,0,30,4,0,1,0,0,1,4,1,Richard Shulock,M.Torrez (4-63-L)
11,11,12,Apr 24,True,CHW,"L,3-9",40,38,3,10,2,0,0,2,2,0,10,0,0,0,2,0,0,0,0.255,0.323,0.37,0.693,10,9,R,R.Dotson(53),BOS,1980,Apr 24,9.0,20,9,8,1,3,3,1,0,6.1,47,,,5.0,3.0,3,1,42,3,0,0,2,0,1,0,4,Terry Cooney,"B.Stanley (5-31-L), C.Rainey (3), T.Burgmeier (3), S.Renko (2)"
12,12,13,Apr 25,False,DET,"L,3-11",39,35,3,10,3,0,1,2,4,0,3,0,0,0,1,3,0,0,0.258,0.326,0.377,0.703,9,12,L,D.Schatzeder(47),BOS,1980,Apr 25,8.0,11,11,10,1,6,4,1,0,6.45,40,,,1.0,1.0,1,0,32,2,0,1,1,1,1,2,2,Jim McKean,"D.Eckersley (5-37-L), C.Rainey (0)"
13,13,14,Apr 26,False,DET,"W,12-7",48,42,12,17,2,0,3,12,5,2,2,0,0,1,0,1,0,0,0.27,0.338,0.402,0.739,9,11,R,M.Wilcox(19),BOS,1980,Apr 26,9.0,8,7,6,1,4,5,2,0,6.42,39,,,0.0,0.0,0,0,35,0,0,0,0,0,1,1,3,Ted Hendry,"B.Hurst (4-57-W), D.Drago (4), T.Burgmeier (1-Sv)"
14,14,15,Apr 27,False,DET,"L,5-8",40,33,5,10,3,0,0,4,5,0,2,1,0,1,0,2,0,1,0.273,0.342,0.401,0.743,8,9,R,D.Rozema(47),BOS,1980,Apr 27,8.0,12,8,6,2,3,2,1,0,6.43,40,,,0.0,0.0,0,1,32,2,0,0,2,3,3,2,3,Jim Evans,"M.Torrez (4-25-L), T.Burgmeier (0), S.Lockwood (5)"
15,15,16,Apr 29,False,CHW,"W,11-1",41,37,11,13,0,1,2,9,2,0,4,0,0,2,1,1,0,0,0.278,0.343,0.412,0.756,3,10,L,R.Baumgarten(32),BOS,1980,Apr 29,9.0,4,1,1,0,5,8,1,1,6.1,36,,,0.0,0.0,0,0,30,0,0,0,0,0,0,1,2,Dale Ford,"B.Stanley (4-73-W), D.Drago (2)"
16,16,17,Apr 30,False,CHW,"L,1-2",33,31,1,5,0,0,1,1,1,0,5,1,0,0,0,1,0,0,0.272,0.337,0.404,0.741,5,10,R,R.Dotson(74),BOS,1980,Apr 30,8.0,4,2,2,0,3,3,1,0,5.9,31,,,,,2,0,26,1,0,1,2,0,0,0,1,Greg Kosc,D.Eckersley (4-66-L)
17,17,18,May 1,False,CHW,"W,4-3",32,29,4,5,2,0,2,4,2,0,2,0,1,0,0,1,0,0,0.267,0.332,0.406,0.738,1,9,L,S.Trout(61),BOS,1980,May 1,9.0,9,3,3,0,4,3,0,1,5.73,42,,,5.0,0.0,1,0,36,3,0,1,0,1,1,0,3,Don Denkinger,"B.Hurst (4-49-W), D.Drago (1-H), T.Burgmeier (3-Sv)"
18,18,19,May 2,False,KCR,"W,6-5",47,42,6,11,2,1,1,6,3,1,6,0,2,0,1,0,0,1,0.267,0.331,0.408,0.738,8,12,R,R.Gale(41),BOS,1980,May 2,11.0,12,5,5,0,4,4,1,0,5.63,48,,,0.0,0.0,1,0,43,4,1,1,0,1,0,1,3,Rich Garcia,"M.Torrez (4-32), T.Burgmeier (0), S.Lockwood (4-W)"
19,19,20,May 3,False,KCR,"W,7-0",44,40,7,16,4,1,0,7,2,1,3,0,0,2,1,1,0,0,0.274,0.335,0.416,0.751,10,10,L,P.Splittorff(50),BOS,1980,May 3,9.0,5,0,0,0,4,4,0,0,5.35,33,,,,,0,1,29,1,0,0,0,0,1,3,1,Mike Reilly,C.Rainey (7-77-W)
20,20,21,May 4,False,KCR,"L,3-5",36,34,3,8,2,0,1,2,2,0,5,0,0,0,0,1,1,0,0.272,0.333,0.414,0.747,6,10,R,D.Leonard(51),BOS,1980,May 4,8.0,8,5,5,0,0,4,0,3,5.36,34,,,3.0,0.0,1,0,30,0,1,0,1,0,1,1,2,Jerry Neudecker,"B.Stanley (4-41-L), T.Burgmeier (1)"
21,21,22,May 5,False,TEX,"L,3-11",34,33,3,8,3,0,1,3,1,0,5,0,0,0,0,1,0,0,0.271,0.33,0.415,0.744,4,9,R,G.Perry(63),BOS,1980,May 5,8.0,16,11,9,2,3,3,1,0,5.55,44,,,2.0,1.0,1,0,39,4,0,0,1,1,1,0,3,Bill Deegan,"D.Eckersley (4-32-L), S.Renko (10), S.Lockwood (2)"
22,22,23,May 6,False,TEX,"L,2-7",33,32,2,6,2,0,1,2,1,0,7,0,0,0,0,0,1,1,0.268,0.325,0.412,0.737,4,9,R,D.Medich(73),BOS,1980,May 6,8.0,14,7,6,1,2,5,0,0,5.6,40,,,2.0,1.0,1,1,37,2,1,1,0,1,2,0,3,Rich Garcia,"B.Hurst (4-37-L), D.Drago (4), T.Burgmeier (1)"
23,23,24,May 7,False,TEX,"W,7-4",51,47,7,15,1,0,2,6,2,1,2,0,1,1,0,0,1,0,0.271,0.326,0.415,0.741,11,13,L,J.Matlack(44),BOS,1980,May 7,11.0,6,4,1,3,4,4,0,0,5.36,42,,,5.0,2.0,0,1,38,1,1,0,0,0,1,1,3,Mike Reilly,"M.Torrez (4-61), T.Burgmeier (0), D.Drago (0-BW)"
24,24,25,May 9,True,KCR,"L,5-6",41,40,5,13,3,0,1,4,1,0,4,0,0,0,1,1,0,0,0.273,0.327,0.418,0.744,9,9,R,D.Leonard(42),BOS,1980,May 9,9.0,10,6,6,0,5,3,0,0,5.38,41,,,3.0,1.0,1,0,35,3,1,1,0,1,2,3,2,Jim Evans,"B.Stanley (4-23-L), T.Burgmeier (1)"
25,25,26,May 10,True,KCR,"L,8-13",42,37,8,13,2,0,1,8,4,0,5,0,0,1,1,1,0,0,0.276,0.33,0.42,0.75,7,9,R,R.Martin(29),BOS,1980,May 10,9.0,18,13,12,1,6,3,1,1,5.64,53,,,4.0,3.0,3,0,46,4,0,0,0,0,1,0,4,Jim McKean,"D.Eckersley (4-23-L), K.MacWhorter (99), S.Renko (4), D.Drago (2)"
26,26,27,May 11,True,KCR,"W,5-2",33,27,5,5,0,1,2,5,4,0,5,1,1,0,0,1,2,0,0.274,0.33,0.422,0.752,4,10,R,R.Gale(53),BOS,1980,May 11,9.0,8,2,2,0,3,8,0,0,5.5,35,,,,,1,0,31,0,1,0,0,1,0,3,1,Ted Hendry,C.Rainey (7-68-W)
27,27,28,May 12,True,MIN,"L,3-4",36,32,3,7,4,0,1,3,4,1,5,0,0,0,0,0,0,2,0.272,0.329,0.423,0.751,6,10,R,P.Redfern(56),BOS,1980,May 12,9.0,12,4,4,0,0,5,1,0,5.45,39,,,1.0,0.0,0,0,38,5,0,0,1,0,0,0,2,Larry Barnett,"M.Torrez (4-46-L), T.Burgmeier (2)"
28,28,29,May 13,True,MIN,"W,10-5",43,39,10,15,4,1,2,9,3,0,7,0,1,0,1,0,0,0,0.276,0.332,0.433,0.765,9,10,R,A.Williams(33),BOS,1980,May 13,9.0,10,5,5,0,3,7,0,0,5.43,38,,,1.0,0.0,0,1,35,3,1,0,0,0,0,1,3,Jim Evans,"B.Hurst (6-27), S.Renko (2-W), T.Burgmeier (0-Sv)"
29,29,30,May 14,True,MIN,"W,7-6",37,35,7,11,3,0,1,7,2,0,10,0,0,0,0,1,0,0,0.277,0.333,0.435,0.768,5,12,L,J.Koosman(35),BOS,1980,May 14,9.0,11,6,5,1,5,5,1,0,5.42,41,,,3.0,0.0,0,1,36,0,1,0,0,0,0,1,3,Jim McKean,"B.Stanley (4-21), K.MacWhorter (3), T.Burgmeier (0-W)"
30,30,31,May 15,False,CLE,"W,6-2",38,34,6,9,2,1,1,6,3,1,5,0,0,1,1,1,0,1,0.277,0.332,0.436,0.768,5,10,L,R.Waits(43),BOS,1980,May 15,9.0,8,2,2,0,4,4,0,1,5.31,39,,,0.0,0.0,0,0,32,1,0,0,1,1,0,0,2,Jerry Neudecker,"J.Billingham (12-47-W), D.Drago (4-Sv)"
31,31,32,May 16,False,CLE,"W,2-1",36,32,2,7,2,0,0,1,3,0,3,1,0,0,0,1,0,0,0.275,0.332,0.431,0.763,7,10,R,J.Denny(65),BOS,1980,May 16,9.0,4,1,1,0,4,4,0,0,5.18,35,,,3.0,0.0,0,0,31,0,0,1,0,0,0,0,2,Jerry Neudecker,"C.Rainey (4-61-W), T.Burgmeier (1-Sv)"
32,32,33,May 17,False,CLE,"L,3-4",45,40,3,13,3,0,0,3,5,1,13,0,0,0,0,2,3,1,0.277,0.334,0.43,0.764,12,10,R,L.Barker(46),BOS,1980,May 17,9.2,10,4,3,1,8,3,0,0,5.1,46,,,0.0,0.0,0,0,35,0,1,5,3,0,1,0,2,Rich Garcia,"M.Torrez (4-53), K.MacWhorter (2-L)"
33,33,34,May 18,False,CLE,"L,1-3",33,31,1,4,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0.273,0.33,0.424,0.754,5,10,R,D.Spillner(71),BOS,1980,May 18,8.0,11,3,3,0,2,2,0,0,5.05,36,,,,,0,1,33,2,1,0,0,1,0,0,1,Mike Reilly,B.Stanley (3-48-L)
34,34,35,May 19,False,TOR,"L,2-7",38,33,2,6,0,0,2,2,4,0,5,1,0,0,1,1,0,0,0.271,0.329,0.423,0.752,9,9,R,J.Clancy(68),BOS,1980,May 19,8.0,10,7,7,0,2,1,2,2,5.13,36,,,0.0,0.0,2,1,32,0,0,0,0,0,0,0,2,Jim McKean,"J.Billingham (3-23-L), S.Renko (5)"
35,35,36,May 20,False,TOR,"W,4-3",38,33,4,10,4,0,1,4,4,1,5,0,1,0,1,1,2,0,0.272,0.33,0.425,0.755,7,9,R,D.Lemanczyk(36),BOS,1980,May 20,9.0,8,3,2,1,3,1,0,0,5.04,36,,,0.0,0.0,0,0,33,2,0,0,0,0,0,2,2,Ted Hendry,"C.Rainey (3-51-W), T.Burgmeier (3-Sv)"
36,36,37,May 21,False,TOR,"W,11-2",43,39,11,14,0,0,5,11,4,0,1,0,0,0,0,2,1,0,0.274,0.333,0.435,0.768,5,9,R,J.Jefferson(28),BOS,1980,May 21,9.0,6,2,2,0,3,5,0,0,4.96,36,,,0.0,0.0,0,0,33,0,2,0,0,0,0,0,2,Larry Barnett,"M.Torrez (3-58-W), D.Drago (5)"
37,37,38,May 23,True,CLE,"W,4-1",35,35,4,12,1,0,3,4,0,0,5,0,0,0,1,0,0,2,0.276,0.333,0.44,0.773,7,11,R,D.Spillner(43),BOS,1980,May 23,9.0,4,1,1,0,4,4,0,0,4.85,34,,,2.0,1.0,2,1,29,0,1,0,0,1,0,0,2,Mike Reilly,"B.Stanley (4-66-W), T.Burgmeier (2-Sv)"
38,38,39,May 24,True,CLE,"L,2-7",34,34,2,8,3,0,0,2,0,0,6,0,0,0,0,1,0,0,0.275,0.331,0.437,0.768,5,9,L,R.Waits(69),BOS,1980,May 24,9.0,15,7,7,0,4,3,1,0,4.91,44,,,4.0,1.0,1,0,39,3,1,1,1,0,0,2,3,Jerry Neudecker,"J.Billingham (4-21-L), K.MacWhorter (6), S.Lockwood (18)"
39,39,40,May 25,True,CLE,"L,2-3",37,33,2,8,1,0,0,2,3,0,8,1,0,0,0,1,0,1,0.274,0.331,0.433,0.764,8,12,R,J.Denny(68),BOS,1980,May 25,9.0,5,3,3,0,1,2,1,0,4.86,32,,,0.0,0.0,1,1,31,0,0,0,0,0,0,0,2,Bill Deegan,"C.Rainey (4-57-L), T.Burgmeier (1)"
40,40,41,May 26,True,TOR,"L,1-3",37,33,1,8,0,0,0,1,3,0,3,0,1,0,1,0,0,0,0.274,0.33,0.428,0.759,9,14,R,J.Jefferson(54),BOS,1980,May 26,9.0,11,3,3,0,2,5,0,1,4.81,38,,,3.0,1.0,0,2,34,2,0,0,1,0,0,1,3,Don Denkinger,"M.Torrez (4-66), T.Burgmeier (0-H), D.Drago (4-BL)"
41,41,42,May 27,True,TOR,"W,5-4",33,28,5,7,1,1,1,5,4,0,4,0,0,1,0,0,0,0,0.273,0.33,0.429,0.76,4,11,L,P.Mirabella(51),BOS,1980,May 27,9.0,11,4,4,0,0,8,1,0,4.79,38,,,,,0,0,37,3,0,0,1,0,0,0,1,Larry McCoy,S.Renko (7-57-W)
42,42,43,May 28,True,TOR,"L,1-4",37,29,1,4,1,0,0,1,6,0,7,1,0,1,0,1,0,0,0.27,0.33,0.424,0.754,9,9,R,D.Stieb(62),BOS,1980,May 28,9.0,9,4,4,0,3,7,0,0,4.78,37,,,,,2,1,34,0,0,1,0,0,0,0,1,Greg Kosc,B.Stanley (4-57-L)
43,43,44,May 30,True,MIL,"W,5-3",32,29,5,9,4,0,1,5,1,0,3,0,0,2,0,1,0,0,0.271,0.329,0.427,0.756,3,9,R,L.Sorensen(27),BOS,1980,May 30,9.0,8,3,3,0,3,6,2,1,4.74,36,,,2.0,0.0,1,0,32,1,0,0,0,0,0,1,2,Don Denkinger,"C.Rainey (4-63-W), T.Burgmeier (3-Sv)"
44,44,45,May 31,True,MIL,"L,8-19",39,35,8,12,1,0,6,8,4,0,3,0,0,0,0,4,0,0,0.273,0.331,0.437,0.768,4,11,L,M.Caldwell(28),BOS,1980,May 31,9.0,22,19,18,1,2,2,2,0,5.03,51,,,2.0,2.0,0,0,49,8,0,0,0,0,0,0,4,Larry McCoy,"M.Torrez (4-27-L), K.MacWhorter (6), D.Drago (4), S.Lockwood (6)"
45,45,46,Jun 1,True,MIL,"L,5-8",39,33,5,8,0,1,2,5,4,0,1,0,0,2,0,0,1,0,0.272,0.331,0.438,0.769,7,12,R,R.Keeton(29),BOS,1980,Jun 1,9.0,12,8,3,5,0,3,0,1,4.99,40,,,2.0,2.0,1,0,38,4,0,0,1,0,1,1,3,Dale Ford,"S.Renko (4-66), T.Burgmeier (1-L), D.Drago (0)"
