,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 11,True,CLE,"W,10-2",44,38,10,15,1,1,3,10,4,0,9,1,0,1,0,0,3,0,0.395,0.455,0.711,1.165,10,10,R,D.Spillner(28),CAL,1980,Apr 11,9.0,7,2,2,0,2,4,1,0,2.0,36,,,1.0,0.0,2,0,34,1,0,0,0,0,1,0,2,Bill Haller,"D.Frost (99-63-W), M.Clear (99)"
1,1,2,Apr 12,True,CLE,"L,1-2",36,33,1,7,1,0,1,1,3,0,7,0,0,0,1,1,1,0,0.31,0.375,0.535,0.91,8,10,R,L.Barker(70),CAL,1980,Apr 12,9.0,5,2,0,2,6,4,0,1,1.0,38,,,0.0,0.0,0,0,29,0,0,1,2,0,1,2,2,Russ Goetz,"B.Kison (99-62-L), D.LaRoche (99)"
2,2,3,Apr 13,True,CLE,"W,8-3",39,32,8,10,3,0,0,8,6,1,10,1,0,0,0,0,3,1,0.311,0.395,0.495,0.89,7,9,R,J.Denny(32),CAL,1980,Apr 13,9.0,10,3,3,0,4,7,0,0,1.67,41,,,3.0,0.0,1,0,36,2,0,0,0,1,1,1,2,George Maloney,"D.Aase (99-49-W), J.Montague (99-Sv)"
3,3,4,Apr 14,True,MIN,"L,3-5",34,32,3,7,1,0,1,3,2,0,6,0,0,0,0,1,0,1,0.289,0.366,0.459,0.825,4,10,R,T.Felton(55),CAL,1980,Apr 14,9.0,7,5,5,0,6,8,1,0,2.5,40,,,2.0,2.0,0,0,34,1,0,0,0,0,0,0,3,Vic Voltaggio,"C.Knapp (99-74), M.Clear (2-L), D.LaRoche (1-BSv)"
4,4,5,Apr 15,True,MIN,"W,3-1",32,30,3,7,1,0,1,3,2,0,6,0,0,0,1,0,0,1,0.279,0.351,0.442,0.794,5,10,L,J.Koosman(40),CAL,1980,Apr 15,9.0,8,1,1,0,3,2,0,0,2.2,37,,,,,1,0,34,2,0,0,0,0,0,1,1,Bill Haller,F.Tanana (99-66-W)
5,5,6,Apr 16,True,MIN,"W,2-1",40,35,2,8,0,0,0,2,1,1,7,0,2,2,2,0,0,0,0.27,0.332,0.405,0.737,9,13,R,P.Redfern(73),CAL,1980,Apr 16,10.0,4,1,1,0,2,2,0,0,1.96,35,,,,,1,0,31,0,0,1,1,1,0,0,1,Russ Goetz,D.Frost (4-80-W)
6,6,7,Apr 18,False,OAK,"L,3-6",36,32,3,7,1,0,0,3,3,0,4,1,0,0,0,0,0,2,0.263,0.328,0.384,0.712,6,10,R,B.Kingman(62),CAL,1980,Apr 18,8.0,9,6,5,1,3,4,1,0,2.43,36,,,2.0,2.0,2,0,30,2,0,0,2,1,1,1,2,Al Clark,"B.Kison (5-30-L), J.Barr (99)"
7,7,8,Apr 19,False,OAK,"L,1-3",34,30,1,4,1,0,0,1,4,0,4,0,0,0,0,1,0,0,0.248,0.317,0.359,0.676,6,10,R,M.Norris(71),CAL,1980,Apr 19,8.0,7,3,3,0,3,5,0,0,2.54,33,,,1.0,0.0,0,0,29,3,0,0,1,0,0,0,3,Steve Palermo,"D.Aase (5-45-L), M.Clear (4), D.LaRoche (4)"
8,8,9,Apr 20 (1),False,OAK,"L,1-6",35,30,1,5,2,0,0,1,4,0,4,1,0,0,0,1,0,0,0.24,0.314,0.346,0.66,7,12,R,M.Keough(73),CAL,1980,Apr 20(1),8.0,10,6,5,1,8,6,0,0,2.85,42,,,2.0,1.0,1,0,34,2,0,0,0,0,1,0,4,Dave Phillips,"C.Knapp (5-23-L), F.Martínez (99), D.LaRoche (0), J.Montague (6)"
9,9,10,Apr 20 (2),False,OAK,"L,2-8",35,33,2,7,1,0,0,2,2,0,3,0,0,0,0,0,0,0,0.237,0.309,0.335,0.644,6,11,R,S.McCatty(66),CAL,1980,Apr 20(2),8.0,12,8,7,1,1,4,0,2,3.31,40,,,2.0,0.0,3,0,35,3,1,0,1,1,2,0,3,Lou DiMuro,"F.Tanana (4-24-L), J.Barr (1), M.Clear (0)"
10,10,11,Apr 22,False,MIN,"L,1-8",32,31,1,6,1,0,0,1,0,0,3,0,1,0,0,1,0,0,0.233,0.299,0.326,0.625,4,9,L,G.Zahn(74),CAL,1980,Apr 22,8.0,13,8,6,2,3,5,3,0,3.6,39,,,1.0,0.0,0,0,36,2,0,1,0,0,1,1,2,Al Clark,"D.Frost (5-32-L), D.LaRoche (1)"
11,11,12,Apr 23,False,MIN,"W,17-0",51,42,17,18,5,0,0,15,6,0,6,2,0,1,2,1,0,1,0.254,0.324,0.349,0.673,7,9,R,T.Felton(29),CAL,1980,Apr 23,9.0,1,0,0,0,4,1,0,0,3.29,33,,,,,1,0,29,1,0,0,0,0,1,0,1,Steve Palermo,B.Kison (4-82-W)
12,12,13,Apr 25,False,SEA,"W,4-3",37,33,4,10,1,0,1,4,3,0,2,0,1,0,0,2,1,0,0.258,0.326,0.355,0.681,6,9,R,M.Parrott(38),CAL,1980,Apr 25,9.0,10,3,2,1,4,0,0,0,3.19,42,,,1.0,0.0,1,0,37,2,0,0,0,1,1,0,2,Jerry Neudecker,"D.Aase (5-49-W), J.Montague (4-Sv)"
13,13,14,Apr 26,False,SEA,"W,7-6",42,34,7,10,1,0,1,6,7,1,7,0,1,0,0,1,4,1,0.26,0.333,0.359,0.692,8,9,R,J.Beattie(28),CAL,1980,Apr 26,9.0,10,6,6,0,5,4,1,0,3.39,40,,,3.0,1.0,0,1,30,3,0,0,4,1,0,1,4,Bill Deegan,"C.Knapp (5-29), J.Barr (5), D.LaRoche (3-W), M.Clear (5-Sv)"
14,14,15,Apr 27,False,SEA,"L,3-7",36,35,3,8,1,0,2,3,1,0,5,0,0,0,0,0,0,0,0.258,0.328,0.364,0.692,6,10,R,G.Abbott(63),CAL,1980,Apr 27,8.0,10,7,7,0,3,1,1,0,3.67,35,,,1.0,0.0,0,1,31,2,0,0,0,1,0,0,2,Rich Garcia,"D.Frost (4-22-L), F.Martínez (6)"
15,15,16,Apr 28,True,OAK,"L,0-8",37,34,0,7,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0.255,0.324,0.354,0.678,10,10,R,R.Langford(74),CAL,1980,Apr 28,9.0,10,8,8,0,5,3,3,0,3.95,41,,,1.0,1.0,0,0,36,4,0,0,0,0,0,0,3,Mike Reilly,"B.Kison (4-25-L), J.Barr (1), D.LaRoche (1)"
16,16,17,Apr 29,True,OAK,"L,2-4",38,33,2,5,1,0,0,1,5,0,6,0,0,0,1,0,4,0,0.249,0.321,0.344,0.665,9,10,R,M.Norris(72),CAL,1980,Apr 29,9.0,10,4,4,0,2,5,0,0,3.95,36,,,2.0,0.0,0,3,33,1,0,0,0,1,0,0,2,Jerry Neudecker,"F.Tanana (8-36-L), M.Clear (2)"
17,17,18,Apr 30,True,OAK,"W,2-1",34,27,2,5,1,1,0,2,5,1,3,1,0,1,0,0,1,1,0.246,0.321,0.342,0.663,8,9,R,M.Keough(62),CAL,1980,Apr 30,9.0,4,1,0,1,3,5,0,0,3.73,33,,,,,0,1,29,0,0,0,1,0,0,0,1,Bill Deegan,D.Aase (4-79-W)
18,18,19,May 1,True,SEA,"W,2-1",34,22,2,5,1,0,0,1,11,4,4,0,1,0,0,4,0,1,0.245,0.329,0.339,0.668,8,12,R,J.Beattie(51),CAL,1980,May 1,9.0,8,1,1,0,1,3,0,0,3.58,36,,,3.0,0.0,0,0,33,3,0,1,2,0,0,0,2,Bill Kunkel,"C.Knapp (4-58), J.Montague (5-W)"
19,19,20,May 2,True,SEA,"W,3-1",37,33,3,11,3,0,0,2,2,1,9,0,2,0,0,0,0,0,0.25,0.331,0.344,0.674,10,9,R,G.Abbott(53),CAL,1980,May 2,9.0,5,1,1,0,2,4,0,0,3.45,31,,,,,0,0,29,1,0,0,0,0,0,2,1,Terry Cooney,D.Frost (4-75-W)
20,20,21,May 3,True,SEA,"L,0-2",31,30,0,5,2,0,0,0,1,0,2,0,0,0,0,2,0,0,0.246,0.325,0.339,0.664,4,9,L,R.Honeycutt(78),CAL,1980,May 3,9.0,9,2,2,0,2,4,0,0,3.38,37,,,,,2,0,34,2,0,1,1,0,1,2,1,Ken Kaiser,B.Kison (4-63-L)
21,21,22,May 4,True,SEA,"W,4-3",35,32,4,7,2,0,0,4,2,1,6,0,0,1,2,0,1,0,0.245,0.322,0.336,0.658,7,9,L,F.Bannister(58),CAL,1980,May 4,9.0,7,3,3,0,2,7,1,0,3.36,36,,,2.0,2.0,0,0,33,3,0,0,1,0,0,0,2,Richard Shulock,"F.Tanana (4-53-W), M.Clear (4-Sv)"
22,22,23,May 6,True,TOR,"L,2-3",37,29,2,7,1,0,1,2,6,1,1,0,2,0,0,2,2,1,0.245,0.324,0.338,0.662,8,14,R,D.Lemanczyk(56),CAL,1980,May 6,9.0,7,3,3,0,3,2,2,0,3.34,36,,,,,1,0,33,0,0,0,0,0,1,2,1,Bill Kunkel,D.Aase (5-60-L)
23,23,24,May 7,True,TOR,"L,3-7",32,31,3,10,1,0,1,2,0,0,2,0,1,0,0,5,0,0,0.248,0.324,0.342,0.667,2,9,R,D.Stieb(57),CAL,1980,May 7,9.0,12,7,7,0,2,1,2,0,3.5,38,,,0.0,0.0,1,1,35,2,0,0,0,1,0,2,4,Terry Cooney,"C.Knapp (5-30-L), D.LaRoche (8), J.Barr (8), F.Martínez (9)"
24,24,25,May 8,True,TOR,"L,2-9",33,31,2,6,2,0,0,2,2,0,4,0,0,0,0,0,0,1,0.246,0.321,0.339,0.66,4,9,L,P.Mirabella(65),CAL,1980,May 8,9.0,14,9,9,0,4,3,1,1,3.72,44,,,1.0,1.0,1,1,38,3,1,0,1,0,0,0,4,Ken Kaiser,"D.Frost (5-26-L), M.Clear (3), F.Martínez (0), J.Montague (6)"
25,25,26,May 9,True,DET,"L,5-6",41,35,5,8,2,0,2,5,2,0,3,1,3,0,1,0,1,1,0.245,0.32,0.344,0.664,6,13,R,M.Wilcox(44),CAL,1980,May 9,10.0,8,6,5,1,6,8,1,2,3.76,44,,,3.0,1.0,3,0,35,1,0,0,0,1,0,0,4,Nick Bremigan,"B.Kison (5-32), D.LaRoche (1), M.Clear (0-BSv), J.Montague (0-L)"
26,26,27,May 10,True,DET,"L,1-6",32,29,1,5,0,0,0,1,1,0,6,1,1,0,0,0,0,1,0.242,0.317,0.338,0.655,4,9,L,D.Schatzeder(67),CAL,1980,May 10,9.0,8,6,6,0,5,7,1,0,3.84,39,,,0.0,0.0,2,1,34,1,0,0,0,0,0,0,2,Durwood Merrill,"F.Tanana (5-40-L), J.Barr (2)"
27,27,28,May 11,True,DET,"L,0-4",33,31,0,4,2,0,0,0,2,0,7,0,0,0,1,1,0,0,0.239,0.312,0.333,0.646,6,11,R,D.Petry(84),CAL,1980,May 11,9.0,10,4,3,1,5,6,0,0,3.81,38,,,4.0,0.0,2,1,32,0,0,0,0,1,1,2,3,Marty Springstead,"D.Aase (4-41-L), D.LaRoche (1), J.Montague (1)"
28,28,29,May 14,False,CLE,"W,13-7",45,41,13,13,3,0,1,11,4,1,7,0,0,0,1,0,0,0,0.242,0.315,0.339,0.654,5,9,R,D.Spillner(12),CAL,1980,May 14,9.0,11,7,7,0,5,1,2,1,3.92,42,,,1.0,0.0,0,0,35,0,1,0,0,1,0,2,3,Mike Reilly,"D.Frost (5-30), C.Knapp (6-W), J.Barr (3-Sv)"
29,29,30,May 16,False,KCR,"W,11-1",48,40,11,16,1,3,0,11,8,0,6,0,0,0,0,2,1,0,0.248,0.323,0.349,0.672,10,11,R,R.Gale(22),CAL,1980,May 16,9.0,7,1,1,0,5,4,0,0,3.82,36,,,2.0,0.0,0,0,31,1,0,0,0,0,0,2,3,George Maloney,"B.Kison (6-55-W), D.LaRoche (4), J.Montague (4)"
30,30,31,May 17,False,KCR,"L,1-2",41,37,1,9,1,1,1,1,3,0,4,0,1,0,1,2,0,0,0.248,0.322,0.351,0.673,10,10,L,L.Gura(71),CAL,1980,May 17,9.2,9,2,2,0,4,3,0,0,3.75,40,,,0.0,0.0,2,0,34,4,0,2,2,0,0,2,2,Vic Voltaggio,"D.Aase (5-70), M.Clear (7-L)"
31,31,32,May 18,False,KCR,"L,3-5",37,32,3,6,1,1,1,3,5,0,3,0,0,0,1,2,1,0,0.246,0.322,0.351,0.673,7,10,R,R.Martin(58),CAL,1980,May 18,8.0,7,5,5,0,2,2,0,0,3.81,32,,,1.0,1.0,0,1,29,3,2,1,0,1,0,0,3,Bill Haller,"F.Tanana (7-20-L), J.Barr (3), D.LaRoche (1)"
32,32,33,May 19,False,TEX,"W,3-2",52,42,3,9,3,0,1,3,6,3,10,1,3,0,0,1,1,1,0.245,0.322,0.352,0.674,10,12,R,G.Perry(64),CAL,1980,May 19,13.0,14,2,1,1,2,5,0,0,3.67,51,,,2.0,0.0,2,1,49,1,0,0,0,0,1,2,4,Terry Cooney,"D.Frost (4-49), J.Montague (2), D.LaRoche (0), M.Clear (1-W)"
33,33,34,May 20,False,TEX,"W,5-4",31,30,5,9,1,0,1,5,1,0,4,0,0,0,1,1,0,0,0.247,0.322,0.354,0.676,5,9,R,D.Medich(36),CAL,1980,May 20,7.0,7,4,4,0,2,2,1,1,3.7,30,,,2.0,2.0,0,0,27,0,0,0,0,0,0,1,2,Richard Shulock,"F.Martínez (11-47-W), D.LaRoche (0-Sv)"
