,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 10,False,NYM,"L,2-5",35,34,2,7,3,0,0,2,1,0,3,0,0,0,1,1,0,0,0.206,0.229,0.294,0.523,6,14,R,C.Swan(57),CHC,1980,Apr 10,8.0,8,5,4,1,6,5,0,0,4.5,36,,,2.0,0.0,0,2,29,1,0,2,0,1,1,1,3,John Kibler,"R.Reuschel (99-34-L), B.Caudill (99), D.Tidrow (99)"
1,1,2,Apr 11,False,NYM,"W,7-5",44,37,7,11,1,0,5,7,7,1,5,0,0,0,0,1,1,0,0.254,0.329,0.521,0.85,10,13,R,R.Burris(28),CHC,1980,Apr 11,9.0,13,5,5,0,3,8,0,0,4.76,42,,,0.0,0.0,1,0,38,3,0,0,1,0,0,1,3,Bruce Froemming,"D.Lamp (99-47-W), B.Caudill (0), B.Sutter (99-Sv)"
2,2,3,Apr 12,False,NYM,"W,6-3",41,37,6,14,1,0,2,6,3,1,2,0,0,1,1,3,1,1,0.296,0.358,0.537,0.895,8,14,R,T.Hausman(47),CHC,1980,Apr 12,9.0,6,3,2,1,5,6,2,1,3.81,36,,,0.0,0.0,1,1,29,0,0,1,0,1,1,0,2,Terry Tata,"M.Krukow (99-58-W), B.Sutter (0-Sv)"
3,3,4,Apr 13,False,NYM,"L,0-5",33,30,0,5,0,0,0,0,3,0,6,0,0,0,0,2,0,0,0.268,0.333,0.457,0.79,6,14,L,P.Falcone(68),CHC,1980,Apr 13,8.0,11,5,4,1,4,4,0,0,3.97,39,,,1.0,0.0,0,1,33,4,0,0,1,1,1,0,3,Fred Brocklander,"W.Hernández (99-37-L), L.McGlothen (99), D.Capilla (99)"
4,4,5,Apr 14,False,PIT,"L,4-5",40,37,4,7,1,0,1,4,3,1,7,0,0,0,0,0,0,0,0.251,0.316,0.423,0.739,6,19,R,B.Blyleven(68),CHC,1980,Apr 14,9.1,10,5,5,0,2,6,2,2,4.15,41,,,0.0,0.0,1,0,37,2,0,0,0,0,0,1,4,Ed Vargo,"R.Reuschel (3-46), B.Caudill (2), D.Tidrow (3), B.Sutter (1-L)"
5,5,6,Apr 17,True,NYM,"W,4-1",33,31,4,8,3,0,2,4,1,1,0,0,1,0,0,0,0,0,0.252,0.311,0.442,0.753,5,10,R,T.Hausman(48),CHC,1980,Apr 17,9.0,8,1,1,0,0,4,0,0,3.61,34,,,0.0,0.0,1,0,33,0,0,0,1,0,1,2,2,Dick Stello,"D.Lamp (5-68-W), B.Sutter (2-Sv)"
6,6,7,Apr 19,True,NYM,"W,12-9",42,38,12,15,0,0,5,12,4,1,8,0,0,0,1,1,0,0,0.275,0.333,0.496,0.829,6,18,L,P.Falcone(54),CHC,1980,Apr 19,9.0,9,9,6,3,6,4,0,0,3.96,42,,,0.0,0.0,0,0,33,4,0,0,1,2,1,2,5,Satch Davidson,"M.Krukow (6-29), L.McGlothen (5), B.Caudill (4), D.Tidrow (4-W), B.Sutter (1-Sv)"
7,7,8,Apr 20,True,NYM,"W,6-3",36,32,6,11,1,0,1,5,3,1,6,0,1,0,1,0,2,1,0.283,0.341,0.493,0.834,6,11,R,C.Swan(50),CHC,1980,Apr 20,9.0,9,3,1,2,7,3,0,0,3.58,42,,,0.0,0.0,1,1,35,3,0,0,0,0,2,1,2,Dave Pallone,"R.Reuschel (5-46-W), D.Tidrow (0-Sv)"
8,8,9,Apr 22,True,STL,"W,16-12",51,46,16,23,5,1,3,16,4,1,6,0,0,1,0,2,1,0,0.314,0.368,0.543,0.912,9,20,R,B.Forsch(0),CHC,1980,Apr 22,9.0,16,12,11,1,6,4,3,0,4.42,47,123.0,72.0,5.0,2.0,1,1,41,4,0,0,0,0,1,1,6,Lanny Harris,"D.Lamp (4-21), L.McGlothen (2), D.Capilla (8), B.Caudill (2), D.Tidrow (1), B.Sutter (2-W)"
9,9,10,Apr 23,True,STL,"L,1-3",32,30,1,3,0,0,0,1,2,0,8,0,0,0,0,0,1,0,0.295,0.351,0.506,0.856,4,16,R,S.Martínez(83),CHC,1980,Apr 23,9.0,6,3,0,3,1,4,0,0,3.97,36,,,2.0,1.0,1,0,33,0,0,1,1,1,2,0,3,Harry Wendelstedt,"M.Krukow (3-61-L), B.Caudill (0), D.Tidrow (0)"
10,10,11,Apr 25,True,PIT,"W,5-3",35,28,5,10,2,0,1,5,5,0,1,0,1,1,0,2,0,0,0.3,0.358,0.508,0.866,6,12,L,J.Rooker(39),CHC,1980,Apr 25,9.0,8,3,3,0,2,3,0,0,3.88,34,,,0.0,0.0,1,0,30,2,0,1,2,0,0,3,2,Frank Pulli,"R.Reuschel (4-56-W), B.Sutter (2-Sv)"
