,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 10,True,BAL,"L,3-5",39,34,3,7,1,0,0,1,5,0,6,0,0,0,1,0,1,0,0.206,0.308,0.235,0.543,9,12,R,J.Palmer(59),CHW,1980,Apr 10,9.0,8,5,4,1,1,6,0,1,4.0,35,,,0.0,0.0,0,1,31,2,2,0,1,1,1,2,2,Bill Kunkel,"S.Trout (99-43-L), R.Wortham (99)"
1,1,2,Apr 11,True,BAL,"W,8-4",37,31,8,9,2,1,2,8,5,0,3,0,0,1,1,2,0,0,0.246,0.342,0.415,0.757,5,11,L,M.Flanagan(27),CHW,1980,Apr 11,9.0,10,4,4,0,4,4,2,0,4.0,38,,,2.0,0.0,0,0,34,0,0,0,0,0,0,1,3,Terry Cooney,"K.Kravec (99-39-W), M.Proly (99-H), E.Farmer (99-Sv)"
2,2,3,Apr 12,True,BAL,"W,8-2",40,35,8,11,0,1,1,8,4,1,2,0,1,0,1,0,0,0,0.27,0.357,0.43,0.787,8,11,R,S.Stone(41),CHW,1980,Apr 12,9.0,5,2,2,0,2,7,0,0,3.33,34,,,,,0,0,32,2,0,0,0,0,0,0,1,Ken Kaiser,R.Dotson (99-74-W)
3,3,4,Apr 13,True,BAL,"W,5-2",36,28,5,9,2,0,0,4,6,1,4,1,0,1,0,2,0,2,0.281,0.377,0.422,0.799,7,13,R,D.Ford(43),CHW,1980,Apr 13,9.0,5,2,2,0,4,7,0,0,3.0,35,,,0.0,0.0,1,0,30,0,0,0,1,0,1,2,2,Richard Shulock,"R.Baumgarten (99-58-W), E.Farmer (1-Sv)"
4,4,5,Apr 15,True,NYY,"W,4-3",59,48,4,9,3,0,0,4,9,3,9,0,1,1,1,1,1,0,0.256,0.359,0.375,0.734,14,13,L,R.Guidry(63),CHW,1980,Apr 15,14.0,9,3,3,0,8,6,0,0,2.7,56,,,1.0,0.0,1,2,48,2,0,1,0,0,0,1,3,Jim Evans,"S.Trout (4-50), M.Proly (3), R.Wortham (4-W)"
5,5,6,Apr 16,True,NYY,"L,0-6",28,27,0,2,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0.232,0.329,0.335,0.664,1,9,L,T.John(85),CHW,1980,Apr 16,9.0,11,6,6,0,4,7,0,1,3.2,42,,,3.0,1.0,2,0,36,2,1,0,0,1,0,1,3,Larry Barnett,"K.Kravec (4-39-L), R.Scarbery (99), M.Proly (0)"
6,6,7,Apr 17,True,NYY,"W,8-6",38,35,8,12,6,0,0,8,3,1,3,0,0,0,0,0,1,1,0.248,0.338,0.361,0.7,6,10,R,M.Griffin(32),CHW,1980,Apr 17,9.0,9,6,2,4,0,4,1,0,3.04,36,,,0.0,0.0,0,0,35,2,0,0,0,1,1,1,2,Jim McKean,"B.Burns (99-62-W), E.Farmer (3-Sv)"
7,7,8,Apr 18,False,BAL,"L,2-5",31,31,2,4,2,0,1,2,0,0,4,0,0,0,0,0,0,0,0.234,0.317,0.353,0.67,2,12,R,D.Ford(75),CHW,1980,Apr 18,8.0,5,5,5,0,5,6,3,0,3.32,34,,,1.0,0.0,3,0,29,2,0,0,0,0,0,0,2,Rich Garcia,"R.Dotson (5-34-L), M.Proly (1)"
8,8,9,Apr 19,False,BAL,"W,5-4",47,47,5,14,1,0,3,5,0,0,4,0,0,0,0,1,1,2,0.244,0.314,0.377,0.691,6,15,R,J.Palmer(46),CHW,1980,Apr 19,12.0,5,4,3,1,7,9,2,1,3.17,50,,,1.0,0.0,1,0,42,1,0,1,0,0,2,1,4,Mike Reilly,"R.Baumgarten (5-46), R.Scarbery (2), R.Wortham (3), E.Farmer (1-W)"
9,9,10,Apr 20,False,BAL,"W,9-6",47,44,9,19,6,0,1,8,3,1,5,0,0,0,0,0,0,1,0.267,0.333,0.408,0.741,11,13,R,D.Martínez(30),CHW,1980,Apr 20,9.0,11,6,3,3,5,4,1,1,3.15,44,,,2.0,0.0,0,0,38,1,1,0,0,0,2,2,4,Jerry Neudecker,"S.Trout (4-35), M.Proly (1), R.Wortham (0-W), E.Farmer (0-Sv)"
10,10,11,Apr 21,False,BOS,"L,8-9",42,41,8,15,2,0,2,8,0,0,5,1,0,0,0,1,1,0,0.277,0.337,0.424,0.761,7,11,L,B.Hurst(30),CHW,1980,Apr 21,8.0,12,9,9,0,4,0,3,0,3.69,38,,,3.0,0.0,0,0,32,2,0,0,2,0,0,1,2,Ken Kaiser,"K.Kravec (4-20), R.Scarbery (1-L)"
11,11,12,Apr 22,False,BOS,"W,2-0",35,30,2,7,4,0,0,2,4,1,2,1,0,0,1,4,0,0,0.274,0.338,0.42,0.757,6,12,R,M.Torrez(63),CHW,1980,Apr 22,9.0,6,0,0,0,2,7,0,0,3.39,33,,,2.0,0.0,1,0,31,0,0,0,0,0,0,2,2,Richard Shulock,"B.Burns (4-65-W), M.Proly (1-Sv)"
