,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 9,True,ATL,"W,9-0",40,33,9,9,3,1,1,9,5,1,6,0,1,1,2,1,0,0,0.273,0.359,0.515,0.874,7,9,R,P.Niekro(25),CIN,1980,Apr 9,9.0,3,0,0,0,0,5,0,0,0.0,30,,,,,0,0,30,0,0,0,0,0,0,0,1,Harry Wendelstedt,F.Pastore (99-86-W)
1,1,2,Apr 11,True,ATL,"W,6-0",29,26,6,8,1,1,1,6,1,0,3,1,1,0,3,2,1,0,0.288,0.358,0.525,0.884,5,10,L,L.McWilliams(26),CIN,1980,Apr 11,6.0,7,0,0,0,2,4,0,0,0.0,24,,,,,0,0,22,0,0,0,0,0,0,3,1,Frank Pulli,M.LaCoss (99-60-W)
2,2,3,Apr 12,True,ATL,"W,5-4",39,35,5,11,3,0,1,4,4,2,6,0,0,0,1,1,1,0,0.298,0.368,0.511,0.879,8,14,R,R.Matula(60),CIN,1980,Apr 12,9.0,9,4,4,0,3,5,0,0,1.5,39,,,3.0,2.0,1,0,36,5,0,1,0,0,0,0,4,Ed Montague,"B.Bonham (99-53), D.Tomlin (99), D.Bair (99), T.Hume (99-W)"
3,3,4,Apr 13,True,ATL,"W,5-0",38,32,5,12,2,0,1,5,6,1,2,0,0,0,0,3,1,0,0.317,0.396,0.516,0.912,9,10,R,P.Niekro(28),CIN,1980,Apr 13,9.0,5,0,0,0,3,5,0,0,1.09,34,,,,,0,0,31,0,0,0,0,0,0,1,1,Lanny Harris,C.Leibrandt (99-79-W)
4,4,5,Apr 14,True,SFG,"W,6-5",37,34,6,8,1,2,0,6,3,0,7,0,0,0,0,0,0,0,0.3,0.376,0.488,0.863,5,14,L,B.Knepper(61),CIN,1980,Apr 14,9.0,6,5,5,0,5,4,2,0,1.93,37,,,0.0,0.0,0,0,32,1,0,1,0,0,0,0,3,Dutch Rennert,"P.Moskau (99-52), M.Soto (99), D.Tomlin (1-W)"
5,5,6,Apr 15,True,SFG,"W,8-3",37,32,8,11,2,2,0,8,2,0,3,1,1,1,0,0,0,0,0.307,0.378,0.495,0.873,5,13,R,E.Whitson(36),CIN,1980,Apr 15,9.0,8,3,3,0,5,4,0,0,2.12,37,,,0.0,0.0,1,0,31,3,0,0,0,1,0,1,2,John Kibler,"T.Seaver (99-45-W), T.Hume (2-Sv)"
6,6,7,Apr 16,True,SFG,"W,5-3",35,30,5,8,1,0,2,5,5,0,9,0,0,0,0,1,1,0,0.302,0.377,0.495,0.872,6,10,R,J.Montefusco(44),CIN,1980,Apr 16,9.0,5,3,3,0,3,2,0,0,2.25,36,,,,,2,0,33,3,0,0,0,0,1,0,1,Bruce Froemming,M.LaCoss (4-64-W)
7,7,8,Apr 17,False,ATL,"W,4-1",34,32,4,6,1,0,2,4,1,0,9,0,1,0,0,0,0,0,0.287,0.358,0.484,0.842,3,10,R,P.Niekro(63),CIN,1980,Apr 17,9.0,5,1,1,0,1,6,1,0,2.09,33,,,,,0,0,32,1,0,0,0,0,0,0,1,Jerry Dale,F.Pastore (7-78-W)
8,8,9,Apr 18,False,ATL,"L,0-3",32,31,0,5,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0.274,0.341,0.453,0.793,5,11,R,R.Matula(78),CIN,1980,Apr 18,8.0,7,3,3,0,3,3,1,0,2.22,32,,,0.0,0.0,0,0,29,2,0,2,0,0,0,2,2,Fred Brocklander,"C.Leibrandt (4-54-L), D.Bair (5)"
9,9,10,Apr 19,False,ATL,"W,6-1",42,37,6,8,0,0,0,3,5,1,11,0,0,0,3,0,5,0,0.267,0.337,0.425,0.763,9,11,R,D.Alexander(46),CIN,1980,Apr 19,9.0,5,1,1,0,2,5,1,0,2.09,33,,,0.0,0.0,0,1,31,0,0,0,0,0,0,0,2,Paul Runge,"B.Bonham (6-68-W), T.Hume (3)"
