,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 11,False,CAL,"L,2-10",36,34,2,7,1,0,1,2,2,0,4,0,0,0,1,0,2,0,0.206,0.25,0.324,0.574,7,11,R,D.Frost(63),CLE,1980,Apr 11,8.0,15,10,10,0,4,9,3,1,11.25,44,,,3.0,1.0,3,0,38,1,1,0,0,1,0,0,4,Bill Haller,"D.Spillner (99-28-L), M.Paxton (99), M.Stanton (99), V.Cruz (99)"
1,1,2,Apr 12,False,CAL,"W,2-1",38,29,2,5,0,0,0,1,6,1,4,1,2,0,1,2,0,0,0.19,0.292,0.254,0.546,9,9,R,B.Kison(62),CLE,1980,Apr 12,9.0,7,1,1,0,3,7,1,0,5.82,36,,,1.0,0.0,1,0,33,1,0,0,0,0,1,1,2,Russ Goetz,"L.Barker (99-70-W), S.Monge (99-Sv)"
2,2,3,Apr 13,False,CAL,"L,3-8",41,36,3,10,2,0,0,3,4,0,7,0,0,1,1,1,1,0,0.222,0.31,0.283,0.593,11,11,R,D.Aase(49),CLE,1980,Apr 13,8.0,10,8,8,0,6,10,0,1,6.84,39,,,2.0,2.0,3,1,32,3,0,1,0,0,0,0,2,George Maloney,"J.Denny (99-32-L), M.Stanton (1)"
3,3,4,Apr 14,False,TEX,"L,4-7",37,32,4,6,1,0,1,4,5,0,4,0,0,0,0,1,0,0,0.214,0.307,0.29,0.597,6,13,R,D.Medich(43),CLE,1980,Apr 14,8.0,7,7,7,0,7,4,1,0,7.09,37,,,1.0,0.0,1,0,29,3,0,1,1,0,0,1,2,Steve Palermo,"R.Waits (99-33-L), S.Monge (1)"
4,4,5,Apr 15,False,TEX,"L,0-3",33,32,0,5,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0.202,0.284,0.27,0.554,6,13,L,J.Matlack(80),CLE,1980,Apr 15,8.0,8,3,3,0,2,1,0,0,6.37,33,,,1.0,0.0,1,0,29,1,0,0,1,1,0,0,3,Dave Phillips,"B.Owchinko (99-45-L), S.Monge (0), V.Cruz (3)"
5,5,6,Apr 16,False,TEX,"L,7-8",45,33,7,11,3,0,0,7,9,0,2,0,0,3,1,3,0,0,0.224,0.316,0.296,0.612,11,13,R,F.Jenkins(20),CLE,1980,Apr 16,8.2,13,8,7,1,2,6,1,0,6.52,41,,,6.0,4.0,1,0,39,0,0,0,0,0,1,0,4,Lou DiMuro,"L.Barker (3-35), D.Spillner (4-H), S.Monge (0-H), V.Cruz (0-BL)"
6,6,7,Apr 19,True,TOR,"W,8-1",40,30,8,10,2,0,2,8,7,2,4,1,1,1,0,1,0,1,0.239,0.337,0.336,0.673,8,11,R,J.Clancy(41),CLE,1980,Apr 19,9.0,6,1,1,0,0,6,0,0,5.68,32,,,,,0,1,32,1,0,0,0,0,1,1,1,Ted Hendry,R.Waits (4-77-W)
7,7,8,Apr 20,True,TOR,"L,3-5",35,30,3,5,1,0,1,3,5,0,4,0,0,0,0,1,1,0,0.23,0.331,0.332,0.663,5,11,R,D.Lemanczyk(48),CLE,1980,Apr 20,9.0,11,5,5,0,1,7,1,0,5.59,35,,,0.0,0.0,1,3,33,3,0,0,0,1,0,0,2,Larry Barnett,"J.Denny (6-45-L), M.Stanton (6)"
8,8,9,Apr 21,False,MIL,"L,5-7",45,39,5,11,0,0,1,4,4,1,1,0,0,2,1,3,0,1,0.237,0.331,0.336,0.667,7,11,R,L.Sorensen(49),CLE,1980,Apr 21,10.0,13,7,7,0,5,6,1,1,5.68,49,,,5.0,2.0,0,0,41,2,0,2,2,0,0,0,4,Russ Goetz,"B.Owchinko (5-49), M.Stanton (0-H), S.Monge (4-BSv), V.Cruz (4-L)"
9,9,10,Apr 22,False,MIL,"L,4-8",39,34,4,7,0,0,0,4,4,1,4,0,1,0,2,0,0,0,0.234,0.327,0.322,0.649,8,13,L,M.Caldwell(59),CLE,1980,Apr 22,8.0,12,8,7,1,8,3,1,0,5.88,43,,,9.0,5.0,1,0,33,3,1,1,1,1,1,1,4,George Maloney,"L.Barker (5-29-L), M.Paxton (10-BSv), S.Monge (0), V.Cruz (0)"
10,10,11,Apr 23,False,MIL,"W,7-3",41,35,7,11,3,0,1,7,6,1,1,0,0,0,0,1,0,0,0.242,0.336,0.338,0.674,7,9,R,M.Haas(26),CLE,1980,Apr 23,9.0,7,3,2,1,3,5,1,0,5.51,37,,,,,0,1,34,1,0,0,0,0,2,0,1,Vic Voltaggio,D.Spillner (6-65-W)
11,11,12,Apr 25,True,TEX,"L,1-4",40,33,1,9,0,0,0,1,7,1,3,0,0,0,0,1,0,1,0.244,0.341,0.332,0.674,12,14,R,G.Perry(52),CLE,1980,Apr 25,9.0,6,4,3,1,1,9,0,0,5.3,34,,,2.0,0.0,1,0,33,1,0,1,0,0,0,0,2,Bill Kunkel,"R.Waits (5-65-L), V.Cruz (2)"
12,12,13,Apr 26,True,TEX,"W,8-7",39,32,8,13,1,1,1,8,4,0,7,0,0,3,0,1,0,1,0.256,0.349,0.352,0.7,7,12,L,J.Matlack(45),CLE,1980,Apr 26,9.0,9,7,7,0,8,7,1,0,5.43,41,,,7.0,2.0,3,0,32,2,0,1,0,1,0,3,4,Terry Cooney,"J.Denny (5-34), S.Monge (3), V.Cruz (0-W), M.Stanton (4-Sv)"
13,13,14,Apr 27,True,TEX,"W,7-4",40,37,7,13,2,1,0,6,3,1,2,0,0,0,2,2,0,0,0.264,0.352,0.361,0.713,9,9,R,F.Jenkins(41),CLE,1980,Apr 27,9.0,15,4,4,0,4,1,0,0,5.33,44,,,2.0,1.0,1,1,40,0,0,0,0,0,1,2,2,Ken Kaiser,"L.Barker (4-45-W), M.Stanton (0)"
14,14,15,Apr 29,True,MIL,"L,1-14",38,33,1,10,0,0,0,1,3,0,2,1,0,1,0,3,0,0,0.267,0.353,0.357,0.71,10,12,L,B.Travers(51),CLE,1980,Apr 29,9.0,13,14,11,3,6,6,7,1,5.72,49,,,0.0,0.0,1,0,42,2,0,0,0,0,2,0,4,Richard Shulock,"B.Owchinko (7-24-L), W.Garland (99), M.Paxton (6), S.Monge (2)"
