,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 5,False,NYM,"L,0-3",32,30,0,4,0,0,0,0,1,0,4,1,0,0,0,0,1,0,0.133,0.188,0.133,0.321,5,12,R,D.Gooden(82),COL,1993,Apr 5,8.0,8,3,3,0,8,5,1,0,3.38,40,159.0,89.0,0.0,0.0,3,0,32,0,0,1,0,0,0,0,3,Harry Wendelstedt,"D.Nied (99-44-L), B.Henry (99), G.Wayne (99)"
1,1,2,Apr 7,False,NYM,"L,1-6",30,29,1,2,0,0,1,1,1,0,2,0,0,0,3,2,0,1,0.102,0.145,0.153,0.298,2,15,R,B.Saberhagen(74),COL,1993,Apr 7,8.0,10,6,5,1,6,6,0,1,4.5,41,156.0,88.0,2.0,2.0,1,0,32,2,0,1,2,0,0,1,5,Randy Marsh,"B.Ruffin (99-22-L), S.Aldred (99), W.Blair (99), J.Parrett (99), D.Holmes (99)"
2,2,3,Apr 9,True,MON,"W,11-4",44,39,11,18,2,0,2,10,3,0,3,0,1,1,3,1,3,0,0.245,0.286,0.357,0.643,9,15,R,K.Bottenfield(21),COL,1993,Apr 9,9.0,10,4,4,0,1,1,1,1,4.32,38,119.0,76.0,0.0,0.0,0,0,35,2,0,0,0,1,1,1,3,Mike Winters,"B.Smith (99-66-W), W.Blair (1), S.Reed (99)"
3,3,4,Apr 10,True,MON,"W,9-5",34,30,9,7,0,2,1,8,2,0,6,1,1,0,2,2,3,0,0.242,0.29,0.383,0.673,1,12,R,D.Martínez(48),COL,1993,Apr 10,9.0,12,5,5,0,3,5,0,0,4.5,41,135.0,86.0,0.0,0.0,4,0,36,1,0,0,2,0,1,0,2,Bruce Froemming,"D.Nied (4-43-W), J.Parrett (2)"
4,4,5,Apr 11,True,MON,"L,9-19",45,41,9,16,5,0,0,8,3,0,5,0,0,1,1,1,1,0,0.278,0.322,0.414,0.737,9,19,R,J.Jones(37),COL,1993,Apr 11,9.0,22,19,15,4,6,5,4,1,6.7,58,214.0,134.0,1.0,1.0,1,1,49,4,0,0,1,1,3,0,6,Brian Gorman,"B.Henry (5-32-L), W.Blair (1), S.Reed (1), S.Aldred (3), D.Holmes (3), G.Wayne (5)"
5,5,6,Apr 13,True,NYM,"L,4-8",38,33,4,11,2,0,1,4,2,1,4,1,1,1,0,1,1,0,0.287,0.332,0.426,0.758,7,15,R,B.Saberhagen(43),COL,1993,Apr 13,9.0,12,8,8,0,12,6,0,0,6.92,50,197.0,108.0,5.0,5.0,1,0,38,2,1,0,0,0,1,1,4,Bill Hohn,"A.Ashby (99-45), J.Parrett (2-H), D.Holmes (1-BL), W.Blair (1)"
6,6,7,Apr 14,True,NYM,"L,3-6",34,31,3,7,0,1,0,3,3,0,2,0,0,0,0,1,0,2,0.279,0.327,0.408,0.734,4,14,L,S.Fernandez(63),COL,1993,Apr 14,9.0,12,6,4,2,6,4,0,1,6.49,47,148.0,81.0,5.0,1.0,1,0,35,2,1,2,3,2,2,1,4,Ron Barnes,"B.Smith (4-36-L), S.Aldred (2), S.Reed (2), G.Wayne (2)"
7,7,8,Apr 15,True,NYM,"W,5-3",32,26,5,4,1,0,0,5,4,0,2,0,2,0,0,0,2,0,0.266,0.32,0.386,0.707,3,9,R,D.Gooden(47),COL,1993,Apr 15,9.0,6,3,2,1,0,6,0,0,5.91,34,114.0,83.0,,,0,0,32,4,0,0,1,1,1,0,1,John McSherry,D.Nied (4-71-W)
8,8,9,Apr 16,False,MON,"L,2-3",34,32,2,6,1,0,2,2,2,0,2,0,0,0,0,0,0,0,0.258,0.311,0.388,0.7,5,15,R,K.Bottenfield(63),COL,1993,Apr 16,8.0,5,3,3,0,4,2,1,0,5.65,32,122.0,67.0,1.0,0.0,0,1,28,1,0,0,0,0,0,0,3,Joe West,"B.Henry (4-49-L), W.Blair (2), J.Parrett (2)"
9,9,10,Apr 17,False,MON,"W,9-1",43,40,9,14,3,0,2,7,1,0,4,1,0,1,1,1,2,0,0.269,0.319,0.411,0.729,7,11,R,D.Martínez(31),COL,1993,Apr 17,9.0,10,1,0,1,2,7,0,0,5.07,38,147.0,91.0,2.0,0.0,0,1,36,2,0,0,0,0,1,0,3,Charlie Williams,"B.Ruffin (9-57-W), J.Parrett (0), D.Holmes (3)"
10,10,11,Apr 18,False,MON,"L,2-4",35,32,2,4,1,0,0,2,3,1,5,0,0,0,2,0,3,1,0.256,0.308,0.388,0.697,6,16,R,K.Hill(75),COL,1993,Apr 18,8.0,9,4,4,0,8,5,0,1,5.02,41,167.0,92.0,2.0,2.0,1,0,27,2,1,1,4,1,0,0,5,Gary Darling,"A.Ashby (4-54), W.Blair (1-H), G.Wayne (3-BL), J.Parrett (0), S.Aldred (3)"
11,11,12,Apr 20,False,STL,"L,0-5",31,31,0,5,0,0,0,0,0,0,8,0,0,0,0,1,2,0,0.249,0.297,0.371,0.668,4,14,R,R.Arocha(65),COL,1993,Apr 20,8.0,9,5,5,0,2,5,0,0,5.07,36,130.0,80.0,0.0,0.0,1,0,33,0,0,0,0,1,0,0,4,Frank Pulli,"B.Smith (5-27-L), W.Blair (1), G.Wayne (1), S.Reed (5)"
12,12,13,Apr 21,False,STL,"W,11-2",48,37,11,14,4,1,1,11,6,1,4,1,2,2,0,0,3,0,0.26,0.313,0.392,0.705,10,13,L,J.Magrane(33),COL,1993,Apr 21,9.0,6,2,2,0,4,6,1,0,4.82,37,119.0,65.0,0.0,0.0,1,0,33,2,0,0,0,0,0,0,2,Joe West,"D.Nied (5-64-W), J.Parrett (2)"
