,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 10,False,KCR,"W,5-1",36,33,5,9,1,2,2,5,3,0,4,0,0,0,1,2,1,1,0.273,0.333,0.606,0.939,4,10,R,D.Leonard(48),DET,1980,Apr 10,9.0,3,1,0,1,3,5,0,0,0.0,34,,,,,1,0,31,2,0,0,0,0,1,0,1,Dave Phillips,J.Morris (99-81-W)
1,1,2,Apr 11,False,KCR,"L,0-4",34,31,0,6,0,0,0,0,3,0,5,0,0,0,0,1,1,0,0.234,0.3,0.406,0.706,7,9,L,L.Gura(77),DET,1980,Apr 11,8.0,7,4,4,0,2,4,0,0,2.12,31,,,1.0,1.0,0,1,29,2,0,1,0,0,0,0,2,Lou DiMuro,"D.Schatzeder (99-50-L), P.Underwood (99)"
2,2,3,Apr 12,False,KCR,"L,6-8",42,37,6,10,2,1,0,6,5,0,7,0,0,0,0,1,2,0,0.248,0.321,0.396,0.717,9,11,R,R.Gale(39),DET,1980,Apr 12,8.0,15,8,8,0,1,4,0,0,4.32,38,,,0.0,0.0,3,0,36,5,3,0,0,1,0,2,3,Al Clark,"M.Wilcox (99-16), J.Hiller (99), P.Underwood (0-L)"
3,3,4,Apr 13,False,KCR,"L,2-3",35,32,2,10,2,0,1,2,2,0,1,0,1,0,0,2,2,1,0.263,0.329,0.414,0.742,6,15,L,P.Splittorff(60),DET,1980,Apr 13,8.0,8,3,3,0,5,2,0,0,4.09,35,,,0.0,0.0,1,0,30,0,0,2,0,0,0,1,2,Al Clark,"D.Rozema (99-46-L), A.López (99)"
4,4,5,Apr 14,False,BOS,"L,1-3",35,32,1,5,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0.242,0.309,0.364,0.673,7,11,R,D.Eckersley(65),DET,1980,Apr 14,8.0,6,3,3,0,2,2,1,0,3.95,29,,,0.0,0.0,0,0,26,0,1,0,0,1,0,2,2,Marty Springstead,"J.Morris (3-51-L), J.Billingham (99)"
5,5,6,Apr 16,False,BOS,"L,9-10",43,34,9,9,1,3,1,8,6,0,2,2,0,1,1,1,0,0,0.246,0.326,0.397,0.723,7,15,L,B.Hurst(28),DET,1980,Apr 16,8.0,11,10,10,0,8,5,1,0,5.14,43,,,7.0,3.0,0,0,35,4,0,1,0,0,0,0,5,Joe Brinkman,"D.Schatzeder (4-21-L), D.Tobik (99), J.Billingham (1), J.Hiller (3), A.López (2)"
6,6,7,Apr 17,False,BOS,"L,4-5",48,40,4,10,3,0,0,3,6,0,5,0,2,0,0,1,0,0,0.247,0.33,0.385,0.715,11,10,R,M.Torrez(42),DET,1980,Apr 17,10.0,8,5,4,1,5,8,1,1,4.88,44,,,0.0,0.0,0,1,38,2,1,0,0,0,2,0,3,Nick Bremigan,"M.Wilcox (4-47), P.Underwood (4), A.López (0-L)"
7,7,8,Apr 18,True,KCR,"L,6-9",48,45,6,14,1,1,0,6,2,0,8,0,0,1,0,0,1,1,0.257,0.33,0.384,0.714,9,12,L,P.Splittorff(26),DET,1980,Apr 18,11.0,15,9,9,0,5,3,0,0,5.27,52,,,4.0,2.0,0,0,44,3,1,2,1,2,0,1,5,George Maloney,"D.Rozema (4-40), J.Hiller (1), P.Underwood (0), J.Billingham (1-BSv), A.López (0-L)"
8,8,9,Apr 19,True,KCR,"W,8-6",35,32,8,10,1,0,3,7,2,0,6,0,0,1,0,0,1,1,0.263,0.331,0.408,0.74,3,11,R,D.Leonard(42),DET,1980,Apr 19,9.0,7,6,6,0,4,1,2,0,5.35,37,,,,,0,1,33,3,0,0,0,0,0,0,1,Vic Voltaggio,J.Morris (4-46-W)
9,9,10,Apr 20,True,KCR,"L,6-9",40,34,6,10,1,0,0,5,5,0,5,0,0,1,0,1,0,1,0.266,0.336,0.4,0.736,7,11,L,L.Gura(20),DET,1980,Apr 20,9.0,11,9,8,1,4,7,2,0,5.62,42,,,2.0,1.0,2,0,37,5,0,1,0,1,0,0,3,Bill Haller,"D.Schatzeder (3-17-L), D.Tobik (3), J.Billingham (1)"
