,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 10,True,LAD,"W,3-2",29,28,3,6,0,1,2,3,1,0,4,0,0,0,1,1,0,0,0.214,0.241,0.5,0.741,2,10,R,B.Hooton(37),HOU,1980,Apr 10,9.0,2,2,1,1,0,13,0,0,1.0,30,,,0.0,0.0,1,0,29,1,0,0,0,1,1,0,2,Bill Williams,"J.Richard (99-85-W), J.Sambito (99-Sv)"
1,1,2,Apr 11,True,LAD,"W,10-6",37,34,10,13,2,0,1,9,3,1,3,0,0,0,0,2,3,1,0.306,0.348,0.516,0.865,3,17,R,R.Sutcliffe(38),HOU,1980,Apr 11,9.0,9,6,1,5,6,7,0,0,1.0,43,,,0.0,0.0,0,1,36,1,0,0,0,1,3,1,4,Paul Pryor,"J.Niekro (99-42), J.Andújar (99), D.Smith (99-W), F.LaCorte (99)"
2,2,3,Apr 12,True,LAD,"L,5-6",71,62,5,13,3,1,1,5,7,3,6,0,2,0,1,0,2,0,0.258,0.319,0.427,0.746,15,18,R,D.Sutton(38),HOU,1980,Apr 12,17.0,15,6,6,0,9,8,2,0,2.06,72,,,3.0,0.0,2,0,62,1,0,0,1,0,0,2,5,John McSherry,"N.Ryan (99-42), V.Ruhle (99-H), J.Sambito (1-BSv), F.LaCorte (0), D.Smith (0-L)"
3,3,4,Apr 13,True,LAD,"W,4-2",38,33,4,11,2,0,0,4,4,0,4,0,1,0,0,0,1,1,0.274,0.337,0.42,0.758,10,10,R,D.Goltz(40),HOU,1980,Apr 13,9.0,7,2,2,0,3,4,0,1,2.05,36,,,2.0,0.0,0,0,32,2,0,0,0,0,0,1,2,Steve Fields,"K.Forsch (99-59-W), F.LaCorte (0-Sv)"
4,4,5,Apr 14,True,ATL,"W,5-4",42,33,5,12,2,0,0,5,5,3,8,1,1,2,0,0,3,1,0.289,0.357,0.421,0.778,12,12,R,D.Alexander(40),HOU,1980,Apr 14,9.0,8,4,3,1,7,10,0,0,2.21,41,,,1.0,1.0,1,0,34,2,0,0,0,0,1,1,3,Doug Harvey,"J.Richard (3-57), V.Ruhle (1-H), J.Sambito (1-BW)"
5,5,6,Apr 15,True,ATL,"W,6-2",38,34,6,10,3,0,0,6,2,0,6,0,2,0,1,0,2,0,0.29,0.353,0.415,0.769,8,10,L,L.McWilliams(22),HOU,1980,Apr 15,9.0,6,2,2,0,0,6,0,0,2.18,31,,,,,0,0,31,1,0,0,0,0,0,2,1,Andy Olsen,J.Niekro (3-73-W)
6,6,7,Apr 17,False,LAD,"L,4-6",37,31,4,6,0,0,1,4,6,1,8,0,0,0,0,1,7,1,0.278,0.35,0.4,0.75,6,13,R,D.Sutton(52),HOU,1980,Apr 17,8.0,12,6,6,0,3,6,1,0,2.7,36,,,1.0,0.0,0,3,32,3,1,0,1,0,0,0,3,Lanny Harris,"N.Ryan (4-42), D.Smith (4-L), F.LaCorte (3)"
7,7,8,Apr 18,False,LAD,"W,7-4",46,36,7,11,1,0,0,5,7,2,7,0,2,1,1,0,0,0,0.282,0.358,0.392,0.749,12,11,R,D.Goltz(40),HOU,1980,Apr 18,9.0,14,4,4,0,0,7,1,0,2.85,41,,,0.0,0.0,0,0,40,0,0,0,0,1,1,0,2,Harry Wendelstedt,"K.Forsch (4-45-W), J.Andújar (6-Sv)"
8,8,9,Apr 19,False,LAD,"W,2-0",32,28,2,2,0,0,0,2,2,0,7,0,1,1,0,0,0,0,0.263,0.338,0.364,0.702,3,9,R,B.Welch(73),HOU,1980,Apr 19,9.0,1,0,0,0,3,12,0,0,2.56,32,,,,,1,0,28,0,0,0,1,0,1,0,1,Frank Pulli,J.Richard (4-94-W)
9,9,10,Apr 20,False,LAD,"L,2-4",37,32,2,7,2,0,0,2,3,0,3,1,0,1,0,0,1,0,0.259,0.334,0.356,0.69,8,11,R,R.Sutcliffe(53),HOU,1980,Apr 20,8.0,5,4,2,2,3,3,0,1,2.53,33,,,,,3,0,25,1,1,2,2,2,1,1,1,Jerry Crawford,J.Niekro (4-60-L)
10,10,11,Apr 21,True,CIN,"L,5-6",42,35,5,10,1,0,0,3,7,0,2,0,0,0,1,1,0,1,0.262,0.341,0.352,0.693,10,18,R,M.LaCoss(40),HOU,1980,Apr 21,9.0,12,6,6,0,3,7,1,0,2.83,42,,,2.0,2.0,1,0,38,1,1,0,0,1,0,0,6,Bruce Froemming,"V.Ruhle (6-27-L), R.Niemann (99), J.Andújar (2), D.Smith (3), J.Sambito (6), F.LaCorte (3)"
11,11,12,Apr 22,True,CIN,"W,8-0",40,33,8,12,2,2,0,8,4,1,7,0,1,2,0,0,0,0,0.27,0.347,0.368,0.714,8,13,R,F.Pastore(23),HOU,1980,Apr 22,9.0,6,0,0,0,6,7,0,0,2.61,38,,,0.0,0.0,0,0,32,1,0,0,0,0,0,1,2,Terry Tata,"N.Ryan (4-66-W), D.Smith (0)"
