,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 10,True,DET,"L,1-5",34,31,1,3,2,0,0,1,3,0,5,0,0,0,1,0,1,0,0.097,0.176,0.161,0.338,6,9,R,J.Morris(81),KCR,1980,Apr 10,9.0,9,5,4,1,3,4,2,0,4.0,36,,,2.0,0.0,1,1,33,1,2,0,0,0,1,2,2,Dave Phillips,"D.Leonard (99-48-L), G.Christenson (99)"
1,1,2,Apr 11,True,DET,"W,4-0",31,29,4,7,2,0,0,4,2,1,4,0,0,0,0,0,0,1,0.167,0.231,0.233,0.464,3,10,L,D.Schatzeder(50),KCR,1980,Apr 11,9.0,6,0,0,0,3,5,0,0,2.0,34,,,,,1,0,31,0,0,0,0,0,0,1,1,Lou DiMuro,L.Gura (99-77-W)
2,2,3,Apr 12,True,DET,"W,8-6",38,36,8,15,5,3,0,7,1,0,4,0,0,1,0,2,3,0,0.26,0.301,0.417,0.718,6,12,R,M.Wilcox(16),KCR,1980,Apr 12,9.0,10,6,5,1,5,7,0,0,3.0,42,,,1.0,1.0,2,0,37,2,1,0,0,0,0,1,2,Al Clark,"R.Gale (99-39), M.Pattin (99-W)"
3,3,4,Apr 13,True,DET,"W,3-2",35,30,3,8,0,0,0,3,5,2,2,0,0,0,0,1,1,0,0.262,0.319,0.381,0.7,8,10,R,D.Rozema(46),KCR,1980,Apr 13,9.0,10,2,2,0,2,1,1,0,2.75,35,,,2.0,0.0,2,1,32,2,0,0,1,0,0,2,3,Al Clark,"P.Splittorff (99-60-W), D.Quisenberry (99-H), G.Christenson (2-Sv)"
4,4,5,Apr 15,False,BAL,"L,2-12",34,34,2,6,0,0,1,2,0,0,6,0,0,0,1,0,0,0,0.244,0.291,0.356,0.647,5,9,R,J.Palmer(67),KCR,1980,Apr 15,8.0,12,12,11,1,7,6,2,0,4.5,42,,,2.0,0.0,0,0,34,3,0,0,0,1,0,1,3,Mike Reilly,"D.Leonard (4-25-L), S.Busby (99), R.Martin (99)"
5,5,6,Apr 16,False,BAL,"L,1-2",34,33,1,7,0,0,0,1,1,0,4,0,0,0,0,1,1,0,0.238,0.282,0.332,0.613,6,9,L,M.Flanagan(72),KCR,1980,Apr 16,8.0,7,2,2,0,4,1,1,0,4.15,34,,,,,0,1,29,0,0,0,1,0,0,0,1,Jerry Neudecker,L.Gura (4-57-L)
6,6,7,Apr 17,False,BAL,"L,2-5",36,33,2,8,2,1,0,2,2,0,4,1,0,0,0,1,0,1,0.239,0.285,0.336,0.621,7,10,R,S.Stone(56),KCR,1980,Apr 17,8.0,8,5,5,0,4,2,2,0,4.35,34,,,1.0,0.0,1,1,30,0,1,0,0,0,0,0,2,Bill Deegan,"R.Gale (4-40-L), G.Christenson (3)"
7,7,8,Apr 18,False,DET,"W,9-6",52,44,9,15,3,1,0,9,5,2,3,0,1,2,0,1,0,0,0.256,0.304,0.356,0.659,10,13,R,D.Rozema(40),KCR,1980,Apr 18,11.0,14,6,6,0,2,8,0,0,4.44,48,,,2.0,0.0,1,1,45,1,1,0,0,1,0,0,4,George Maloney,"P.Splittorff (4-26), M.Pattin (5), G.Christenson (0), D.Quisenberry (4-W)"
8,8,9,Apr 19,False,DET,"L,6-8",37,33,6,7,3,0,2,6,4,0,1,0,0,0,0,0,0,1,0.251,0.303,0.37,0.673,4,10,R,J.Morris(46),KCR,1980,Apr 19,8.0,10,8,8,0,2,6,3,0,4.9,35,,,2.0,2.0,1,1,32,1,0,0,0,1,0,0,3,Vic Voltaggio,"D.Leonard (3-42), R.Martin (3-L), G.Christenson (0-BSv)"
9,9,10,Apr 20,False,DET,"W,9-6",42,37,9,11,5,0,2,9,4,1,7,0,0,1,0,0,2,0,0.256,0.309,0.394,0.703,6,10,L,D.Schatzeder(17),KCR,1980,Apr 20,9.0,10,6,5,1,5,5,0,0,4.91,40,,,4.0,1.0,0,1,34,1,0,0,0,1,0,1,3,Bill Haller,"L.Gura (3-20), R.Martin (0-W), D.Quisenberry (1-Sv)"
10,10,11,Apr 21,True,TOR,"L,1-7",34,31,1,5,1,0,0,1,3,0,3,0,0,0,0,0,3,0,0.248,0.303,0.377,0.68,6,11,R,D.Stieb(73),KCR,1980,Apr 21,9.0,8,7,3,4,5,4,0,0,4.73,40,,,4.0,3.0,1,0,34,4,0,1,1,0,1,0,3,Jim McKean,"R.Gale (3-51-L), D.Quisenberry (0), S.Busby (5)"
11,11,12,Apr 22,True,TOR,"W,7-2",36,34,7,12,3,0,0,7,2,0,2,0,0,0,1,2,1,0,0.257,0.31,0.383,0.693,5,13,L,P.Mirabella(43),KCR,1980,Apr 22,9.0,7,2,2,0,0,1,0,0,4.5,34,,,0.0,0.0,0,0,34,1,0,0,0,0,1,1,2,Ted Hendry,"P.Splittorff (3-61-W), M.Pattin (3)"
12,12,13,Apr 23,True,TOR,"W,7-4",40,36,7,11,5,1,0,7,4,2,1,0,0,0,0,0,2,0,0.261,0.315,0.392,0.708,9,14,R,J.Clancy(47),KCR,1980,Apr 23,9.0,7,4,4,0,2,8,1,0,4.46,35,,,0.0,0.0,1,0,33,2,1,0,0,0,0,1,3,Larry Barnett,"D.Leonard (3-51), G.Christenson (3-W), D.Quisenberry (1-Sv)"
