,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 5,True,TEX,"W,3-2",30,29,3,6,2,0,1,3,1,0,0,0,0,0,0,1,0,0,0.207,0.233,0.379,0.613,3,10,R,R.Drese(52),LAA,2005,Apr 5,9.0,7,2,2,0,6,8,1,0,2.0,38,146.0,87.0,1.0,0.0,0,0,32,2,0,0,0,0,0,1,3,Tim Welke,"B.Colón (99-59-W), S.Shields (99-H), F.Rodríguez (99-Sv)"
1,1,2,Apr 6,True,TEX,"L,2-3",49,41,2,7,4,0,0,2,8,0,3,0,0,0,0,2,1,0,0.186,0.278,0.314,0.593,11,13,L,K.Rogers(57),LAA,2005,Apr 6,12.0,13,3,3,0,0,8,2,1,2.14,49,174.0,122.0,0.0,0.0,0,0,47,2,0,0,1,0,1,1,6,Brian O'Nora,"J.Washburn (99-63), S.Shields (0-H), B.Donnelly (99-BSv), E.Yan (99), F.Rodríguez (0), B.Prinz (99-L)"
2,2,3,Apr 7,True,TEX,"W,7-6",41,37,7,12,3,0,1,7,4,0,6,0,0,0,0,0,0,0,0.234,0.317,0.374,0.69,9,10,R,C.Young(38),LAA,2005,Apr 7,9.0,6,6,6,0,7,10,1,0,3.3,40,175.0,110.0,2.0,0.0,0,0,33,2,0,0,0,0,0,0,4,Gary Cederstrom,"J.Lackey (99-42), E.Yan (0), B.Donnelly (0-H), S.Shields (0-BW)"
3,3,4,Apr 8,True,KCR,"L,2-6",32,32,2,5,1,0,0,2,0,0,8,0,0,0,0,0,1,0,0.216,0.283,0.331,0.614,3,10,R,D.Bautista(80),LAA,2005,Apr 8,9.0,10,6,4,2,1,4,0,1,3.46,40,134.0,89.0,0.0,0.0,1,0,37,3,1,0,0,1,2,0,2,Doug Eddings,"P.Byrd (99-43-L), J.Woods (99)"
4,4,5,Apr 9,True,KCR,"W,8-3",37,34,8,10,1,1,1,8,2,0,5,0,0,1,0,0,2,0,0.231,0.291,0.358,0.649,5,9,R,J.Lima(25),LAA,2005,Apr 9,9.0,3,3,3,0,7,6,1,1,3.38,38,154.0,88.0,0.0,0.0,0,0,29,1,0,0,1,0,0,0,3,Gerry Davis,"K.Gregg (99-49-W), E.Yan (1), B.Prinz (2)"
5,5,6,Apr 10,True,KCR,"L,3-8",35,35,3,6,0,2,1,3,0,0,8,0,0,0,2,0,0,0,0.221,0.272,0.361,0.633,5,11,L,B.Anderson(55),LAA,2005,Apr 10,9.0,17,8,8,0,4,6,2,0,4.11,44,183.0,117.0,2.0,1.0,2,0,40,4,0,0,0,0,0,2,4,Bill Hohn,"B.Colón (4-28-L), J.Woods (1), B.Prinz (0), B.Donnelly (2)"
6,6,7,Apr 11,False,TEX,"W,7-6",45,41,7,13,3,0,2,7,3,1,4,0,0,1,0,1,0,0,0.237,0.286,0.39,0.676,8,12,L,K.Rogers(49),LAA,2005,Apr 11,10.0,14,6,6,0,4,6,3,0,4.3,45,169.0,104.0,2.0,0.0,0,0,41,1,1,1,0,0,0,3,4,Phil Cuzzi,"J.Washburn (4-18), C.Bootcheck (99), S.Shields (3-W), F.Rodríguez (4-Sv)"
7,7,8,Apr 12,False,TEX,"W,13-8",49,39,13,14,5,1,0,11,8,1,4,0,0,2,0,0,2,1,0.253,0.311,0.41,0.721,9,12,R,C.Young(22),LAA,2005,Apr 12,9.0,13,8,8,0,5,11,2,0,4.74,45,187.0,121.0,5.0,0.0,0,0,40,3,0,0,0,0,0,0,4,Ed Rapuano,"J.Lackey (4-45-W), B.Donnelly (1), E.Yan (2), S.Shields (0-Sv)"
8,8,9,Apr 13,False,TEX,"L,5-7",38,36,5,9,3,1,1,5,2,0,9,0,0,0,0,0,0,0,0.253,0.309,0.417,0.726,6,10,R,C.Park(57),LAA,2005,Apr 13,8.0,11,7,7,0,3,4,1,0,5.04,38,131.0,86.0,1.0,0.0,1,0,35,1,1,0,0,0,0,0,3,Lance Barksdale,"P.Byrd (4-32-L), K.Gregg (3), J.Woods (2)"
9,9,10,Apr 15,False,OAK,"W,6-1",40,35,6,8,1,0,1,5,2,0,7,3,0,0,0,0,0,0,0.251,0.311,0.409,0.72,7,10,L,B.Zito(71),LAA,2005,Apr 15,9.0,2,1,1,0,0,7,0,0,4.65,29,124.0,84.0,0.0,0.0,0,0,29,1,0,0,0,0,0,0,3,Tim Tschida,"B.Colón (4-74-W), S.Shields (2-H), F.Rodríguez (3)"
