,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 10,False,HOU,"L,2-3",30,29,2,2,1,0,0,2,0,0,13,0,0,1,1,0,1,0,0.069,0.067,0.103,0.17,1,15,R,J.Richard(85),LAD,1980,Apr 10,8.0,6,3,3,0,1,4,2,0,3.38,29,,,0.0,0.0,0,0,28,0,1,0,0,0,1,1,3,Bill Williams,"B.Hooton (99-37-L), J.Reuss (99), B.Castillo (99)"
1,1,2,Apr 11,False,HOU,"L,6-10",43,36,6,9,1,0,0,6,6,0,7,0,0,1,3,1,0,1,0.169,0.233,0.2,0.433,10,11,R,J.Niekro(42),LAD,1980,Apr 11,8.0,13,10,10,0,3,3,1,0,7.31,37,,,4.0,3.0,3,1,34,2,0,1,0,0,0,2,3,Paul Pryor,"R.Sutcliffe (99-38), D.Stanhouse (99-BL), S.Howe (99)"
2,2,3,Apr 12,False,HOU,"W,6-5",72,62,6,15,1,0,2,6,9,0,8,0,1,0,0,2,2,0,0.205,0.285,0.276,0.56,15,23,R,N.Ryan(42),LAD,1980,Apr 12,17.0,13,5,4,1,7,6,1,0,4.64,71,,,0.0,0.0,2,0,62,3,1,3,2,0,1,0,6,John McSherry,"D.Sutton (99-38), B.Castillo (1), C.Hough (99), D.Stanhouse (0), S.Howe (0-W), B.Hooton (1-Sv)"
3,3,4,Apr 13,False,HOU,"L,2-4",36,32,2,7,2,0,0,2,3,0,4,1,0,0,0,1,0,0,0.208,0.289,0.277,0.566,7,13,R,K.Forsch(59),LAD,1980,Apr 13,8.0,11,4,4,0,4,4,0,0,4.61,38,,,0.0,0.0,1,1,33,2,0,0,1,0,0,0,2,Steve Fields,"D.Goltz (99-40-L), C.Hough (0)"
4,4,5,Apr 14,False,SDP,"L,1-2",33,32,1,7,0,0,0,1,0,0,5,0,0,1,0,1,0,0,0.209,0.277,0.267,0.544,5,11,L,R.Jones(69),LAD,1980,Apr 14,8.0,4,2,2,0,6,1,0,0,4.22,33,,,0.0,0.0,2,0,26,1,0,1,0,1,1,1,2,Harry Wendelstedt,"B.Welch (99-67), B.Castillo (1-L)"
5,5,6,Apr 15,False,SDP,"L,5-9",39,35,5,10,1,1,1,5,3,0,2,0,0,1,1,2,2,0,0.221,0.286,0.296,0.582,7,14,R,R.Wise(33),LAD,1980,Apr 15,8.0,11,9,8,1,5,6,1,0,4.89,38,,,2.0,1.0,6,0,30,2,0,0,1,2,0,2,3,Frank Pulli,"R.Sutcliffe (3-20-L), C.Hough (1), B.Castillo (0)"
6,6,7,Apr 16,False,SDP,"W,10-4",51,41,10,14,2,1,2,9,10,1,6,0,0,0,2,2,0,0,0.24,0.317,0.341,0.658,14,13,L,J.Curtis(31),LAD,1980,Apr 16,9.0,6,4,4,0,5,4,1,0,4.77,37,,,0.0,0.0,0,0,31,0,0,0,1,0,0,1,2,Ed Montague,"B.Hooton (3-63-W), D.Stanhouse (3)"
7,7,8,Apr 17,True,HOU,"W,6-4",36,32,6,12,3,1,1,6,3,0,6,0,1,0,0,0,0,3,0.254,0.328,0.371,0.7,6,12,R,N.Ryan(42),LAD,1980,Apr 17,9.0,6,4,4,0,6,8,1,0,4.68,37,,,0.0,0.0,7,1,31,0,0,1,0,0,0,1,2,Lanny Harris,"D.Sutton (4-52), J.Reuss (6-BW)"
8,8,9,Apr 18,True,HOU,"L,4-7",41,40,4,14,0,0,1,3,0,0,7,0,0,1,1,0,0,0,0.265,0.33,0.378,0.707,10,14,R,K.Forsch(45),LAD,1980,Apr 18,9.0,11,7,6,1,7,7,0,0,4.82,46,,,2.0,1.0,0,0,36,1,0,2,2,1,1,0,4,Harry Wendelstedt,"D.Goltz (4-40-L), B.Castillo (2), S.Howe (5), C.Hough (2)"
9,9,10,Apr 19,True,HOU,"L,0-2",32,28,0,1,0,0,0,0,3,0,12,0,1,0,1,0,1,0,0.248,0.315,0.351,0.666,5,13,R,J.Richard(94),LAD,1980,Apr 19,9.0,2,2,2,0,2,7,0,0,4.55,32,,,0.0,0.0,0,0,28,0,0,0,1,1,0,0,2,Frank Pulli,"B.Welch (4-73-L), S.Howe (0)"
