,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 4,True,STL,"L,1-4",31,30,1,4,1,0,0,1,0,0,6,1,0,0,0,1,0,0,0.133,0.161,0.167,0.328,3,16,R,K.Lohse(73),MIA,2012,Apr 4,9.0,13,4,4,0,3,5,0,0,4.0,41,123.0,76.0,2.0,1.0,1,1,37,3,0,2,1,0,0,0,5,Ed Rapuano,"J.Johnson (99-42-L), M.Dunn (99), R.Webb (99), R.Choate (99), S.Cishek (99)"
1,1,2,Apr 5,False,CIN,"L,0-4",31,29,0,3,1,0,0,0,2,0,8,0,0,0,1,0,0,1,0.119,0.161,0.153,0.314,4,12,R,J.Cueto(73),MIA,2012,Apr 5,8.0,10,4,4,0,4,5,1,1,4.24,37,158.0,97.0,0.0,0.0,0,0,30,4,0,2,1,1,0,1,3,Tim McClelland,"M.Buehrle (99-53-L), S.Cishek (0), E.Mujica (99)"
2,2,3,Apr 7,False,CIN,"W,8-3",43,38,8,12,3,1,3,8,5,0,9,0,0,0,0,1,3,0,0.196,0.257,0.361,0.618,8,11,R,M.Latos(36),MIA,2012,Apr 7,9.0,6,3,3,0,0,6,2,0,3.81,33,110.0,75.0,0.0,0.0,0,0,32,0,1,0,1,0,1,1,2,Ted Barrett,"R.Nolasco (99-63-W), H.Bell (99)"
3,3,4,Apr 8,False,CIN,"L,5-6",38,36,5,11,1,1,0,5,0,0,7,1,0,1,0,1,2,0,0.226,0.273,0.368,0.641,6,15,R,B.Arroyo(39),MIA,2012,Apr 8,8.1,8,6,6,0,3,7,2,0,4.46,36,140.0,90.0,0.0,0.0,0,0,33,1,0,0,0,0,0,0,4,Brian Runge,"C.Zambrano (99-52), S.Cishek (2-H), E.Mujica (2-H), H.Bell (0-BL)"
4,4,5,Apr 9,False,PHI,"W,6-2",35,35,6,11,3,0,3,6,0,0,11,0,0,0,0,2,2,1,0.244,0.281,0.429,0.709,2,12,L,C.Hamels(47),MIA,2012,Apr 9,9.0,6,2,2,0,1,8,0,0,3.95,34,119.0,83.0,1.0,0.0,1,0,33,1,0,0,0,0,0,0,4,Chris Guccione,"A.Sánchez (99-56-W), R.Choate (4-H), E.Mujica (0-H), S.Cishek (0)"
5,5,6,Apr 11,False,PHI,"L,1-7",33,32,1,5,2,0,0,1,1,0,3,0,0,0,0,0,0,0,0.23,0.265,0.395,0.66,5,12,R,R.Halladay(65),MIA,2012,Apr 11,8.0,14,7,7,0,1,4,1,0,4.56,39,145.0,93.0,2.0,0.0,3,0,38,2,0,1,0,0,0,0,3,Tim Tschida,"J.Johnson (6-15-L), C.Gaudin (99), R.Webb (6)"
6,6,7,Apr 12,False,PHI,"L,1-3",35,33,1,6,2,0,0,1,2,0,4,0,0,0,1,1,0,0,0.223,0.26,0.373,0.634,7,13,R,J.Blanton(69),MIA,2012,Apr 12,8.0,8,3,3,0,0,3,2,0,4.4,31,106.0,75.0,2.0,0.0,0,0,31,1,0,0,0,0,0,0,4,Jeff Nelson,"M.Buehrle (6-47-L), R.Choate (2), S.Cishek (2), E.Mujica (2)"
7,7,8,Apr 13,True,HOU,"W,5-4",43,39,5,12,2,0,0,3,4,0,5,0,0,0,0,3,1,0,0.235,0.277,0.371,0.648,8,17,R,L.Harrell(30),MIA,2012,Apr 13,11.0,7,4,4,0,6,7,1,0,4.22,46,170.0,97.0,0.0,0.0,3,0,40,0,0,0,0,0,2,2,7,Paul Nauert,"R.Nolasco (5-51), M.Dunn (8-H), S.Cishek (0-H), E.Mujica (0-BSv), H.Bell (4), R.Choate (0), R.Webb (1-W)"
8,8,9,Apr 14,True,HOU,"L,4-5",34,32,4,8,1,0,0,4,1,0,6,0,0,1,0,2,2,1,0.237,0.276,0.362,0.637,3,17,R,B.Norris(47),MIA,2012,Apr 14,9.0,8,5,3,2,7,7,0,0,4.08,42,161.0,101.0,4.0,1.0,0,0,33,2,0,0,1,0,1,0,6,Dana DeMuth,"C.Zambrano (5-58), S.Cishek (0-H), E.Mujica (0-H), H.Bell (0-BL), R.Choate (0), C.Gaudin (2)"
9,9,10,Apr 15,True,HOU,"W,5-4",48,41,5,12,1,1,2,5,6,2,10,0,1,0,0,1,0,0,0.243,0.289,0.38,0.669,12,15,L,J.Happ(60),MIA,2012,Apr 15,11.0,10,4,3,1,7,11,0,1,3.89,50,197.0,112.0,0.0,0.0,1,1,41,4,0,2,1,0,2,1,4,Kerwin Danley,"A.Sánchez (5-56), R.Webb (1), M.Dunn (1), C.Gaudin (0-W)"
