,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 10,False,OAK,"W,9-7",52,48,9,14,1,1,2,9,2,0,8,1,1,0,0,0,0,1,0.292,0.333,0.479,0.813,7,16,R,R.Langford(27),MIN,1980,Apr 10,12.0,10,7,7,0,2,10,1,0,5.25,45,,,2.0,2.0,0,0,43,1,0,0,0,0,0,3,3,Don Denkinger,"J.Koosman (99-47), M.Marshall (99-BSv), D.Corbett (99-W)"
1,1,2,Apr 11,False,OAK,"L,0-1",34,32,0,4,0,0,0,0,2,0,6,0,0,0,1,0,1,0,0.225,0.271,0.338,0.608,7,9,R,M.Keough(83),MIN,1980,Apr 11,8.0,4,1,1,0,0,5,0,0,3.6,28,,,,,0,1,27,0,1,0,1,0,1,0,1,Larry McCoy,P.Redfern (99-75-L)
2,2,3,Apr 12,False,OAK,"W,6-0",39,34,6,10,2,1,1,6,2,0,2,1,2,0,0,0,1,0,0.246,0.295,0.386,0.681,6,11,R,B.Kingman(46),MIN,1980,Apr 12,9.0,3,0,0,0,0,1,0,0,2.48,31,,,,,0,0,31,0,0,0,0,0,1,0,1,Dale Ford,G.Zahn (99-82-W)
3,3,4,Apr 13,False,OAK,"L,1-4",33,31,1,3,1,1,0,1,1,0,11,1,0,0,2,0,0,1,0.214,0.265,0.345,0.609,5,9,R,M.Norris(89),MIN,1980,Apr 13,8.0,7,4,4,0,5,3,0,0,2.92,33,,,4.0,0.0,1,2,26,1,0,0,2,0,0,0,3,Greg Kosc,"R.Erickson (99-35-L), D.Jackson (99), J.Verhoeven (99)"
4,4,5,Apr 14,False,CAL,"W,5-3",40,34,5,7,1,0,1,5,6,0,8,0,0,0,0,0,0,0,0.212,0.277,0.341,0.618,8,11,R,C.Knapp(74),MIN,1980,Apr 14,9.0,7,3,3,0,2,6,1,0,2.93,34,,,0.0,0.0,0,1,32,1,0,0,0,0,0,1,2,Vic Voltaggio,"T.Felton (99-55), D.Corbett (3-W)"
5,5,6,Apr 15,False,CAL,"L,1-3",37,34,1,8,2,0,0,1,3,0,2,0,0,0,0,1,1,0,0.216,0.28,0.333,0.614,9,10,L,F.Tanana(66),MIN,1980,Apr 15,8.0,7,3,2,1,2,6,1,0,2.83,32,,,2.0,0.0,0,1,30,1,0,0,0,0,1,0,2,Bill Haller,"J.Koosman (4-40-L), J.Verhoeven (1)"
6,6,7,Apr 16,False,CAL,"L,1-2",35,31,1,4,0,0,0,1,2,1,2,0,1,1,0,0,1,0,0.205,0.267,0.307,0.574,4,12,R,D.Frost(80),MIN,1980,Apr 16,9.2,8,2,2,0,1,7,0,0,2.69,40,,,2.0,1.0,0,0,35,0,0,1,2,2,2,0,2,Russ Goetz,"P.Redfern (4-73), M.Marshall (5-BL)"
7,7,8,Apr 17,False,SEA,"L,3-4",34,33,3,7,2,0,1,2,1,0,1,0,0,0,1,1,0,0,0.206,0.263,0.314,0.577,4,9,L,R.Honeycutt(61),MIN,1980,Apr 17,8.1,6,4,3,1,1,3,1,0,2.75,32,,,,,0,0,29,3,0,0,0,2,0,0,1,Greg Kosc,G.Zahn (4-59-L)
8,8,9,Apr 18 (1),False,SEA,"L,1-3",33,32,1,6,0,0,1,1,1,0,8,0,0,0,0,1,0,0,0.204,0.258,0.311,0.569,5,9,L,F.Bannister(78),MIN,1980,Apr 18(1),8.0,6,3,2,1,1,4,0,1,2.7,29,,,,,0,1,27,0,0,0,0,0,0,2,1,Don Denkinger,R.Erickson (4-63-L)
9,9,10,Apr 18 (2),False,SEA,"L,2-3",35,33,2,9,1,0,0,2,2,1,4,0,0,0,0,2,0,0,0.211,0.264,0.31,0.574,6,15,R,G.Wheelock(43),MIN,1980,Apr 18(2),8.0,7,3,3,0,1,10,0,0,2.76,32,,,1.0,0.0,0,0,30,1,0,0,1,0,0,0,2,Larry McCoy,"T.Felton (3-52-L), D.Corbett (3)"
