,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 11,False,PHI,"L,3-6",36,35,3,8,2,2,1,3,1,0,6,0,0,0,1,0,0,1,0.229,0.25,0.486,0.736,6,12,L,S.Carlton(64),MON,1980,Apr 11,8.0,6,6,4,2,3,3,1,0,4.5,35,,,0.0,0.0,0,0,31,2,0,0,0,1,2,0,2,Bob Engel,"S.Rogers (99-47-L), S.Bahnsen (99)"
1,1,2,Apr 12,False,PHI,"L,2-6",40,29,2,7,1,1,0,2,10,0,0,0,0,1,0,2,0,1,0.234,0.342,0.422,0.764,11,15,R,D.Ruthven(56),MON,1980,Apr 12,8.0,14,6,6,0,1,4,1,0,5.62,37,,,0.0,0.0,0,0,35,5,2,0,1,0,0,1,3,Jerry Dale,"B.Lee (99-31-L), F.Norman (99), D.Murray (99)"
2,2,3,Apr 13,False,PHI,"W,5-4",45,39,5,12,1,1,2,5,4,0,7,0,1,1,0,0,1,0,0.262,0.35,0.466,0.816,10,14,R,L.Christenson(41),MON,1980,Apr 13,10.0,11,4,1,3,0,4,0,0,3.81,42,,,3.0,1.0,2,0,42,0,0,0,0,0,1,0,4,Paul Runge,"S.Sanderson (99-50), S.Bahnsen (1), W.Fryman (99-BSv), E.Sosa (99-W)"
3,3,4,Apr 15,False,NYM,"W,7-3",42,37,7,12,3,0,2,6,2,0,8,0,2,1,3,1,2,0,0.279,0.35,0.493,0.843,8,13,R,C.Swan(36),MON,1980,Apr 15,9.0,8,3,3,0,3,4,1,0,3.6,36,,,0.0,0.0,0,0,33,4,0,0,0,0,0,0,2,Jim Quick,"S.Rogers (3-42-W), F.Norman (2-Sv)"
4,4,5,Apr 16,False,NYM,"L,2-3",39,34,2,9,4,0,0,2,4,0,9,0,0,1,1,1,2,1,0.276,0.347,0.471,0.818,10,12,R,R.Burris(54),MON,1980,Apr 16,8.0,11,3,3,0,1,2,0,0,3.56,36,,,0.0,0.0,0,0,35,1,0,0,0,0,1,0,2,Bob Engel,"B.Lee (3-41-L), D.Murray (3)"
5,5,6,Apr 18,True,PHI,"W,7-5",36,33,7,10,0,1,1,7,2,0,3,1,0,0,0,1,5,0,0.28,0.349,0.469,0.818,5,15,R,D.Ruthven(26),MON,1980,Apr 18,9.0,10,5,4,1,2,1,2,0,3.63,41,,,1.0,0.0,0,0,39,2,0,0,0,0,2,0,3,Terry Tata,"S.Sanderson (4-37-W), D.Palmer (99-H), W.Fryman (4-Sv)"
6,6,7,Apr 19,True,PHI,"L,4-13",37,33,4,6,2,1,1,2,4,0,10,0,0,0,0,0,0,0,0.267,0.338,0.458,0.797,6,16,R,L.Christenson(45),MON,1980,Apr 19,9.0,18,13,12,1,3,4,1,1,4.87,46,,,1.0,0.0,2,2,42,2,1,0,0,0,1,0,4,Dutch Rennert,"S.Rogers (3-29-L), S.Bahnsen (5), D.Murray (2), F.Norman (3)"
7,7,8,Apr 20,True,PHI,"W,7-6",42,37,7,14,1,0,2,7,2,1,4,0,2,1,0,0,1,0,0.282,0.346,0.473,0.819,9,15,L,R.Lerch(35),MON,1980,Apr 20,9.0,10,6,3,3,0,2,1,0,4.63,39,,,2.0,0.0,0,0,37,3,1,0,1,1,2,0,5,John Kibler,"B.Lee (3-41), S.Bahnsen (0), D.Palmer (1), W.Fryman (1), E.Sosa (6-W)"
8,8,9,Apr 21,True,PIT,"L,1-7",36,34,1,6,2,0,0,1,1,0,7,0,0,1,2,0,0,0,0.27,0.33,0.447,0.777,8,15,L,J.Candelaria(77),MON,1980,Apr 21,9.0,12,7,6,1,3,3,0,1,4.78,43,,,0.0,0.0,0,0,36,1,1,1,0,3,1,1,3,Bob Engel,"R.Grimsley (99-44-L), F.Norman (1), D.Murray (1)"
9,9,10,Apr 22,True,PIT,"L,3-5",34,30,3,7,1,0,0,3,4,0,6,0,0,0,0,3,2,1,0.267,0.33,0.431,0.761,4,13,R,J.Bibby(51),MON,1980,Apr 22,9.0,9,5,5,0,2,3,2,0,4.81,37,,,0.0,0.0,1,1,35,1,1,0,0,0,0,0,3,Jerry Dale,"S.Sanderson (3-35-L), D.Palmer (1), E.Sosa (1)"
