,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 10,True,CHC,"W,5-2",36,29,5,8,1,0,0,4,6,2,5,0,0,1,1,1,0,2,0.276,0.389,0.31,0.699,7,11,R,R.Reuschel(34),NYM,1980,Apr 10,9.0,7,2,2,0,1,3,0,0,2.0,35,,,0.0,0.0,0,0,34,3,0,0,0,0,1,1,2,John Kibler,"C.Swan (99-57-W), N.Allen (99-Sv)"
1,1,2,Apr 11,True,CHC,"L,5-7",42,38,5,13,3,0,0,5,3,0,8,0,1,0,0,1,1,0,0.313,0.39,0.373,0.763,10,16,R,D.Lamp(47),NYM,1980,Apr 11,9.0,11,7,7,0,7,5,5,0,4.5,44,,,1.0,0.0,1,0,37,1,0,1,0,0,0,1,5,Bruce Froemming,"R.Burris (99-28-L), K.Kobel (99), J.Pacella (99), E.Glynn (99), J.Reardon (99)"
2,2,3,Apr 12,True,CHC,"L,3-6",36,29,3,6,0,0,2,3,5,1,6,1,0,1,1,0,1,1,0.281,0.372,0.385,0.757,6,14,R,M.Krukow(58),NYM,1980,Apr 12,9.0,14,6,5,1,3,2,2,0,4.67,41,,,2.0,2.0,1,1,37,1,0,1,0,1,1,3,4,Terry Tata,"T.Hausman (99-47), N.Allen (1-BL), J.Reardon (0), M.Bomback (99)"
3,3,4,Apr 13,True,CHC,"W,5-0",39,33,5,11,4,0,0,4,4,0,4,0,1,1,1,0,0,1,0.295,0.377,0.403,0.781,10,11,L,W.Hernández(37),NYM,1980,Apr 13,9.0,5,0,0,0,3,6,0,0,3.5,33,,,0.0,0.0,0,0,30,0,0,0,0,0,0,2,2,Fred Brocklander,"P.Falcone (99-68-W), N.Allen (0-Sv)"
4,4,5,Apr 15,True,MON,"L,3-7",36,33,3,8,4,0,1,2,3,0,4,0,0,0,0,0,0,0,0.284,0.364,0.414,0.777,6,14,R,S.Rogers(42),NYM,1980,Apr 15,9.0,12,7,3,4,2,8,2,0,3.4,42,,,0.0,0.0,2,0,37,3,0,0,2,1,3,1,3,Jim Quick,"C.Swan (4-36-L), M.Bomback (2), J.Pacella (3)"
5,5,6,Apr 16,True,MON,"W,3-2",36,35,3,11,1,0,0,3,1,0,2,0,0,0,1,0,0,0,0.289,0.359,0.401,0.76,9,12,L,B.Lee(41),NYM,1980,Apr 16,9.0,9,2,2,0,4,9,0,0,3.17,39,,,2.0,0.0,2,1,34,4,0,0,0,1,1,1,3,Bob Engel,"R.Burris (4-54-W), J.Reardon (3-H), N.Allen (2-Sv)"
6,6,7,Apr 17,False,CHC,"L,1-4",34,33,1,8,0,0,0,1,0,0,4,0,1,0,1,2,1,0,0.283,0.344,0.378,0.722,6,12,R,D.Lamp(68),NYM,1980,Apr 17,8.0,8,4,4,0,1,0,2,0,3.34,33,,,0.0,0.0,0,0,31,3,0,1,1,0,0,0,2,Dick Stello,"T.Hausman (4-48-L), K.Kobel (5)"
7,7,8,Apr 19,False,CHC,"L,9-12",42,33,9,9,4,0,0,5,6,0,4,0,1,2,1,2,0,0,0.281,0.347,0.38,0.727,6,13,R,M.Krukow(29),NYM,1980,Apr 19,8.0,15,12,12,0,4,8,5,0,4.5,42,,,4.0,1.0,0,0,38,0,0,1,0,0,1,1,5,Satch Davidson,"P.Falcone (5-54), M.Bomback (3), J.Reardon (2), N.Allen (2-BL), J.Pacella (3)"
8,8,9,Apr 20,False,CHC,"L,3-6",42,35,3,9,3,0,0,2,7,0,3,0,0,0,2,1,1,1,0.279,0.351,0.376,0.727,12,12,R,R.Reuschel(46),NYM,1980,Apr 20,8.0,11,6,4,2,3,6,1,0,4.5,36,,,1.0,0.0,2,1,32,1,0,1,1,0,1,0,3,Dave Pallone,"C.Swan (4-50), K.Kobel (2-L), J.Pacella (0)"
9,9,10,Apr 21,False,PHI,"W,3-0",37,31,3,6,0,0,0,3,4,1,6,1,1,0,0,0,3,0,0.271,0.347,0.359,0.705,7,10,L,S.Carlton(62),NYM,1980,Apr 21,9.0,5,0,0,0,5,4,0,0,4.03,37,,,1.0,0.0,1,0,32,0,1,0,0,0,0,0,2,Charlie Williams,"R.Burris (4-69-W), N.Allen (1-Sv)"
10,10,11,Apr 22,False,PHI,"L,8-14",44,37,8,14,4,0,0,8,6,1,2,0,0,1,0,1,3,1,0.281,0.358,0.372,0.73,9,14,R,D.Ruthven(17),NYM,1980,Apr 22,8.0,13,14,14,0,4,4,3,0,5.02,41,,,3.0,3.0,0,0,35,3,2,0,0,2,0,0,4,Paul Pryor,"T.Hausman (4-19), J.Reardon (2), K.Kobel (1-L), J.Pacella (1)"
11,11,12,Apr 23,False,PHI,"W,3-2",37,34,3,7,4,0,0,2,2,0,3,1,0,0,1,0,2,1,0.275,0.351,0.368,0.718,7,13,R,L.Christenson(47),NYM,1980,Apr 23,9.0,12,2,2,0,3,4,0,0,4.76,42,,,4.0,0.0,0,0,39,2,2,0,0,0,1,1,4,John McSherry,"M.Bomback (3-59-W), N.Allen (1-H), E.Glynn (11-H), J.Reardon (0-Sv)"
12,12,13,Apr 25,False,HOU,"L,4-7",35,31,4,4,2,0,0,4,4,0,10,0,0,0,0,0,1,0,0.265,0.342,0.355,0.697,4,15,R,J.Richard(65),NYM,1980,Apr 25,8.0,12,7,6,1,1,12,1,0,4.9,37,,,3.0,3.0,1,0,35,3,0,1,1,0,1,0,4,Eric Gregg,"P.Falcone (5-41-L), T.Hausman (2), J.Pacella (2), K.Kobel (2)"
13,13,14,Apr 26,False,HOU,"L,0-6",39,31,0,5,1,0,0,0,8,0,4,0,0,0,0,1,1,0,0.258,0.342,0.344,0.686,12,16,R,J.Niekro(69),NYM,1980,Apr 26,8.0,9,6,5,1,2,6,0,0,4.95,37,,,3.0,3.0,0,0,31,0,1,1,3,1,3,0,5,Ed Vargo,"C.Swan (5-63), J.Reardon (2), E.Glynn (2-L), N.Allen (2), K.Kobel (0)"
14,14,15,Apr 27,False,HOU,"L,3-4",46,38,3,8,1,0,0,3,6,0,5,0,1,1,0,2,0,2,0.254,0.339,0.336,0.675,7,14,R,N.Ryan(63),NYM,1980,Apr 27,11.1,7,4,4,0,9,9,1,0,4.8,46,,,0.0,0.0,1,3,37,2,1,2,0,0,1,0,3,Satch Davidson,"R.Burris (5-56), J.Reardon (0), N.Allen (0-L)"
