,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 10,False,TEX,"L,0-1",42,40,0,4,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0.1,0.143,0.1,0.243,6,11,L,J.Matlack(86),NYY,1980,Apr 10,11.1,4,1,1,0,2,5,0,0,0.79,40,,,3.0,1.0,0,0,37,1,0,2,1,0,1,1,3,Marty Springstead,"R.Guidry (99-87), T.Underwood (99-L), R.Gossage (99)"
1,1,2,Apr 11,False,TEX,"L,7-11",36,30,7,6,3,0,2,7,5,0,6,0,0,1,0,1,3,1,0.143,0.218,0.271,0.489,2,9,R,F.Jenkins(34),NYY,1980,Apr 11,8.0,16,11,11,0,4,1,1,0,5.59,44,,,4.0,4.0,0,0,39,6,0,1,0,1,0,0,4,Joe Brinkman,"T.John (99-20), R.Davis (99-L), J.Kaat (99), R.Gossage (0)"
2,2,3,Apr 13 (1),False,TEX,"W,9-4",43,34,9,12,3,0,1,9,9,0,6,0,0,0,0,2,0,1,0.212,0.314,0.356,0.67,7,11,R,S.Comer(24),NYY,1980,Apr 13(1),9.0,8,4,4,0,3,3,0,0,5.08,39,,,2.0,2.0,0,0,36,2,1,0,0,0,1,0,2,Nick Bremigan,"L.Tiant (99-44-W), J.Kaat (1)"
3,3,4,Apr 13 (2),False,TEX,"W,8-2",42,39,8,13,2,0,1,5,2,0,6,1,0,0,1,1,1,1,0.245,0.331,0.385,0.716,7,10,R,G.Perry(43),NYY,1980,Apr 13(2),9.0,8,2,2,0,5,4,0,0,4.34,40,,,2.0,0.0,2,0,35,2,0,0,0,0,1,1,2,Durwood Merrill,"E.Figueroa (99-50-W), T.Underwood (2-Sv)"
4,4,5,Apr 15,False,CHW,"L,3-4",56,48,3,9,2,0,0,3,8,1,6,0,0,0,0,1,1,2,0.23,0.324,0.346,0.67,11,13,L,S.Trout(50),NYY,1980,Apr 15,13.2,9,4,3,1,9,9,0,0,3.71,59,,,0.0,0.0,1,0,48,3,0,3,1,1,1,1,4,Jim Evans,"R.Guidry (4-63), R.Gossage (3), T.Underwood (1), J.Kaat (1-L)"
5,5,6,Apr 16,False,CHW,"W,6-0",42,36,6,11,2,1,0,6,4,0,7,1,0,1,0,1,2,0,0.242,0.333,0.357,0.69,9,12,L,K.Kravec(39),NYY,1980,Apr 16,9.0,2,0,0,0,0,2,0,1,3.15,28,,,,,0,1,27,0,0,0,0,0,0,1,1,Larry Barnett,T.John (4-85-W)
6,6,7,Apr 17,False,CHW,"L,6-8",36,35,6,9,2,0,1,6,0,0,4,0,0,1,1,1,0,0,0.244,0.323,0.363,0.686,3,12,L,B.Burns(62),NYY,1980,Apr 17,8.0,12,8,8,0,3,3,0,0,3.84,38,,,2.0,2.0,1,1,35,6,0,1,0,0,0,0,3,Jim McKean,"M.Griffin (99-32-L), R.Davis (5), J.Kaat (1)"
7,7,8,Apr 18,True,MIL,"L,2-3",37,31,2,4,0,0,0,2,6,0,3,0,0,0,0,0,0,0,0.232,0.317,0.338,0.655,8,12,L,M.Caldwell(71),NYY,1980,Apr 18,9.0,9,3,3,0,2,6,1,0,3.74,37,,,2.0,0.0,2,1,35,3,1,1,0,0,0,0,2,Ken Kaiser,"L.Tiant (4-48-L), R.Davis (0)"
8,8,9,Apr 19,True,MIL,"L,1-5",35,32,1,8,0,0,1,1,3,0,5,0,0,0,0,2,0,1,0.234,0.317,0.338,0.656,7,15,R,M.Haas(61),NYY,1980,Apr 19,9.0,13,5,4,1,2,5,0,0,3.77,40,,,2.0,1.0,2,0,37,1,0,1,1,0,1,3,3,Richard Shulock,"E.Figueroa (5-30-L), T.Underwood (3), R.Gossage (3)"
9,9,10,Apr 20,True,MIL,"W,9-5",43,34,9,11,1,0,4,7,6,2,3,1,1,1,1,0,1,0,0.242,0.328,0.373,0.702,10,12,L,B.Travers(29),NYY,1980,Apr 20,9.0,10,5,4,1,4,8,2,0,3.79,38,,,1.0,1.0,1,1,32,1,0,0,1,1,0,1,2,Bill Kunkel,"R.Guidry (4-31), R.Davis (1-W)"
10,10,11,Apr 21,True,BAL,"W,3-2",30,28,3,7,0,0,1,2,1,0,1,0,1,0,0,1,0,0,0.243,0.325,0.372,0.697,3,9,L,M.Flanagan(56),NYY,1980,Apr 21,9.0,3,2,1,1,4,1,0,0,3.55,33,,,1.0,0.0,0,1,29,0,0,0,0,0,1,1,2,Nick Bremigan,"T.John (4-69-W), R.Gossage (1-Sv)"
