,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 10,True,MIN,"L,7-9",45,43,7,10,1,0,1,7,2,0,10,0,0,0,0,3,0,0,0.233,0.267,0.326,0.592,2,15,L,J.Koosman(47),OAK,1980,Apr 10,12.0,14,9,9,0,2,8,2,1,6.75,52,,,7.0,2.0,0,1,48,1,1,0,1,0,0,0,5,Don Denkinger,"R.Langford (99-27), D.Hamilton (99), J.Jones (99-H), B.Lacey (99-BSv), S.McCatty (99-L)"
1,1,2,Apr 11,True,MIN,"W,1-0",28,27,1,4,0,1,0,1,0,0,5,0,1,0,1,0,0,1,0.2,0.222,0.286,0.508,3,11,R,P.Redfern(75),OAK,1980,Apr 11,9.0,4,0,0,0,2,6,0,0,3.86,34,,,,,1,0,32,0,0,0,0,0,1,0,1,Larry McCoy,M.Keough (99-83-W)
2,2,3,Apr 12,True,MIN,"L,0-6",31,31,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.168,0.184,0.228,0.412,4,9,L,G.Zahn(82),OAK,1980,Apr 12,9.0,10,6,6,0,2,2,1,1,4.5,39,,,3.0,2.0,1,0,34,2,1,0,2,0,0,0,3,Dale Ford,"B.Kingman (99-46-L), B.Lacey (1), R.Lysander (99)"
3,3,4,Apr 13,True,MIN,"W,4-1",33,26,4,7,1,0,0,4,5,0,3,0,2,0,0,0,1,2,0.189,0.231,0.244,0.475,5,11,R,R.Erickson(35),OAK,1980,Apr 13,9.0,3,1,0,1,1,11,0,1,3.46,33,,,,,0,1,31,1,1,0,0,0,2,0,1,Greg Kosc,M.Norris (99-89-W)
4,4,5,Apr 14,True,SEA,"L,1-7",31,30,1,4,0,0,0,1,1,0,4,0,0,0,0,1,1,0,0.178,0.218,0.223,0.441,3,11,R,G.Abbott(78),OAK,1980,Apr 14,9.0,10,7,7,0,6,6,1,2,4.12,43,,,1.0,0.0,0,1,35,0,1,0,0,0,1,2,3,Don Denkinger,"S.McCatty (3-24-L), D.Hamilton (3), R.Lysander (1)"
5,5,6,Apr 15,True,SEA,"W,12-3",42,32,12,12,4,0,3,12,8,2,4,0,1,1,0,0,0,2,0.212,0.272,0.317,0.589,6,9,R,M.Parrott(18),OAK,1980,Apr 15,9.0,7,3,3,0,1,5,0,0,3.95,36,,,3.0,1.0,0,0,34,1,0,0,0,1,1,0,2,Larry McCoy,"S.McCatty (0-61-W), J.Jones (4)"
6,6,7,Apr 16,True,SEA,"W,6-1",37,32,6,10,2,1,0,6,4,1,5,1,0,0,0,2,0,0,0.226,0.292,0.335,0.627,7,11,R,J.Beattie(23),OAK,1980,Apr 16,9.0,6,1,1,0,2,5,0,0,3.55,35,,,,,1,0,33,1,0,0,0,0,0,0,1,Dale Ford,M.Keough (4-74-W)
7,7,8,Apr 18,True,CAL,"W,6-3",36,30,6,9,2,0,1,6,3,0,4,0,2,1,1,1,2,0,0.235,0.3,0.351,0.65,6,10,R,B.Kison(30),OAK,1980,Apr 18,9.0,7,3,3,0,3,4,0,1,3.48,36,,,,,0,2,32,1,0,0,0,0,0,0,1,Al Clark,B.Kingman (5-62-W)
8,8,9,Apr 19,True,CAL,"W,3-1",33,29,3,7,3,0,0,3,3,0,5,0,1,0,0,0,0,0,0.236,0.301,0.35,0.651,6,12,R,D.Aase(45),OAK,1980,Apr 19,9.0,4,1,1,0,4,4,0,0,3.21,34,,,1.0,0.0,0,0,30,1,0,0,0,0,0,1,3,Steve Palermo,"M.Norris (5-71-W), D.Hamilton (4), J.Jones (3-Sv)"
9,9,10,Apr 20 (1),True,CAL,"W,6-1",42,34,6,10,2,0,0,5,8,0,6,0,0,0,1,0,1,0,0.242,0.316,0.35,0.667,12,10,R,C.Knapp(23),OAK,1980,Apr 20(1),9.0,5,1,1,0,4,4,0,1,3.0,35,,,,,0,0,30,2,0,0,0,0,0,1,1,Dave Phillips,M.Keough (3-73-W)
