,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 11,True,MON,"W,6-3",35,31,6,6,2,0,1,5,3,0,3,0,0,1,2,0,0,0,0.194,0.257,0.355,0.612,5,10,R,S.Rogers(47),PHI,1980,Apr 11,9.0,8,3,3,0,1,6,1,0,3.0,36,,,,,0,1,35,2,2,0,0,0,1,0,1,Bob Engel,S.Carlton (99-64-W)
1,1,2,Apr 12,True,MON,"W,6-2",37,35,6,14,5,2,1,6,1,0,4,0,1,0,0,1,0,0,0.303,0.338,0.561,0.899,7,12,L,B.Lee(31),PHI,1980,Apr 12,9.0,7,2,2,0,10,0,0,0,2.5,40,,,2.0,0.0,0,1,29,1,1,0,0,1,0,2,3,Jerry Dale,"D.Ruthven (99-56-W), R.Reed (99), T.McGraw (99-Sv)"
2,2,3,Apr 13,True,MON,"L,4-5",42,42,4,11,0,0,0,2,0,0,4,0,0,0,1,0,2,0,0.287,0.31,0.444,0.754,8,16,R,S.Sanderson(50),PHI,1980,Apr 13,10.0,12,5,5,0,4,7,2,0,3.21,45,,,0.0,0.0,1,0,39,1,1,0,1,1,0,0,4,Paul Runge,"L.Christenson (99-41), D.Noles (99), S.Munninghoff (99), L.LaGrow (99-L)"
3,3,4,Apr 15,False,STL,"L,2-7",33,32,2,5,2,0,0,2,1,0,3,0,0,0,1,0,0,1,0.257,0.281,0.393,0.674,4,12,R,P.Vuckovich(71),PHI,1980,Apr 15,8.0,12,7,7,0,3,6,0,0,4.25,37,,,0.0,0.0,0,1,32,3,2,2,1,1,0,0,3,Joe West,"R.Lerch (99-38-L), K.Saucier (99), R.Reed (2)"
4,4,5,Apr 16,False,STL,"W,8-3",40,38,8,11,5,0,0,8,2,0,1,0,0,0,1,1,0,0,0.264,0.29,0.399,0.689,5,12,R,B.Forsch(62),PHI,1980,Apr 16,9.0,8,3,3,0,2,5,0,0,4.0,35,,,1.0,0.0,0,0,33,2,1,0,0,0,0,2,2,Dave Pallone,"S.Carlton (4-58-W), D.Noles (2)"
5,5,6,Apr 18,False,MON,"L,5-7",41,39,5,10,2,0,2,4,2,0,1,0,0,0,2,0,0,0,0.263,0.291,0.41,0.701,9,15,R,S.Sanderson(37),PHI,1980,Apr 18,8.0,10,7,7,0,2,3,1,1,4.58,36,,,0.0,0.0,5,0,33,0,1,0,0,0,0,1,4,Terry Tata,"D.Ruthven (5-26-L), K.Saucier (2), L.LaGrow (4), R.Reed (2)"
6,6,7,Apr 19,False,MON,"W,13-4",46,42,13,18,2,1,1,13,3,0,4,1,0,0,1,0,2,2,0.29,0.322,0.44,0.762,6,14,R,S.Rogers(29),PHI,1980,Apr 19,9.0,6,4,3,1,4,10,1,0,4.35,37,,,0.0,0.0,0,0,33,2,1,0,0,0,0,0,2,Dutch Rennert,"L.Christenson (5-45-W), D.Noles (2-Sv)"
7,7,8,Apr 20,False,MON,"L,6-7",39,37,6,10,3,1,1,6,0,0,2,0,1,1,2,0,0,0,0.287,0.315,0.446,0.761,6,12,L,B.Lee(41),PHI,1980,Apr 20,8.2,14,7,7,0,2,4,2,0,4.71,42,,,2.0,2.0,1,0,37,1,0,1,2,1,0,0,3,John Kibler,"R.Lerch (4-35), L.LaGrow (1-BSv), T.McGraw (7-BL)"
8,8,9,Apr 21,True,NYM,"L,0-3",37,32,0,5,0,1,0,0,5,0,4,0,0,0,0,0,1,0,0.274,0.31,0.424,0.734,10,14,R,R.Burris(69),PHI,1980,Apr 21,9.0,6,3,3,0,4,6,0,1,4.52,37,,,0.0,0.0,3,0,31,0,0,1,1,0,0,0,2,Charlie Williams,"S.Carlton (4-62-L), R.Reed (2)"
9,9,10,Apr 22,True,NYM,"W,14-8",41,35,14,13,3,2,3,14,4,0,4,0,0,2,0,0,0,0,0.284,0.321,0.463,0.784,3,15,R,T.Hausman(19),PHI,1980,Apr 22,9.0,14,8,8,0,6,2,0,0,4.87,44,,,2.0,2.0,3,1,37,4,0,1,0,1,0,1,4,Paul Pryor,"D.Ruthven (3-17), S.Munninghoff (8), K.Saucier (3-W), D.Noles (2)"
