,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 10,False,STL,"L,0-1",31,28,0,3,0,0,0,0,2,0,9,1,0,0,0,2,1,0,0.107,0.194,0.107,0.301,4,12,R,P.Vuckovich(88),PIT,1980,Apr 10,8.0,3,1,1,0,3,3,0,0,1.12,27,,,0.0,0.0,0,0,24,1,0,0,0,0,0,1,2,Ed Vargo,"B.Blyleven (99-58-L), E.Romo (99)"
1,1,2,Apr 11,False,STL,"W,4-3",36,32,4,8,2,0,0,4,3,1,0,0,1,0,1,2,0,0,0.183,0.258,0.217,0.474,5,14,R,B.Forsch(59),PIT,1980,Apr 11,9.0,11,3,2,1,3,1,0,0,1.59,40,,,0.0,0.0,0,0,37,0,1,1,0,0,1,2,3,Dick Stello,"J.Candelaria (99-41), E.Solomon (99), G.Jackson (99-W)"
2,2,3,Apr 12,False,STL,"W,7-2",45,39,7,14,4,0,0,5,5,2,6,0,1,0,1,1,2,0,0.253,0.327,0.313,0.64,11,10,R,J.Fulgham(25),PIT,1980,Apr 12,9.0,6,2,2,0,2,5,0,0,1.73,34,,,,,0,0,32,3,0,0,0,0,0,1,1,Satch Davidson,J.Bibby (99-70-W)
3,3,4,Apr 13,False,STL,"W,3-0",35,31,3,5,1,0,1,2,4,0,1,0,0,0,1,1,1,0,0.231,0.31,0.308,0.618,5,12,R,S.Martínez(56),PIT,1980,Apr 13,9.0,6,0,0,0,5,7,0,0,1.29,36,,,4.0,0.0,0,0,31,2,0,0,0,0,0,2,3,Eric Gregg,"J.Rooker (99-65-W), E.Romo (2-H), G.Jackson (1-Sv)"
4,4,5,Apr 14,True,CHC,"W,5-4",41,37,5,10,2,0,2,5,2,0,6,2,0,0,0,1,1,0,0.24,0.317,0.347,0.665,8,14,R,R.Reuschel(46),PIT,1980,Apr 14,10.0,7,4,4,0,3,7,1,0,1.8,40,,,0.0,0.0,0,0,37,1,0,1,0,0,0,0,3,Ed Vargo,"B.Blyleven (3-68), G.Jackson (0-H), K.Tekulve (99-BW)"
5,5,6,Apr 17,True,STL,"L,9-12",45,42,9,16,5,0,1,8,3,0,3,0,0,0,0,1,3,0,0.268,0.338,0.392,0.73,9,18,L,B.Sykes(24),PIT,1980,Apr 17,9.0,17,12,11,1,4,5,1,1,3.33,47,,,3.0,3.0,2,1,42,2,0,1,0,0,0,1,6,Bill Williams,"J.Candelaria (5-8-L), D.Roberts (99), E.Solomon (5), E.Romo (3), R.Scurry (99), K.Tekulve (2)"
6,6,7,Apr 18,True,STL,"W,12-10",43,40,12,16,4,0,1,12,2,1,2,0,0,1,1,0,2,0,0.289,0.35,0.422,0.772,7,12,R,S.Martínez(25),PIT,1980,Apr 18,9.0,14,10,10,0,2,2,4,0,4.29,42,,,3.0,1.0,0,0,37,1,1,1,2,1,0,0,4,Paul Pryor,"J.Bibby (5-22), A.Hassler (99), G.Jackson (3-W), K.Tekulve (0-Sv)"
7,7,8,Apr 19,True,STL,"L,1-2",33,30,1,4,2,0,0,1,2,0,4,0,0,1,0,0,1,0,0.272,0.332,0.398,0.73,5,15,R,J.Fulgham(77),PIT,1980,Apr 19,9.0,7,2,2,0,5,14,1,0,4.0,41,,,3.0,1.0,0,0,34,0,0,1,2,0,2,0,4,John McSherry,"B.Blyleven (4-75), D.Roberts (1-L), E.Romo (1), G.Jackson (0)"
8,8,9,Apr 20,True,STL,"W,6-3",38,32,6,10,1,0,1,6,6,1,4,0,0,0,0,0,0,2,0.277,0.342,0.402,0.744,8,12,R,P.Vuckovich(29),PIT,1980,Apr 20,9.0,10,3,3,0,4,4,0,1,3.89,39,,,4.0,2.0,0,1,34,1,1,0,0,0,1,3,4,Joe West,"J.Rooker (6-54-W), E.Romo (0), G.Jackson (0), K.Tekulve (1-Sv)"
9,9,10,Apr 21,False,MON,"W,7-1",43,36,7,12,1,1,0,7,3,1,3,1,0,3,1,1,0,0,0.282,0.345,0.403,0.749,9,9,L,R.Grimsley(44),PIT,1980,Apr 21,9.0,6,1,1,0,1,7,0,0,3.6,36,,,,,0,0,34,2,0,0,0,1,2,0,1,Bob Engel,J.Candelaria (3-77-W)
10,10,11,Apr 22,False,MON,"W,5-3",37,35,5,9,1,1,2,5,2,0,3,0,0,0,0,0,1,1,0.28,0.341,0.414,0.755,5,12,R,S.Sanderson(35),PIT,1980,Apr 22,9.0,7,3,3,0,4,6,0,0,3.55,34,,,3.0,0.0,2,1,30,1,0,0,0,0,0,3,3,Jerry Dale,"J.Bibby (3-51-W), G.Jackson (1), K.Tekulve (1-Sv)"
11,11,12,Apr 23,False,MON,"L,2-3",31,31,2,5,1,0,1,1,0,0,7,0,0,0,0,0,0,1,0.271,0.329,0.404,0.733,2,11,R,S.Rogers(78),PIT,1980,Apr 23,8.0,6,3,3,0,1,7,2,0,3.53,29,,,0.0,0.0,0,1,28,0,1,0,0,0,0,0,2,Paul Runge,"B.Blyleven (3-60-L), E.Romo (2)"
12,12,13,Apr 25,False,CHC,"L,3-5",34,30,3,8,2,0,0,3,2,1,3,0,2,0,0,3,1,0,0.271,0.328,0.4,0.727,4,12,R,R.Reuschel(56),PIT,1980,Apr 25,8.0,10,5,5,0,5,1,1,0,3.68,35,,,3.0,1.0,0,0,28,2,0,0,1,1,0,2,3,Frank Pulli,"J.Rooker (4-39-L), E.Romo (1), K.Tekulve (2)"
13,13,14,Apr 26,False,CHC,"W,9-2",49,43,9,17,1,0,1,9,5,0,7,0,1,0,1,0,2,0,0.282,0.34,0.407,0.747,13,10,R,D.Lamp(20),PIT,1980,Apr 26,9.0,8,2,2,0,1,2,0,1,3.56,34,,,,,0,0,32,2,0,0,0,0,0,2,1,Ed Montague,J.Candelaria (4-64-W)
14,14,15,Apr 29,True,MON,"W,5-4",42,39,5,11,1,0,1,5,2,0,6,0,1,0,2,1,2,0,0.282,0.338,0.406,0.744,9,16,R,S.Rogers(58),PIT,1980,Apr 29,10.0,7,4,4,0,7,7,1,0,3.56,42,41.0,24.0,2.0,0.0,2,1,35,1,0,0,0,0,0,1,4,Nick Colosi,"B.Blyleven (5-39), E.Romo (3), K.Tekulve (3), E.Solomon (11-W)"
15,15,16,Apr 30,True,MON,"W,5-0",34,30,5,8,1,1,3,5,3,0,2,0,0,1,0,0,0,1,0.281,0.337,0.42,0.757,5,9,L,B.Lee(38),PIT,1980,Apr 30,9.0,6,0,0,0,2,3,0,0,3.34,35,,,,,0,0,33,2,0,0,0,0,1,0,1,Fred Brocklander,J.Bibby (7-76-W)
16,16,17,May 1,True,MON,"W,2-1",41,37,2,10,2,1,0,2,2,1,8,1,1,0,1,0,2,0,0.28,0.336,0.417,0.754,11,16,R,D.Palmer(50),PIT,1980,May 1,10.0,8,1,1,0,2,4,0,0,3.18,38,,,2.0,0.0,0,1,36,1,0,0,0,0,0,1,3,Jerry Crawford,"J.Candelaria (4-75), G.Jackson (8), K.Tekulve (1-W)"
17,17,18,May 2,True,ATL,"L,1-6",36,33,1,7,0,0,0,1,2,0,4,0,1,0,0,0,2,0,0.277,0.332,0.406,0.739,8,14,R,P.Niekro(71),PIT,1980,May 2,9.0,7,6,3,3,4,5,0,0,3.17,36,,,3.0,2.0,2,1,30,0,0,0,0,2,2,2,4,Terry Tata,"J.Rooker (6-42-L), E.Solomon (2), R.Scurry (14), A.Hassler (13)"
18,18,19,May 3,True,ATL,"L,1-3",39,38,1,9,1,0,0,0,1,1,3,0,0,0,1,2,1,0,0.275,0.328,0.398,0.726,8,18,L,L.McWilliams(70),PIT,1980,May 3,10.0,9,3,3,0,1,5,0,0,3.14,39,,,0.0,0.0,0,0,37,0,0,0,0,1,0,1,4,John Kibler,"D.Robinson (99-53), E.Romo (3), K.Tekulve (1), G.Jackson (1-L)"
19,19,20,May 4,True,ATL,"W,13-4",47,36,13,15,3,0,3,13,5,1,3,2,1,3,3,2,4,0,0.282,0.337,0.416,0.754,10,11,R,T.Boggs(39),PIT,1980,May 4,9.0,8,4,4,0,3,5,0,1,3.18,38,,,,,0,0,34,2,0,0,0,0,1,1,1,Dick Stello,J.Bibby (3-57-W)
