,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 10,True,SFG,"W,6-4",35,30,6,9,1,1,0,6,2,0,3,0,2,1,2,0,1,1,0.3,0.333,0.4,0.733,5,12,L,B.Knepper(27),SDP,1980,Apr 10,9.0,8,4,4,0,2,2,1,0,4.0,36,,,0.0,0.0,0,2,34,2,0,0,0,0,2,0,2,Doug Harvey,"R.Jones (99-46-W), B.Shirley (99-Sv)"
1,1,2,Apr 11,True,SFG,"W,5-3",38,30,5,7,0,1,0,4,8,0,3,0,0,0,2,1,2,0,0.267,0.366,0.35,0.716,9,13,R,E.Whitson(47),SDP,1980,Apr 11,9.0,9,3,3,0,1,4,0,0,3.5,35,,,2.0,0.0,1,0,34,2,0,0,0,0,0,1,2,Andy Olsen,"R.Wise (99-45), R.Fingers (99-W)"
2,2,3,Apr 12,True,SFG,"W,4-2",32,30,4,4,0,0,1,4,2,0,4,0,0,0,2,0,1,0,0.222,0.311,0.311,0.622,4,11,R,J.Montefusco(54),SDP,1980,Apr 12,9.0,6,2,2,0,3,2,0,1,3.0,36,,,0.0,0.0,0,0,32,1,0,1,0,0,0,2,2,Nick Colosi,"J.Curtis (99-63-W), B.Shirley (1-Sv)"
3,3,4,Apr 13,True,SFG,"L,1-3",36,31,1,5,0,0,0,1,3,0,3,0,1,1,0,0,0,0,0.207,0.29,0.273,0.563,8,14,L,V.Blue(64),SDP,1980,Apr 13,9.0,9,3,2,1,2,8,0,0,2.75,38,,,1.0,0.0,0,0,34,3,0,1,1,1,1,0,3,Jerry Crawford,"E.Rasmussen (99-61-L), D.Kinney (99), J.D'Acquisto (99)"
4,4,5,Apr 14,True,LAD,"W,2-1",33,26,2,4,1,0,0,1,6,1,1,0,0,1,1,1,2,0,0.197,0.292,0.259,0.551,7,13,R,B.Welch(67),SDP,1980,Apr 14,9.0,7,1,0,1,0,5,0,0,2.2,33,,,0.0,0.0,0,0,32,0,0,0,0,1,0,1,2,Harry Wendelstedt,"R.Jones (3-69), R.Fingers (2-W)"
5,5,6,Apr 15,True,LAD,"W,9-5",38,30,9,11,2,0,1,7,5,0,6,0,1,2,0,2,6,0,0.226,0.317,0.305,0.622,5,10,R,R.Sutcliffe(20),SDP,1980,Apr 15,9.0,10,5,4,1,3,2,1,0,2.5,39,,,1.0,0.0,2,0,35,1,1,0,0,1,1,2,2,Frank Pulli,"R.Wise (3-33-W), S.Mura (99-Sv)"
6,6,7,Apr 16,True,LAD,"L,4-10",37,31,4,6,0,0,1,4,5,0,4,0,1,0,0,1,0,0,0.221,0.316,0.303,0.618,6,16,R,B.Hooton(63),SDP,1980,Apr 16,9.0,14,10,9,1,10,6,2,0,3.43,51,,,4.0,0.0,0,0,41,2,1,1,0,0,2,2,4,Ed Montague,"J.Curtis (3-31-L), D.Kinney (2), J.D'Acquisto (2), G.Lucas (99)"
7,7,8,Apr 17,False,SFG,"L,3-7",36,33,3,8,2,0,1,3,3,0,9,0,0,0,0,1,1,0,0.224,0.314,0.315,0.63,6,14,L,V.Blue(65),SDP,1980,Apr 17,8.0,13,7,7,0,5,4,0,0,3.93,41,,,2.0,2.0,3,0,34,2,0,0,2,0,1,0,3,Nick Colosi,"E.Rasmussen (3-29-L), B.Shirley (4), D.Kinney (0)"
8,8,9,Apr 18,False,SFG,"L,2-5",37,34,2,9,1,0,1,2,2,0,4,0,1,0,1,2,0,0,0.229,0.313,0.324,0.637,8,13,L,B.Knepper(63),SDP,1980,Apr 18,8.0,7,5,5,0,4,7,0,0,4.1,34,,,0.0,0.0,1,1,28,2,1,1,1,1,1,0,2,Steve Fields,"R.Jones (3-48-L), S.Mura (2)"
9,9,10,Apr 19,False,SFG,"W,3-0",42,38,3,12,1,0,0,2,2,0,6,0,1,1,1,0,2,0,0.24,0.317,0.326,0.642,12,12,R,E.Whitson(39),SDP,1980,Apr 19,9.0,7,0,0,0,2,5,0,0,3.68,35,,,2.0,0.0,0,0,31,0,0,0,1,0,1,3,2,Ed Montague,"G.Lucas (2-71-W), R.Fingers (4-Sv)"
