,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 9,True,TOR,"W,8-6",38,34,8,12,2,1,1,8,2,1,4,0,2,0,1,1,0,0,0.353,0.389,0.559,0.948,6,9,R,D.Lemanczyk(32),SEA,1980,Apr 9,9.0,9,6,6,0,5,4,2,0,6.0,41,,,2.0,0.0,2,0,36,1,1,0,0,0,1,1,3,Larry Barnett,"M.Parrott (99-51-W), B.McLaughlin (99-H), D.Heaverlo (99-Sv)"
1,1,2,Apr 11,True,TOR,"L,7-10",47,41,7,11,2,0,1,7,6,1,5,0,0,0,1,2,4,1,0.307,0.373,0.467,0.84,7,14,R,D.Stieb(57),SEA,1980,Apr 11,11.0,15,10,10,0,4,2,1,0,7.2,52,,,3.0,1.0,1,0,45,4,0,1,1,2,1,0,5,Jim Evans,"J.Beattie (99-58), S.Rawley (99-H), D.Heaverlo (1-BSv), B.McLaughlin (1), R.Dressler (99-L)"
2,2,3,Apr 12,True,TOR,"W,3-2",39,29,3,6,0,0,2,3,8,1,3,0,1,1,0,1,1,1,0.279,0.372,0.452,0.824,9,12,L,P.Mirabella(58),SEA,1980,Apr 12,10.0,4,2,2,0,4,3,1,0,5.4,37,,,,,0,1,33,0,0,0,0,0,0,0,1,Jim McKean,R.Honeycutt (99-75-W)
3,3,4,Apr 13,True,TOR,"W,5-1",36,30,5,9,1,0,0,5,4,1,1,0,2,0,0,1,1,0,0.284,0.374,0.425,0.8,7,11,R,D.Lemanczyk(42),SEA,1980,Apr 13,9.0,8,1,1,0,3,6,1,1,4.38,40,,,,,0,0,36,1,0,0,0,0,1,0,1,Ted Hendry,F.Bannister (99-70-W)
4,4,5,Apr 14,False,OAK,"W,7-1",43,35,7,10,0,1,1,6,6,0,6,2,0,0,1,2,0,1,0.284,0.384,0.426,0.81,9,9,R,S.McCatty(24),SEA,1980,Apr 14,9.0,4,1,1,0,1,4,0,0,3.75,31,,,,,1,0,30,0,0,0,0,0,0,1,1,Don Denkinger,G.Abbott (99-78-W)
5,5,6,Apr 15,False,OAK,"L,3-12",36,34,3,7,1,0,0,3,1,0,5,0,0,1,1,0,0,0,0.271,0.359,0.394,0.753,6,11,R,S.McCatty(61),SEA,1980,Apr 15,8.0,12,12,12,0,8,4,3,0,5.14,42,,,1.0,1.0,0,2,32,4,0,2,1,1,0,0,4,Larry McCoy,"M.Parrott (5-18-L), D.Heaverlo (3), R.Dressler (3), B.McLaughlin (3)"
6,6,7,Apr 16,False,OAK,"L,1-6",35,33,1,6,1,0,0,1,2,0,5,0,0,0,0,0,1,0,0.258,0.342,0.369,0.711,7,10,R,M.Keough(74),SEA,1980,Apr 16,8.0,10,6,6,0,4,5,0,1,5.34,37,,,2.0,1.0,0,0,32,2,1,1,0,0,0,2,3,Dale Ford,"J.Beattie (4-23-L), D.Heaverlo (0), B.McLaughlin (0)"
7,7,8,Apr 17,True,MIN,"W,4-3",32,29,4,6,3,0,1,3,1,0,3,0,0,2,0,0,0,0,0.253,0.329,0.374,0.702,3,12,L,G.Zahn(59),SEA,1980,Apr 17,9.0,7,3,3,0,1,1,1,0,5.05,34,,,,,0,0,33,2,0,0,0,0,1,1,1,Greg Kosc,R.Honeycutt (4-61-W)
8,8,9,Apr 18 (1),True,MIN,"W,3-1",29,27,3,6,0,0,0,2,1,0,4,1,0,0,0,2,0,1,0.25,0.324,0.36,0.684,2,10,R,R.Erickson(63),SEA,1980,Apr 18(1),9.0,6,1,1,0,1,8,1,0,4.61,33,,,,,0,0,32,0,0,0,0,0,0,1,1,Don Denkinger,F.Bannister (4-78-W)
9,9,10,Apr 18 (2),True,MIN,"W,3-2",32,30,3,7,1,0,0,3,1,0,10,0,1,0,0,0,0,0,0.248,0.319,0.351,0.669,5,11,R,T.Felton(52),SEA,1980,Apr 18(2),9.0,9,2,2,0,2,4,0,0,4.35,35,,,2.0,0.0,0,0,33,1,0,1,0,0,0,2,3,Larry McCoy,"G.Wheelock (99-43), B.McLaughlin (1-W), S.Rawley (6-Sv)"
