,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 10,False,SDP,"L,4-6",36,34,4,8,2,0,1,4,2,0,2,0,0,0,2,0,0,2,0.235,0.278,0.382,0.66,5,13,L,R.Jones(46),SFG,1980,Apr 10,8.0,9,6,5,1,2,3,0,0,5.62,35,,,1.0,0.0,1,1,30,1,1,0,2,1,2,0,3,Doug Harvey,"B.Knepper (99-27-L), G.Minton (99), T.Griffin (99)"
1,1,2,Apr 11,False,SDP,"L,3-5",35,34,3,9,2,0,0,3,1,0,4,0,0,0,0,1,1,0,0.25,0.282,0.353,0.635,5,15,R,R.Wise(45),SFG,1980,Apr 11,8.0,7,5,3,2,8,3,0,0,4.5,38,,,5.0,1.0,2,0,30,0,1,0,0,0,2,1,4,Andy Olsen,"E.Whitson (99-47), A.Holland (99), G.Lavelle (99-BL), R.Moffitt (99)"
2,2,3,Apr 12,False,SDP,"L,2-4",36,32,2,6,1,0,0,2,3,1,2,1,0,0,0,2,0,0,0.23,0.28,0.31,0.59,7,13,L,J.Curtis(63),SFG,1980,Apr 12,8.0,4,4,4,0,2,4,1,0,4.5,32,,,0.0,0.0,1,0,30,0,0,0,0,0,2,0,2,Nick Colosi,"J.Montefusco (99-54-L), A.Holland (0)"
3,3,4,Apr 13,False,SDP,"W,3-1",38,34,3,9,3,0,0,3,2,1,8,0,1,1,1,0,0,0,0.239,0.285,0.321,0.606,8,11,R,E.Rasmussen(61),SFG,1980,Apr 13,9.0,5,1,1,0,3,3,0,0,3.55,36,,,0.0,0.0,0,0,31,0,0,0,1,1,0,0,2,Jerry Crawford,"V.Blue (99-64-W), G.Lavelle (1-Sv)"
4,4,5,Apr 14,False,CIN,"L,5-6",37,32,5,6,1,0,2,5,5,1,4,0,0,0,0,0,0,0,0.229,0.287,0.337,0.625,5,11,R,P.Moskau(52),SFG,1980,Apr 14,8.2,8,6,6,0,3,7,0,0,4.1,37,,,2.0,2.0,0,0,34,1,2,0,0,0,0,0,2,Dutch Rennert,"B.Knepper (3-61), G.Lavelle (0-BL)"
5,5,6,Apr 15,False,CIN,"L,3-8",37,31,3,8,3,0,0,3,5,0,4,0,0,1,0,1,1,0,0.234,0.298,0.34,0.638,7,12,R,T.Seaver(45),SFG,1980,Apr 15,8.0,11,8,8,0,2,3,0,1,4.89,37,,,0.0,0.0,0,0,32,2,2,0,1,1,0,0,2,John Kibler,"E.Whitson (3-36-L), T.Griffin (4)"
6,6,7,Apr 16,False,CIN,"L,3-5",36,33,3,5,3,0,0,3,3,0,2,0,0,0,1,0,2,0,0.222,0.287,0.326,0.613,6,12,R,M.LaCoss(64),SFG,1980,Apr 16,8.0,8,5,5,0,5,9,2,0,4.99,35,,,0.0,0.0,1,0,30,1,0,0,0,0,0,1,2,Bruce Froemming,"J.Montefusco (3-44-L), A.Holland (3)"
7,7,8,Apr 17,True,SDP,"W,7-3",41,34,7,13,2,0,0,7,5,0,4,0,2,0,1,0,3,0,0.242,0.311,0.341,0.651,10,10,R,E.Rasmussen(29),SFG,1980,Apr 17,9.0,8,3,3,0,3,9,1,0,4.72,36,,,,,1,0,33,2,0,0,0,0,0,1,1,Nick Colosi,V.Blue (3-65-W)
8,8,9,Apr 18,True,SDP,"W,5-2",34,28,5,7,2,1,0,5,4,1,7,0,1,1,1,0,1,1,0.243,0.313,0.346,0.659,5,10,L,R.Jones(48),SFG,1980,Apr 18,9.0,9,2,2,0,2,4,1,0,4.4,37,,,,,0,0,34,1,0,0,1,0,1,2,1,Steve Fields,B.Knepper (3-63-W)
9,9,10,Apr 19,True,SDP,"L,0-3",35,31,0,7,0,0,0,0,2,0,5,0,1,0,1,3,0,0,0.241,0.309,0.334,0.644,8,16,L,G.Lucas(71),SFG,1980,Apr 19,9.0,12,3,1,2,2,6,0,0,4.04,42,,,2.0,0.0,2,0,38,1,0,0,1,1,1,0,4,Ed Montague,"E.Whitson (3-39-L), G.Minton (8), A.Holland (2), R.Moffitt (7)"
