,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 10,True,PIT,"W,1-0",27,24,1,3,1,0,0,1,3,0,3,0,0,0,0,1,0,0,0.125,0.222,0.167,0.389,2,9,R,B.Blyleven(58),STL,1980,Apr 10,9.0,3,0,0,0,2,9,0,1,0.0,31,,,,,1,0,28,0,0,0,0,0,0,2,1,Ed Vargo,P.Vuckovich (99-88-W)
1,1,2,Apr 11,True,PIT,"L,3-4",40,37,3,11,0,1,0,2,3,1,1,0,0,0,1,2,0,0,0.23,0.299,0.279,0.577,10,12,L,J.Candelaria(41),STL,1980,Apr 11,9.0,8,4,2,2,3,0,0,0,1.0,36,,,2.0,2.0,0,0,32,2,0,1,1,0,1,2,3,Dick Stello,"B.Forsch (99-59), D.Hood (99-L), M.Littell (99-BSv)"
2,2,3,Apr 12,True,PIT,"L,2-7",34,32,2,6,3,0,0,2,2,0,5,0,0,0,0,1,0,0,0.215,0.277,0.28,0.557,5,15,R,J.Bibby(70),STL,1980,Apr 12,9.0,14,7,7,0,5,6,0,0,3.0,45,,,0.0,0.0,2,0,39,4,0,2,1,0,1,1,5,Satch Davidson,"J.Fulgham (99-25-L), B.Sykes (99), D.Moore (99), D.Knowles (99), R.Thomas (99)"
3,3,4,Apr 13,True,PIT,"L,0-3",36,31,0,6,2,0,0,0,5,0,7,0,0,0,0,2,0,0,0.21,0.285,0.274,0.559,9,13,L,J.Rooker(65),STL,1980,Apr 13,9.0,5,3,2,1,4,1,1,0,2.75,35,,,0.0,0.0,1,0,31,1,0,0,0,0,1,1,2,Eric Gregg,"S.Martínez (99-56-L), D.Hood (1)"
4,4,5,Apr 15,True,PHI,"W,7-2",37,32,7,12,3,2,0,7,3,2,6,0,1,1,0,0,0,1,0.244,0.312,0.34,0.652,6,9,L,R.Lerch(38),STL,1980,Apr 15,9.0,5,2,2,0,1,3,0,0,2.6,33,,,,,0,1,32,2,0,0,0,0,1,0,1,Joe West,P.Vuckovich (4-71-W)
5,5,6,Apr 16,True,PHI,"L,3-8",35,33,3,8,2,1,0,3,2,0,5,0,0,0,0,2,0,0,0.243,0.308,0.344,0.652,5,13,L,S.Carlton(58),STL,1980,Apr 16,9.0,11,8,5,3,2,1,0,0,3.0,40,,,1.0,1.0,0,0,38,5,0,0,0,0,1,1,3,Dave Pallone,"B.Forsch (4-62-L), R.Thomas (3), D.Hood (2)"
6,6,7,Apr 17,False,PIT,"W,12-9",47,42,12,17,2,0,1,11,4,1,5,1,0,0,0,1,2,1,0.273,0.337,0.377,0.714,8,11,L,J.Candelaria(8),STL,1980,Apr 17,9.0,16,9,9,0,3,3,1,0,3.86,45,,,1.0,0.0,3,0,42,5,0,0,0,0,0,1,2,Bill Williams,"B.Sykes (4-24-W), M.Littell (5)"
7,7,8,Apr 18,False,PIT,"L,10-12",42,37,10,14,1,1,4,9,2,1,2,0,2,1,0,0,0,0,0.287,0.346,0.433,0.779,5,15,R,J.Bibby(22),STL,1980,Apr 18,8.0,16,12,8,4,2,2,1,0,4.44,43,,,2.0,1.0,2,0,40,4,0,1,0,1,1,0,4,Paul Pryor,"S.Martínez (4-25), D.Moore (5), D.Knowles (5-BL), R.Thomas (1)"
8,8,9,Apr 19,False,PIT,"W,2-1",41,34,2,7,0,0,1,2,5,1,14,0,2,0,2,0,0,0,0.278,0.341,0.417,0.759,12,12,R,B.Blyleven(75),STL,1980,Apr 19,9.0,4,1,1,0,2,4,0,0,4.05,33,,,,,1,0,30,2,0,0,0,1,0,0,1,John McSherry,J.Fulgham (6-77-W)
9,9,10,Apr 20,False,PIT,"L,3-6",39,34,3,10,1,1,0,3,4,0,4,1,0,0,1,3,0,1,0.28,0.346,0.414,0.76,9,17,L,J.Rooker(54),STL,1980,Apr 20,8.0,10,6,6,0,6,4,1,0,4.3,38,,,2.0,0.0,0,2,32,1,0,1,0,0,0,0,5,Joe West,"P.Vuckovich (4-29-L), D.Hood (3), R.Thomas (1), B.Sykes (2), M.Littell (2)"
