,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Mar 31,True,DET,"L,6-11",42,38,6,12,2,0,1,5,3,0,3,1,0,0,1,2,0,0,0.316,0.381,0.447,0.828,9,12,L,J.Thompson(50),TBD,1998,Mar 31,9.0,18,11,11,0,2,7,1,0,11.0,47,169,110,2.0,1.0,0,0,45,6,0,0,0,0,0,0,4,Rich Garcia,"W.Álvarez (99-17-L), D.Carlson (99), D.Springer (99), J.Mecir (99)"
1,1,2,Apr 1,True,DET,"W,11-8",45,42,11,18,3,1,1,10,3,0,4,0,0,0,0,0,2,0,0.375,0.425,0.538,0.963,10,9,R,B.Moehler(17),TBD,1998,Apr 1,9.0,13,8,8,0,5,7,0,2,9.5,45,182,104,4.0,1.0,1,1,38,2,0,0,0,0,0,0,5,Mike Reilly,"R.Arrojo (99-45-W), R.Tatís (99-H), A.Lopez (99-H), J.Mecir (0-H), R.Hernández (99)"
2,2,3,Apr 2,True,DET,"W,7-1",38,35,7,12,2,1,0,7,3,0,7,0,0,0,0,1,0,0,0.365,0.416,0.513,0.929,7,9,R,T.Worrell(61),TBD,1998,Apr 2,9.0,5,1,1,0,4,12,1,0,6.67,33,138,75,0.0,0.0,0,2,29,0,0,0,0,0,0,1,2,Tim McClelland,"T.Saunders (99-63), E.Yan (99-W)"
3,3,4,Apr 3,True,CHW,"L,4-10",42,38,4,11,4,0,1,3,4,0,6,0,0,0,1,0,0,0,0.346,0.401,0.503,0.904,11,12,R,J.Baldwin(57),TBD,1998,Apr 3,9.0,15,10,10,0,6,6,0,0,7.5,46,187,107,3.0,0.0,1,0,38,4,2,1,0,2,0,1,4,Terry Craft,"R.Gorecki (99-22-L), D.Carlson (2), R.Tatís (1), A.Lopez (1)"
4,4,5,Apr 4,True,CHW,"W,8-2",40,34,8,15,0,0,3,8,6,0,4,0,0,0,0,1,2,3,0.364,0.425,0.54,0.965,8,9,L,S.Eyre(27),TBD,1998,Apr 4,9.0,7,2,2,0,1,4,1,0,6.4,33,120,76,2.0,0.0,1,1,32,1,0,0,0,0,0,0,3,Jim McKean,"D.Springer (3-60-W), J.Mecir (2), R.Hernández (2)"
5,5,6,Apr 5,True,CHW,"W,5-0",33,29,5,8,2,0,0,4,3,0,4,0,0,1,0,1,1,0,0.352,0.413,0.514,0.926,4,9,R,J.Bere(33),TBD,1998,Apr 5,9.0,4,0,0,0,5,3,0,0,5.33,32,136,73,0.0,0.0,0,2,27,0,0,0,0,0,0,2,3,Al Clark,"W.Álvarez (4-67-W), E.Yan (2), J.Mecir (0)"
6,6,7,Apr 7,False,DET,"L,1-3",41,36,1,10,1,2,0,1,5,0,10,0,0,0,1,0,1,1,0.341,0.406,0.5,0.906,13,10,R,B.Moehler(48),TBD,1998,Apr 7,8.0,8,3,3,0,4,5,0,2,5.08,37,138,77,5.0,0.0,2,1,31,0,1,0,0,0,0,0,4,Rick Reed,"R.Arrojo (5-42-L), R.Tatís (3), A.Lopez (3), R.Hernández (2)"
7,7,8,Apr 10,False,CHW,"L,0-3",32,30,0,5,0,0,0,0,2,0,10,0,0,0,0,2,0,0,0.323,0.387,0.465,0.851,5,12,L,M.Sirotka(80),TBD,1998,Apr 10,8.0,10,3,2,1,8,4,0,0,4.76,37,158,85,1.0,0.0,0,1,29,2,1,1,0,0,0,3,4,Rich Garcia,"T.Saunders (7-45-L), E.Yan (4), R.Tatís (2), J.Mecir (4)"
8,8,9,Apr 11,False,CHW,"W,5-1",43,37,5,12,2,1,1,4,6,0,3,0,0,0,1,1,1,2,0.323,0.39,0.47,0.861,11,9,R,J.Bere(33),TBD,1998,Apr 11,9.0,4,1,1,0,4,8,0,0,4.33,33,144,84,0.0,0.0,1,0,29,1,0,0,0,0,0,2,3,Mike Reilly,"R.Gorecki (7-69-W), J.Mecir (0), R.Hernández (3)"
9,9,10,Apr 12,False,CHW,"W,4-1",36,33,4,12,1,0,1,4,2,0,6,0,1,0,0,1,0,2,0.327,0.391,0.472,0.863,5,9,R,J.Navarro(39),TBD,1998,Apr 12,9.0,4,1,1,0,4,7,1,0,3.99,34,143,90,0.0,0.0,0,0,30,0,0,0,0,0,0,1,2,Tim McClelland,"W.Álvarez (6-76-W), R.Hernández (0-Sv)"
10,10,11,Apr 13,True,MIN,"W,13-12",60,53,13,19,4,0,4,13,4,0,8,1,1,1,0,1,0,0,0.331,0.393,0.496,0.89,8,13,R,L.Hawkins(34),TBD,1998,Apr 13,14.0,22,12,12,0,4,7,4,0,4.5,65,244,151,2.0,1.0,2,1,60,2,0,1,1,0,1,1,7,Gary Cederstrom,"R.Arrojo (5-17), D.Carlson (9), R.Tatís (2), A.Lopez (5), J.Mecir (1-H), R.Hernández (0-BSv), E.Yan (2-W)"
11,11,12,Apr 14,True,MIN,"L,2-8",36,36,2,9,3,0,0,2,0,0,11,0,0,0,1,1,0,0,0.324,0.383,0.483,0.866,7,9,R,B.Radke(72),TBD,1998,Apr 14,9.0,12,8,5,3,5,5,2,1,4.54,43,166,93,1.0,1.0,1,0,37,2,1,0,0,0,1,2,3,Joe Brinkman,"D.Springer (9-22-L), A.Lopez (0), R.Tatís (0)"
