,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Mar 31,False,BAL,"W,6-2",38,36,6,10,2,0,1,6,1,0,3,1,0,0,1,1,1,1,0.278,0.316,0.417,0.732,5,10,R,J.Guthrie(29),TBR,2008,Mar 31,9.0,6,2,2,0,3,3,0,0,2.0,33,110.0,67.0,1.0,0.0,2,1,30,1,0,0,0,0,1,2,4,Bob Davidson,"J.Shields (99-58-W), T.Miller (99), A.Reyes (99), D.Wheeler (99)"
1,1,2,Apr 2,False,BAL,"L,6-9",41,34,6,7,2,0,2,5,7,1,7,0,0,0,0,1,2,0,0.243,0.329,0.429,0.758,8,10,R,D.Cabrera(23),TBR,2008,Apr 2,8.0,9,9,9,0,4,6,2,0,5.82,36,155.0,91.0,1.0,0.0,2,0,31,1,0,1,0,1,0,1,5,Alfonso Márquez,"M.Garza (99-37), G.Glover (99-H), D.Wheeler (1-H), A.Reyes (1-BL), S.Dohmann (99)"
2,2,3,Apr 4,False,NYY,"W,13-4",45,41,13,15,3,0,2,13,4,0,11,0,0,0,1,1,2,1,0.288,0.363,0.486,0.849,5,10,R,I.Kennedy(23),TBR,2008,Apr 4,9.0,6,4,4,0,1,5,1,0,5.19,34,114.0,81.0,0.0,0.0,0,0,33,3,1,0,0,0,0,0,4,Doug Eddings,"A.Sonnanstine (99-48-W), D.Wheeler (1-H), T.Miller (3), S.Dohmann (1)"
3,3,4,Apr 5,False,NYY,"W,6-3",39,34,6,9,1,0,2,6,2,0,8,2,0,1,1,0,1,1,0.283,0.356,0.483,0.839,6,10,L,A.Pettitte(36),TBR,2008,Apr 5,9.0,9,3,3,0,2,7,0,0,4.63,39,151.0,101.0,2.0,0.0,0,0,37,1,0,0,0,0,1,0,5,Dana DeMuth,"E.Jackson (99-60-W), D.Wheeler (0), T.Miller (0), A.Reyes (2-H), T.Percival (99-Sv)"
4,4,5,Apr 6,False,NYY,"L,0-2",32,30,0,4,0,0,0,0,2,0,9,0,0,0,1,0,0,1,0.257,0.328,0.423,0.751,5,9,R,C.Wang(68),TBR,2008,Apr 6,8.0,9,2,2,0,1,7,1,1,4.19,34,129.0,88.0,1.0,0.0,0,0,32,2,0,0,0,0,0,0,2,Ted Barrett,"J.Shields (5-47-L), J.Howell (99)"
5,5,6,Apr 7,False,NYY,"L,1-6",34,31,1,3,1,0,1,1,2,0,5,1,0,0,1,0,1,0,0.233,0.306,0.393,0.699,6,9,R,M.Mussina(66),TBR,2008,Apr 7,8.0,11,6,6,0,2,5,1,0,4.59,37,136.0,86.0,0.0,0.0,0,0,35,2,1,1,0,0,0,0,3,James Hoye,"J.Hammel (99-41-L), S.Dohmann (2), G.Glover (4)"
6,6,7,Apr 8,True,SEA,"L,5-6",39,33,5,6,1,0,2,3,5,0,9,1,0,0,0,0,3,0,0.226,0.306,0.393,0.699,7,12,L,É.Bédard(47),TBR,2008,Apr 8,9.0,13,6,6,0,5,5,0,0,4.8,43,174.0,111.0,5.0,0.0,0,0,37,1,0,2,0,1,0,2,6,Marvin Hudson,"M.Garza (5-33), S.Dohmann (0), G.Glover (0-L), D.Wheeler (2), A.Reyes (2), T.Percival (2)"
7,7,8,Apr 9,True,SEA,"L,1-7",35,32,1,8,4,0,0,1,1,0,4,0,1,1,1,1,0,0,0.229,0.301,0.391,0.692,7,11,L,J.Washburn(62),TBR,2008,Apr 9,9.0,9,7,6,1,4,4,2,0,4.96,41,161.0,100.0,0.0,0.0,1,0,35,2,0,0,1,1,2,1,3,Randy Marsh,"A.Sonnanstine (4-43-L), J.Howell (2), J.Ryu (99)"
8,8,9,Apr 10,True,SEA,"W,7-0",40,34,7,10,1,0,1,7,5,1,7,1,0,0,0,0,1,0,0.236,0.313,0.393,0.706,9,10,R,M.Batista(41),TBR,2008,Apr 10,9.0,3,0,0,0,4,7,0,0,4.38,32,112.0,69.0,0.0,0.0,1,0,28,0,0,0,0,0,0,2,2,Brian Knight,"E.Jackson (4-80-W), T.Miller (4)"
9,9,10,Apr 11,True,BAL,"W,10-5",44,37,10,15,2,0,2,10,6,0,7,1,0,0,1,0,1,1,0.254,0.334,0.418,0.752,10,9,R,J.Guthrie(52),TBR,2008,Apr 11,9.0,8,5,2,3,3,6,0,0,4.14,38,143.0,84.0,3.0,0.0,0,0,35,5,0,1,0,0,1,0,5,Ed Rapuano,"J.Shields (4-47), G.Glover (2), T.Miller (0), A.Reyes (2-W), T.Percival (2)"
10,10,11,Apr 12,True,BAL,"L,2-3",37,33,2,7,0,0,1,2,4,0,6,0,0,0,1,1,0,1,0.251,0.331,0.408,0.739,8,10,R,D.Cabrera(61),TBR,2008,Apr 12,9.0,6,3,3,0,1,8,1,2,4.03,35,136.0,87.0,0.0,0.0,2,0,32,2,1,0,0,0,0,1,4,Ed Hickox,"J.Hammel (4-64), J.Howell (2), T.Miller (0), D.Wheeler (3-L)"
11,11,12,Apr 13,True,BAL,"W,6-2",34,29,6,6,0,0,1,6,5,0,6,0,0,0,0,0,1,0,0.248,0.33,0.401,0.731,4,10,L,B.Burres(30),TBR,2008,Apr 13,9.0,8,2,2,0,3,9,1,0,3.86,38,150.0,98.0,6.0,1.0,1,1,34,1,0,0,1,0,1,0,6,CB Bucknor,"J.Niemann (99-60-W), J.Howell (0), D.Wheeler (0-H), T.Miller (0-H), A.Reyes (1), T.Percival (1)"
12,12,13,Apr 14,True,NYY,"L,7-8",40,36,7,11,2,0,3,7,2,0,7,1,0,1,0,0,2,1,0.252,0.332,0.418,0.75,6,9,R,I.Kennedy(46),TBR,2008,Apr 14,9.0,15,8,8,0,1,5,4,0,4.18,43,147.0,100.0,3.0,0.0,1,0,42,1,0,0,0,0,1,1,4,Brian Runge,"A.Sonnanstine (4-15), S.Dohmann (5), A.Reyes (0-L), G.Glover (2)"
13,13,14,Apr 15,True,NYY,"L,3-5",39,36,3,10,0,0,0,3,3,0,7,0,0,0,0,1,0,0,0.254,0.332,0.408,0.74,9,10,L,A.Pettitte(49),TBR,2008,Apr 15,9.0,8,5,5,0,9,7,1,0,4.24,42,189.0,107.0,1.0,0.0,1,1,33,1,0,0,0,0,0,1,4,Charlie Reliford,"E.Jackson (4-39-L), J.Howell (1), T.Miller (1), G.Glover (0)"
14,14,15,Apr 16,False,MIN,"L,5-6",38,35,5,10,1,0,3,5,3,0,5,0,0,0,1,1,1,2,0.256,0.333,0.419,0.752,6,9,R,L.Hernández(39),TBR,2008,Apr 16,8.0,11,6,4,2,1,6,0,0,4.26,36,130.0,82.0,0.0,0.0,3,0,34,2,0,0,0,1,1,1,3,Jeff Nelson,"J.Shields (4-39), K.Birkins (99), D.Wheeler (2-L)"
15,15,16,Apr 17,False,MIN,"W,7-3",39,36,7,11,1,0,1,7,3,1,5,0,0,0,1,0,0,1,0.26,0.334,0.419,0.753,5,10,R,B.Bonser(20),TBR,2008,Apr 17,9.0,8,3,3,0,2,6,0,0,4.18,35,134.0,86.0,0.0,0.0,1,0,33,2,0,0,0,0,0,2,2,Adrian Johnson,"J.Hammel (4-51-W), J.Howell (1-Sv)"
