,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 10,True,NYY,"W,1-0",40,37,1,4,1,0,0,0,2,2,5,0,1,0,1,1,0,0,0.108,0.154,0.135,0.289,5,12,L,R.Guidry(87),TEX,1980,Apr 10,12.0,4,0,0,0,1,8,0,1,0.0,42,,,2.0,0.0,0,0,40,0,0,0,0,0,0,0,3,Marty Springstead,"J.Matlack (99-86), J.Kern (99), S.Lyle (99-W)"
1,1,2,Apr 11,True,NYY,"W,11-7",44,39,11,16,6,0,1,9,4,1,1,0,0,1,0,0,0,0,0.263,0.313,0.395,0.708,9,14,L,T.John(20),TEX,1980,Apr 11,9.0,6,7,7,0,5,6,2,0,3.0,36,,,0.0,0.0,3,1,30,3,0,0,0,1,0,1,2,Joe Brinkman,"F.Jenkins (99-34-W), D.Rajsich (99-Sv)"
2,2,3,Apr 13 (1),True,NYY,"L,4-9",39,36,4,8,2,1,0,4,3,0,3,0,0,0,1,0,0,0,0.25,0.303,0.375,0.678,8,12,R,L.Tiant(44),TEX,1980,Apr 13(1),9.0,12,9,9,0,9,6,1,0,4.8,43,,,0.0,0.0,0,1,34,3,0,0,0,0,0,2,4,Nick Bremigan,"S.Comer (99-24-L), D.Darwin (99), A.Devine (99), J.Kern (2)"
3,3,4,Apr 13 (2),True,NYY,"L,2-8",40,35,2,8,2,0,0,2,5,0,4,0,0,0,1,1,2,0,0.245,0.309,0.354,0.662,11,13,R,E.Figueroa(50),TEX,1980,Apr 13(2),9.0,13,8,5,3,2,6,1,1,4.85,42,,,3.0,2.0,1,1,39,2,0,0,0,0,1,1,4,Durwood Merrill,"G.Perry (99-43-L), D.Rajsich (1), D.Darwin (-1), S.Lyle (2)"
4,4,5,Apr 14,True,CLE,"W,7-4",37,29,7,7,3,0,1,6,7,1,4,0,1,0,0,1,1,0,0.244,0.323,0.369,0.693,6,10,L,R.Waits(33),TEX,1980,Apr 14,9.0,6,4,4,0,5,4,1,0,4.69,37,,,2.0,0.0,0,0,32,1,0,0,0,0,0,1,2,Steve Palermo,"D.Medich (99-43-W), S.Lyle (0-Sv)"
5,5,6,Apr 15,True,CLE,"W,3-0",33,29,3,8,1,0,0,3,2,0,1,0,1,1,0,0,1,0,0.249,0.322,0.361,0.683,6,10,L,B.Owchinko(45),TEX,1980,Apr 15,9.0,5,0,0,0,1,4,0,0,3.95,33,,,,,0,0,32,1,0,0,0,0,0,0,1,Dave Phillips,J.Matlack (4-80-W)
6,6,7,Apr 16,True,CLE,"W,8-7",41,39,8,13,0,0,1,8,2,0,6,0,0,0,1,0,1,0,0.262,0.328,0.369,0.697,7,14,R,L.Barker(35),TEX,1980,Apr 16,9.0,11,7,7,0,9,2,0,0,4.36,45,,,5.0,3.0,0,0,33,3,0,0,0,3,1,3,4,Lou DiMuro,"F.Jenkins (4-20), D.Darwin (2), D.Rajsich (2), J.Kern (2-W)"
7,7,8,Apr 18,False,BOS,"W,6-5",39,36,6,10,3,0,3,6,3,0,6,0,0,0,2,2,0,1,0.264,0.329,0.4,0.729,6,12,R,B.Stanley(44),TEX,1980,Apr 18,9.0,9,5,4,1,5,5,0,0,4.32,40,,,1.0,0.0,0,0,32,1,0,1,2,1,1,1,3,Durwood Merrill,"S.Comer (4-32), D.Darwin (1-W), J.Kern (1-Sv)"
8,8,9,Apr 19,False,BOS,"W,8-0",42,39,8,12,3,0,1,7,2,1,4,0,0,1,1,0,3,0,0.27,0.33,0.408,0.737,7,9,R,D.Eckersley(26),TEX,1980,Apr 19,9.0,5,0,0,0,2,3,0,0,3.86,35,,,,,0,0,33,1,0,0,0,0,3,2,1,Marty Springstead,G.Perry (5-78-W)
9,9,10,Apr 20,False,BOS,"L,5-6",43,37,5,8,3,0,1,5,5,0,6,0,1,0,0,3,0,0,0.264,0.327,0.404,0.732,5,12,R,C.Rainey(39),TEX,1980,Apr 20,10.1,15,6,6,0,5,5,0,0,4.01,50,,,3.0,1.0,0,0,45,4,1,2,0,0,0,0,3,Joe Brinkman,"D.Medich (5-31), A.Devine (6), J.Kern (1-BL)"
