,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 9,False,SEA,"L,6-8",41,36,6,9,1,1,2,5,5,0,4,0,0,0,1,1,2,0,0.25,0.341,0.5,0.841,8,12,R,M.Parrott(51),TOR,1980,Apr 9,8.0,12,8,6,2,2,4,1,0,6.75,38,,,1.0,0.0,0,0,34,2,1,1,2,0,1,1,5,Larry Barnett,"D.Lemanczyk (99-32-L), T.Buskey (99), B.Moore (99), J.Jefferson (99), J.McLaughlin (99)"
1,1,2,Apr 11,False,SEA,"W,10-7",52,45,10,15,4,0,1,10,4,1,2,0,1,2,1,0,1,0,0.296,0.359,0.494,0.853,9,14,R,J.Beattie(58),TOR,1980,Apr 11,11.0,11,7,5,2,6,5,1,0,5.21,47,,,2.0,1.0,4,1,41,2,0,1,0,0,1,2,5,Jim Evans,"D.Stieb (99-57), J.McLaughlin (1-BSv), J.Garvin (99), T.Buskey (1), B.Moore (1-W)"
2,2,3,Apr 12,False,SEA,"L,2-3",37,33,2,4,0,0,1,2,4,0,3,0,0,0,0,0,0,1,0.246,0.318,0.412,0.73,5,11,L,R.Honeycutt(75),TOR,1980,Apr 12,9.0,6,3,2,1,8,3,2,0,4.18,39,,,0.0,0.0,1,1,29,0,0,1,1,1,0,1,2,Jim McKean,"P.Mirabella (99-58), J.Garvin (0-L)"
3,3,4,Apr 13,False,SEA,"L,1-5",40,36,1,8,1,0,1,1,3,0,6,1,0,0,1,0,0,0,0.24,0.314,0.393,0.707,12,10,L,F.Bannister(70),TOR,1980,Apr 13,8.0,9,5,5,0,4,1,0,0,4.5,36,,,2.0,0.0,1,0,30,1,0,1,2,0,0,1,3,Ted Hendry,"D.Lemanczyk (3-42-L), T.Buskey (1), J.McLaughlin (1)"
4,4,5,Apr 16,True,MIL,"W,11-2",43,36,11,12,2,0,1,9,6,0,4,1,0,0,0,0,1,0,0.258,0.34,0.409,0.748,8,9,R,J.Slaton(35),TOR,1980,Apr 16,9.0,6,2,2,0,3,5,0,0,4.0,34,,,,,0,0,31,0,0,0,0,0,0,2,1,Bill Kunkel,D.Stieb (4-69-W)
5,5,6,Apr 17,True,MIL,"W,1-0",29,28,1,4,2,0,1,1,1,1,2,0,0,0,0,1,0,0,0.243,0.32,0.397,0.717,3,11,R,L.Sorensen(72),TOR,1980,Apr 17,9.0,7,0,0,0,3,3,0,0,3.33,37,,,,,2,0,33,1,1,1,1,0,1,1,1,Terry Cooney,P.Mirabella (4-73-W)
6,6,7,Apr 19,False,CLE,"L,1-8",32,32,1,6,1,0,0,0,0,0,6,0,0,0,1,1,0,1,0.236,0.304,0.374,0.678,4,10,L,R.Waits(77),TOR,1980,Apr 19,8.0,10,8,8,0,7,4,2,1,4.06,40,,,4.0,1.0,0,1,30,2,0,2,1,1,0,1,3,Ted Hendry,"J.Clancy (99-41-L), T.Buskey (5), B.Moore (7)"
7,7,8,Apr 20,False,CLE,"W,5-3",35,33,5,11,3,0,1,5,1,0,7,0,0,1,0,0,1,3,0.247,0.308,0.391,0.699,3,10,R,J.Denny(45),TOR,1980,Apr 20,9.0,5,3,3,0,5,4,1,0,3.93,35,,,1.0,0.0,1,0,30,1,0,0,0,0,0,1,3,Larry Barnett,"D.Lemanczyk (6-48-W), J.Garvin (7-H), J.McLaughlin (6-Sv)"
8,8,9,Apr 21,False,KCR,"W,7-1",40,34,7,8,4,0,0,6,5,1,4,0,1,0,1,0,1,0,0.246,0.311,0.387,0.698,6,12,R,R.Gale(51),TOR,1980,Apr 21,9.0,5,1,1,0,3,3,0,0,3.6,34,,,,,3,0,31,1,0,0,0,0,0,0,1,Jim McKean,D.Stieb (4-73-W)
9,9,10,Apr 22,False,KCR,"L,2-7",34,34,2,7,1,0,0,2,0,0,1,0,0,0,1,1,0,0,0.242,0.302,0.372,0.674,5,9,L,P.Splittorff(61),TOR,1980,Apr 22,8.0,12,7,7,0,2,2,0,0,3.99,36,,,2.0,2.0,1,0,34,3,0,0,0,0,1,2,3,Ted Hendry,"P.Mirabella (4-43-L), J.Jefferson (12), T.Buskey (2)"
10,10,11,Apr 23,False,KCR,"L,4-7",35,33,4,7,2,1,1,4,2,0,8,0,0,0,0,1,1,0,0.239,0.298,0.376,0.674,4,12,R,D.Leonard(51),TOR,1980,Apr 23,8.0,11,7,4,3,4,1,0,0,4.03,40,,,5.0,0.0,2,0,36,5,1,2,0,0,0,0,4,Larry Barnett,"J.Clancy (3-47), J.Garvin (2), J.McLaughlin (2-L), B.Moore (3)"
11,11,12,Apr 25,False,MIL,"W,5-3",42,37,5,12,2,2,1,5,4,1,3,0,1,0,2,0,0,1,0.247,0.306,0.393,0.7,10,10,R,L.Sorensen(30),TOR,1980,Apr 25,9.0,12,3,3,0,1,5,0,0,3.94,40,,,2.0,0.0,2,0,39,0,0,0,0,0,1,1,3,Bill Haller,"D.Lemanczyk (4-36), T.Buskey (2), J.McLaughlin (1-W)"
12,12,13,Apr 26,False,MIL,"W,4-0",35,33,4,8,1,0,1,4,1,0,3,0,1,0,1,0,0,2,0.247,0.303,0.391,0.695,4,11,L,M.Caldwell(59),TOR,1980,Apr 26,9.0,5,0,0,0,4,6,0,0,3.63,34,,,,,1,1,30,1,0,0,0,0,0,1,1,Russ Goetz,D.Stieb (4-79-W)
13,13,14,Apr 27,False,MIL,"W,8-2",43,41,8,15,1,1,1,8,1,0,6,0,0,1,1,0,0,1,0.257,0.309,0.401,0.71,8,10,R,M.Haas(39),TOR,1980,Apr 27,9.0,7,2,1,1,5,2,0,0,3.44,37,,,0.0,0.0,0,1,31,1,0,0,1,0,1,0,2,George Maloney,"P.Mirabella (4-54-W), B.Moore (3-Sv)"
14,14,15,Apr 29,True,KCR,"W,3-1",32,27,3,6,1,0,1,3,4,0,5,0,0,1,0,0,0,1,0.255,0.309,0.4,0.709,5,12,R,D.Leonard(59),TOR,1980,Apr 29,9.0,6,1,1,0,3,3,1,0,3.27,36,,,,,0,0,33,2,0,0,0,0,1,0,1,Vic Voltaggio,J.Clancy (5-71-W)
15,15,16,Apr 30,True,KCR,"L,0-3",29,28,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0.244,0.297,0.383,0.68,2,10,L,L.Gura(86),TOR,1980,Apr 30,9.0,4,3,3,0,2,2,2,0,3.26,31,,,0.0,0.0,1,1,28,0,0,0,1,0,1,1,2,Bill Haller,"J.Jefferson (7-66-L), J.McLaughlin (4)"
16,16,17,May 1,True,CLE,"L,1-2",36,33,1,10,1,1,0,1,2,0,4,0,1,0,0,1,1,1,0.247,0.3,0.383,0.683,8,10,R,J.Denny(54),TOR,1980,May 1,9.0,5,2,2,0,4,2,0,0,3.18,34,,,5.0,2.0,0,0,30,2,0,0,0,0,0,2,3,Lou DiMuro,"D.Lemanczyk (5-59-L), J.Garvin (7), J.McLaughlin (0-BSv)"
17,17,18,May 2,True,CLE,"L,1-6",32,29,1,2,2,0,0,1,2,0,4,0,0,1,1,0,0,0,0.238,0.292,0.372,0.663,4,11,R,L.Barker(72),TOR,1980,May 2,9.0,11,6,5,1,3,8,0,0,3.28,41,,,1.0,0.0,0,0,38,2,0,0,0,0,0,0,2,Al Clark,"D.Stieb (5-38-L), J.Garvin (0)"
18,18,19,May 3,True,CLE,"W,8-3",39,32,8,9,2,0,2,8,7,3,6,0,0,0,1,0,2,0,0.241,0.298,0.38,0.678,7,10,L,R.Waits(29),TOR,1980,May 3,9.0,12,3,3,0,8,7,0,1,3.27,44,,,6.0,2.0,1,1,34,2,0,1,1,0,0,3,3,Steve Palermo,"P.Mirabella (5-38), B.Moore (5), T.Buskey (7-W)"
