,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season,Date,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,0,1,Apr 4,False,PHI,"L,4-8",41,38,4,13,1,0,1,4,3,0,6,0,0,0,0,1,0,0,0.342,0.39,0.447,0.838,10,17,R,J.Lieber(38),WSN,2005,Apr 4,8.0,14,8,8,0,6,5,1,1,9.0,43,163.0,97.0,3.0,0.0,1,0,32,1,0,1,1,3,0,0,6,Gary Darling,"L.Hernández (99-22-L), T.Tucker (99), J.Horgan (99), A.Osuna (99), J.Eischen (99), L.Ayala (99)"
1,1,2,Apr 6,False,PHI,"W,7-3",45,42,7,16,5,1,2,6,3,2,9,0,0,0,1,0,0,1,0.363,0.407,0.575,0.982,11,16,R,B.Myers(60),WSN,2005,Apr 6,9.0,6,3,3,0,1,5,1,0,5.82,34,128.0,79.0,0.0,0.0,0,0,32,1,0,0,1,0,0,0,5,Larry Poncino,"Z.Day (99-49), A.Osuna (1), J.Eischen (1-W), L.Ayala (1-H), C.Cordero (99)"
2,2,3,Apr 7,False,PHI,"W,5-4",42,38,5,11,2,1,1,5,2,1,10,0,1,1,0,1,1,0,0.339,0.378,0.542,0.92,7,15,L,R.Wolf(49),WSN,2005,Apr 7,10.0,6,4,4,0,4,7,0,1,5.0,41,146.0,89.0,2.0,0.0,0,0,35,1,0,0,1,0,0,0,4,Mark Wegner,"E.Loaiza (99-49), J.Horgan (2), L.Ayala (0), C.Cordero (0-W)"
3,3,4,Apr 8,False,FLA,"L,0-9",29,28,0,5,0,0,0,0,1,0,3,0,0,0,0,4,0,0,0.308,0.346,0.473,0.819,2,15,L,D.Willis(79),WSN,2005,Apr 8,8.0,10,9,9,0,4,2,3,0,6.17,38,157.0,103.0,3.0,3.0,1,1,33,1,0,0,0,1,1,0,4,Paul Emmel,"T.Ohka (99-51-L), T.Tucker (3), A.Osuna (1), J.Eischen (1)"
4,4,5,Apr 9,False,FLA,"W,3-2",41,33,3,7,1,0,3,3,6,0,6,0,2,0,0,1,1,1,0.291,0.344,0.48,0.824,8,12,R,B.Moehler(50),WSN,2005,Apr 9,10.0,8,2,1,1,1,6,1,0,5.0,38,157.0,102.0,0.0,0.0,0,0,37,1,0,0,0,0,0,2,3,Tony Randazzo,"L.Hernández (4-68), L.Ayala (1-H), C.Cordero (1-BW)"
5,5,6,Apr 10,False,FLA,"L,0-8",32,31,0,5,2,0,0,0,1,0,11,0,0,0,0,0,0,0,0.271,0.322,0.443,0.764,5,12,R,J.Beckett(87),WSN,2005,Apr 10,8.0,12,8,8,0,3,6,1,0,5.6,37,139.0,89.0,2.0,2.0,0,1,34,1,0,1,0,0,0,0,3,Ed Montague,"J.Patterson (99-62-L), J.Eischen (1), A.Osuna (1)"
6,6,7,Apr 11,False,ATL,"L,2-11",35,35,2,8,1,0,1,2,0,0,2,0,0,0,1,1,0,0,0.265,0.309,0.429,0.738,6,15,L,M.Hampton(66),WSN,2005,Apr 11,8.0,15,11,11,0,3,2,2,1,6.49,42,147.0,87.0,0.0,0.0,0,0,37,4,1,0,0,1,0,1,4,Sam Holbrook,"Z.Day (4-16-L), J.Eischen (0), T.Tucker (2), J.Horgan (3)"
7,7,8,Apr 12,False,ATL,"W,4-3",36,33,4,8,3,1,1,4,2,0,6,0,0,1,0,1,0,0,0.263,0.305,0.435,0.741,5,14,R,T.Hudson(72),WSN,2005,Apr 12,9.0,9,3,3,0,0,4,0,0,6.04,34,119.0,78.0,0.0,0.0,0,0,33,2,0,0,0,1,0,2,3,Jim Wolf,"E.Loaiza (4-54), L.Ayala (2-W), C.Cordero (2-Sv)"
8,8,9,Apr 13,False,ATL,"W,11-4",47,38,11,12,2,3,2,11,8,0,4,0,0,1,0,0,0,0,0.269,0.322,0.465,0.787,9,14,R,J.Thomson(42),WSN,2005,Apr 13,9.0,9,4,4,0,6,4,1,0,5.81,42,131.0,76.0,1.0,0.0,0,0,35,3,0,1,1,0,0,0,4,Randy Marsh,"T.Ohka (4-48-W), L.Ayala (0-H), C.Cordero (0), J.Eischen (1)"
9,9,10,Apr 14,True,ARI,"W,5-3",35,30,5,9,2,1,1,5,2,0,8,2,0,1,0,2,0,0,0.272,0.326,0.471,0.797,6,11,R,J.Vázquez(43),WSN,2005,Apr 14,9.0,4,3,3,0,6,5,1,0,5.52,36,133.0,79.0,0.0,0.0,0,0,30,0,0,1,0,0,0,1,2,Jim Joyce,"L.Hernández (4-64-W), C.Cordero (0-Sv)"
10,10,11,Apr 16,True,ARI,"W,9-3",37,32,9,9,3,0,1,9,4,1,4,1,0,0,0,1,0,0,0.272,0.331,0.471,0.802,4,16,R,R.Ortiz(48),WSN,2005,Apr 16,9.0,8,3,3,0,4,8,1,0,5.29,38,141.0,90.0,5.0,0.0,0,1,33,2,0,0,1,0,0,0,5,Laz Diaz,"J.Patterson (5-74-W), L.Ayala (2), J.Eischen (2), Z.Day (4), C.Cordero (1)"
11,11,12,Apr 17,True,ARI,"W,7-3",34,30,7,11,2,1,0,7,3,1,4,0,0,1,0,3,2,1,0.279,0.337,0.473,0.81,3,15,L,B.Halsey(48),WSN,2005,Apr 17,9.0,8,3,3,0,2,9,0,0,5.09,37,150.0,97.0,3.0,0.0,0,0,34,4,0,1,1,0,0,1,5,Bob Davidson,"E.Loaiza (4-49), J.Horgan (5), T.Tucker (5-W), J.Eischen (0), L.Ayala (0)"
12,12,13,Apr 18,True,FLA,"L,4-9",36,32,4,8,3,0,1,3,1,0,6,1,1,1,0,1,0,0,0.277,0.333,0.47,0.804,5,16,L,D.Willis(52),WSN,2005,Apr 18,9.0,12,9,8,1,6,5,0,0,5.32,42,160.0,101.0,1.0,1.0,0,2,34,6,0,0,1,1,1,1,4,Ed Hickox,"T.Ohka (4-38-L), T.Tucker (0), J.Horgan (0), G.Majewski (99)"
13,13,14,Apr 19,True,FLA,"L,3-6",40,36,3,10,1,0,1,3,3,0,7,0,1,0,0,0,1,0,0.277,0.333,0.464,0.798,10,17,R,B.Moehler(53),WSN,2005,Apr 19,9.0,10,6,6,0,3,3,1,0,5.37,40,149.0,97.0,0.0,0.0,1,0,36,3,0,1,0,1,0,0,6,Marvin Hudson,"L.Hernández (4-25-L), T.Tucker (0), J.Horgan (0), G.Majewski (0), L.Ayala (1), J.Eischen (1)"
14,14,15,Apr 20,True,ATL,"W,2-0",35,30,2,6,0,0,1,2,4,1,5,1,0,0,1,0,1,0,0.273,0.332,0.455,0.787,9,13,L,H.Ramírez(54),WSN,2005,Apr 20,9.0,5,0,0,0,5,4,0,0,5.01,34,133.0,75.0,0.0,0.0,1,1,29,0,0,0,0,0,0,2,3,Gerry Davis,"Z.Day (3-68-W), L.Ayala (0-H), C.Cordero (3-Sv)"
15,15,16,Apr 21,True,ATL,"L,1-2",31,30,1,5,1,0,0,1,0,0,10,0,1,0,0,0,0,1,0.267,0.324,0.44,0.764,3,13,R,J.Smoltz(72),WSN,2005,Apr 21,9.0,4,2,0,2,3,7,0,0,4.69,35,139.0,88.0,0.0,0.0,0,0,32,0,0,0,0,0,1,0,3,Bill Hohn,"J.Patterson (4-76), H.Carrasco (99-H), C.Cordero (0-BL)"
16,16,17,Apr 22,False,NYM,"L,1-3",35,31,1,4,3,0,1,1,3,0,8,1,0,0,0,0,0,0,0.259,0.318,0.434,0.752,7,15,L,T.Glavine(73),WSN,2005,Apr 22,8.0,7,3,3,0,5,7,1,0,4.62,37,159.0,100.0,2.0,0.0,0,0,32,1,0,0,0,0,2,0,5,Tim Welke,"E.Loaiza (4-42-L), J.Horgan (2), H.Carrasco (0), J.Eischen (2), L.Ayala (1)"
