,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 2,True,BOS,"L,5-6",44,38,5,12,0,0,1,5,5,0,7,0,0,1,1,0,2,0,0.316,0.386,0.395,0.781,12,11,R,T.Gordon(49),ANA,1997
1,2,Apr 3,True,BOS,"W,2-0",32,27,2,7,2,0,0,2,4,1,1,0,0,1,0,2,0,0,0.292,0.368,0.369,0.738,6,9,R,T.Wakefield(57),ANA,1997
2,3,Apr 4,True,CLE,"W,8-6",49,42,8,14,2,0,2,8,7,3,6,0,0,0,1,1,1,1,0.308,0.392,0.43,0.822,11,13,R,B.Colón(40),ANA,1997
3,4,Apr 5,True,CLE,"L,5-7",42,34,5,8,0,1,1,3,6,0,6,1,1,0,1,0,0,1,0.291,0.386,0.418,0.804,10,11,R,C.Ogea(41),ANA,1997
4,5,Apr 6,True,CLE,"L,8-10",40,36,8,12,2,0,2,7,2,0,10,0,1,1,0,0,2,1,0.299,0.38,0.446,0.827,5,11,R,J.McDowell(19),ANA,1997
5,6,Apr 7,True,NYY,"L,3-5",38,36,3,10,2,0,0,3,2,0,7,0,0,0,0,0,0,1,0.296,0.37,0.427,0.798,8,13,L,A.Pettitte(47),ANA,1997
6,7,Apr 8,True,NYY,"W,10-9",54,45,10,15,3,0,2,10,6,3,8,0,2,1,0,0,0,1,0.302,0.376,0.446,0.822,10,12,L,K.Rogers(29),ANA,1997
7,8,Apr 9,True,NYY,"L,5-12",37,35,5,9,2,0,0,5,2,0,3,0,0,0,0,1,0,0,0.297,0.367,0.43,0.798,5,9,L,D.Wells(50),ANA,1997
8,9,Apr 11,False,CLE,"L,3-15",36,34,3,7,1,0,0,3,1,0,6,1,0,0,1,0,1,0,0.287,0.356,0.41,0.766,6,9,R,C.Ogea(58),ANA,1997
9,10,Apr 13,False,CLE,"W,8-3",46,39,8,13,2,0,1,5,5,2,5,0,1,1,2,1,3,0,0.292,0.361,0.415,0.776,11,10,R,J.McDowell(23),ANA,1997
10,11,Apr 14,False,NYY,"W,5-1",36,33,5,7,1,0,2,5,3,0,5,0,0,0,0,1,0,0,0.286,0.354,0.416,0.77,4,10,L,K.Rogers(59),ANA,1997
11,12,Apr 15,False,NYY,"W,6-5",42,39,6,14,2,0,1,6,2,0,5,0,1,0,0,1,2,0,0.292,0.357,0.422,0.78,9,11,L,D.Wells(45),ANA,1997
12,13,Apr 16,False,MIN,"L,2-4",35,29,2,7,1,0,1,2,5,0,4,1,0,0,0,3,1,0,0.289,0.358,0.42,0.778,6,9,L,R.Robertson(50),ANA,1997
13,14,Apr 17,False,MIN,"L,3-4",44,39,3,11,1,0,0,2,2,0,4,0,1,2,1,0,0,0,0.289,0.354,0.411,0.765,11,10,R,B.Radke(45),ANA,1997
14,15,Apr 19,False,KCR,"L,3-7",34,32,3,5,0,1,1,3,1,0,4,1,0,0,0,0,0,0,0.281,0.346,0.405,0.751,4,9,R,K.Appier(68),ANA,1997
15,16,Apr 20,False,KCR,"W,11-1",48,41,11,18,4,0,0,11,4,0,5,0,1,2,1,2,1,0,0.292,0.354,0.415,0.769,10,10,L,G.Rusch(28),ANA,1997
16,17,Apr 21,True,TOR,"W,5-4",55,52,5,14,2,0,0,4,3,1,10,0,0,0,1,1,0,0,0.29,0.351,0.406,0.757,13,11,R,W.Williams(53),ANA,1997
17,18,Apr 22,True,TOR,"L,6-7",36,33,6,7,1,0,2,6,3,0,5,0,0,0,0,0,3,0,0.286,0.347,0.407,0.754,3,10,R,E.Hanson(41),ANA,1997
18,19,Apr 23,True,TOR,"W,5-4",39,38,5,12,1,0,1,5,0,0,5,0,0,1,0,1,1,0,0.288,0.345,0.407,0.753,6,12,R,P.Hentgen(46),ANA,1997
19,20,Apr 25,True,DET,"W,8-3",38,35,8,11,3,0,2,8,3,0,3,0,0,0,1,0,1,0,0.289,0.346,0.415,0.762,6,10,R,F.Lira(32),ANA,1997
20,21,Apr 26,True,DET,"L,0-2",30,29,0,2,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0.281,0.338,0.405,0.742,3,9,R,B.Moehler(87),ANA,1997
21,22,Apr 27,True,DET,"W,6-5",38,34,6,11,1,0,0,6,3,0,3,0,1,0,0,0,2,1,0.283,0.339,0.403,0.742,6,10,R,W.Blair(32),ANA,1997
22,23,Apr 29,False,BOS,"W,5-4",42,35,5,12,2,0,0,5,5,1,8,1,0,1,0,0,0,1,0.285,0.343,0.402,0.746,10,11,R,J.Wasdin(49),ANA,1997
23,24,Apr 30,False,BOS,"L,2-11",35,32,2,7,0,0,0,2,3,0,6,0,0,0,0,1,0,0,0.283,0.341,0.396,0.737,6,11,L,C.Hammond(54),ANA,1997
24,25,May 3 (1),False,CHW,"W,3-2",35,33,3,8,2,1,0,3,1,0,8,0,0,1,0,0,2,0,0.281,0.338,0.394,0.733,5,12,R,J.Baldwin(62),ANA,1997
25,26,May 3 (2),False,CHW,"L,2-4",32,31,2,3,0,0,1,2,1,0,6,0,0,0,1,1,0,0,0.275,0.332,0.388,0.719,3,9,R,D.Drabek(73),ANA,1997
26,27,May 4,False,CHW,"L,2-4",39,36,2,10,1,0,0,1,2,0,4,0,1,0,0,0,0,1,0.275,0.331,0.385,0.716,10,12,R,J.Navarro(56),ANA,1997
27,28,May 5,False,BAL,"W,7-2",39,34,7,8,0,0,1,7,5,0,2,0,0,0,0,1,0,1,0.274,0.331,0.383,0.714,5,9,R,S.Kamieniecki(48),ANA,1997
28,29,May 6,False,BAL,"L,4-8",39,37,4,8,2,0,0,3,2,0,4,0,0,0,3,1,3,0,0.272,0.329,0.379,0.707,8,10,R,S.Erickson(53),ANA,1997
29,30,May 7,False,BAL,"L,0-3",36,33,0,8,0,0,0,0,3,0,4,0,0,0,0,1,2,1,0.271,0.328,0.374,0.702,9,9,L,J.Key(58),ANA,1997
30,31,May 9,False,MIL,"L,4-5",41,38,4,12,3,0,3,3,3,0,9,0,0,0,0,1,0,0,0.272,0.329,0.383,0.712,10,10,R,C.Eldred(56),ANA,1997
31,32,May 10,False,MIL,"L,3-4",43,40,3,13,4,0,0,3,3,0,8,0,0,0,0,2,0,0,0.274,0.331,0.385,0.715,10,12,L,S.Karl(41),ANA,1997
32,33,May 11,False,MIL,"L,2-5",38,36,2,8,0,0,0,2,2,0,7,0,0,0,1,0,1,0,0.273,0.329,0.38,0.708,9,10,R,B.McDonald(47),ANA,1997
33,34,May 12,True,CHW,"W,16-8",50,40,16,18,1,0,1,15,6,0,2,1,1,2,2,1,1,0,0.278,0.335,0.385,0.721,10,10,R,D.Darwin(45),ANA,1997
34,35,May 13,True,CHW,"W,8-7",42,35,8,13,5,0,0,7,6,0,0,0,0,1,1,0,0,1,0.281,0.339,0.389,0.728,10,10,R,J.Baldwin(16),ANA,1997
35,36,May 14,True,BAL,"W,6-5",35,31,6,7,1,0,3,6,4,0,3,0,0,0,0,0,1,0,0.28,0.338,0.393,0.731,5,9,R,M.Johnson(38),ANA,1997
36,37,May 15,True,BAL,"W,3-2",36,31,3,9,4,0,0,3,4,0,4,0,0,1,0,0,1,0,0.28,0.339,0.393,0.732,9,10,R,S.Kamieniecki(44),ANA,1997
37,38,May 16,True,MIL,"W,5-1",34,30,5,8,0,0,3,5,3,0,7,1,0,0,0,1,3,1,0.28,0.339,0.397,0.736,5,10,R,B.McDonald(46),ANA,1997
38,39,May 17,True,MIL,"W,6-5",38,30,6,8,3,0,0,5,7,0,5,0,1,0,1,1,0,0,0.279,0.341,0.397,0.737,8,11,L,J.Adamson(52),ANA,1997
39,40,May 18,True,MIL,"W,5-4",29,27,5,6,1,0,2,5,1,0,3,1,0,0,0,1,0,2,0.278,0.34,0.398,0.738,0,10,R,J.Mercedes(48),ANA,1997
