,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 2,True,BOS,"L,5-6",9.0,9,6,6,0,8,12,1,1,6.0,45,184.0,103.0,5.0,1.0,0,0,36,2,0,0,0,0,0,0,5,Ken Kaiser,"M.Langston (99-64), M.James (99-H), C.McElroy (99-H), T.Percival (99-BL), P.Harris (99)",ANA,1997
1,2,Apr 3,True,BOS,"W,2-0",9.0,5,0,0,0,0,5,0,0,3.0,29,102.0,69.0,,,0,0,29,0,0,0,0,0,0,3,1,Joe Brinkman,J.Dickson (99-82-W),ANA,1997
2,3,Apr 4,True,CLE,"W,8-6",11.0,9,6,5,1,6,8,1,2,3.41,48,,,4.0,0.0,0,1,39,3,0,0,1,0,2,2,6,Rocky Roe,"A.Watson (99-40), P.Harris (1), M.James (1), T.Percival (1), D.Springer (99), M.Holtz (99-W)",ANA,1997
3,4,Apr 5,True,CLE,"L,5-7",9.0,10,7,7,0,3,6,3,0,4.26,40,159.0,91.0,2.0,1.0,0,0,37,2,1,1,0,0,0,0,3,Durwood Merrill,"S.Hasegawa (99-29-L), C.McElroy (2), M.James (0)",ANA,1997
4,5,Apr 6,True,CLE,"L,8-10",9.0,15,10,10,0,8,6,3,0,5.36,49,186.0,99.0,2.0,2.0,1,0,40,3,0,1,1,0,1,2,4,Dale Scott,"M.Gubicza (99-21), P.Harris (1), M.Holtz (1), T.Percival (1-L)",ANA,1997
5,6,Apr 7,True,NYY,"L,3-5",9.0,12,5,5,0,6,6,0,0,5.3,42,160.0,93.0,1.0,0.0,0,1,35,2,0,1,0,1,0,2,4,Dale Ford,"M.Langston (4-45-L), D.Springer (2), M.James (1), M.Holtz (0)",ANA,1997
6,7,Apr 8,True,NYY,"W,10-9",12.0,19,9,9,0,2,7,2,0,5.56,54,204.0,131.0,1.0,0.0,0,0,50,6,1,0,0,2,0,1,5,Mike Reilly,"J.Dickson (4-16), S.Hasegawa (2), C.McElroy (2-BSv), P.Harris (1), M.James (0-W)",ANA,1997
7,8,Apr 9,True,NYY,"L,5-12",9.0,18,12,11,1,5,8,0,0,6.19,50,160.0,96.0,2.0,2.0,0,0,42,3,0,0,1,2,1,1,3,Larry Young,"A.Watson (4-8-L), D.Springer (1), M.Holtz (1)",ANA,1997
8,9,Apr 11,False,CLE,"L,3-15",8.0,20,15,15,0,6,9,2,0,7.2,48,206.0,121.0,5.0,2.0,1,0,40,3,0,0,1,1,0,2,4,Jim Evans,"M.Gubicza (4-17-L), S.Hasegawa (2), D.May (99), P.Harris (2)",ANA,1997
9,10,Apr 13,False,CLE,"W,8-3",9.0,10,3,2,1,5,6,0,0,6.7,41,,,0.0,0.0,1,0,36,4,0,0,0,0,1,2,4,Terry Craft,"M.Langston (5-46-W), C.McElroy (4), P.Harris (1-H), M.James (4)",ANA,1997
10,11,Apr 14,False,NYY,"W,5-1",9.0,5,1,1,0,3,9,0,0,6.2,34,136.0,88.0,1.0,0.0,0,1,31,0,0,0,0,0,1,1,2,John Hirschbeck,"J.Dickson (5-67-W), M.Holtz (4)",ANA,1997
11,12,Apr 15,False,NYY,"W,6-5",9.0,9,5,5,0,7,3,2,0,6.11,42,167.0,87.0,2.0,0.0,0,1,35,1,0,0,0,0,0,0,6,Brian O'Nora,"C.Finley (99-28), R.DeLucia (8), D.May (3), P.Harris (1), S.Hasegawa (3-W), M.James (1-Sv)",ANA,1997
12,13,Apr 16,False,MIN,"L,2-4",8.0,8,4,4,0,2,8,0,0,6.0,33,120.0,72.0,1.0,1.0,2,0,30,6,0,0,0,1,0,0,3,Gary Cederstrom,"A.Watson (6-53-L), M.Holtz (1), R.DeLucia (0)",ANA,1997
13,14,Apr 17,False,MIN,"L,3-4",9.2,11,4,4,0,5,9,0,0,5.83,45,162.0,98.0,3.0,0.0,2,0,40,4,0,0,0,0,0,0,5,Drew Coble,"D.Springer (7-46), C.McElroy (3), P.Harris (1), M.Holtz (0), M.James (1-L)",ANA,1997
14,15,Apr 19,False,KCR,"L,3-7",8.0,12,7,6,1,5,2,2,0,5.88,40,144.0,78.0,0.0,0.0,0,0,33,1,0,1,1,1,1,2,3,Rocky Roe,"M.Langston (5-23-L), S.Hasegawa (3), D.May (3)",ANA,1997
15,16,Apr 20,False,KCR,"W,11-1",9.0,3,1,1,0,0,7,1,0,5.58,29,104.0,69.0,,,0,0,29,1,0,0,0,0,0,1,1,Durwood Merrill,J.Dickson (5-84-W),ANA,1997
16,17,Apr 21,True,TOR,"W,5-4",13.0,8,4,4,0,4,13,2,0,5.35,50,,,3.0,0.0,0,1,45,1,0,0,1,0,1,1,6,Al Clark,"C.Finley (5-53), P.Harris (3), M.Holtz (3), M.James (3), C.McElroy (3), R.DeLucia (4-W)",ANA,1997
17,18,Apr 22,True,TOR,"L,6-7",9.0,10,7,6,1,1,5,2,0,5.39,39,151.0,93.0,0.0,0.0,3,1,36,3,0,0,1,1,1,0,5,Dan Morrison,"A.Watson (5-49), S.Hasegawa (2-BSv), M.Holtz (0-H), P.Harris (0-H), M.James (0-BL)",ANA,1997
18,19,Apr 23,True,TOR,"W,5-4",10.0,10,4,4,0,2,7,1,1,5.29,42,162.0,97.0,0.0,0.0,0,1,36,2,0,0,2,1,0,0,2,Ted Barrett,"M.Langston (3-46), R.DeLucia (1-W)",ANA,1997
