,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Mar 31,True,COL,"L,2-9",34,31,2,6,0,0,2,2,3,0,8,0,0,0,0,2,0,0,0.194,0.265,0.387,0.652,5,13,R,D.Kile(66),ARI,1998
1,2,Apr 1,True,COL,"L,0-6",33,30,0,3,0,0,0,0,3,0,5,0,0,0,1,1,1,0,0.148,0.224,0.246,0.47,6,12,R,J.Thomson(78),ARI,1998
2,3,Apr 2,True,COL,"L,4-6",41,37,4,11,2,0,2,4,1,0,9,2,1,0,0,0,0,0,0.204,0.271,0.347,0.618,10,13,R,P.Astacio(42),ARI,1998
3,4,Apr 3,True,SFG,"L,3-8",37,33,3,6,2,1,0,3,4,1,12,0,0,0,0,0,0,0,0.198,0.271,0.336,0.607,7,14,R,M.Gardner(61),ARI,1998
4,5,Apr 4,True,SFG,"L,3-5",36,32,3,8,1,0,1,3,3,0,7,0,1,0,0,2,0,0,0.209,0.279,0.344,0.623,6,13,R,D.Darwin(49),ARI,1998
5,6,Apr 5,True,SFG,"W,3-2",32,28,3,8,0,0,0,2,3,0,3,0,1,0,0,3,0,0,0.22,0.29,0.335,0.626,5,14,L,S.Estes(50),ARI,1998
6,7,Apr 7,False,LAD,"L,1-9",35,32,1,8,0,0,0,1,1,0,8,0,1,1,0,1,0,0,0.224,0.287,0.323,0.61,7,14,R,C.Park(60),ARI,1998
7,8,Apr 8,False,LAD,"W,3-0",33,31,3,5,1,0,2,2,1,0,10,1,0,0,0,1,1,0,0.217,0.278,0.331,0.609,3,10,R,H.Nomo(53),ARI,1998
8,9,Apr 9,False,LAD,"L,2-7",38,36,2,10,1,0,0,2,2,0,4,0,0,0,1,2,1,0,0.224,0.283,0.328,0.61,9,14,R,I.Valdez(49),ARI,1998
9,10,Apr 10,False,SDP,"L,4-6",33,32,4,5,1,0,1,3,0,0,9,0,0,1,2,1,0,0,0.217,0.27,0.323,0.593,2,11,R,K.Brown(64),ARI,1998
