,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Mar 31,True,COL,"L,2-9",9.0,13,9,9,0,4,3,2,0,9.0,44,167.0,98.0,1.0,1.0,0,0,40,3,0,0,0,0,0,0,4,Jim Quick,"A.Benes (99-35-L), C.Sodowsky (99), S.Brow (99), R.Springer (99)",ARI,1998
1,2,Apr 1,True,COL,"L,0-6",9.0,16,6,6,0,4,3,1,0,7.5,43,148.0,85.0,0.0,0.0,0,2,39,6,0,1,0,0,1,2,3,Dana DeMuth,"W.Blair (99-30-L), G.Olson (99), O.Daal (99)",ARI,1998
2,3,Apr 2,True,COL,"L,4-6",9.0,9,6,6,0,2,5,3,0,7.0,37,134.0,88.0,0.0,0.0,0,0,35,1,1,0,0,0,0,1,3,Gary Darling,"B.Anderson (99-43-L), B.Manuel (99), F.Rodríguez (99)",ARI,1998
3,4,Apr 3,True,SFG,"L,3-8",9.0,12,8,8,0,2,4,0,1,7.25,40,132.0,84.0,3.0,1.0,0,1,36,3,1,0,1,0,0,1,3,Angel Hernandez,"J.Suppan (99-33-L), C.Sodowsky (2), S.Brow (2)",ARI,1998
4,5,Apr 4,True,SFG,"L,3-5",9.0,7,5,5,0,5,8,1,1,6.8,40,140.0,86.0,0.0,0.0,1,0,34,1,0,0,0,0,0,0,3,Randy Marsh,"J.Adamson (99-53), G.Olson (2-L), R.Springer (3)",ARI,1998
5,6,Apr 5,True,SFG,"W,3-2",9.0,7,2,2,0,2,4,2,0,6.0,35,131.0,81.0,0.0,0.0,1,0,31,2,0,0,2,0,0,0,4,Greg Bonin,"A.Benes (4-57-W), O.Daal (3-H), S.Brow (1-H), F.Rodríguez (2-Sv)",ARI,1998
6,7,Apr 7,False,LAD,"L,1-9",8.0,13,9,9,0,0,4,2,1,6.53,38,140.0,94.0,1.0,1.0,1,0,36,4,0,0,0,1,0,0,5,Wally Bell,"W.Blair (5-24-L), B.Manuel (4), C.Sodowsky (3), G.Olson (2), R.Springer (2)",ARI,1998
7,8,Apr 8,False,LAD,"W,3-0",9.0,8,0,0,0,0,5,0,0,5.7,32,108.0,75.0,0.0,0.0,0,0,32,1,0,0,0,0,0,2,2,Jerry Meals,"B.Anderson (5-72-W), F.Rodríguez (2-Sv)",ARI,1998
8,9,Apr 9,False,LAD,"L,2-7",8.0,10,7,7,0,2,10,2,0,5.92,35,112.0,74.0,0.0,0.0,1,1,33,0,0,1,0,0,1,0,3,Terry Tata,"J.Suppan (5-26-L), S.Brow (3), C.Sodowsky (1)",ARI,1998
9,10,Apr 10,False,SDP,"L,4-6",8.2,9,6,6,0,3,5,2,0,5.95,38,122.0,70.0,0.0,0.0,1,0,35,2,0,1,0,0,0,0,2,Larry Vanover,"A.Benes (4-63), F.Rodríguez (1-BL)",ARI,1998
10,11,Apr 11,False,SDP,"L,0-7",8.0,9,7,7,0,2,7,1,1,6.11,34,128.0,79.0,1.0,0.0,1,0,30,2,0,0,1,0,0,2,5,Mark Hirschbeck,"J.Adamson (6-32-L), B.Manuel (3), G.Olson (3), R.Springer (3), O.Daal (5)",ARI,1998
11,12,Apr 12,False,SDP,"L,2-4",8.0,5,4,4,0,2,6,2,0,5.99,31,127.0,69.0,0.0,0.0,2,0,29,1,0,0,0,0,0,0,2,Bruce Froemming,"W.Blair (4-54-L), O.Daal (0)",ARI,1998
12,13,Apr 13,False,SDP,"L,0-1",8.0,3,1,1,0,0,5,1,0,5.64,27,93.0,67.0,,,0,0,27,0,0,0,0,0,0,0,1,Larry Vanover,B.Anderson (4-77-L),ARI,1998
13,14,Apr 14,False,STL,"L,5-15",8.0,13,15,15,0,8,5,5,0,6.39,44,172.0,98.0,6.0,3.0,0,0,35,2,0,2,1,0,0,1,6,Gerry Davis,"J.Suppan (4-42), C.Sodowsky (4-L), O.Daal (1), S.Brow (4), B.Manuel (2), F.Rodríguez (3)",ARI,1998
14,15,Apr 16(1),False,STL,"L,4-5",8.0,5,5,5,0,5,4,1,1,6.34,33,109.0,63.0,0.0,0.0,0,1,27,1,0,0,0,0,0,1,3,Wally Bell,"J.Adamson (4-40-L), G.Olson (4), R.Springer (4)",ARI,1998
15,16,Apr 16(2),False,STL,"W,8-2",9.0,7,2,2,0,5,3,1,0,6.06,38,129.0,78.0,,,1,1,32,1,0,0,1,0,0,0,1,Jerry Meals,A.Benes (5-63-W),ARI,1998
16,17,Apr 17,True,FLA,"W,7-5",9.0,4,5,4,1,5,6,1,0,5.93,36,134.0,79.0,1.0,1.0,0,0,31,1,0,0,0,0,0,0,3,Terry Tata,"W.Blair (4-53), R.Springer (0-BW), F.Rodríguez (2-Sv)",ARI,1998
