,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 9,False,CIN,"L,0-9",8.0,9,9,6,3,5,6,1,0,6.75,40,,,0.0,0.0,0,0,33,3,1,1,1,1,2,1,5,Harry Wendelstedt,"P.Niekro (99-25-L), R.Camp (99), L.Bradford (99), P.Hanna (99), T.Boggs (99)",ATL,1980
1,2,Apr 11,False,CIN,"L,0-6",6.0,8,6,4,2,1,3,1,1,6.43,29,,,1.0,1.0,1,0,26,1,1,0,1,0,3,2,3,Frank Pulli,"L.McWilliams (99-26-L), T.Boggs (1), R.Camp (1)",ATL,1980
2,3,Apr 12,False,CIN,"L,4-5",8.2,11,5,4,1,4,6,1,0,5.56,39,,,3.0,0.0,1,0,35,3,0,2,0,0,1,1,3,Ed Montague,"R.Matula (99-60), G.Garber (99-H), A.Hrabosky (99-BL)",ATL,1980
3,4,Apr 13,False,CIN,"L,0-5",8.0,12,5,5,0,6,2,1,0,5.58,38,,,3.0,2.0,1,0,32,2,0,1,0,0,0,3,3,Lanny Harris,"P.Niekro (3-28-L), L.Bradford (3), R.Camp (1)",ATL,1980
4,5,Apr 14,False,HOU,"L,4-5",8.1,12,5,5,0,5,8,0,1,5.54,42,,,1.0,1.0,3,1,33,2,0,3,1,2,0,0,4,Doug Harvey,"D.Alexander (99-40), L.Bradford (0), G.Garber (1-L), A.Hrabosky (1)",ATL,1980
5,6,Apr 15,False,HOU,"L,2-6",8.0,10,6,6,0,2,6,0,0,5.74,38,,,1.0,1.0,2,0,34,3,0,0,2,0,1,0,4,Andy Olsen,"L.McWilliams (3-22-L), T.Boggs (3), R.Camp (1), A.Hrabosky (0)",ATL,1980
6,7,Apr 17,True,CIN,"L,1-4",9.0,6,4,4,0,1,9,2,0,5.46,34,,,0.0,0.0,0,0,32,1,0,0,1,0,0,0,2,Jerry Dale,"P.Niekro (3-63-L), G.Garber (2)",ATL,1980
7,8,Apr 18,True,CIN,"W,3-0",9.0,5,0,0,0,1,2,0,0,4.71,32,,,,,0,0,31,1,0,0,0,0,0,0,1,Fred Brocklander,R.Matula (5-78-W),ATL,1980
8,9,Apr 19,True,CIN,"L,1-6",9.0,8,6,3,3,5,11,0,0,4.5,42,,,2.0,0.0,5,0,37,0,0,1,0,0,3,0,3,Paul Runge,"D.Alexander (4-46-L), R.Camp (3), L.Bradford (4)",ATL,1980
9,10,Apr 20,True,CIN,"L,3-5",9.0,6,5,3,2,4,5,1,0,4.34,35,,,0.0,0.0,1,2,31,2,0,0,0,0,1,0,3,Jim Quick,"T.Boggs (4-56), L.Bradford (0-L), A.Hrabosky (4)",ATL,1980
10,11,Apr 22,True,SDP,"W,3-2",10.0,5,2,2,0,2,8,0,1,4.06,38,,,0.0,0.0,1,1,34,0,0,0,1,0,0,0,2,Andy Olsen,"P.Niekro (4-77), A.Hrabosky (1-W)",ATL,1980
11,12,Apr 23,True,SDP,"W,2-1",9.0,4,1,1,0,5,4,0,0,3.79,36,,,3.0,0.0,2,1,31,0,0,0,0,0,3,2,4,Nick Colosi,"R.Matula (4-61-W), L.Bradford (2-H), G.Garber (5), A.Hrabosky (0-Sv)",ATL,1980
12,13,Apr 24,True,SDP,"W,8-7",9.0,12,7,7,0,6,4,2,0,4.05,43,,,2.0,1.0,0,0,36,2,0,1,1,0,0,1,5,Fred Brocklander,"D.Alexander (4-31), L.Bradford (0), R.Camp (4), A.Hrabosky (0-BSv), G.Garber (0-W)",ATL,1980
13,14,Apr 25,True,MON,"W,8-7",11.0,9,7,7,0,1,4,3,0,4.2,42,,,0.0,0.0,0,0,41,1,0,0,0,0,0,0,5,Dick Stello,"T.Boggs (4-32), P.Hanna (15), R.Camp (0), G.Garber (0-BSv), L.Bradford (0-W)",ATL,1980
14,15,Apr 26,True,MON,"L,3-4",9.0,6,4,4,0,5,7,1,0,4.19,38,,,0.0,0.0,2,0,32,1,0,0,0,1,1,1,2,Bruce Froemming,"P.Niekro (3-59-L), P.Hanna (0)",ATL,1980
15,16,Apr 27,True,MON,"W,6-3",9.0,7,3,3,0,2,3,2,0,4.11,37,,,1.0,0.0,0,0,35,1,0,0,0,0,1,0,3,Terry Tata,"L.McWilliams (11-65-W), R.Camp (1), A.Hrabosky (2-Sv)",ATL,1980
16,17,Apr 30,False,SDP,"L,1-2",8.0,4,2,2,0,5,5,0,0,4.01,30,,,0.0,0.0,1,2,25,2,0,1,0,0,0,1,2,Paul Pryor,"R.Matula (6-62-L), G.Garber (4)",ATL,1980
17,18,May 1,False,SDP,"L,3-4",8.1,8,4,3,1,7,3,0,0,3.97,41,,,4.0,1.0,3,0,33,2,0,0,0,1,1,0,5,John McSherry,"D.Alexander (6-66), G.Garber (0-H), A.Hrabosky (3-BSv), R.Camp (3-L), L.Bradford (5)",ATL,1980
18,19,May 2,False,PIT,"W,6-1",9.0,7,1,1,0,2,4,0,0,3.81,36,,,,,2,0,33,0,0,0,1,0,0,0,1,Terry Tata,P.Niekro (5-71-W),ATL,1980
19,20,May 3,False,PIT,"W,3-1",10.0,9,1,0,1,1,3,0,0,3.59,39,,,4.0,0.0,1,0,38,1,0,1,0,0,1,2,3,John Kibler,"L.McWilliams (5-70), R.Camp (1), A.Hrabosky (1-W)",ATL,1980
20,21,May 4,False,PIT,"L,4-13",8.0,15,13,12,1,5,3,3,2,4.03,47,,,4.0,1.0,4,0,36,3,0,1,1,3,3,2,5,Dick Stello,"T.Boggs (8-39-L), L.Bradford (2), P.Hanna (7), G.Garber (2), R.Camp (0)",ATL,1980
21,22,May 5,False,PHI,"L,1-7",8.0,9,7,4,3,3,3,2,0,4.05,37,,,0.0,0.0,0,0,33,2,1,0,0,1,2,0,4,Jerry Crawford,"R.Matula (4-23-L), P.Hanna (0), G.Garber (0), L.Bradford (0)",ATL,1980
22,23,May 6,False,PHI,"L,5-10",8.0,14,10,9,1,5,5,0,0,4.29,42,,,1.0,0.0,0,0,35,7,1,1,1,1,0,2,4,Jerry Dale,"D.Alexander (4-23-L), T.Boggs (1), R.Camp (1), A.Hrabosky (2)",ATL,1980
23,24,May 9,True,HOU,"W,5-4",9.0,9,4,4,0,1,2,4,0,4.28,34,,,1.0,0.0,0,2,33,0,0,0,0,0,0,1,3,Paul Pryor,"L.McWilliams (5-46-W), R.Camp (2-H), L.Bradford (3-Sv)",ATL,1980
24,25,May 10,True,HOU,"L,2-3",11.0,8,3,2,1,6,4,0,0,4.14,47,,,3.0,1.0,2,1,40,0,0,2,1,0,1,0,4,Joe West,"R.Matula (4-66), L.Bradford (0), G.Garber (4-L), A.Hrabosky (3)",ATL,1980
25,26,May 11,True,HOU,"W,7-4",9.0,7,4,4,0,6,3,0,0,4.14,39,,,,,1,0,30,1,0,0,1,2,2,3,1,John McSherry,P.Niekro (8-54-W),ATL,1980
26,27,May 13,True,PHI,"W,7-3",9.0,6,3,2,1,4,6,0,1,4.06,35,,,2.0,2.0,1,1,30,3,0,0,0,0,1,3,2,Steve Fields,"D.Alexander (6-60-W), R.Camp (3-Sv)",ATL,1980
27,28,May 14,True,PHI,"L,1-9",9.0,14,9,8,1,1,4,0,1,4.2,42,,,3.0,3.0,0,1,39,3,0,0,1,0,3,2,4,Harry Wendelstedt,"L.McWilliams (4-12-L), T.Boggs (7), P.Hanna (8), G.Garber (3)",ATL,1980
