,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 10,False,CHW,"W,5-3",35,31,5,8,2,2,0,4,1,0,6,1,1,1,1,2,0,1,0.258,0.294,0.452,0.746,3,9,L,S.Trout(43),BAL,1980
1,2,Apr 11,False,CHW,"L,4-8",38,34,4,10,0,0,2,4,4,0,4,0,0,0,0,1,0,0,0.277,0.333,0.462,0.795,7,12,L,K.Kravec(39),BAL,1980
2,3,Apr 12,False,CHW,"L,2-8",34,32,2,5,2,0,0,2,2,0,7,0,0,0,0,0,0,0,0.237,0.292,0.381,0.674,5,10,R,R.Dotson(74),BAL,1980
3,4,Apr 13,False,CHW,"L,2-5",35,30,2,5,0,0,0,2,4,0,7,0,1,0,1,2,1,0,0.22,0.286,0.331,0.616,6,9,L,R.Baumgarten(58),BAL,1980
4,5,Apr 15,True,KCR,"W,12-2",42,34,12,12,3,0,2,10,7,0,6,0,0,1,0,1,0,0,0.248,0.324,0.391,0.715,6,10,R,D.Leonard(25),BAL,1980
5,6,Apr 16,True,KCR,"W,2-1",34,29,2,7,0,0,1,2,4,0,1,0,1,0,0,0,0,1,0.247,0.326,0.384,0.71,8,9,L,L.Gura(57),BAL,1980
6,7,Apr 17,True,KCR,"W,5-2",34,30,5,8,0,1,2,5,4,0,2,0,0,0,0,0,1,1,0.25,0.329,0.405,0.734,5,12,R,R.Gale(40),BAL,1980
7,8,Apr 18,True,CHW,"W,5-2",34,29,5,5,2,0,3,5,5,0,6,0,0,0,0,0,3,0,0.241,0.325,0.422,0.747,5,9,R,R.Dotson(34),BAL,1980
8,9,Apr 19,True,CHW,"L,4-5",50,42,4,5,1,0,2,4,7,1,9,1,0,0,2,1,1,0,0.223,0.315,0.402,0.717,10,13,L,R.Baumgarten(46),BAL,1980
9,10,Apr 20,True,CHW,"L,6-9",44,38,6,11,1,1,1,6,5,0,4,1,0,0,2,2,0,0,0.231,0.324,0.407,0.731,11,13,L,S.Trout(35),BAL,1980
10,11,Apr 21,False,NYY,"L,2-3",33,29,2,3,0,0,0,2,4,0,1,0,0,0,1,1,0,1,0.221,0.315,0.383,0.697,4,10,L,T.John(69),BAL,1980
11,12,Apr 22,False,NYY,"L,4-5",37,30,4,4,1,0,1,4,7,0,5,0,0,0,0,1,1,0,0.214,0.313,0.374,0.687,6,12,R,M.Griffin(58),BAL,1980
12,13,Apr 23,False,NYY,"L,5-6",32,28,5,6,0,2,2,5,2,0,5,0,0,2,0,2,0,1,0.214,0.309,0.387,0.696,0,10,R,L.Tiant(40),BAL,1980
13,14,Apr 25,False,KCR,"L,0-7",34,30,0,4,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0.209,0.304,0.37,0.674,7,9,L,L.Gura(77),BAL,1980
14,15,Apr 26,False,KCR,"W,4-0",39,33,4,8,1,1,1,4,4,0,7,1,0,1,0,0,1,1,0.211,0.306,0.374,0.68,8,11,R,R.Gale(55),BAL,1980
