,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 10,False,CHW,"W,5-3",9.0,7,3,1,2,5,6,0,0,1.0,39,,,0.0,0.0,1,0,34,1,0,0,0,0,1,0,2,Bill Kunkel,"J.Palmer (99-59-W), T.Stoddard (99-Sv)",BAL,1980
1,2,Apr 11,False,CHW,"L,4-8",8.0,9,8,8,0,5,3,2,0,4.76,37,,,1.0,0.0,0,0,31,2,1,0,0,1,1,2,2,Terry Cooney,"M.Flanagan (99-27-L), S.Stewart (99)",BAL,1980
2,3,Apr 12,False,CHW,"L,2-8",8.0,11,8,8,0,4,2,1,0,6.12,40,,,4.0,4.0,0,0,35,0,1,1,1,0,1,0,3,Ken Kaiser,"S.Stone (99-41-L), T.Martinez (99), J.Kerrigan (99)",BAL,1980
3,4,Apr 13,False,CHW,"L,2-5",8.0,9,5,5,0,6,4,0,1,6.0,36,,,3.0,0.0,0,2,28,2,0,1,0,1,0,2,2,Richard Shulock,"D.Ford (99-43), S.Stewart (1-L)",BAL,1980
4,5,Apr 15,True,KCR,"W,12-2",9.0,6,2,2,0,0,6,1,0,5.14,34,,,0.0,0.0,0,0,34,0,0,0,0,0,1,0,2,Mike Reilly,"J.Palmer (4-67-W), T.Stoddard (4)",BAL,1980
5,6,Apr 16,True,KCR,"W,2-1",9.0,7,1,1,0,1,4,0,0,4.41,34,,,,,1,0,33,0,0,0,0,0,0,1,1,Jerry Neudecker,M.Flanagan (4-72-W),BAL,1980
6,7,Apr 17,True,KCR,"W,5-2",9.0,8,2,2,0,2,4,0,1,4.05,36,,,1.0,0.0,0,1,33,2,1,0,0,0,0,1,2,Bill Deegan,"S.Stone (4-56-W), T.Stoddard (1-Sv)",BAL,1980
7,8,Apr 18,True,CHW,"W,5-2",9.0,4,2,2,0,0,4,1,0,3.78,31,,,,,0,0,31,2,0,0,0,0,0,0,1,Rich Garcia,D.Ford (4-75-W),BAL,1980
8,9,Apr 19,True,CHW,"L,4-5",12.0,14,5,5,0,0,4,3,0,3.78,47,,,2.0,0.0,1,2,47,1,0,0,0,0,0,1,3,Mike Reilly,"J.Palmer (3-46), T.Stoddard (1-BSv), T.Martinez (6-L)",BAL,1980
9,10,Apr 20,True,CHW,"L,6-9",9.0,19,9,8,1,3,5,1,0,4.2,47,,,2.0,1.0,0,1,44,6,0,1,0,0,0,0,3,Jerry Neudecker,"D.Martínez (99-30), S.Stewart (6-L), T.Stoddard (0)",BAL,1980
