,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 10,False,MIL,"L,5-9",36,35,5,10,0,0,2,5,1,0,3,0,0,0,0,2,0,0,0.286,0.306,0.457,0.763,4,9,R,J.Slaton(45),BOS,1980
1,2,Apr 12,False,MIL,"L,1-18",36,34,1,8,0,0,0,1,2,0,4,0,0,0,0,1,0,0,0.261,0.292,0.348,0.639,8,12,R,L.Sorensen(54),BOS,1980
2,3,Apr 13,False,MIL,"W,3-1",35,32,3,5,1,0,0,3,3,0,4,0,0,0,0,0,2,0,0.228,0.271,0.297,0.568,5,10,R,M.Haas(56),BOS,1980
3,4,Apr 14,True,DET,"W,3-1",29,26,3,6,0,1,1,3,2,0,2,0,0,1,0,2,0,0,0.228,0.272,0.323,0.595,2,9,R,J.Morris(51),BOS,1980
4,5,Apr 16,True,DET,"W,10-9",43,35,10,11,4,0,1,10,8,1,5,0,0,0,0,0,0,0,0.247,0.313,0.364,0.677,9,9,L,D.Schatzeder(21),BOS,1980
5,6,Apr 17,True,DET,"W,5-4",44,38,5,8,2,1,1,4,5,0,8,1,0,0,2,0,0,1,0.24,0.314,0.37,0.684,9,9,R,M.Wilcox(47),BOS,1980
6,7,Apr 18,True,TEX,"L,5-6",40,32,5,9,1,0,0,4,5,1,5,0,2,1,1,1,0,0,0.246,0.322,0.362,0.684,8,9,R,S.Comer(32),BOS,1980
7,8,Apr 19,True,TEX,"L,0-8",35,33,0,5,1,0,0,0,2,0,3,0,0,0,3,2,0,0,0.234,0.307,0.34,0.647,8,10,R,G.Perry(78),BOS,1980
8,9,Apr 20,True,TEX,"W,6-5",50,45,6,15,4,1,0,6,5,2,5,0,0,0,0,0,0,0,0.248,0.321,0.358,0.679,13,10,R,D.Medich(31),BOS,1980
9,10,Apr 21,True,CHW,"W,9-8",38,32,9,12,2,0,3,9,4,0,0,0,2,0,0,1,0,0,0.26,0.332,0.392,0.724,5,12,L,K.Kravec(20),BOS,1980
10,11,Apr 22,True,CHW,"L,0-2",33,31,0,6,0,0,0,0,2,0,7,0,0,0,0,2,1,0,0.255,0.325,0.375,0.701,6,13,L,B.Burns(65),BOS,1980
11,12,Apr 24,True,CHW,"L,3-9",40,38,3,10,2,0,0,2,2,0,10,0,0,0,2,0,0,0,0.255,0.323,0.37,0.693,10,9,R,R.Dotson(53),BOS,1980
12,13,Apr 25,False,DET,"L,3-11",39,35,3,10,3,0,1,2,4,0,3,0,0,0,1,3,0,0,0.258,0.326,0.377,0.703,9,12,L,D.Schatzeder(47),BOS,1980
13,14,Apr 26,False,DET,"W,12-7",48,42,12,17,2,0,3,12,5,2,2,0,0,1,0,1,0,0,0.27,0.338,0.402,0.739,9,11,R,M.Wilcox(19),BOS,1980
14,15,Apr 27,False,DET,"L,5-8",40,33,5,10,3,0,0,4,5,0,2,1,0,1,0,2,0,1,0.273,0.342,0.401,0.743,8,9,R,D.Rozema(47),BOS,1980
15,16,Apr 29,False,CHW,"W,11-1",41,37,11,13,0,1,2,9,2,0,4,0,0,2,1,1,0,0,0.278,0.343,0.412,0.756,3,10,L,R.Baumgarten(32),BOS,1980
16,17,Apr 30,False,CHW,"L,1-2",33,31,1,5,0,0,1,1,1,0,5,1,0,0,0,1,0,0,0.272,0.337,0.404,0.741,5,10,R,R.Dotson(74),BOS,1980
17,18,May 1,False,CHW,"W,4-3",32,29,4,5,2,0,2,4,2,0,2,0,1,0,0,1,0,0,0.267,0.332,0.406,0.738,1,9,L,S.Trout(61),BOS,1980
18,19,May 2,False,KCR,"W,6-5",47,42,6,11,2,1,1,6,3,1,6,0,2,0,1,0,0,1,0.267,0.331,0.408,0.738,8,12,R,R.Gale(41),BOS,1980
19,20,May 3,False,KCR,"W,7-0",44,40,7,16,4,1,0,7,2,1,3,0,0,2,1,1,0,0,0.274,0.335,0.416,0.751,10,10,L,P.Splittorff(50),BOS,1980
20,21,May 4,False,KCR,"L,3-5",36,34,3,8,2,0,1,2,2,0,5,0,0,0,0,1,1,0,0.272,0.333,0.414,0.747,6,10,R,D.Leonard(51),BOS,1980
21,22,May 5,False,TEX,"L,3-11",34,33,3,8,3,0,1,3,1,0,5,0,0,0,0,1,0,0,0.271,0.33,0.415,0.744,4,9,R,G.Perry(63),BOS,1980
22,23,May 6,False,TEX,"L,2-7",33,32,2,6,2,0,1,2,1,0,7,0,0,0,0,0,1,1,0.268,0.325,0.412,0.737,4,9,R,D.Medich(73),BOS,1980
23,24,May 7,False,TEX,"W,7-4",51,47,7,15,1,0,2,6,2,1,2,0,1,1,0,0,1,0,0.271,0.326,0.415,0.741,11,13,L,J.Matlack(44),BOS,1980
24,25,May 9,True,KCR,"L,5-6",41,40,5,13,3,0,1,4,1,0,4,0,0,0,1,1,0,0,0.273,0.327,0.418,0.744,9,9,R,D.Leonard(42),BOS,1980
