,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 10,False,MIL,"L,5-9",8.2,9,9,9,0,7,7,5,0,9.35,42,,,1.0,0.0,0,0,34,2,0,2,1,0,0,0,3,Jerry Neudecker,"D.Eckersley (99-38), S.Renko (99), D.Drago (99-L)",BOS,1980
1,2,Apr 12,False,MIL,"L,1-18",8.0,14,18,17,1,8,5,4,1,14.04,49,,,0.0,0.0,1,0,39,3,0,1,0,1,2,1,4,Bill Deegan,"M.Torrez (99-21-L), C.Rainey (99), B.Hurst (99), T.Burgmeier (99)",BOS,1980
2,3,Apr 13,False,MIL,"W,3-1",9.0,4,1,1,0,4,3,0,1,9.47,36,,,,,0,0,30,1,0,0,1,0,0,0,1,Rich Garcia,B.Stanley (99-74-W),BOS,1980
3,4,Apr 14,True,DET,"W,3-1",9.0,5,1,1,0,3,2,0,0,7.27,35,,,0.0,0.0,0,0,32,0,0,0,0,0,0,0,2,Marty Springstead,"D.Eckersley (3-65-W), T.Burgmeier (1-Sv)",BOS,1980
4,5,Apr 16,True,DET,"W,10-9",9.0,9,9,8,1,6,2,1,2,7.42,43,,,4.0,1.0,0,0,34,1,3,0,0,1,1,1,3,Joe Brinkman,"B.Hurst (3-28), S.Renko (5-W), T.Burgmeier (1-Sv)",BOS,1980
5,6,Apr 17,True,DET,"W,5-4",11.0,10,4,3,1,6,5,0,0,6.42,48,,,5.0,0.0,0,0,40,3,0,0,2,0,0,1,3,Nick Bremigan,"M.Torrez (4-42), S.Lockwood (99), D.Drago (6-W)",BOS,1980
6,7,Apr 18,True,TEX,"L,5-6",9.0,10,6,6,0,3,6,3,0,6.36,39,,,4.0,2.0,0,1,36,3,0,0,0,0,2,2,4,Durwood Merrill,"B.Stanley (4-44), S.Lockwood (0-BL), T.Burgmeier (1), S.Renko (1)",BOS,1980
7,8,Apr 19,True,TEX,"L,0-8",9.0,12,8,7,1,2,4,1,0,6.44,42,,,0.0,0.0,3,0,39,3,0,1,0,1,1,0,2,Marty Springstead,"D.Eckersley (4-26-L), S.Lockwood (0)",BOS,1980
8,9,Apr 20,True,TEX,"W,6-5",11.0,8,5,5,0,5,6,1,0,6.13,43,,,4.0,1.0,0,0,37,3,0,0,1,0,0,3,3,Joe Brinkman,"C.Rainey (7-39), D.Drago (2), T.Burgmeier (1-W)",BOS,1980
9,10,Apr 21,True,CHW,"W,9-8",9.0,15,8,8,0,0,5,2,1,6.31,42,,,2.0,1.0,1,0,41,2,0,0,0,0,0,1,4,Ken Kaiser,"B.Hurst (4-30), S.Renko (2), S.Lockwood (1-W), D.Drago (0-Sv)",BOS,1980
10,11,Apr 22,True,CHW,"L,0-2",9.0,7,2,2,0,4,2,0,1,5.93,35,,,,,0,0,30,4,0,1,0,0,1,4,1,Richard Shulock,M.Torrez (4-63-L),BOS,1980
11,12,Apr 24,True,CHW,"L,3-9",9.0,20,9,8,1,3,3,1,0,6.1,47,,,5.0,3.0,3,1,42,3,0,0,2,0,1,0,4,Terry Cooney,"B.Stanley (5-31-L), C.Rainey (3), T.Burgmeier (3), S.Renko (2)",BOS,1980
12,13,Apr 25,False,DET,"L,3-11",8.0,11,11,10,1,6,4,1,0,6.45,40,,,1.0,1.0,1,0,32,2,0,1,1,1,1,2,2,Jim McKean,"D.Eckersley (5-37-L), C.Rainey (0)",BOS,1980
13,14,Apr 26,False,DET,"W,12-7",9.0,8,7,6,1,4,5,2,0,6.42,39,,,0.0,0.0,0,0,35,0,0,0,0,0,1,1,3,Ted Hendry,"B.Hurst (4-57-W), D.Drago (4), T.Burgmeier (1-Sv)",BOS,1980
14,15,Apr 27,False,DET,"L,5-8",8.0,12,8,6,2,3,2,1,0,6.43,40,,,0.0,0.0,0,1,32,2,0,0,2,3,3,2,3,Jim Evans,"M.Torrez (4-25-L), T.Burgmeier (0), S.Lockwood (5)",BOS,1980
15,16,Apr 29,False,CHW,"W,11-1",9.0,4,1,1,0,5,8,1,1,6.1,36,,,0.0,0.0,0,0,30,0,0,0,0,0,0,1,2,Dale Ford,"B.Stanley (4-73-W), D.Drago (2)",BOS,1980
16,17,Apr 30,False,CHW,"L,1-2",8.0,4,2,2,0,3,3,1,0,5.9,31,,,,,2,0,26,1,0,1,2,0,0,0,1,Greg Kosc,D.Eckersley (4-66-L),BOS,1980
17,18,May 1,False,CHW,"W,4-3",9.0,9,3,3,0,4,3,0,1,5.73,42,,,5.0,0.0,1,0,36,3,0,1,0,1,1,0,3,Don Denkinger,"B.Hurst (4-49-W), D.Drago (1-H), T.Burgmeier (3-Sv)",BOS,1980
18,19,May 2,False,KCR,"W,6-5",11.0,12,5,5,0,4,4,1,0,5.63,48,,,0.0,0.0,1,0,43,4,1,1,0,1,0,1,3,Rich Garcia,"M.Torrez (4-32), T.Burgmeier (0), S.Lockwood (4-W)",BOS,1980
19,20,May 3,False,KCR,"W,7-0",9.0,5,0,0,0,4,4,0,0,5.35,33,,,,,0,1,29,1,0,0,0,0,1,3,1,Mike Reilly,C.Rainey (7-77-W),BOS,1980
20,21,May 4,False,KCR,"L,3-5",8.0,8,5,5,0,0,4,0,3,5.36,34,,,3.0,0.0,1,0,30,0,1,0,1,0,1,1,2,Jerry Neudecker,"B.Stanley (4-41-L), T.Burgmeier (1)",BOS,1980
21,22,May 5,False,TEX,"L,3-11",8.0,16,11,9,2,3,3,1,0,5.55,44,,,2.0,1.0,1,0,39,4,0,0,1,1,1,0,3,Bill Deegan,"D.Eckersley (4-32-L), S.Renko (10), S.Lockwood (2)",BOS,1980
22,23,May 6,False,TEX,"L,2-7",8.0,14,7,6,1,2,5,0,0,5.6,40,,,2.0,1.0,1,1,37,2,1,1,0,1,2,0,3,Rich Garcia,"B.Hurst (4-37-L), D.Drago (4), T.Burgmeier (1)",BOS,1980
23,24,May 7,False,TEX,"W,7-4",11.0,6,4,1,3,4,4,0,0,5.36,42,,,5.0,2.0,0,1,38,1,1,0,0,0,1,1,3,Mike Reilly,"M.Torrez (4-61), T.Burgmeier (0), D.Drago (0-BW)",BOS,1980
24,25,May 9,True,KCR,"L,5-6",9.0,10,6,6,0,5,3,0,0,5.38,41,,,3.0,1.0,1,0,35,3,1,1,0,1,2,3,2,Jim Evans,"B.Stanley (4-23-L), T.Burgmeier (1)",BOS,1980
25,26,May 10,True,KCR,"L,8-13",9.0,18,13,12,1,6,3,1,1,5.64,53,,,4.0,3.0,3,0,46,4,0,0,0,0,1,0,4,Jim McKean,"D.Eckersley (4-23-L), K.MacWhorter (99), S.Renko (4), D.Drago (2)",BOS,1980
26,27,May 11,True,KCR,"W,5-2",9.0,8,2,2,0,3,8,0,0,5.5,35,,,,,1,0,31,0,1,0,0,1,0,3,1,Ted Hendry,C.Rainey (7-68-W),BOS,1980
27,28,May 12,True,MIN,"L,3-4",9.0,12,4,4,0,0,5,1,0,5.45,39,,,1.0,0.0,0,0,38,5,0,0,1,0,0,0,2,Larry Barnett,"M.Torrez (4-46-L), T.Burgmeier (2)",BOS,1980
28,29,May 13,True,MIN,"W,10-5",9.0,10,5,5,0,3,7,0,0,5.43,38,,,1.0,0.0,0,1,35,3,1,0,0,0,0,1,3,Jim Evans,"B.Hurst (6-27), S.Renko (2-W), T.Burgmeier (0-Sv)",BOS,1980
29,30,May 14,True,MIN,"W,7-6",9.0,11,6,5,1,5,5,1,0,5.42,41,,,3.0,0.0,0,1,36,0,1,0,0,0,0,1,3,Jim McKean,"B.Stanley (4-21), K.MacWhorter (3), T.Burgmeier (0-W)",BOS,1980
30,31,May 15,False,CLE,"W,6-2",9.0,8,2,2,0,4,4,0,1,5.31,39,,,0.0,0.0,0,0,32,1,0,0,1,1,0,0,2,Jerry Neudecker,"J.Billingham (12-47-W), D.Drago (4-Sv)",BOS,1980
31,32,May 16,False,CLE,"W,2-1",9.0,4,1,1,0,4,4,0,0,5.18,35,,,3.0,0.0,0,0,31,0,0,1,0,0,0,0,2,Jerry Neudecker,"C.Rainey (4-61-W), T.Burgmeier (1-Sv)",BOS,1980
32,33,May 17,False,CLE,"L,3-4",9.2,10,4,3,1,8,3,0,0,5.1,46,,,0.0,0.0,0,0,35,0,1,5,3,0,1,0,2,Rich Garcia,"M.Torrez (4-53), K.MacWhorter (2-L)",BOS,1980
