,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 11,True,CLE,"W,10-2",44,38,10,15,1,1,3,10,4,0,9,1,0,1,0,0,3,0,0.395,0.455,0.711,1.165,10,10,R,D.Spillner(28),CAL,1980
1,2,Apr 12,True,CLE,"L,1-2",36,33,1,7,1,0,1,1,3,0,7,0,0,0,1,1,1,0,0.31,0.375,0.535,0.91,8,10,R,L.Barker(70),CAL,1980
2,3,Apr 13,True,CLE,"W,8-3",39,32,8,10,3,0,0,8,6,1,10,1,0,0,0,0,3,1,0.311,0.395,0.495,0.89,7,9,R,J.Denny(32),CAL,1980
3,4,Apr 14,True,MIN,"L,3-5",34,32,3,7,1,0,1,3,2,0,6,0,0,0,0,1,0,1,0.289,0.366,0.459,0.825,4,10,R,T.Felton(55),CAL,1980
4,5,Apr 15,True,MIN,"W,3-1",32,30,3,7,1,0,1,3,2,0,6,0,0,0,1,0,0,1,0.279,0.351,0.442,0.794,5,10,L,J.Koosman(40),CAL,1980
5,6,Apr 16,True,MIN,"W,2-1",40,35,2,8,0,0,0,2,1,1,7,0,2,2,2,0,0,0,0.27,0.332,0.405,0.737,9,13,R,P.Redfern(73),CAL,1980
6,7,Apr 18,False,OAK,"L,3-6",36,32,3,7,1,0,0,3,3,0,4,1,0,0,0,0,0,2,0.263,0.328,0.384,0.712,6,10,R,B.Kingman(62),CAL,1980
7,8,Apr 19,False,OAK,"L,1-3",34,30,1,4,1,0,0,1,4,0,4,0,0,0,0,1,0,0,0.248,0.317,0.359,0.676,6,10,R,M.Norris(71),CAL,1980
8,9,Apr 20 (1),False,OAK,"L,1-6",35,30,1,5,2,0,0,1,4,0,4,1,0,0,0,1,0,0,0.24,0.314,0.346,0.66,7,12,R,M.Keough(73),CAL,1980
9,10,Apr 20 (2),False,OAK,"L,2-8",35,33,2,7,1,0,0,2,2,0,3,0,0,0,0,0,0,0,0.237,0.309,0.335,0.644,6,11,R,S.McCatty(66),CAL,1980
10,11,Apr 22,False,MIN,"L,1-8",32,31,1,6,1,0,0,1,0,0,3,0,1,0,0,1,0,0,0.233,0.299,0.326,0.625,4,9,L,G.Zahn(74),CAL,1980
11,12,Apr 23,False,MIN,"W,17-0",51,42,17,18,5,0,0,15,6,0,6,2,0,1,2,1,0,1,0.254,0.324,0.349,0.673,7,9,R,T.Felton(29),CAL,1980
12,13,Apr 25,False,SEA,"W,4-3",37,33,4,10,1,0,1,4,3,0,2,0,1,0,0,2,1,0,0.258,0.326,0.355,0.681,6,9,R,M.Parrott(38),CAL,1980
13,14,Apr 26,False,SEA,"W,7-6",42,34,7,10,1,0,1,6,7,1,7,0,1,0,0,1,4,1,0.26,0.333,0.359,0.692,8,9,R,J.Beattie(28),CAL,1980
14,15,Apr 27,False,SEA,"L,3-7",36,35,3,8,1,0,2,3,1,0,5,0,0,0,0,0,0,0,0.258,0.328,0.364,0.692,6,10,R,G.Abbott(63),CAL,1980
15,16,Apr 28,True,OAK,"L,0-8",37,34,0,7,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0.255,0.324,0.354,0.678,10,10,R,R.Langford(74),CAL,1980
16,17,Apr 29,True,OAK,"L,2-4",38,33,2,5,1,0,0,1,5,0,6,0,0,0,1,0,4,0,0.249,0.321,0.344,0.665,9,10,R,M.Norris(72),CAL,1980
17,18,Apr 30,True,OAK,"W,2-1",34,27,2,5,1,1,0,2,5,1,3,1,0,1,0,0,1,1,0.246,0.321,0.342,0.663,8,9,R,M.Keough(62),CAL,1980
18,19,May 1,True,SEA,"W,2-1",34,22,2,5,1,0,0,1,11,4,4,0,1,0,0,4,0,1,0.245,0.329,0.339,0.668,8,12,R,J.Beattie(51),CAL,1980
19,20,May 2,True,SEA,"W,3-1",37,33,3,11,3,0,0,2,2,1,9,0,2,0,0,0,0,0,0.25,0.331,0.344,0.674,10,9,R,G.Abbott(53),CAL,1980
20,21,May 3,True,SEA,"L,0-2",31,30,0,5,2,0,0,0,1,0,2,0,0,0,0,2,0,0,0.246,0.325,0.339,0.664,4,9,L,R.Honeycutt(78),CAL,1980
21,22,May 4,True,SEA,"W,4-3",35,32,4,7,2,0,0,4,2,1,6,0,0,1,2,0,1,0,0.245,0.322,0.336,0.658,7,9,L,F.Bannister(58),CAL,1980
22,23,May 6,True,TOR,"L,2-3",37,29,2,7,1,0,1,2,6,1,1,0,2,0,0,2,2,1,0.245,0.324,0.338,0.662,8,14,R,D.Lemanczyk(56),CAL,1980
23,24,May 7,True,TOR,"L,3-7",32,31,3,10,1,0,1,2,0,0,2,0,1,0,0,5,0,0,0.248,0.324,0.342,0.667,2,9,R,D.Stieb(57),CAL,1980
24,25,May 8,True,TOR,"L,2-9",33,31,2,6,2,0,0,2,2,0,4,0,0,0,0,0,0,1,0.246,0.321,0.339,0.66,4,9,L,P.Mirabella(65),CAL,1980
25,26,May 9,True,DET,"L,5-6",41,35,5,8,2,0,2,5,2,0,3,1,3,0,1,0,1,1,0.245,0.32,0.344,0.664,6,13,R,M.Wilcox(44),CAL,1980
26,27,May 10,True,DET,"L,1-6",32,29,1,5,0,0,0,1,1,0,6,1,1,0,0,0,0,1,0.242,0.317,0.338,0.655,4,9,L,D.Schatzeder(67),CAL,1980
27,28,May 11,True,DET,"L,0-4",33,31,0,4,2,0,0,0,2,0,7,0,0,0,1,1,0,0,0.239,0.312,0.333,0.646,6,11,R,D.Petry(84),CAL,1980
28,29,May 14,False,CLE,"W,13-7",45,41,13,13,3,0,1,11,4,1,7,0,0,0,1,0,0,0,0.242,0.315,0.339,0.654,5,9,R,D.Spillner(12),CAL,1980
29,30,May 16,False,KCR,"W,11-1",48,40,11,16,1,3,0,11,8,0,6,0,0,0,0,2,1,0,0.248,0.323,0.349,0.672,10,11,R,R.Gale(22),CAL,1980
30,31,May 17,False,KCR,"L,1-2",41,37,1,9,1,1,1,1,3,0,4,0,1,0,1,2,0,0,0.248,0.322,0.351,0.673,10,10,L,L.Gura(71),CAL,1980
31,32,May 18,False,KCR,"L,3-5",37,32,3,6,1,1,1,3,5,0,3,0,0,0,1,2,1,0,0.246,0.322,0.351,0.673,7,10,R,R.Martin(58),CAL,1980
32,33,May 19,False,TEX,"W,3-2",52,42,3,9,3,0,1,3,6,3,10,1,3,0,0,1,1,1,0.245,0.322,0.352,0.674,10,12,R,G.Perry(64),CAL,1980
33,34,May 20,False,TEX,"W,5-4",31,30,5,9,1,0,1,5,1,0,4,0,0,0,1,1,0,0,0.247,0.322,0.354,0.676,5,9,R,D.Medich(36),CAL,1980
34,35,May 21,False,TEX,"W,9-8",42,39,9,14,1,0,4,9,3,0,6,0,0,0,1,1,0,0,0.25,0.325,0.365,0.69,6,10,R,S.Comer(34),CAL,1980
35,36,May 22,False,TEX,"L,6-12",41,35,6,12,2,0,0,6,5,0,15,0,0,1,0,1,3,0,0.253,0.327,0.366,0.694,8,10,L,J.Matlack(24),CAL,1980
36,37,May 23,True,KCR,"L,9-13",41,40,9,17,0,2,3,9,0,0,3,0,0,1,0,1,0,1,0.259,0.33,0.379,0.709,5,9,R,D.Leonard(40),CAL,1980
37,38,May 24,True,KCR,"L,5-6",44,38,5,11,0,0,0,4,5,0,6,0,1,0,0,2,0,0,0.26,0.331,0.376,0.707,9,11,R,R.Gale(56),CAL,1980
38,39,May 25,True,KCR,"L,3-7",34,31,3,5,0,0,1,2,2,0,7,0,0,1,1,0,0,0,0.257,0.328,0.373,0.702,4,9,L,L.Gura(72),CAL,1980
39,40,May 26,True,TEX,"L,5-6",39,36,5,11,2,0,1,5,3,0,7,0,0,0,0,1,1,1,0.259,0.329,0.375,0.704,7,11,R,D.Darwin(55),CAL,1980
40,41,May 27,True,TEX,"W,2-0",33,31,2,6,1,0,0,1,2,1,3,0,0,0,1,1,0,0,0.257,0.327,0.372,0.699,7,9,R,F.Jenkins(54),CAL,1980
41,42,May 28,True,TEX,"W,7-6",38,31,7,12,3,0,1,6,5,1,7,0,2,0,0,1,0,1,0.26,0.331,0.376,0.707,7,14,L,J.Matlack(50),CAL,1980
42,43,May 30,False,DET,"L,1-12",36,32,1,6,1,1,0,1,4,0,7,0,0,0,0,1,0,0,0.258,0.329,0.374,0.704,8,10,R,M.Wilcox(74),CAL,1980
43,44,May 31,False,DET,"W,6-1",37,33,6,9,3,0,2,6,4,0,9,0,0,0,0,1,0,1,0.259,0.33,0.378,0.708,4,9,L,P.Underwood(55),CAL,1980
44,45,Jun 2,False,TOR,"W,6-3",39,35,6,15,3,0,1,6,2,0,4,0,1,1,0,2,0,0,0.263,0.333,0.383,0.716,6,9,R,L.Leal(29),CAL,1980
45,46,Jun 3,False,TOR,"L,6-7",46,39,6,9,2,0,0,5,5,1,4,0,2,0,1,1,0,0,0.262,0.332,0.381,0.713,7,12,R,D.Stieb(23),CAL,1980
46,47,Jun 4,False,TOR,"L,2-8",38,31,2,5,2,0,0,2,6,0,8,0,0,1,1,1,1,0,0.26,0.331,0.378,0.709,9,10,R,J.Clancy(71),CAL,1980
47,48,Jun 6,True,BAL,"L,1-6",32,31,1,4,1,0,0,1,1,0,7,0,0,0,0,0,1,0,0.257,0.328,0.374,0.702,4,9,L,S.McGregor(81),CAL,1980
48,49,Jun 7,True,BAL,"L,5-6",40,37,5,10,2,2,0,5,3,0,3,0,0,0,1,0,2,0,0.258,0.328,0.375,0.703,8,11,R,J.Palmer(38),CAL,1980
49,50,Jun 8,True,BAL,"L,8-13",43,34,8,9,3,1,1,8,8,0,6,0,0,1,0,0,1,0,0.258,0.33,0.377,0.707,8,11,R,S.Stone(27),CAL,1980
50,51,Jun 9,True,NYY,"L,7-8",40,37,7,13,1,0,1,6,0,0,5,0,2,1,0,2,0,0,0.26,0.33,0.379,0.709,3,11,R,M.Griffin(39),CAL,1980
