,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 11,True,CLE,"W,10-2",9.0,7,2,2,0,2,4,1,0,2.0,36,,,1.0,0.0,2,0,34,1,0,0,0,0,1,0,2,Bill Haller,"D.Frost (99-63-W), M.Clear (99)",CAL,1980
1,2,Apr 12,True,CLE,"L,1-2",9.0,5,2,0,2,6,4,0,1,1.0,38,,,0.0,0.0,0,0,29,0,0,1,2,0,1,2,2,Russ Goetz,"B.Kison (99-62-L), D.LaRoche (99)",CAL,1980
2,3,Apr 13,True,CLE,"W,8-3",9.0,10,3,3,0,4,7,0,0,1.67,41,,,3.0,0.0,1,0,36,2,0,0,0,1,1,1,2,George Maloney,"D.Aase (99-49-W), J.Montague (99-Sv)",CAL,1980
3,4,Apr 14,True,MIN,"L,3-5",9.0,7,5,5,0,6,8,1,0,2.5,40,,,2.0,2.0,0,0,34,1,0,0,0,0,0,0,3,Vic Voltaggio,"C.Knapp (99-74), M.Clear (2-L), D.LaRoche (1-BSv)",CAL,1980
4,5,Apr 15,True,MIN,"W,3-1",9.0,8,1,1,0,3,2,0,0,2.2,37,,,,,1,0,34,2,0,0,0,0,0,1,1,Bill Haller,F.Tanana (99-66-W),CAL,1980
5,6,Apr 16,True,MIN,"W,2-1",10.0,4,1,1,0,2,2,0,0,1.96,35,,,,,1,0,31,0,0,1,1,1,0,0,1,Russ Goetz,D.Frost (4-80-W),CAL,1980
6,7,Apr 18,False,OAK,"L,3-6",8.0,9,6,5,1,3,4,1,0,2.43,36,,,2.0,2.0,2,0,30,2,0,0,2,1,1,1,2,Al Clark,"B.Kison (5-30-L), J.Barr (99)",CAL,1980
7,8,Apr 19,False,OAK,"L,1-3",8.0,7,3,3,0,3,5,0,0,2.54,33,,,1.0,0.0,0,0,29,3,0,0,1,0,0,0,3,Steve Palermo,"D.Aase (5-45-L), M.Clear (4), D.LaRoche (4)",CAL,1980
8,9,Apr 20(1),False,OAK,"L,1-6",8.0,10,6,5,1,8,6,0,0,2.85,42,,,2.0,1.0,1,0,34,2,0,0,0,0,1,0,4,Dave Phillips,"C.Knapp (5-23-L), F.Martínez (99), D.LaRoche (0), J.Montague (6)",CAL,1980
9,10,Apr 20(2),False,OAK,"L,2-8",8.0,12,8,7,1,1,4,0,2,3.31,40,,,2.0,0.0,3,0,35,3,1,0,1,1,2,0,3,Lou DiMuro,"F.Tanana (4-24-L), J.Barr (1), M.Clear (0)",CAL,1980
10,11,Apr 22,False,MIN,"L,1-8",8.0,13,8,6,2,3,5,3,0,3.6,39,,,1.0,0.0,0,0,36,2,0,1,0,0,1,1,2,Al Clark,"D.Frost (5-32-L), D.LaRoche (1)",CAL,1980
11,12,Apr 23,False,MIN,"W,17-0",9.0,1,0,0,0,4,1,0,0,3.29,33,,,,,1,0,29,1,0,0,0,0,1,0,1,Steve Palermo,B.Kison (4-82-W),CAL,1980
12,13,Apr 25,False,SEA,"W,4-3",9.0,10,3,2,1,4,0,0,0,3.19,42,,,1.0,0.0,1,0,37,2,0,0,0,1,1,0,2,Jerry Neudecker,"D.Aase (5-49-W), J.Montague (4-Sv)",CAL,1980
13,14,Apr 26,False,SEA,"W,7-6",9.0,10,6,6,0,5,4,1,0,3.39,40,,,3.0,1.0,0,1,30,3,0,0,4,1,0,1,4,Bill Deegan,"C.Knapp (5-29), J.Barr (5), D.LaRoche (3-W), M.Clear (5-Sv)",CAL,1980
14,15,Apr 27,False,SEA,"L,3-7",8.0,10,7,7,0,3,1,1,0,3.67,35,,,1.0,0.0,0,1,31,2,0,0,0,1,0,0,2,Rich Garcia,"D.Frost (4-22-L), F.Martínez (6)",CAL,1980
15,16,Apr 28,True,OAK,"L,0-8",9.0,10,8,8,0,5,3,3,0,3.95,41,,,1.0,1.0,0,0,36,4,0,0,0,0,0,0,3,Mike Reilly,"B.Kison (4-25-L), J.Barr (1), D.LaRoche (1)",CAL,1980
16,17,Apr 29,True,OAK,"L,2-4",9.0,10,4,4,0,2,5,0,0,3.95,36,,,2.0,0.0,0,3,33,1,0,0,0,1,0,0,2,Jerry Neudecker,"F.Tanana (8-36-L), M.Clear (2)",CAL,1980
17,18,Apr 30,True,OAK,"W,2-1",9.0,4,1,0,1,3,5,0,0,3.73,33,,,,,0,1,29,0,0,0,1,0,0,0,1,Bill Deegan,D.Aase (4-79-W),CAL,1980
18,19,May 1,True,SEA,"W,2-1",9.0,8,1,1,0,1,3,0,0,3.58,36,,,3.0,0.0,0,0,33,3,0,1,2,0,0,0,2,Bill Kunkel,"C.Knapp (4-58), J.Montague (5-W)",CAL,1980
19,20,May 2,True,SEA,"W,3-1",9.0,5,1,1,0,2,4,0,0,3.45,31,,,,,0,0,29,1,0,0,0,0,0,2,1,Terry Cooney,D.Frost (4-75-W),CAL,1980
20,21,May 3,True,SEA,"L,0-2",9.0,9,2,2,0,2,4,0,0,3.38,37,,,,,2,0,34,2,0,1,1,0,1,2,1,Ken Kaiser,B.Kison (4-63-L),CAL,1980
21,22,May 4,True,SEA,"W,4-3",9.0,7,3,3,0,2,7,1,0,3.36,36,,,2.0,2.0,0,0,33,3,0,0,1,0,0,0,2,Richard Shulock,"F.Tanana (4-53-W), M.Clear (4-Sv)",CAL,1980
22,23,May 6,True,TOR,"L,2-3",9.0,7,3,3,0,3,2,2,0,3.34,36,,,,,1,0,33,0,0,0,0,0,1,2,1,Bill Kunkel,D.Aase (5-60-L),CAL,1980
23,24,May 7,True,TOR,"L,3-7",9.0,12,7,7,0,2,1,2,0,3.5,38,,,0.0,0.0,1,1,35,2,0,0,0,1,0,2,4,Terry Cooney,"C.Knapp (5-30-L), D.LaRoche (8), J.Barr (8), F.Martínez (9)",CAL,1980
24,25,May 8,True,TOR,"L,2-9",9.0,14,9,9,0,4,3,1,1,3.72,44,,,1.0,1.0,1,1,38,3,1,0,1,0,0,0,4,Ken Kaiser,"D.Frost (5-26-L), M.Clear (3), F.Martínez (0), J.Montague (6)",CAL,1980
25,26,May 9,True,DET,"L,5-6",10.0,8,6,5,1,6,8,1,2,3.76,44,,,3.0,1.0,3,0,35,1,0,0,0,1,0,0,4,Nick Bremigan,"B.Kison (5-32), D.LaRoche (1), M.Clear (0-BSv), J.Montague (0-L)",CAL,1980
26,27,May 10,True,DET,"L,1-6",9.0,8,6,6,0,5,7,1,0,3.84,39,,,0.0,0.0,2,1,34,1,0,0,0,0,0,0,2,Durwood Merrill,"F.Tanana (5-40-L), J.Barr (2)",CAL,1980
27,28,May 11,True,DET,"L,0-4",9.0,10,4,3,1,5,6,0,0,3.81,38,,,4.0,0.0,2,1,32,0,0,0,0,1,1,2,3,Marty Springstead,"D.Aase (4-41-L), D.LaRoche (1), J.Montague (1)",CAL,1980
28,29,May 14,False,CLE,"W,13-7",9.0,11,7,7,0,5,1,2,1,3.92,42,,,1.0,0.0,0,0,35,0,1,0,0,1,0,2,3,Mike Reilly,"D.Frost (5-30), C.Knapp (6-W), J.Barr (3-Sv)",CAL,1980
29,30,May 16,False,KCR,"W,11-1",9.0,7,1,1,0,5,4,0,0,3.82,36,,,2.0,0.0,0,0,31,1,0,0,0,0,0,2,3,George Maloney,"B.Kison (6-55-W), D.LaRoche (4), J.Montague (4)",CAL,1980
30,31,May 17,False,KCR,"L,1-2",9.2,9,2,2,0,4,3,0,0,3.75,40,,,0.0,0.0,2,0,34,4,0,2,2,0,0,2,2,Vic Voltaggio,"D.Aase (5-70), M.Clear (7-L)",CAL,1980
31,32,May 18,False,KCR,"L,3-5",8.0,7,5,5,0,2,2,0,0,3.81,32,,,1.0,1.0,0,1,29,3,2,1,0,1,0,0,3,Bill Haller,"F.Tanana (7-20-L), J.Barr (3), D.LaRoche (1)",CAL,1980
32,33,May 19,False,TEX,"W,3-2",13.0,14,2,1,1,2,5,0,0,3.67,51,,,2.0,0.0,2,1,49,1,0,0,0,0,1,2,4,Terry Cooney,"D.Frost (4-49), J.Montague (2), D.LaRoche (0), M.Clear (1-W)",CAL,1980
33,34,May 20,False,TEX,"W,5-4",7.0,7,4,4,0,2,2,1,1,3.7,30,,,2.0,2.0,0,0,27,0,0,0,0,0,0,1,2,Richard Shulock,"F.Martínez (11-47-W), D.LaRoche (0-Sv)",CAL,1980
34,35,May 21,False,TEX,"W,9-8",9.0,13,8,5,3,4,7,1,1,3.74,46,,,5.0,2.0,2,0,41,4,0,0,0,0,1,0,4,Bill Kunkel,"B.Kison (4-33), J.Montague (1-BSv), D.LaRoche (0), M.Clear (1-W)",CAL,1980
35,36,May 22,False,TEX,"L,6-12",8.0,16,12,12,0,3,4,3,1,3.99,43,,,1.0,1.0,0,0,38,3,1,0,0,1,0,1,3,Ken Kaiser,"D.Aase (4-7-L), J.Barr (3), C.Knapp (7)",CAL,1980
36,37,May 23,True,KCR,"L,9-13",9.0,16,13,9,4,4,5,1,2,4.12,50,,,1.0,0.0,1,0,43,3,0,0,0,1,2,0,3,Terry Cooney,"F.Tanana (4-22-L), C.Knapp (0), J.Montague (1)",CAL,1980
37,38,May 24,True,KCR,"L,5-6",10.0,10,6,6,0,4,6,0,0,4.16,44,,,0.0,0.0,2,1,39,1,0,1,0,1,2,0,2,Richard Shulock,"F.Martínez (3-57), M.Clear (2-L)",CAL,1980
