,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 10,False,NYM,"L,2-5",8.0,8,5,4,1,6,5,0,0,4.5,36,,,2.0,0.0,0,2,29,1,0,2,0,1,1,1,3,John Kibler,"R.Reuschel (99-34-L), B.Caudill (99), D.Tidrow (99)",CHC,1980
1,2,Apr 11,False,NYM,"W,7-5",9.0,13,5,5,0,3,8,0,0,4.76,42,,,0.0,0.0,1,0,38,3,0,0,1,0,0,1,3,Bruce Froemming,"D.Lamp (99-47-W), B.Caudill (0), B.Sutter (99-Sv)",CHC,1980
2,3,Apr 12,False,NYM,"W,6-3",9.0,6,3,2,1,5,6,2,1,3.81,36,,,0.0,0.0,1,1,29,0,0,1,0,1,1,0,2,Terry Tata,"M.Krukow (99-58-W), B.Sutter (0-Sv)",CHC,1980
3,4,Apr 13,False,NYM,"L,0-5",8.0,11,5,4,1,4,4,0,0,3.97,39,,,1.0,0.0,0,1,33,4,0,0,1,1,1,0,3,Fred Brocklander,"W.Hernández (99-37-L), L.McGlothen (99), D.Capilla (99)",CHC,1980
4,5,Apr 14,False,PIT,"L,4-5",9.1,10,5,5,0,2,6,2,2,4.15,41,,,0.0,0.0,1,0,37,2,0,0,0,0,0,1,4,Ed Vargo,"R.Reuschel (3-46), B.Caudill (2), D.Tidrow (3), B.Sutter (1-L)",CHC,1980
5,6,Apr 17,True,NYM,"W,4-1",9.0,8,1,1,0,0,4,0,0,3.61,34,,,0.0,0.0,1,0,33,0,0,0,1,0,1,2,2,Dick Stello,"D.Lamp (5-68-W), B.Sutter (2-Sv)",CHC,1980
6,7,Apr 19,True,NYM,"W,12-9",9.0,9,9,6,3,6,4,0,0,3.96,42,,,0.0,0.0,0,0,33,4,0,0,1,2,1,2,5,Satch Davidson,"M.Krukow (6-29), L.McGlothen (5), B.Caudill (4), D.Tidrow (4-W), B.Sutter (1-Sv)",CHC,1980
7,8,Apr 20,True,NYM,"W,6-3",9.0,9,3,1,2,7,3,0,0,3.58,42,,,0.0,0.0,1,1,35,3,0,0,0,0,2,1,2,Dave Pallone,"R.Reuschel (5-46-W), D.Tidrow (0-Sv)",CHC,1980
8,9,Apr 22,True,STL,"W,16-12",9.0,16,12,11,1,6,4,3,0,4.42,47,123.0,72.0,5.0,2.0,1,1,41,4,0,0,0,0,1,1,6,Lanny Harris,"D.Lamp (4-21), L.McGlothen (2), D.Capilla (8), B.Caudill (2), D.Tidrow (1), B.Sutter (2-W)",CHC,1980
9,10,Apr 23,True,STL,"L,1-3",9.0,6,3,0,3,1,4,0,0,3.97,36,,,2.0,1.0,1,0,33,0,0,1,1,1,2,0,3,Harry Wendelstedt,"M.Krukow (3-61-L), B.Caudill (0), D.Tidrow (0)",CHC,1980
