,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 10,True,BAL,"L,3-5",39,34,3,7,1,0,0,1,5,0,6,0,0,0,1,0,1,0,0.206,0.308,0.235,0.543,9,12,R,J.Palmer(59),CHW,1980
1,2,Apr 11,True,BAL,"W,8-4",37,31,8,9,2,1,2,8,5,0,3,0,0,1,1,2,0,0,0.246,0.342,0.415,0.757,5,11,L,M.Flanagan(27),CHW,1980
2,3,Apr 12,True,BAL,"W,8-2",40,35,8,11,0,1,1,8,4,1,2,0,1,0,1,0,0,0,0.27,0.357,0.43,0.787,8,11,R,S.Stone(41),CHW,1980
3,4,Apr 13,True,BAL,"W,5-2",36,28,5,9,2,0,0,4,6,1,4,1,0,1,0,2,0,2,0.281,0.377,0.422,0.799,7,13,R,D.Ford(43),CHW,1980
4,5,Apr 15,True,NYY,"W,4-3",59,48,4,9,3,0,0,4,9,3,9,0,1,1,1,1,1,0,0.256,0.359,0.375,0.734,14,13,L,R.Guidry(63),CHW,1980
5,6,Apr 16,True,NYY,"L,0-6",28,27,0,2,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0.232,0.329,0.335,0.664,1,9,L,T.John(85),CHW,1980
6,7,Apr 17,True,NYY,"W,8-6",38,35,8,12,6,0,0,8,3,1,3,0,0,0,0,0,1,1,0.248,0.338,0.361,0.7,6,10,R,M.Griffin(32),CHW,1980
7,8,Apr 18,False,BAL,"L,2-5",31,31,2,4,2,0,1,2,0,0,4,0,0,0,0,0,0,0,0.234,0.317,0.353,0.67,2,12,R,D.Ford(75),CHW,1980
8,9,Apr 19,False,BAL,"W,5-4",47,47,5,14,1,0,3,5,0,0,4,0,0,0,0,1,1,2,0.244,0.314,0.377,0.691,6,15,R,J.Palmer(46),CHW,1980
9,10,Apr 20,False,BAL,"W,9-6",47,44,9,19,6,0,1,8,3,1,5,0,0,0,0,0,0,1,0.267,0.333,0.408,0.741,11,13,R,D.Martínez(30),CHW,1980
10,11,Apr 21,False,BOS,"L,8-9",42,41,8,15,2,0,2,8,0,0,5,1,0,0,0,1,1,0,0.277,0.337,0.424,0.761,7,11,L,B.Hurst(30),CHW,1980
11,12,Apr 22,False,BOS,"W,2-0",35,30,2,7,4,0,0,2,4,1,2,1,0,0,1,4,0,0,0.274,0.338,0.42,0.757,6,12,R,M.Torrez(63),CHW,1980
12,13,Apr 24,False,BOS,"W,9-3",47,42,9,20,3,0,1,8,3,0,3,0,2,0,1,0,3,1,0.292,0.352,0.438,0.79,11,13,R,B.Stanley(31),CHW,1980
13,14,Apr 25,False,NYY,"W,6-0",39,35,6,12,1,0,1,6,1,1,5,1,1,1,1,1,0,0,0.295,0.354,0.439,0.793,6,14,R,E.Figueroa(36),CHW,1980
14,15,Apr 26,False,NYY,"W,8-7",50,43,8,12,1,1,1,8,6,0,8,0,1,0,0,1,1,2,0.294,0.355,0.437,0.792,6,14,L,R.Guidry(51),CHW,1980
15,16,Apr 27,False,NYY,"L,0-1",32,31,0,6,1,0,0,0,0,0,5,0,1,0,1,1,0,1,0.289,0.347,0.426,0.773,5,10,L,T.John(80),CHW,1980
16,17,Apr 29,True,BOS,"L,1-11",36,30,1,4,0,0,1,1,5,0,8,1,0,0,0,1,0,0,0.281,0.343,0.417,0.76,8,11,R,B.Stanley(73),CHW,1980
17,18,Apr 30,True,BOS,"W,2-1",31,26,2,4,1,0,1,2,3,1,3,0,2,0,0,0,2,0,0.276,0.339,0.412,0.751,5,10,R,D.Eckersley(66),CHW,1980
18,19,May 1,True,BOS,"L,3-4",42,36,3,9,3,0,0,3,4,1,3,1,0,1,1,0,1,0,0.274,0.339,0.408,0.747,12,15,L,B.Hurst(49),CHW,1980
19,20,May 2,True,MIL,"L,0-8",32,32,0,7,1,0,0,0,0,0,3,0,0,0,0,2,1,0,0.272,0.334,0.401,0.735,5,9,L,M.Caldwell(76),CHW,1980
20,21,May 3,True,MIL,"L,1-4",36,35,1,9,3,1,0,1,1,0,3,0,0,0,0,2,0,0,0.271,0.331,0.401,0.732,8,12,R,M.Haas(50),CHW,1980
21,22,May 4,True,MIL,"L,1-11",32,30,1,4,2,0,0,1,2,0,3,0,0,0,0,1,0,0,0.266,0.326,0.393,0.719,4,11,R,J.Slaton(58),CHW,1980
22,23,May 5,True,MIL,"W,11-7",43,39,11,13,3,0,2,8,4,1,6,0,0,0,2,1,2,0,0.269,0.329,0.401,0.73,8,13,R,L.Sorensen(23),CHW,1980
23,24,May 6,True,KCR,"W,2-0",31,28,2,7,1,0,0,2,2,0,0,0,1,0,0,0,1,2,0.268,0.328,0.397,0.726,5,12,L,L.Gura(55),CHW,1980
24,25,May 7,True,KCR,"L,5-12",39,39,5,14,4,0,0,5,0,0,2,0,0,0,0,2,1,0,0.273,0.33,0.4,0.73,7,13,R,R.Gale(25),CHW,1980
25,26,May 8,True,KCR,"W,8-2",43,36,8,13,3,1,0,6,5,1,1,0,0,2,1,0,1,0,0.276,0.333,0.404,0.737,11,14,L,P.Splittorff(23),CHW,1980
26,27,May 9,False,TEX,"L,1-2",40,38,1,6,1,0,1,1,2,0,6,0,0,0,1,1,1,1,0.271,0.328,0.399,0.727,6,14,R,F.Jenkins(80),CHW,1980
27,28,May 10,False,TEX,"W,10-6",44,37,10,10,2,0,1,10,5,1,8,1,1,0,0,0,0,0,0.271,0.33,0.399,0.729,7,15,R,G.Perry(31),CHW,1980
28,29,May 11,False,TEX,"L,1-5",33,32,1,6,0,1,0,1,1,0,6,0,0,0,1,2,0,0,0.269,0.326,0.394,0.721,5,14,R,D.Medich(65),CHW,1980
29,30,May 13,False,MIL,"W,6-5",45,43,6,16,2,0,3,6,1,0,4,0,0,1,0,2,1,0,0.273,0.328,0.404,0.732,9,13,L,B.Travers(43),CHW,1980
30,31,May 14,False,MIL,"L,1-5",37,34,1,9,0,0,1,1,3,0,4,0,0,0,0,0,0,1,0.273,0.328,0.402,0.73,9,13,R,M.Haas(56),CHW,1980
31,32,May 15,False,MIL,"W,6-4",43,41,6,15,2,2,1,6,2,1,3,0,0,0,0,1,0,0,0.276,0.331,0.409,0.739,10,13,R,L.Sorensen(27),CHW,1980
32,33,May 16,True,SEA,"L,2-4",34,31,2,5,1,0,0,1,3,0,10,0,0,0,1,0,0,2,0.273,0.328,0.403,0.731,5,12,R,J.Beattie(61),CHW,1980
33,34,May 17,True,SEA,"W,4-0",36,31,4,11,1,0,0,4,2,1,3,1,1,1,0,1,0,0,0.275,0.33,0.403,0.733,8,14,L,R.Honeycutt(41),CHW,1980
34,35,May 18,True,SEA,"W,6-5",36,30,6,9,2,1,0,5,4,2,3,1,0,1,0,0,0,1,0.276,0.332,0.403,0.735,6,12,R,R.Dressler(25),CHW,1980
35,36,May 19,True,MIN,"W,1-0",29,26,1,3,1,0,0,1,2,0,3,0,1,0,1,0,0,0,0.272,0.328,0.398,0.727,4,10,L,J.Koosman(73),CHW,1980
36,37,May 20,True,MIN,"W,4-2",32,28,4,6,1,0,1,3,4,0,4,0,0,0,0,2,0,0,0.271,0.328,0.397,0.725,4,13,L,D.Jackson(48),CHW,1980
37,38,May 21,True,MIN,"L,2-3",37,33,2,7,2,0,0,2,4,0,2,0,0,0,0,1,0,0,0.27,0.327,0.394,0.721,8,10,L,G.Zahn(63),CHW,1980
38,39,May 23,False,SEA,"L,0-8",32,30,0,3,1,0,0,0,2,0,7,0,0,0,0,1,0,0,0.266,0.324,0.388,0.712,5,10,L,R.Honeycutt(66),CHW,1980
39,40,May 24,False,SEA,"L,4-5",36,32,4,9,2,0,3,4,4,0,2,0,0,0,0,3,0,1,0.266,0.325,0.394,0.718,5,15,R,G.Abbott(53),CHW,1980
40,41,May 25,False,SEA,"L,3-8",35,32,3,6,3,0,0,3,2,0,11,0,0,1,0,0,0,0,0.264,0.322,0.391,0.714,5,9,L,F.Bannister(74),CHW,1980
41,42,May 26,False,MIN,"W,6-3",37,35,6,12,5,0,0,5,1,0,2,0,0,1,0,0,0,2,0.266,0.323,0.393,0.717,4,11,L,G.Zahn(33),CHW,1980
42,43,May 27,False,MIN,"W,2-0",32,30,2,7,1,0,1,2,1,0,1,0,1,0,0,2,1,0,0.266,0.322,0.393,0.715,3,11,L,D.Jackson(59),CHW,1980
43,44,May 28,False,MIN,"L,4-6",39,37,4,11,0,0,1,4,1,1,5,0,0,1,1,1,0,0,0.266,0.321,0.393,0.714,8,13,R,P.Redfern(42),CHW,1980
44,45,May 29,False,MIN,"L,2-5",33,28,2,5,2,1,0,2,4,0,5,0,1,0,1,2,0,1,0.265,0.321,0.391,0.712,4,9,L,J.Koosman(70),CHW,1980
45,46,May 30,False,KCR,"L,2-9",33,31,2,6,3,0,1,2,0,0,3,1,0,1,0,1,0,0,0.263,0.319,0.391,0.71,4,9,L,L.Gura(70),CHW,1980
46,47,May 31,False,KCR,"L,4-6",38,34,4,8,2,0,0,4,4,0,3,0,0,0,0,1,1,2,0.263,0.319,0.389,0.708,7,13,R,R.Martin(55),CHW,1980
47,48,Jun 1,False,KCR,"W,6-1",41,38,6,12,1,0,0,6,2,0,3,0,1,0,1,0,1,0,0.264,0.319,0.388,0.707,8,12,R,D.Leonard(44),CHW,1980
48,49,Jun 2,True,TEX,"T,1-1",18,18,1,3,1,0,0,1,0,0,4,0,0,0,0,1,0,0,0.263,0.318,0.386,0.704,1,9,L,J.Matlack(62),CHW,1980
49,50,Jun 3,True,TEX,"W,5-4",37,31,5,8,3,0,0,4,4,0,8,1,1,0,0,0,0,2,0.263,0.319,0.386,0.704,8,12,R,G.Perry(55),CHW,1980
50,51,Jun 4 (1),True,TEX,"L,3-4",36,33,3,9,3,0,1,3,3,0,3,0,0,0,0,2,0,1,0.263,0.319,0.387,0.706,6,15,R,D.Medich(50),CHW,1980
51,52,Jun 4 (2),True,TEX,"W,5-1",36,32,5,10,2,0,2,4,3,0,1,0,0,1,0,0,1,1,0.264,0.32,0.39,0.71,7,11,L,D.Rajsich(37),CHW,1980
52,53,Jun 6,True,CLE,"W,8-7",44,36,8,12,5,0,2,8,5,0,3,2,1,0,0,1,1,0,0.265,0.322,0.395,0.718,10,15,L,R.Waits(32),CHW,1980
53,54,Jun 8,True,CLE,"L,2-7",36,31,2,5,0,1,1,2,5,0,7,0,0,0,0,1,0,0,0.264,0.322,0.394,0.715,7,10,R,J.Denny(64),CHW,1980
54,55,Jun 10,True,TOR,"L,0-1",31,31,0,4,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0.261,0.319,0.392,0.71,4,11,R,J.Clancy(85),CHW,1980
55,56,Jun 11,True,TOR,"W,7-4",39,34,7,13,1,1,1,7,2,1,4,2,0,1,1,2,0,0,0.263,0.321,0.395,0.716,8,10,L,P.Mirabella(22),CHW,1980
56,57,Jun 13,False,DET,"L,4-8",37,34,4,8,0,0,2,4,3,0,4,0,0,0,0,0,2,0,0.263,0.32,0.395,0.715,6,11,R,J.Morris(56),CHW,1980
57,58,Jun 14,False,DET,"L,0-3",35,33,0,9,2,0,0,0,2,0,4,0,0,0,0,1,0,1,0.263,0.32,0.394,0.714,8,11,R,D.Petry(71),CHW,1980
58,59,Jun 16,False,CLE,"L,3-5",36,35,3,9,1,1,0,3,1,0,2,0,0,0,0,1,0,0,0.263,0.32,0.393,0.713,6,11,R,W.Garland(58),CHW,1980
59,60,Jun 17,False,CLE,"W,5-3",42,40,5,11,2,1,0,4,2,1,2,0,0,0,2,0,0,0,0.263,0.319,0.393,0.712,10,13,L,R.Waits(48),CHW,1980
60,61,Jun 18 (1),False,TOR,"L,4-5",36,33,4,8,2,1,0,4,1,0,3,1,0,1,0,0,0,0,0.263,0.319,0.392,0.711,5,10,R,D.Stieb(57),CHW,1980
61,62,Jun 18 (2),False,TOR,"L,1-3",35,34,1,8,1,0,0,1,1,0,6,0,0,0,0,0,0,0,0.263,0.318,0.39,0.708,7,13,R,J.Kucek(61),CHW,1980
62,63,Jun 20,True,DET,"L,3-5",42,38,3,8,1,0,1,2,3,1,2,0,1,0,0,2,1,0,0.262,0.317,0.389,0.706,6,12,R,D.Petry(59),CHW,1980
63,64,Jun 21,True,DET,"L,1-4",35,33,1,5,1,0,0,1,2,0,4,0,0,0,1,0,0,0,0.26,0.315,0.386,0.701,7,11,R,M.Wilcox(75),CHW,1980
64,65,Jun 22 (1),True,DET,"L,1-7",35,33,1,7,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0.259,0.314,0.384,0.699,7,9,R,D.Rozema(68),CHW,1980
