,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 10,True,BAL,"L,3-5",9.0,8,5,4,1,1,6,0,1,4.0,35,,,0.0,0.0,0,1,31,2,2,0,1,1,1,2,2,Bill Kunkel,"S.Trout (99-43-L), R.Wortham (99)",CHW,1980
1,2,Apr 11,True,BAL,"W,8-4",9.0,10,4,4,0,4,4,2,0,4.0,38,,,2.0,0.0,0,0,34,0,0,0,0,0,0,1,3,Terry Cooney,"K.Kravec (99-39-W), M.Proly (99-H), E.Farmer (99-Sv)",CHW,1980
2,3,Apr 12,True,BAL,"W,8-2",9.0,5,2,2,0,2,7,0,0,3.33,34,,,,,0,0,32,2,0,0,0,0,0,0,1,Ken Kaiser,R.Dotson (99-74-W),CHW,1980
3,4,Apr 13,True,BAL,"W,5-2",9.0,5,2,2,0,4,7,0,0,3.0,35,,,0.0,0.0,1,0,30,0,0,0,1,0,1,2,2,Richard Shulock,"R.Baumgarten (99-58-W), E.Farmer (1-Sv)",CHW,1980
4,5,Apr 15,True,NYY,"W,4-3",14.0,9,3,3,0,8,6,0,0,2.7,56,,,1.0,0.0,1,2,48,2,0,1,0,0,0,1,3,Jim Evans,"S.Trout (4-50), M.Proly (3), R.Wortham (4-W)",CHW,1980
5,6,Apr 16,True,NYY,"L,0-6",9.0,11,6,6,0,4,7,0,1,3.2,42,,,3.0,1.0,2,0,36,2,1,0,0,1,0,1,3,Larry Barnett,"K.Kravec (4-39-L), R.Scarbery (99), M.Proly (0)",CHW,1980
6,7,Apr 17,True,NYY,"W,8-6",9.0,9,6,2,4,0,4,1,0,3.04,36,,,0.0,0.0,0,0,35,2,0,0,0,1,1,1,2,Jim McKean,"B.Burns (99-62-W), E.Farmer (3-Sv)",CHW,1980
7,8,Apr 18,False,BAL,"L,2-5",8.0,5,5,5,0,5,6,3,0,3.32,34,,,1.0,0.0,3,0,29,2,0,0,0,0,0,0,2,Rich Garcia,"R.Dotson (5-34-L), M.Proly (1)",CHW,1980
8,9,Apr 19,False,BAL,"W,5-4",12.0,5,4,3,1,7,9,2,1,3.17,50,,,1.0,0.0,1,0,42,1,0,1,0,0,2,1,4,Mike Reilly,"R.Baumgarten (5-46), R.Scarbery (2), R.Wortham (3), E.Farmer (1-W)",CHW,1980
9,10,Apr 20,False,BAL,"W,9-6",9.0,11,6,3,3,5,4,1,1,3.15,44,,,2.0,0.0,0,0,38,1,1,0,0,0,2,2,4,Jerry Neudecker,"S.Trout (4-35), M.Proly (1), R.Wortham (0-W), E.Farmer (0-Sv)",CHW,1980
