,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 9,True,ATL,"W,9-0",40,33,9,9,3,1,1,9,5,1,6,0,1,1,2,1,0,0,0.273,0.359,0.515,0.874,7,9,R,P.Niekro(25),CIN,1980
1,2,Apr 11,True,ATL,"W,6-0",29,26,6,8,1,1,1,6,1,0,3,1,1,0,3,2,1,0,0.288,0.358,0.525,0.884,5,10,L,L.McWilliams(26),CIN,1980
2,3,Apr 12,True,ATL,"W,5-4",39,35,5,11,3,0,1,4,4,2,6,0,0,0,1,1,1,0,0.298,0.368,0.511,0.879,8,14,R,R.Matula(60),CIN,1980
3,4,Apr 13,True,ATL,"W,5-0",38,32,5,12,2,0,1,5,6,1,2,0,0,0,0,3,1,0,0.317,0.396,0.516,0.912,9,10,R,P.Niekro(28),CIN,1980
4,5,Apr 14,True,SFG,"W,6-5",37,34,6,8,1,2,0,6,3,0,7,0,0,0,0,0,0,0,0.3,0.376,0.488,0.863,5,14,L,B.Knepper(61),CIN,1980
5,6,Apr 15,True,SFG,"W,8-3",37,32,8,11,2,2,0,8,2,0,3,1,1,1,0,0,0,0,0.307,0.378,0.495,0.873,5,13,R,E.Whitson(36),CIN,1980
6,7,Apr 16,True,SFG,"W,5-3",35,30,5,8,1,0,2,5,5,0,9,0,0,0,0,1,1,0,0.302,0.377,0.495,0.872,6,10,R,J.Montefusco(44),CIN,1980
7,8,Apr 17,False,ATL,"W,4-1",34,32,4,6,1,0,2,4,1,0,9,0,1,0,0,0,0,0,0.287,0.358,0.484,0.842,3,10,R,P.Niekro(63),CIN,1980
8,9,Apr 18,False,ATL,"L,0-3",32,31,0,5,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0.274,0.341,0.453,0.793,5,11,R,R.Matula(78),CIN,1980
9,10,Apr 19,False,ATL,"W,6-1",42,37,6,8,0,0,0,3,5,1,11,0,0,0,3,0,5,0,0.267,0.337,0.425,0.763,9,11,R,D.Alexander(46),CIN,1980
