,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 9,True,ATL,"W,9-0",9.0,3,0,0,0,0,5,0,0,0.0,30,,,,,0,0,30,0,0,0,0,0,0,0,1,Harry Wendelstedt,F.Pastore (99-86-W),CIN,1980
1,2,Apr 11,True,ATL,"W,6-0",6.0,7,0,0,0,2,4,0,0,0.0,24,,,,,0,0,22,0,0,0,0,0,0,3,1,Frank Pulli,M.LaCoss (99-60-W),CIN,1980
2,3,Apr 12,True,ATL,"W,5-4",9.0,9,4,4,0,3,5,0,0,1.5,39,,,3.0,2.0,1,0,36,5,0,1,0,0,0,0,4,Ed Montague,"B.Bonham (99-53), D.Tomlin (99), D.Bair (99), T.Hume (99-W)",CIN,1980
3,4,Apr 13,True,ATL,"W,5-0",9.0,5,0,0,0,3,5,0,0,1.09,34,,,,,0,0,31,0,0,0,0,0,0,1,1,Lanny Harris,C.Leibrandt (99-79-W),CIN,1980
4,5,Apr 14,True,SFG,"W,6-5",9.0,6,5,5,0,5,4,2,0,1.93,37,,,0.0,0.0,0,0,32,1,0,1,0,0,0,0,3,Dutch Rennert,"P.Moskau (99-52), M.Soto (99), D.Tomlin (1-W)",CIN,1980
5,6,Apr 15,True,SFG,"W,8-3",9.0,8,3,3,0,5,4,0,0,2.12,37,,,0.0,0.0,1,0,31,3,0,0,0,1,0,1,2,John Kibler,"T.Seaver (99-45-W), T.Hume (2-Sv)",CIN,1980
6,7,Apr 16,True,SFG,"W,5-3",9.0,5,3,3,0,3,2,0,0,2.25,36,,,,,2,0,33,3,0,0,0,0,1,0,1,Bruce Froemming,M.LaCoss (4-64-W),CIN,1980
7,8,Apr 17,False,ATL,"W,4-1",9.0,5,1,1,0,1,6,1,0,2.09,33,,,,,0,0,32,1,0,0,0,0,0,0,1,Jerry Dale,F.Pastore (7-78-W),CIN,1980
8,9,Apr 18,False,ATL,"L,0-3",8.0,7,3,3,0,3,3,1,0,2.22,32,,,0.0,0.0,0,0,29,2,0,2,0,0,0,2,2,Fred Brocklander,"C.Leibrandt (4-54-L), D.Bair (5)",CIN,1980
9,10,Apr 19,False,ATL,"W,6-1",9.0,5,1,1,0,2,5,1,0,2.09,33,,,0.0,0.0,0,1,31,0,0,0,0,0,0,0,2,Paul Runge,"B.Bonham (6-68-W), T.Hume (3)",CIN,1980
10,11,Apr 20,False,ATL,"W,5-3",9.0,5,3,2,1,4,7,1,0,2.08,38,,,3.0,0.0,1,0,32,1,0,0,0,1,1,0,4,Jim Quick,"T.Seaver (4-57), D.Bair (1), D.Tomlin (5-W), T.Hume (0-Sv)",CIN,1980
11,12,Apr 21,False,HOU,"W,6-5",9.0,10,5,5,0,7,2,0,0,2.34,42,,,9.0,2.0,0,1,35,1,0,0,0,0,1,1,5,Bruce Froemming,"M.LaCoss (4-40-W), M.Soto (6-H), D.Tomlin (0), D.Bair (0-H), T.Hume (0-Sv)",CIN,1980
12,13,Apr 22,False,HOU,"L,0-8",8.0,12,8,8,0,4,7,0,0,2.81,40,,,2.0,1.0,0,0,33,2,2,1,1,2,0,0,3,Terry Tata,"F.Pastore (4-23-L), P.Moskau (7), D.Tomlin (0)",CIN,1980
13,14,Apr 23,False,HOU,"W,3-2",12.0,8,2,2,0,8,4,0,0,2.69,50,,,0.0,0.0,0,0,41,2,1,2,1,0,0,1,3,John Kibler,"C.Leibrandt (4-59), T.Hume (1-W), D.Bair (1-Sv)",CIN,1980
14,15,Apr 25,False,SFG,"L,3-4",8.1,6,4,3,1,7,6,0,0,2.72,38,,,2.0,2.0,3,0,30,0,0,1,1,0,1,1,3,Steve Fields,"T.Seaver (4-58), T.Hume (1-BSv), D.Bair (1-L)",CIN,1980
15,16,Apr 26,False,SFG,"L,1-3",8.0,8,3,3,0,2,0,0,0,2.76,34,,,2.0,1.0,2,0,30,1,1,0,1,1,1,0,3,Joe West,"M.LaCoss (4-50-L), D.Tomlin (3), D.Bair (0)",CIN,1980
16,17,Apr 27,False,SFG,"W,3-1",9.0,4,1,1,0,0,4,1,0,2.65,30,,,,,0,0,30,1,0,0,0,0,0,1,1,Bill Williams,F.Pastore (4-79-W),CIN,1980
17,18,Apr 29,True,HOU,"L,0-3",9.0,7,3,3,0,3,6,1,0,2.67,36,,,0.0,0.0,5,0,33,0,1,0,0,0,0,1,2,Dave Pallone,"C.Leibrandt (5-61-L), D.Bair (2)",CIN,1980
18,19,Apr 30,True,HOU,"L,1-5",9.0,9,5,5,0,1,6,3,0,2.8,37,118.0,78.0,0.0,0.0,2,0,35,2,0,0,1,0,0,0,3,Lanny Harris,"T.Seaver (4-48-L), M.Soto (8), T.Hume (4)",CIN,1980
19,20,May 1,True,HOU,"L,3-9",9.0,13,9,4,5,4,3,1,0,2.86,45,,,2.0,1.0,1,0,40,4,0,1,1,0,2,1,3,Ed Vargo,"M.LaCoss (4-26-L), D.Tomlin (4), M.Soto (0)",CIN,1980
20,21,May 2,True,CHC,"L,4-12",12.0,16,12,12,0,4,10,2,0,3.25,56,,,4.0,3.0,1,0,50,5,1,0,1,1,0,0,4,Bob Engel,"F.Pastore (4-61), T.Hume (1-BL), M.Soto (0), D.Tomlin (0)",CIN,1980
