,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 11,False,CAL,"L,2-10",36,34,2,7,1,0,1,2,2,0,4,0,0,0,1,0,2,0,0.206,0.25,0.324,0.574,7,11,R,D.Frost(63),CLE,1980
1,2,Apr 12,False,CAL,"W,2-1",38,29,2,5,0,0,0,1,6,1,4,1,2,0,1,2,0,0,0.19,0.292,0.254,0.546,9,9,R,B.Kison(62),CLE,1980
2,3,Apr 13,False,CAL,"L,3-8",41,36,3,10,2,0,0,3,4,0,7,0,0,1,1,1,1,0,0.222,0.31,0.283,0.593,11,11,R,D.Aase(49),CLE,1980
3,4,Apr 14,False,TEX,"L,4-7",37,32,4,6,1,0,1,4,5,0,4,0,0,0,0,1,0,0,0.214,0.307,0.29,0.597,6,13,R,D.Medich(43),CLE,1980
4,5,Apr 15,False,TEX,"L,0-3",33,32,0,5,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0.202,0.284,0.27,0.554,6,13,L,J.Matlack(80),CLE,1980
5,6,Apr 16,False,TEX,"L,7-8",45,33,7,11,3,0,0,7,9,0,2,0,0,3,1,3,0,0,0.224,0.316,0.296,0.612,11,13,R,F.Jenkins(20),CLE,1980
6,7,Apr 19,True,TOR,"W,8-1",40,30,8,10,2,0,2,8,7,2,4,1,1,1,0,1,0,1,0.239,0.337,0.336,0.673,8,11,R,J.Clancy(41),CLE,1980
7,8,Apr 20,True,TOR,"L,3-5",35,30,3,5,1,0,1,3,5,0,4,0,0,0,0,1,1,0,0.23,0.331,0.332,0.663,5,11,R,D.Lemanczyk(48),CLE,1980
8,9,Apr 21,False,MIL,"L,5-7",45,39,5,11,0,0,1,4,4,1,1,0,0,2,1,3,0,1,0.237,0.331,0.336,0.667,7,11,R,L.Sorensen(49),CLE,1980
9,10,Apr 22,False,MIL,"L,4-8",39,34,4,7,0,0,0,4,4,1,4,0,1,0,2,0,0,0,0.234,0.327,0.322,0.649,8,13,L,M.Caldwell(59),CLE,1980
10,11,Apr 23,False,MIL,"W,7-3",41,35,7,11,3,0,1,7,6,1,1,0,0,0,0,1,0,0,0.242,0.336,0.338,0.674,7,9,R,M.Haas(26),CLE,1980
11,12,Apr 25,True,TEX,"L,1-4",40,33,1,9,0,0,0,1,7,1,3,0,0,0,0,1,0,1,0.244,0.341,0.332,0.674,12,14,R,G.Perry(52),CLE,1980
12,13,Apr 26,True,TEX,"W,8-7",39,32,8,13,1,1,1,8,4,0,7,0,0,3,0,1,0,1,0.256,0.349,0.352,0.7,7,12,L,J.Matlack(45),CLE,1980
13,14,Apr 27,True,TEX,"W,7-4",40,37,7,13,2,1,0,6,3,1,2,0,0,0,2,2,0,0,0.264,0.352,0.361,0.713,9,9,R,F.Jenkins(41),CLE,1980
14,15,Apr 29,True,MIL,"L,1-14",38,33,1,10,0,0,0,1,3,0,2,1,0,1,0,3,0,0,0.267,0.353,0.357,0.71,10,12,L,B.Travers(51),CLE,1980
15,16,May 1,False,TOR,"W,2-1",34,30,2,5,2,0,0,2,4,0,2,0,0,0,0,2,0,0,0.261,0.348,0.35,0.698,5,13,R,D.Lemanczyk(59),CLE,1980
16,17,May 2,False,TOR,"W,6-1",41,38,6,11,2,0,0,5,3,0,8,0,0,0,0,0,0,0,0.263,0.348,0.349,0.697,8,9,R,D.Stieb(38),CLE,1980
17,18,May 3,False,TOR,"L,3-8",44,34,3,12,2,0,0,3,8,1,7,1,1,0,0,3,1,1,0.268,0.357,0.353,0.709,14,10,L,P.Mirabella(38),CLE,1980
18,19,May 4 (1),False,TOR,"L,8-9",47,42,8,13,0,0,5,8,4,0,2,1,0,0,1,2,1,0,0.271,0.358,0.373,0.732,9,13,R,J.Clancy(38),CLE,1980
19,20,May 4 (2),False,TOR,"L,2-7",39,35,2,8,1,0,0,2,4,0,6,0,0,0,2,1,0,1,0.268,0.356,0.367,0.723,10,11,R,J.Jefferson(48),CLE,1980
20,21,May 5,False,OAK,"L,1-5",36,34,1,6,0,0,0,1,1,0,6,1,0,0,2,0,0,1,0.264,0.35,0.358,0.708,8,11,R,M.Keough(78),CLE,1980
21,22,May 6,False,OAK,"W,4-3",41,35,4,9,0,0,0,4,4,1,6,1,1,0,1,1,0,0,0.264,0.35,0.353,0.703,10,9,R,S.McCatty(55),CLE,1980
22,23,May 7,False,OAK,"W,2-1",31,29,2,5,1,0,0,2,2,0,5,0,0,0,1,1,0,3,0.26,0.346,0.348,0.694,2,9,R,B.Kingman(54),CLE,1980
