,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 11,False,CAL,"L,2-10",8.0,15,10,10,0,4,9,3,1,11.25,44,,,3.0,1.0,3,0,38,1,1,0,0,1,0,0,4,Bill Haller,"D.Spillner (99-28-L), M.Paxton (99), M.Stanton (99), V.Cruz (99)",CLE,1980
1,2,Apr 12,False,CAL,"W,2-1",9.0,7,1,1,0,3,7,1,0,5.82,36,,,1.0,0.0,1,0,33,1,0,0,0,0,1,1,2,Russ Goetz,"L.Barker (99-70-W), S.Monge (99-Sv)",CLE,1980
2,3,Apr 13,False,CAL,"L,3-8",8.0,10,8,8,0,6,10,0,1,6.84,39,,,2.0,2.0,3,1,32,3,0,1,0,0,0,0,2,George Maloney,"J.Denny (99-32-L), M.Stanton (1)",CLE,1980
3,4,Apr 14,False,TEX,"L,4-7",8.0,7,7,7,0,7,4,1,0,7.09,37,,,1.0,0.0,1,0,29,3,0,1,1,0,0,1,2,Steve Palermo,"R.Waits (99-33-L), S.Monge (1)",CLE,1980
4,5,Apr 15,False,TEX,"L,0-3",8.0,8,3,3,0,2,1,0,0,6.37,33,,,1.0,0.0,1,0,29,1,0,0,1,1,0,0,3,Dave Phillips,"B.Owchinko (99-45-L), S.Monge (0), V.Cruz (3)",CLE,1980
5,6,Apr 16,False,TEX,"L,7-8",8.2,13,8,7,1,2,6,1,0,6.52,41,,,6.0,4.0,1,0,39,0,0,0,0,0,1,0,4,Lou DiMuro,"L.Barker (3-35), D.Spillner (4-H), S.Monge (0-H), V.Cruz (0-BL)",CLE,1980
6,7,Apr 19,True,TOR,"W,8-1",9.0,6,1,1,0,0,6,0,0,5.68,32,,,,,0,1,32,1,0,0,0,0,1,1,1,Ted Hendry,R.Waits (4-77-W),CLE,1980
7,8,Apr 20,True,TOR,"L,3-5",9.0,11,5,5,0,1,7,1,0,5.59,35,,,0.0,0.0,1,3,33,3,0,0,0,1,0,0,2,Larry Barnett,"J.Denny (6-45-L), M.Stanton (6)",CLE,1980
8,9,Apr 21,False,MIL,"L,5-7",10.0,13,7,7,0,5,6,1,1,5.68,49,,,5.0,2.0,0,0,41,2,0,2,2,0,0,0,4,Russ Goetz,"B.Owchinko (5-49), M.Stanton (0-H), S.Monge (4-BSv), V.Cruz (4-L)",CLE,1980
9,10,Apr 22,False,MIL,"L,4-8",8.0,12,8,7,1,8,3,1,0,5.88,43,,,9.0,5.0,1,0,33,3,1,1,1,1,1,1,4,George Maloney,"L.Barker (5-29-L), M.Paxton (10-BSv), S.Monge (0), V.Cruz (0)",CLE,1980
