,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 5,False,NYM,"L,0-3",32,30,0,4,0,0,0,0,1,0,4,1,0,0,0,0,1,0,0.133,0.188,0.133,0.321,5,12,R,D.Gooden(82),COL,1993
1,2,Apr 7,False,NYM,"L,1-6",30,29,1,2,0,0,1,1,1,0,2,0,0,0,3,2,0,1,0.102,0.145,0.153,0.298,2,15,R,B.Saberhagen(74),COL,1993
2,3,Apr 9,True,MON,"W,11-4",44,39,11,18,2,0,2,10,3,0,3,0,1,1,3,1,3,0,0.245,0.286,0.357,0.643,9,15,R,K.Bottenfield(21),COL,1993
3,4,Apr 10,True,MON,"W,9-5",34,30,9,7,0,2,1,8,2,0,6,1,1,0,2,2,3,0,0.242,0.29,0.383,0.673,1,12,R,D.Martínez(48),COL,1993
4,5,Apr 11,True,MON,"L,9-19",45,41,9,16,5,0,0,8,3,0,5,0,0,1,1,1,1,0,0.278,0.322,0.414,0.737,9,19,R,J.Jones(37),COL,1993
5,6,Apr 13,True,NYM,"L,4-8",38,33,4,11,2,0,1,4,2,1,4,1,1,1,0,1,1,0,0.287,0.332,0.426,0.758,7,15,R,B.Saberhagen(43),COL,1993
6,7,Apr 14,True,NYM,"L,3-6",34,31,3,7,0,1,0,3,3,0,2,0,0,0,0,1,0,2,0.279,0.327,0.408,0.734,4,14,L,S.Fernandez(63),COL,1993
7,8,Apr 15,True,NYM,"W,5-3",32,26,5,4,1,0,0,5,4,0,2,0,2,0,0,0,2,0,0.266,0.32,0.386,0.707,3,9,R,D.Gooden(47),COL,1993
8,9,Apr 16,False,MON,"L,2-3",34,32,2,6,1,0,2,2,2,0,2,0,0,0,0,0,0,0,0.258,0.311,0.388,0.7,5,15,R,K.Bottenfield(63),COL,1993
9,10,Apr 17,False,MON,"W,9-1",43,40,9,14,3,0,2,7,1,0,4,1,0,1,1,1,2,0,0.269,0.319,0.411,0.729,7,11,R,D.Martínez(31),COL,1993
10,11,Apr 18,False,MON,"L,2-4",35,32,2,4,1,0,0,2,3,1,5,0,0,0,2,0,3,1,0.256,0.308,0.388,0.697,6,16,R,K.Hill(75),COL,1993
11,12,Apr 20,False,STL,"L,0-5",31,31,0,5,0,0,0,0,0,0,8,0,0,0,0,1,2,0,0.249,0.297,0.371,0.668,4,14,R,R.Arocha(65),COL,1993
12,13,Apr 21,False,STL,"W,11-2",48,37,11,14,4,1,1,11,6,1,4,1,2,2,0,0,3,0,0.26,0.313,0.392,0.705,10,13,L,J.Magrane(33),COL,1993
13,14,Apr 22,False,STL,"L,2-5",31,31,2,7,2,0,0,2,0,0,5,0,0,0,0,0,0,2,0.258,0.308,0.385,0.693,2,14,L,R.Cormier(60),COL,1993
14,15,Apr 23,True,FLA,"W,5-4",33,29,5,7,1,1,2,5,4,0,4,0,0,0,0,0,0,1,0.257,0.309,0.395,0.704,4,12,L,C.Hammond(29),COL,1993
15,16,Apr 24,True,FLA,"L,1-2",38,34,1,10,1,0,0,1,3,0,6,0,0,1,1,1,3,2,0.259,0.311,0.39,0.702,10,17,R,L.Aquino(63),COL,1993
16,17,Apr 25,True,FLA,"L,1-11",36,31,1,6,2,0,0,1,4,0,6,0,0,1,0,1,2,0,0.255,0.309,0.383,0.692,8,19,R,R.Bowen(72),COL,1993
17,18,Apr 26,True,CHC,"L,3-6",39,37,3,16,2,2,0,3,1,0,3,0,0,1,0,1,0,0,0.266,0.317,0.396,0.713,9,16,R,M.Harkey(35),COL,1993
18,19,Apr 27,True,CHC,"W,11-2",40,35,11,11,3,0,2,11,4,0,5,0,1,0,3,1,0,0,0.269,0.321,0.406,0.727,5,9,R,M.Morgan(8),COL,1993
19,20,Apr 28,True,STL,"L,6-7",39,32,6,11,1,1,0,5,6,0,7,0,0,1,0,4,0,1,0.273,0.327,0.408,0.734,6,16,L,D.Osborne(36),COL,1993
20,21,Apr 29,True,STL,"L,2-5",36,36,2,9,2,0,1,2,0,0,5,0,0,0,1,0,1,0,0.272,0.323,0.407,0.73,7,17,R,B.Tewksbury(52),COL,1993
21,22,Apr 30,False,FLA,"W,6-2",45,38,6,12,1,0,1,6,6,3,7,0,0,1,0,0,3,0,0.274,0.328,0.407,0.735,12,10,R,R.Bowen(37),COL,1993
22,23,May 1,False,FLA,"L,6-7",53,45,6,11,3,0,0,6,6,1,10,2,0,0,0,0,2,3,0.272,0.329,0.402,0.731,11,19,R,C.Hough(36),COL,1993
