,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 5,False,NYM,"L,0-3",8.0,8,3,3,0,8,5,1,0,3.38,40,159.0,89.0,0.0,0.0,3,0,32,0,0,1,0,0,0,0,3,Harry Wendelstedt,"D.Nied (99-44-L), B.Henry (99), G.Wayne (99)",COL,1993
1,2,Apr 7,False,NYM,"L,1-6",8.0,10,6,5,1,6,6,0,1,4.5,41,156.0,88.0,2.0,2.0,1,0,32,2,0,1,2,0,0,1,5,Randy Marsh,"B.Ruffin (99-22-L), S.Aldred (99), W.Blair (99), J.Parrett (99), D.Holmes (99)",COL,1993
2,3,Apr 9,True,MON,"W,11-4",9.0,10,4,4,0,1,1,1,1,4.32,38,119.0,76.0,0.0,0.0,0,0,35,2,0,0,0,1,1,1,3,Mike Winters,"B.Smith (99-66-W), W.Blair (1), S.Reed (99)",COL,1993
3,4,Apr 10,True,MON,"W,9-5",9.0,12,5,5,0,3,5,0,0,4.5,41,135.0,86.0,0.0,0.0,4,0,36,1,0,0,2,0,1,0,2,Bruce Froemming,"D.Nied (4-43-W), J.Parrett (2)",COL,1993
4,5,Apr 11,True,MON,"L,9-19",9.0,22,19,15,4,6,5,4,1,6.7,58,214.0,134.0,1.0,1.0,1,1,49,4,0,0,1,1,3,0,6,Brian Gorman,"B.Henry (5-32-L), W.Blair (1), S.Reed (1), S.Aldred (3), D.Holmes (3), G.Wayne (5)",COL,1993
5,6,Apr 13,True,NYM,"L,4-8",9.0,12,8,8,0,12,6,0,0,6.92,50,197.0,108.0,5.0,5.0,1,0,38,2,1,0,0,0,1,1,4,Bill Hohn,"A.Ashby (99-45), J.Parrett (2-H), D.Holmes (1-BL), W.Blair (1)",COL,1993
6,7,Apr 14,True,NYM,"L,3-6",9.0,12,6,4,2,6,4,0,1,6.49,47,148.0,81.0,5.0,1.0,1,0,35,2,1,2,3,2,2,1,4,Ron Barnes,"B.Smith (4-36-L), S.Aldred (2), S.Reed (2), G.Wayne (2)",COL,1993
7,8,Apr 15,True,NYM,"W,5-3",9.0,6,3,2,1,0,6,0,0,5.91,34,114.0,83.0,,,0,0,32,4,0,0,1,1,1,0,1,John McSherry,D.Nied (4-71-W),COL,1993
8,9,Apr 16,False,MON,"L,2-3",8.0,5,3,3,0,4,2,1,0,5.65,32,122.0,67.0,1.0,0.0,0,1,28,1,0,0,0,0,0,0,3,Joe West,"B.Henry (4-49-L), W.Blair (2), J.Parrett (2)",COL,1993
9,10,Apr 17,False,MON,"W,9-1",9.0,10,1,0,1,2,7,0,0,5.07,38,147.0,91.0,2.0,0.0,0,1,36,2,0,0,0,0,1,0,3,Charlie Williams,"B.Ruffin (9-57-W), J.Parrett (0), D.Holmes (3)",COL,1993
