,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 10,False,KCR,"W,5-1",36,33,5,9,1,2,2,5,3,0,4,0,0,0,1,2,1,1,0.273,0.333,0.606,0.939,4,10,R,D.Leonard(48),DET,1980
1,2,Apr 11,False,KCR,"L,0-4",34,31,0,6,0,0,0,0,3,0,5,0,0,0,0,1,1,0,0.234,0.3,0.406,0.706,7,9,L,L.Gura(77),DET,1980
2,3,Apr 12,False,KCR,"L,6-8",42,37,6,10,2,1,0,6,5,0,7,0,0,0,0,1,2,0,0.248,0.321,0.396,0.717,9,11,R,R.Gale(39),DET,1980
3,4,Apr 13,False,KCR,"L,2-3",35,32,2,10,2,0,1,2,2,0,1,0,1,0,0,2,2,1,0.263,0.329,0.414,0.742,6,15,L,P.Splittorff(60),DET,1980
4,5,Apr 14,False,BOS,"L,1-3",35,32,1,5,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0.242,0.309,0.364,0.673,7,11,R,D.Eckersley(65),DET,1980
5,6,Apr 16,False,BOS,"L,9-10",43,34,9,9,1,3,1,8,6,0,2,2,0,1,1,1,0,0,0.246,0.326,0.397,0.723,7,15,L,B.Hurst(28),DET,1980
6,7,Apr 17,False,BOS,"L,4-5",48,40,4,10,3,0,0,3,6,0,5,0,2,0,0,1,0,0,0.247,0.33,0.385,0.715,11,10,R,M.Torrez(42),DET,1980
7,8,Apr 18,True,KCR,"L,6-9",48,45,6,14,1,1,0,6,2,0,8,0,0,1,0,0,1,1,0.257,0.33,0.384,0.714,9,12,L,P.Splittorff(26),DET,1980
8,9,Apr 19,True,KCR,"W,8-6",35,32,8,10,1,0,3,7,2,0,6,0,0,1,0,0,1,1,0.263,0.331,0.408,0.74,3,11,R,D.Leonard(42),DET,1980
9,10,Apr 20,True,KCR,"L,6-9",40,34,6,10,1,0,0,5,5,0,5,0,0,1,0,1,0,1,0.266,0.336,0.4,0.736,7,11,L,L.Gura(20),DET,1980
10,11,Apr 21,False,TEX,"L,2-3",35,32,2,7,1,0,0,2,3,0,8,0,0,0,0,1,1,1,0.262,0.332,0.387,0.719,6,11,L,J.Matlack(69),DET,1980
11,12,Apr 22,False,TEX,"W,2-0",36,32,2,8,2,0,1,2,3,1,3,0,1,0,0,1,0,0,0.261,0.33,0.389,0.719,7,10,R,F.Jenkins(63),DET,1980
12,13,Apr 23,False,TEX,"W,5-4",41,38,5,9,1,0,0,4,2,0,9,1,0,0,0,0,1,0,0.259,0.327,0.378,0.706,9,11,R,S.Comer(33),DET,1980
13,14,Apr 25,True,BOS,"W,11-3",40,32,11,11,2,0,1,11,6,1,4,0,1,1,1,2,1,0,0.264,0.335,0.386,0.722,5,12,R,D.Eckersley(37),DET,1980
14,15,Apr 26,True,BOS,"L,7-12",39,35,7,8,0,0,2,7,4,0,5,0,0,0,1,1,0,0,0.262,0.333,0.387,0.721,5,16,L,B.Hurst(57),DET,1980
15,16,Apr 27,True,BOS,"W,8-5",40,32,8,12,2,0,1,7,3,0,2,0,2,3,3,2,0,1,0.269,0.337,0.396,0.733,8,11,R,M.Torrez(25),DET,1980
16,17,Apr 29,True,TEX,"L,5-10",31,29,5,10,1,0,1,5,2,0,2,0,0,0,0,1,0,0,0.272,0.339,0.4,0.739,5,11,R,S.Comer(30),DET,1980
17,18,Apr 30,True,TEX,"W,5-4",43,38,5,11,0,0,2,5,4,1,4,0,1,0,0,0,0,1,0.273,0.341,0.403,0.743,9,11,R,G.Perry(44),DET,1980
18,19,May 2,False,OAK,"L,6-10",47,38,6,13,2,0,2,6,8,0,7,0,0,1,0,0,0,0,0.277,0.347,0.412,0.759,14,11,R,S.McCatty(36),DET,1980
19,20,May 3,False,OAK,"L,3-5",38,34,3,9,0,0,0,3,4,0,8,0,0,0,0,1,2,1,0.277,0.347,0.404,0.751,8,11,R,B.Kingman(41),DET,1980
20,21,May 4 (1),False,OAK,"W,4-0",38,35,4,11,0,0,1,4,3,0,6,0,0,0,1,2,0,3,0.279,0.348,0.404,0.752,7,9,R,R.Langford(56),DET,1980
21,22,May 4 (2),False,OAK,"L,0-1",33,31,0,4,0,0,0,0,2,0,8,0,0,0,1,0,0,1,0.272,0.342,0.393,0.734,6,12,R,M.Norris(85),DET,1980
22,23,May 6,False,SEA,"W,9-5",44,38,9,13,4,0,0,8,5,0,2,0,1,0,0,0,4,1,0.276,0.345,0.395,0.741,8,10,R,J.Beattie(37),DET,1980
23,24,May 7,False,SEA,"L,6-7",47,40,6,13,3,0,1,5,5,1,2,1,1,0,0,2,2,1,0.278,0.349,0.399,0.748,11,13,R,G.Abbott(29),DET,1980
24,25,May 8,False,SEA,"L,3-4",33,30,3,6,1,0,1,2,2,0,1,0,1,0,1,2,0,1,0.275,0.345,0.397,0.742,3,9,L,R.Honeycutt(64),DET,1980
25,26,May 9,False,CAL,"W,6-5",44,35,6,8,1,0,1,5,6,0,8,2,0,1,0,0,3,0,0.274,0.346,0.395,0.741,8,13,R,B.Kison(32),DET,1980
26,27,May 10,False,CAL,"W,6-1",39,34,6,8,1,0,1,5,5,0,7,0,0,0,0,0,2,1,0.272,0.346,0.393,0.739,6,10,L,F.Tanana(40),DET,1980
27,28,May 11,False,CAL,"W,4-0",38,32,4,10,0,0,0,3,5,0,6,0,0,1,1,2,2,1,0.274,0.347,0.391,0.738,7,11,R,D.Aase(41),DET,1980
28,29,May 13,True,OAK,"W,4-3",35,32,4,7,0,1,1,3,3,1,9,0,0,0,0,0,0,0,0.272,0.345,0.39,0.736,7,9,R,M.Keough(58),DET,1980
29,30,May 14,True,OAK,"W,6-5",38,31,6,8,2,1,0,6,6,0,5,0,0,1,0,2,0,0,0.271,0.346,0.39,0.736,6,13,R,R.Langford(46),DET,1980
30,31,May 16,True,BAL,"L,1-2",33,31,1,5,2,0,0,1,2,0,7,0,0,0,1,0,1,1,0.268,0.343,0.385,0.728,5,10,L,M.Flanagan(80),DET,1980
31,32,May 18,True,BAL,"W,6-4",37,31,6,9,1,1,1,5,3,0,9,1,1,1,1,1,0,0,0.269,0.343,0.388,0.731,7,12,L,S.McGregor(52),DET,1980
32,33,May 19,True,NYY,"L,0-1",35,31,0,6,0,0,0,0,3,0,7,0,1,0,2,1,0,1,0.267,0.341,0.383,0.724,8,11,L,R.Guidry(79),DET,1980
33,34,May 20,True,NYY,"W,12-8",46,35,12,14,3,0,3,12,9,0,3,1,1,0,0,2,0,0,0.271,0.348,0.394,0.741,10,12,L,T.John(18),DET,1980
34,35,May 21,True,NYY,"L,5-9",42,39,5,8,0,0,2,5,3,0,9,0,0,0,0,1,0,0,0.269,0.345,0.392,0.737,4,11,L,T.Underwood(58),DET,1980
35,36,May 22,False,BAL,"L,1-5",31,29,1,2,1,0,1,1,2,0,3,0,0,0,0,0,0,0,0.264,0.34,0.388,0.728,3,9,L,S.McGregor(80),DET,1980
36,37,May 23,False,BAL,"L,3-5",32,28,3,3,1,0,0,2,3,0,7,0,1,0,0,2,0,0,0.26,0.337,0.383,0.719,2,9,R,S.Stone(69),DET,1980
37,38,May 24,False,BAL,"L,1-9",37,34,1,7,2,0,0,1,3,0,8,0,0,0,1,0,0,1,0.259,0.335,0.379,0.715,9,9,R,J.Palmer(74),DET,1980
38,39,May 25,False,BAL,"W,6-4",48,41,6,11,0,0,4,6,5,1,5,1,1,0,0,1,1,1,0.259,0.336,0.385,0.721,9,14,L,M.Flanagan(49),DET,1980
39,40,May 26,False,NYY,"L,5-13",38,35,5,10,0,1,3,5,2,0,11,1,0,0,0,1,0,0,0.26,0.336,0.391,0.727,6,14,L,T.Underwood(47),DET,1980
40,41,May 27,False,NYY,"L,6-9",41,38,6,9,4,0,1,5,3,0,4,0,0,0,2,0,0,0,0.259,0.335,0.391,0.726,8,9,R,M.Griffin(33),DET,1980
41,42,May 28,False,NYY,"W,6-3",37,34,6,10,0,0,1,6,2,0,7,0,0,1,0,1,0,0,0.26,0.335,0.391,0.726,4,9,L,R.Guidry(44),DET,1980
42,43,May 30,True,CAL,"W,12-1",44,40,12,18,3,1,5,11,2,1,5,1,0,1,0,1,0,0,0.265,0.339,0.406,0.745,8,12,L,F.Tanana(29),DET,1980
43,44,May 31,True,CAL,"L,1-6",32,31,1,4,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0.262,0.335,0.403,0.738,4,9,R,B.Kison(69),DET,1980
44,45,Jun 2,True,SEA,"T,3-3",54,45,3,11,1,0,1,3,6,2,4,0,2,1,0,2,0,0,0.262,0.335,0.401,0.736,12,13,L,R.Honeycutt(59),DET,1980
45,46,Jun 3,True,SEA,"W,4-2",33,29,4,6,0,0,1,4,4,0,7,0,0,0,0,2,0,1,0.261,0.334,0.399,0.733,3,11,L,D.Roberts(64),DET,1980
46,47,Jun 4,True,SEA,"W,8-2",41,32,8,8,1,1,1,8,6,1,7,2,1,0,1,0,1,0,0.261,0.336,0.4,0.735,9,10,L,F.Bannister(34),DET,1980
47,48,Jun 6,False,MIL,"L,4-8",42,35,4,9,0,0,0,2,7,0,5,0,0,0,1,1,1,1,0.261,0.337,0.397,0.733,11,12,L,M.Caldwell(54),DET,1980
48,49,Jun 7,False,MIL,"L,3-5",41,38,3,11,1,0,1,3,3,0,4,0,0,0,2,2,0,0,0.261,0.337,0.397,0.734,11,10,R,R.Keeton(54),DET,1980
49,50,Jun 8,False,MIL,"W,9-5",46,40,9,13,1,0,1,8,5,0,6,1,0,0,0,0,0,0,0.263,0.339,0.397,0.736,10,10,L,B.Travers(22),DET,1980
50,51,Jun 10,True,MIN,"W,8-3",37,33,8,11,4,0,0,8,2,0,5,1,0,1,0,0,0,0,0.264,0.339,0.398,0.738,5,10,L,G.Zahn(27),DET,1980
51,52,Jun 11,True,MIN,"L,5-9",42,38,5,14,2,0,1,4,4,0,0,0,0,0,1,4,1,0,0.266,0.341,0.401,0.742,10,13,L,D.Jackson(43),DET,1980
52,53,Jun 12,True,MIN,"W,8-4",40,34,8,11,3,1,2,8,6,0,5,0,0,0,0,0,0,1,0.267,0.343,0.405,0.748,8,11,R,P.Redfern(33),DET,1980
53,54,Jun 13,True,CHW,"W,8-4",39,35,8,12,2,2,0,8,2,0,0,2,0,0,2,0,1,1,0.269,0.344,0.407,0.751,7,12,L,S.Trout(25),DET,1980
54,55,Jun 14,True,CHW,"W,3-0",30,26,3,3,1,0,1,2,2,0,6,0,1,1,1,0,1,0,0.267,0.342,0.405,0.747,3,10,L,B.Burns(72),DET,1980
55,56,Jun 16 (1),True,MIL,"W,6-5",41,37,6,14,4,0,0,6,2,0,2,0,1,1,0,1,0,0,0.269,0.343,0.407,0.75,9,12,R,L.Sorensen(38),DET,1980
56,57,Jun 16 (2),True,MIL,"L,3-5",38,31,3,4,1,0,2,3,7,0,2,0,0,0,1,1,0,0,0.267,0.342,0.406,0.748,8,14,R,R.Cleveland(56),DET,1980
57,58,Jun 17,True,MIL,"W,3-0",30,27,3,5,1,0,1,3,2,0,3,0,0,1,1,0,1,2,0.265,0.34,0.405,0.746,3,9,L,M.Caldwell(63),DET,1980
58,59,Jun 19,False,MIN,"L,1-5",36,33,1,7,0,1,0,1,3,0,11,0,0,0,0,1,0,0,0.265,0.339,0.403,0.742,8,9,L,D.Jackson(73),DET,1980
59,60,Jun 20,False,CHW,"W,5-3",46,41,5,9,2,0,2,5,5,2,5,0,0,0,1,0,0,2,0.264,0.339,0.403,0.742,8,13,L,B.Burns(66),DET,1980
60,61,Jun 21,False,CHW,"W,4-1",44,37,4,10,2,1,0,4,7,1,8,0,0,0,0,0,2,0,0.264,0.34,0.403,0.742,13,10,L,R.Baumgarten(41),DET,1980
61,62,Jun 22 (1),False,CHW,"W,7-1",42,37,7,12,4,0,0,5,3,0,4,0,2,0,1,0,1,0,0.265,0.34,0.403,0.743,8,10,L,K.Kravec(39),DET,1980
62,63,Jun 22 (2),False,CHW,"W,6-4",39,35,6,8,3,0,0,6,2,0,5,0,1,1,4,1,0,1,0.264,0.339,0.402,0.741,6,11,L,R.Wortham(55),DET,1980
63,64,Jun 23,False,CLE,"W,5-4",39,36,5,13,1,0,0,4,2,0,7,0,1,0,0,1,1,1,0.266,0.34,0.402,0.741,7,12,L,B.Owchinko(47),DET,1980
64,65,Jun 24,False,CLE,"W,9-4",44,36,9,9,1,1,0,9,7,1,7,0,1,0,1,0,2,0,0.266,0.34,0.4,0.741,8,11,R,L.Barker(33),DET,1980
65,66,Jun 25,False,CLE,"W,13-3",55,41,13,15,2,0,0,13,14,0,4,0,0,0,0,1,0,0,0.267,0.344,0.401,0.745,15,12,R,D.Spillner(18),DET,1980
66,67,Jun 27,False,TOR,"W,7-2",41,38,7,12,2,1,1,7,2,0,3,0,1,0,1,0,0,0,0.268,0.345,0.402,0.747,7,11,R,J.Jefferson(26),DET,1980
67,68,Jun 28,False,TOR,"W,8-3",46,36,8,11,2,1,1,7,7,1,6,0,2,1,2,1,0,0,0.269,0.346,0.404,0.749,11,12,R,J.Kucek(42),DET,1980
68,69,Jun 29,False,TOR,"L,0-2",31,31,0,7,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0.268,0.344,0.402,0.746,4,11,R,D.Stieb(76),DET,1980
69,70,Jun 30,True,CLE,"W,9-4",43,35,9,14,3,0,0,9,7,2,8,0,0,1,0,0,0,1,0.27,0.346,0.403,0.749,10,10,R,D.Spillner(37),DET,1980
70,71,Jul 1,True,CLE,"L,7-8",44,36,7,10,0,2,0,7,6,0,8,1,0,1,0,0,1,0,0.27,0.347,0.403,0.75,10,14,R,J.Denny(16),DET,1980
71,72,Jul 2,True,CLE,"W,7-6",40,33,7,10,3,0,2,7,5,1,5,1,1,0,0,0,0,0,0.271,0.348,0.405,0.753,9,10,L,R.Waits(18),DET,1980
72,73,Jul 3,True,TOR,"W,8-5",42,35,8,14,4,0,1,8,6,0,4,0,1,0,1,3,1,0,0.272,0.35,0.408,0.758,10,11,R,J.Kucek(42),DET,1980
73,74,Jul 4,True,TOR,"W,4-3",35,32,4,9,1,0,0,2,2,0,4,0,1,0,1,3,0,0,0.273,0.35,0.406,0.756,7,9,R,D.Stieb(50),DET,1980
74,75,Jul 5,True,TOR,"L,3-5",44,39,3,13,1,0,0,3,5,0,7,0,0,0,0,0,0,0,0.273,0.351,0.406,0.756,14,10,R,J.Clancy(44),DET,1980
75,76,Jul 6,True,TOR,"W,7-5",39,33,7,12,1,1,0,7,5,1,3,0,0,1,1,1,0,1,0.275,0.352,0.406,0.758,8,11,R,J.McLaughlin(42),DET,1980
76,77,Jul 10,False,KCR,"L,2-3",35,34,2,9,1,1,0,2,0,0,5,0,0,1,0,0,0,1,0.275,0.351,0.406,0.756,6,10,L,P.Splittorff(58),DET,1980
77,78,Jul 11,False,KCR,"L,3-7",34,30,3,6,2,0,2,3,3,0,1,0,0,1,0,1,0,0,0.274,0.35,0.406,0.756,4,9,R,D.Leonard(61),DET,1980
