,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 10,False,KCR,"W,5-1",9.0,3,1,0,1,3,5,0,0,0.0,34,,,,,1,0,31,2,0,0,0,0,1,0,1,Dave Phillips,J.Morris (99-81-W),DET,1980
1,2,Apr 11,False,KCR,"L,0-4",8.0,7,4,4,0,2,4,0,0,2.12,31,,,1.0,1.0,0,1,29,2,0,1,0,0,0,0,2,Lou DiMuro,"D.Schatzeder (99-50-L), P.Underwood (99)",DET,1980
2,3,Apr 12,False,KCR,"L,6-8",8.0,15,8,8,0,1,4,0,0,4.32,38,,,0.0,0.0,3,0,36,5,3,0,0,1,0,2,3,Al Clark,"M.Wilcox (99-16), J.Hiller (99), P.Underwood (0-L)",DET,1980
3,4,Apr 13,False,KCR,"L,2-3",8.0,8,3,3,0,5,2,0,0,4.09,35,,,0.0,0.0,1,0,30,0,0,2,0,0,0,1,2,Al Clark,"D.Rozema (99-46-L), A.López (99)",DET,1980
4,5,Apr 14,False,BOS,"L,1-3",8.0,6,3,3,0,2,2,1,0,3.95,29,,,0.0,0.0,0,0,26,0,1,0,0,1,0,2,2,Marty Springstead,"J.Morris (3-51-L), J.Billingham (99)",DET,1980
5,6,Apr 16,False,BOS,"L,9-10",8.0,11,10,10,0,8,5,1,0,5.14,43,,,7.0,3.0,0,0,35,4,0,1,0,0,0,0,5,Joe Brinkman,"D.Schatzeder (4-21-L), D.Tobik (99), J.Billingham (1), J.Hiller (3), A.López (2)",DET,1980
6,7,Apr 17,False,BOS,"L,4-5",10.0,8,5,4,1,5,8,1,1,4.88,44,,,0.0,0.0,0,1,38,2,1,0,0,0,2,0,3,Nick Bremigan,"M.Wilcox (4-47), P.Underwood (4), A.López (0-L)",DET,1980
7,8,Apr 18,True,KCR,"L,6-9",11.0,15,9,9,0,5,3,0,0,5.27,52,,,4.0,2.0,0,0,44,3,1,2,1,2,0,1,5,George Maloney,"D.Rozema (4-40), J.Hiller (1), P.Underwood (0), J.Billingham (1-BSv), A.López (0-L)",DET,1980
8,9,Apr 19,True,KCR,"W,8-6",9.0,7,6,6,0,4,1,2,0,5.35,37,,,,,0,1,33,3,0,0,0,0,0,0,1,Vic Voltaggio,J.Morris (4-46-W),DET,1980
9,10,Apr 20,True,KCR,"L,6-9",9.0,11,9,8,1,4,7,2,0,5.62,42,,,2.0,1.0,2,0,37,5,0,1,0,1,0,0,3,Bill Haller,"D.Schatzeder (3-17-L), D.Tobik (3), J.Billingham (1)",DET,1980
10,11,Apr 21,False,TEX,"L,2-3",8.0,6,3,3,0,3,3,1,0,5.44,32,,,,,3,0,29,0,0,0,0,0,0,1,1,Don Denkinger,M.Wilcox (3-58-L),DET,1980
11,12,Apr 22,False,TEX,"W,2-0",9.0,8,0,0,0,0,2,0,0,4.97,34,,,,,0,0,34,2,0,0,0,0,0,1,1,Larry McCoy,D.Rozema (3-73-W),DET,1980
12,13,Apr 23,False,TEX,"W,5-4",9.0,9,4,4,0,4,4,0,1,4.89,38,,,1.0,0.0,1,2,33,2,0,0,0,0,0,1,2,Dale Ford,"J.Morris (3-50-W), A.López (4-Sv)",DET,1980
13,14,Apr 25,True,BOS,"W,11-3",9.0,10,3,3,0,4,3,1,0,4.76,39,,,0.0,0.0,0,0,35,3,0,0,0,0,1,3,3,Jim McKean,"D.Schatzeder (4-47-W), J.Billingham (4), P.Underwood (6)",DET,1980
14,15,Apr 26,True,BOS,"L,7-12",9.0,17,12,12,0,5,2,3,0,5.25,48,,,5.0,3.0,0,0,42,2,0,2,0,1,0,1,4,Ted Hendry,"M.Wilcox (4-19-L), J.Hiller (7), D.Tobik (5), A.López (2)",DET,1980
15,16,Apr 27,True,BOS,"W,8-5",9.0,10,5,4,1,5,2,0,1,5.17,40,,,5.0,2.0,0,1,33,3,0,0,0,1,0,2,3,Jim Evans,"D.Rozema (4-47-W), J.Billingham (1-H), A.López (0-Sv)",DET,1980
16,17,Apr 29,True,TEX,"L,5-10",7.0,16,10,10,0,1,2,1,0,5.53,38,,,2.0,2.0,0,0,33,2,0,0,1,3,0,0,3,Larry Barnett,"J.Morris (5-24-L), J.Hiller (2), J.Billingham (1)",DET,1980
17,18,Apr 30,True,TEX,"W,5-4",10.0,11,4,4,0,4,3,1,0,5.41,46,,,4.0,1.0,0,0,42,5,0,1,0,0,1,0,4,Jim McKean,"D.Schatzeder (4-52), A.López (2-H), P.Underwood (4-H), M.Wilcox (3-BW)",DET,1980
18,19,May 2,False,OAK,"L,6-10",8.0,14,10,10,0,4,5,1,0,5.69,41,,,5.0,3.0,1,0,37,3,0,0,0,0,0,1,5,Durwood Merrill,"D.Rozema (4-21-L), D.Petry (99), D.Tobik (5), J.Billingham (2), P.Underwood (1)",DET,1980
19,20,May 3,False,OAK,"L,3-5",8.0,9,5,5,0,0,4,1,0,5.69,31,,,0.0,0.0,4,1,30,1,0,0,1,0,1,1,2,Marty Springstead,"J.Morris (3-33-L), P.Underwood (0)",DET,1980
20,21,May 4(1),False,OAK,"W,4-0",9.0,4,0,0,0,3,4,0,0,5.41,34,,,,,1,0,31,0,0,1,0,0,0,0,1,Joe Brinkman,M.Wilcox (3-80-W),DET,1980
21,22,May 4(2),False,OAK,"L,0-1",8.0,5,1,1,0,4,3,1,0,5.23,34,,,0.0,0.0,0,0,30,0,0,0,0,0,1,0,2,Nick Bremigan,"D.Schatzeder (3-64-L), A.López (3)",DET,1980
22,23,May 6,False,SEA,"W,9-5",9.0,9,5,5,0,5,6,0,0,5.22,38,,,2.0,2.0,0,0,33,2,0,0,0,0,0,3,2,Bill Haller,"D.Petry (3-44-W), A.López (1-Sv)",DET,1980
