,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 5,True,LAD,"W,6-3",37,36,6,14,1,1,0,5,1,0,3,0,0,0,1,1,1,1,0.389,0.405,0.472,0.878,7,15,R,O.Hershiser(29),FLA,1993
1,2,Apr 6,True,LAD,"L,2-4",36,31,2,8,2,0,0,2,5,0,13,0,0,0,0,2,0,2,0.328,0.384,0.403,0.787,7,15,R,R.Martínez(57),FLA,1993
2,3,Apr 7,True,LAD,"L,2-4",38,34,2,9,0,0,0,2,3,0,11,0,1,0,0,0,0,1,0.307,0.364,0.356,0.72,9,17,R,K.Gross(57),FLA,1993
3,4,Apr 9,True,SDP,"L,1-2",38,33,1,5,1,0,0,1,3,1,3,0,2,0,3,0,0,0,0.269,0.329,0.313,0.642,10,11,R,F.Seminara(59),FLA,1993
4,5,Apr 10,True,SDP,"W,2-1",32,28,2,4,1,0,0,2,3,0,4,0,1,0,1,0,1,0,0.247,0.311,0.29,0.601,6,11,R,D.Eiland(65),FLA,1993
5,6,Apr 11,True,SDP,"L,2-6",38,33,2,8,0,0,0,2,5,0,9,0,0,0,0,2,1,0,0.246,0.316,0.282,0.598,9,13,R,A.Benes(58),FLA,1993
6,7,Apr 12,False,SFG,"L,3-4",42,32,3,4,1,0,1,3,10,0,6,0,0,0,0,2,0,2,0.229,0.319,0.278,0.597,6,16,L,T.Wilson(47),FLA,1993
7,8,Apr 13,False,SFG,"L,1-3",33,30,1,6,0,0,0,1,2,0,7,0,1,0,0,2,1,0,0.226,0.311,0.268,0.58,5,13,R,D.Burba(64),FLA,1993
8,9,Apr 14,False,SFG,"W,6-4",44,39,6,13,2,0,0,5,5,0,6,0,0,0,0,0,3,1,0.24,0.324,0.284,0.608,11,15,R,B.Swift(33),FLA,1993
9,10,Apr 16,False,HOU,"L,3-9",40,37,3,12,3,0,0,3,2,0,4,0,1,0,0,0,0,1,0.249,0.328,0.297,0.625,10,15,L,G.Swindell(52),FLA,1993
10,11,Apr 17,False,HOU,"W,9-4",40,38,9,11,1,1,2,8,1,0,7,0,0,1,1,1,1,0,0.253,0.325,0.321,0.646,4,11,R,D.Kile(55),FLA,1993
11,12,Apr 18,False,HOU,"L,0-3",34,31,0,4,0,0,0,0,3,0,9,0,0,0,0,0,4,0,0.244,0.316,0.306,0.622,7,13,R,P.Harnisch(73),FLA,1993
12,13,Apr 20,True,ATL,"L,4-5",37,33,4,7,1,0,2,4,4,0,8,0,0,0,0,1,1,0,0.241,0.315,0.315,0.63,6,16,R,G.Maddux(57),FLA,1993
13,14,Apr 21,True,ATL,"L,4-7",40,34,4,10,1,0,1,4,4,1,7,1,1,0,0,1,0,1,0.245,0.32,0.322,0.642,9,14,R,J.Smoltz(47),FLA,1993
14,15,Apr 22,True,ATL,"W,4-3",38,30,4,9,3,1,1,4,6,0,6,0,1,1,0,1,3,0,0.248,0.326,0.337,0.662,10,12,L,S.Avery(39),FLA,1993
15,16,Apr 23,False,COL,"L,4-5",41,36,4,12,4,0,1,4,5,1,7,0,0,0,1,1,1,1,0.254,0.332,0.35,0.681,10,14,L,B.Ruffin(31),FLA,1993
16,17,Apr 24,False,COL,"W,2-1",36,32,2,6,0,0,0,2,3,1,8,1,0,0,0,1,0,0,0.25,0.329,0.34,0.669,7,12,R,A.Ashby(69),FLA,1993
17,18,Apr 25,False,COL,"W,11-1",44,42,11,14,3,0,1,11,2,0,6,0,0,0,1,0,1,0,0.256,0.331,0.35,0.681,6,14,R,B.Smith(38),FLA,1993
18,19,Apr 26,False,CIN,"L,0-3",31,27,0,3,0,0,0,0,4,0,1,0,0,0,0,1,0,1,0.25,0.326,0.34,0.666,4,12,R,J.Rijo(71),FLA,1993
19,20,Apr 27,False,CIN,"W,4-3",36,30,4,4,0,1,0,3,5,0,6,0,0,1,1,1,0,0,0.245,0.323,0.333,0.656,5,15,L,J.Smiley(51),FLA,1993
20,21,Apr 28,False,ATL,"W,3-1",41,31,3,7,2,0,0,2,7,1,1,1,1,1,0,1,0,0,0.244,0.325,0.331,0.657,11,14,L,T.Glavine(61),FLA,1993
21,22,Apr 29,False,ATL,"W,6-5",40,35,6,10,1,0,1,6,4,1,9,0,0,1,1,0,6,1,0.246,0.326,0.335,0.661,7,13,R,P.Smith(41),FLA,1993
22,23,Apr 30,True,COL,"L,2-6",34,31,2,6,0,0,0,0,2,0,4,1,0,0,0,2,0,0,0.244,0.324,0.329,0.653,5,13,R,A.Reynoso(71),FLA,1993
23,24,May 1,True,COL,"W,7-6",54,41,7,9,1,0,1,7,11,2,9,0,2,0,0,1,2,0,0.243,0.327,0.328,0.656,12,17,R,D.Nied(30),FLA,1993
24,25,May 2,True,COL,"L,1-2",37,33,1,7,1,0,0,1,4,0,9,0,0,0,0,0,1,0,0.241,0.326,0.325,0.651,9,11,L,B.Henry(68),FLA,1993
25,26,May 4,True,CIN,"W,9-6",44,36,9,12,2,0,1,9,7,1,5,1,0,0,2,1,2,1,0.245,0.332,0.331,0.663,11,12,R,T.Pugh(19),FLA,1993
26,27,May 5,True,CIN,"L,2-6",37,33,2,9,0,0,0,2,3,0,5,0,0,1,0,1,0,1,0.246,0.332,0.329,0.661,8,14,L,T.Browning(52),FLA,1993
27,28,May 7,False,NYM,"L,0-4",33,31,0,4,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0.242,0.327,0.323,0.65,6,13,R,D.Gooden(81),FLA,1993
28,29,May 8,False,NYM,"W,4-2",41,35,4,11,1,0,1,4,3,1,7,2,1,0,0,1,0,0,0.245,0.33,0.327,0.657,10,13,L,P.Schourek(43),FLA,1993
29,30,May 9,False,NYM,"W,6-4",43,34,6,10,3,0,0,4,8,0,6,0,1,0,1,2,0,0,0.247,0.333,0.329,0.662,10,12,L,F.Tanana(23),FLA,1993
30,31,May 10,False,NYM,"L,0-1",30,28,0,3,0,0,0,0,1,0,8,0,1,0,0,0,1,1,0.243,0.329,0.323,0.652,3,10,R,B.Saberhagen(88),FLA,1993
31,32,May 11,False,MON,"L,4-6",39,37,4,9,4,0,0,4,2,0,8,0,0,0,1,0,1,0,0.243,0.327,0.324,0.651,8,15,R,K.Hill(43),FLA,1993
32,33,May 12,False,MON,"W,10-7",46,39,10,16,4,0,2,10,5,0,9,0,2,0,0,0,0,1,0.249,0.332,0.336,0.668,9,14,L,C.Nabholz(14),FLA,1993
33,34,May 13,False,MON,"L,4-5",38,36,4,10,4,1,1,4,2,0,7,0,0,0,0,1,1,0,0.25,0.332,0.342,0.674,7,13,R,J.Jones(47),FLA,1993
34,35,May 14,False,STL,"L,2-7",36,35,2,9,0,0,0,2,0,0,6,1,0,0,0,1,1,0,0.25,0.33,0.34,0.67,7,13,R,B.Tewksbury(63),FLA,1993
35,36,May 15,False,STL,"W,8-0",45,37,8,11,2,1,0,8,7,0,2,1,0,0,0,0,1,0,0.251,0.333,0.342,0.675,10,9,L,J.Magrane(39),FLA,1993
36,37,May 16,False,STL,"L,0-1",33,32,0,5,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0.249,0.33,0.337,0.667,6,12,L,D.Osborne(78),FLA,1993
37,38,May 17,True,PHI,"L,3-10",47,35,3,9,0,0,0,3,11,0,4,1,0,0,1,1,0,0,0.249,0.334,0.335,0.668,17,17,R,B.Rivera(49),FLA,1993
38,39,May 18,True,PHI,"L,0-6",34,32,0,6,1,0,0,0,1,0,10,0,1,0,1,1,0,0,0.248,0.331,0.332,0.663,7,12,R,T.Greene(84),FLA,1993
39,40,May 19,True,PHI,"W,5-3",35,31,5,7,0,1,0,5,4,0,8,0,0,0,1,0,1,1,0.247,0.33,0.331,0.661,6,16,R,J.DeLeón(61),FLA,1993
40,41,May 21,True,CHC,"W,5-3",34,33,5,9,2,1,1,5,0,0,2,0,1,0,1,0,0,0,0.248,0.329,0.335,0.664,5,12,R,M.Harkey(50),FLA,1993
41,42,May 22,True,CHC,"L,1-2",32,30,1,7,2,0,0,1,0,0,9,0,1,1,2,4,0,0,0.247,0.327,0.334,0.661,4,12,L,G.Hibbard(63),FLA,1993
42,43,May 23,True,CHC,"W,4-2",35,28,4,6,2,0,0,4,5,1,6,0,1,1,1,1,0,0,0.247,0.327,0.333,0.66,7,11,R,F.Castillo(48),FLA,1993
43,44,May 25,False,PIT,"L,0-2",30,29,0,4,1,0,0,0,1,0,5,0,0,0,0,1,0,1,0.245,0.324,0.33,0.654,3,12,L,S.Cooke(83),FLA,1993
44,45,May 26,False,PIT,"W,5-4",40,34,5,9,0,0,0,4,6,0,2,0,0,0,1,2,1,0,0.245,0.325,0.328,0.654,8,11,R,T.Wakefield(28),FLA,1993
45,46,May 27,False,PIT,"L,8-13",45,41,8,16,3,0,1,8,2,0,2,1,0,1,1,1,1,0,0.249,0.328,0.334,0.662,10,16,R,B.Walk(26),FLA,1993
46,47,May 28,True,HOU,"W,5-4",55,47,5,12,2,0,1,5,6,2,11,0,2,0,3,0,1,1,0.249,0.328,0.335,0.663,15,19,L,G.Swindell(55),FLA,1993
47,48,May 29,True,HOU,"L,2-4",36,32,2,4,0,0,1,2,4,0,5,0,0,0,1,0,0,0,0.247,0.326,0.332,0.659,7,12,R,D.Kile(59),FLA,1993
48,49,May 30,True,HOU,"L,1-2",35,31,1,5,0,0,0,1,3,0,7,1,0,0,0,0,1,1,0.245,0.325,0.329,0.654,7,14,R,P.Harnisch(75),FLA,1993
49,50,Jun 1 (1),True,SFG,"W,7-3",37,35,7,12,2,0,2,7,2,0,5,0,0,0,1,0,0,1,0.247,0.326,0.334,0.66,6,12,R,B.Swift(43),FLA,1993
50,51,Jun 1 (2),True,SFG,"L,3-4",39,35,3,9,1,0,2,3,4,0,10,0,0,0,1,1,2,1,0.247,0.326,0.337,0.663,9,16,L,B.Black(45),FLA,1993
51,52,Jun 2,True,SFG,"L,2-3",40,37,2,12,1,0,1,1,2,1,8,1,0,0,0,1,0,1,0.249,0.327,0.339,0.666,11,13,R,J.Burkett(49),FLA,1993
52,53,Jun 4,False,SDP,"W,6-2",43,39,6,10,2,0,0,3,4,2,13,0,0,0,2,1,1,0,0.249,0.327,0.338,0.665,10,12,L,B.Hurst(42),FLA,1993
53,54,Jun 5,False,SDP,"W,3-1",36,31,3,7,1,1,0,3,2,0,8,0,0,2,0,1,1,0,0.249,0.326,0.338,0.664,6,11,R,W.Whitehurst(59),FLA,1993
54,55,Jun 6,False,SDP,"W,9-2",45,38,9,9,1,0,2,8,6,1,8,0,0,1,3,0,1,0,0.248,0.326,0.339,0.665,9,11,R,D.Brocail(44),FLA,1993
55,56,Jun 7,False,LAD,"W,5-3",38,32,5,7,0,0,1,5,5,0,10,0,0,1,0,0,3,0,0.248,0.326,0.339,0.665,6,14,R,O.Hershiser(68),FLA,1993
56,57,Jun 8,False,LAD,"L,1-2",35,35,1,8,2,0,0,1,0,0,7,0,0,0,0,0,1,0,0.248,0.324,0.338,0.662,7,12,R,P.Astacio(65),FLA,1993
57,58,Jun 10,True,PIT,"W,4-3",34,31,4,8,1,1,0,4,3,0,7,0,0,0,0,0,0,1,0.248,0.324,0.338,0.663,6,14,L,S.Cooke(55),FLA,1993
