,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 5,True,LAD,"W,6-3",9.0,8,3,3,0,3,7,1,0,3.0,37,148.0,94.0,2.0,0.0,0,0,34,2,0,0,0,0,1,1,5,Frank Pulli,"C.Hough (99-50-W), L.Aquino (99), J.Klink (99-H), C.Carpenter (99-H), B.Harvey (99-Sv)",FLA,1993
1,2,Apr 6,True,LAD,"L,2-4",9.0,8,4,4,0,6,6,0,0,3.5,40,179.0,104.0,5.0,1.0,0,0,32,2,0,0,0,2,0,0,5,Joe West,"J.Armstrong (99-46-L), B.McClure (99), R.Lewis (99), L.Aquino (0), T.Hoffman (99)",FLA,1993
2,3,Apr 7,True,LAD,"L,2-4",9.0,9,4,4,0,7,5,0,0,3.67,41,152.0,84.0,6.0,1.0,1,0,32,0,0,0,2,0,0,1,5,Charlie Williams,"C.Hammond (99-44-L), J.Klink (1), R.Lewis (0), B.McClure (0), T.Hoffman (0)",FLA,1993
3,4,Apr 9,True,SDP,"L,1-2",9.0,8,2,2,0,1,5,1,0,3.25,35,112.0,72.0,0.0,0.0,1,0,33,1,0,0,0,1,0,0,2,Jerry Layne,"R.Bowen (99-75), B.Harvey (3-BL)",FLA,1993
4,5,Apr 10,True,SDP,"W,2-1",9.0,5,1,1,0,0,5,0,0,2.8,31,103.0,71.0,0.0,0.0,0,0,28,2,0,0,2,1,0,1,2,Charlie Reliford,"C.Hough (4-72-W), B.Harvey (0-Sv)",FLA,1993
5,6,Apr 11,True,SDP,"L,2-6",9.0,13,6,6,0,1,11,0,0,3.33,39,121.0,85.0,1.0,0.0,0,0,37,6,0,0,0,1,0,1,3,Paul Runge,"J.Armstrong (4-52-L), B.McClure (3), C.Carpenter (5)",FLA,1993
6,7,Apr 12,False,SFG,"L,3-4",10.1,9,4,4,0,8,4,2,0,3.36,47,160.0,85.0,0.0,0.0,0,0,36,0,0,2,3,0,1,1,4,Tom Hallion,"C.Hammond (4-38), R.Lewis (4), T.Hoffman (4), J.Klink (4-L)",FLA,1993
7,8,Apr 13,False,SFG,"L,1-3",8.0,6,3,3,0,2,4,1,0,3.36,30,107.0,71.0,1.0,1.0,0,1,27,2,0,0,1,0,1,1,3,Jim Quick,"L.Aquino (6-59-L), C.Carpenter (1), B.McClure (1)",FLA,1993
8,9,Apr 14,False,SFG,"W,6-4",9.0,9,4,2,2,5,7,1,0,3.21,40,154.0,95.0,0.0,0.0,0,0,35,2,0,0,0,0,1,2,4,Jerry Crawford,"R.Bowen (4-45-W), R.Lewis (1-H), T.Hoffman (1-H), B.Harvey (3-Sv)",FLA,1993
9,10,Apr 16,False,HOU,"L,3-9",8.0,15,9,9,0,3,6,0,0,3.83,42,146.0,88.0,0.0,0.0,0,0,39,6,1,0,0,0,0,0,3,Bob Davidson,"C.Hough (5-26-L), R.Lewis (1), J.Klink (3)",FLA,1993
