,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 10,True,LAD,"W,3-2",29,28,3,6,0,1,2,3,1,0,4,0,0,0,1,1,0,0,0.214,0.241,0.5,0.741,2,10,R,B.Hooton(37),HOU,1980
1,2,Apr 11,True,LAD,"W,10-6",37,34,10,13,2,0,1,9,3,1,3,0,0,0,0,2,3,1,0.306,0.348,0.516,0.865,3,17,R,R.Sutcliffe(38),HOU,1980
2,3,Apr 12,True,LAD,"L,5-6",71,62,5,13,3,1,1,5,7,3,6,0,2,0,1,0,2,0,0.258,0.319,0.427,0.746,15,18,R,D.Sutton(38),HOU,1980
3,4,Apr 13,True,LAD,"W,4-2",38,33,4,11,2,0,0,4,4,0,4,0,1,0,0,0,1,1,0.274,0.337,0.42,0.758,10,10,R,D.Goltz(40),HOU,1980
4,5,Apr 14,True,ATL,"W,5-4",42,33,5,12,2,0,0,5,5,3,8,1,1,2,0,0,3,1,0.289,0.357,0.421,0.778,12,12,R,D.Alexander(40),HOU,1980
5,6,Apr 15,True,ATL,"W,6-2",38,34,6,10,3,0,0,6,2,0,6,0,2,0,1,0,2,0,0.29,0.353,0.415,0.769,8,10,L,L.McWilliams(22),HOU,1980
6,7,Apr 17,False,LAD,"L,4-6",37,31,4,6,0,0,1,4,6,1,8,0,0,0,0,1,7,1,0.278,0.35,0.4,0.75,6,13,R,D.Sutton(52),HOU,1980
7,8,Apr 18,False,LAD,"W,7-4",46,36,7,11,1,0,0,5,7,2,7,0,2,1,1,0,0,0,0.282,0.358,0.392,0.749,12,11,R,D.Goltz(40),HOU,1980
8,9,Apr 19,False,LAD,"W,2-0",32,28,2,2,0,0,0,2,2,0,7,0,1,1,0,0,0,0,0.263,0.338,0.364,0.702,3,9,R,B.Welch(73),HOU,1980
9,10,Apr 20,False,LAD,"L,2-4",37,32,2,7,2,0,0,2,3,0,3,1,0,1,0,0,1,0,0.259,0.334,0.356,0.69,8,11,R,R.Sutcliffe(53),HOU,1980
