,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 10,True,LAD,"W,3-2",9.0,2,2,1,1,0,13,0,0,1.0,30,,,0.0,0.0,1,0,29,1,0,0,0,1,1,0,2,Bill Williams,"J.Richard (99-85-W), J.Sambito (99-Sv)",HOU,1980
1,2,Apr 11,True,LAD,"W,10-6",9.0,9,6,1,5,6,7,0,0,1.0,43,,,0.0,0.0,0,1,36,1,0,0,0,1,3,1,4,Paul Pryor,"J.Niekro (99-42), J.Andújar (99), D.Smith (99-W), F.LaCorte (99)",HOU,1980
2,3,Apr 12,True,LAD,"L,5-6",17.0,15,6,6,0,9,8,2,0,2.06,72,,,3.0,0.0,2,0,62,1,0,0,1,0,0,2,5,John McSherry,"N.Ryan (99-42), V.Ruhle (99-H), J.Sambito (1-BSv), F.LaCorte (0), D.Smith (0-L)",HOU,1980
3,4,Apr 13,True,LAD,"W,4-2",9.0,7,2,2,0,3,4,0,1,2.05,36,,,2.0,0.0,0,0,32,2,0,0,0,0,0,1,2,Steve Fields,"K.Forsch (99-59-W), F.LaCorte (0-Sv)",HOU,1980
4,5,Apr 14,True,ATL,"W,5-4",9.0,8,4,3,1,7,10,0,0,2.21,41,,,1.0,1.0,1,0,34,2,0,0,0,0,1,1,3,Doug Harvey,"J.Richard (3-57), V.Ruhle (1-H), J.Sambito (1-BW)",HOU,1980
5,6,Apr 15,True,ATL,"W,6-2",9.0,6,2,2,0,0,6,0,0,2.18,31,,,,,0,0,31,1,0,0,0,0,0,2,1,Andy Olsen,J.Niekro (3-73-W),HOU,1980
6,7,Apr 17,False,LAD,"L,4-6",8.0,12,6,6,0,3,6,1,0,2.7,36,,,1.0,0.0,0,3,32,3,1,0,1,0,0,0,3,Lanny Harris,"N.Ryan (4-42), D.Smith (4-L), F.LaCorte (3)",HOU,1980
7,8,Apr 18,False,LAD,"W,7-4",9.0,14,4,4,0,0,7,1,0,2.85,41,,,0.0,0.0,0,0,40,0,0,0,0,1,1,0,2,Harry Wendelstedt,"K.Forsch (4-45-W), J.Andújar (6-Sv)",HOU,1980
8,9,Apr 19,False,LAD,"W,2-0",9.0,1,0,0,0,3,12,0,0,2.56,32,,,,,1,0,28,0,0,0,1,0,1,0,1,Frank Pulli,J.Richard (4-94-W),HOU,1980
9,10,Apr 20,False,LAD,"L,2-4",8.0,5,4,2,2,3,3,0,1,2.53,33,,,,,3,0,25,1,1,2,2,2,1,1,1,Jerry Crawford,J.Niekro (4-60-L),HOU,1980
10,11,Apr 21,True,CIN,"L,5-6",9.0,12,6,6,0,3,7,1,0,2.83,42,,,2.0,2.0,1,0,38,1,1,0,0,1,0,0,6,Bruce Froemming,"V.Ruhle (6-27-L), R.Niemann (99), J.Andújar (2), D.Smith (3), J.Sambito (6), F.LaCorte (3)",HOU,1980
11,12,Apr 22,True,CIN,"W,8-0",9.0,6,0,0,0,6,7,0,0,2.61,38,,,0.0,0.0,0,0,32,1,0,0,0,0,0,1,2,Terry Tata,"N.Ryan (4-66-W), D.Smith (0)",HOU,1980
12,13,Apr 23,True,CIN,"L,2-3",12.0,13,3,3,0,1,7,0,0,2.57,49,,,0.0,0.0,2,0,47,2,0,0,1,0,1,2,4,John Kibler,"K.Forsch (4-56), J.Sambito (1), F.LaCorte (1), J.Andújar (1-L)",HOU,1980
13,14,Apr 25,True,NYM,"W,7-4",9.0,4,4,4,0,4,10,0,0,2.67,35,,,2.0,2.0,1,0,31,2,0,0,0,0,0,0,2,Eric Gregg,"J.Richard (5-65-W), D.Smith (2)",HOU,1980
14,15,Apr 26,True,NYM,"W,6-0",9.0,5,0,0,0,8,4,0,0,2.5,39,,,3.0,0.0,1,0,31,1,0,0,0,0,0,1,2,Ed Vargo,"J.Niekro (5-69-W), F.LaCorte (2-Sv)",HOU,1980
15,16,Apr 27,True,NYM,"W,4-3",12.0,8,3,3,0,6,5,0,0,2.48,46,,,0.0,0.0,0,2,38,1,0,0,1,1,0,2,3,Satch Davidson,"N.Ryan (4-63), J.Sambito (3), F.LaCorte (0-W)",HOU,1980
16,17,Apr 29,False,CIN,"W,3-0",9.0,3,0,0,0,3,2,0,0,2.35,32,,,,,0,0,29,1,0,0,0,0,0,1,1,Dave Pallone,K.Forsch (5-80-W),HOU,1980
17,18,Apr 30,False,CIN,"W,5-1",9.0,4,1,1,0,2,9,0,0,2.28,33,137.0,93.0,1.0,0.0,1,0,31,2,0,0,0,0,0,0,2,Lanny Harris,"J.Richard (4-74-W), D.Smith (4)",HOU,1980
18,19,May 1,False,CIN,"W,9-3",9.0,6,3,3,0,4,6,0,0,2.31,37,,,,,3,0,33,1,0,0,0,0,0,0,1,Ed Vargo,J.Niekro (4-65-W),HOU,1980
19,20,May 2,False,STL,"L,1-9",8.0,9,9,9,0,5,9,1,0,2.64,36,,,2.0,2.0,2,1,30,2,0,0,0,1,0,1,3,Steve Fields,"N.Ryan (4-43-L), J.Sambito (4), F.LaCorte (4)",HOU,1980
20,21,May 3,False,STL,"W,4-2",9.0,4,2,2,0,1,4,1,0,2.61,30,,,1.0,0.0,0,0,29,1,0,0,0,0,0,2,2,Frank Pulli,"V.Ruhle (11-71-W), J.Sambito (0-Sv)",HOU,1980
21,22,May 4,False,STL,"W,4-2",9.0,10,2,2,0,1,5,0,0,2.58,37,,,4.0,0.0,0,0,34,0,1,0,0,1,1,2,3,Dutch Rennert,"K.Forsch (4-48-W), J.Sambito (0-H), F.LaCorte (1-Sv)",HOU,1980
22,23,May 5,False,MON,"L,1-10",8.0,16,10,9,1,4,5,0,0,2.86,41,,,2.0,0.0,2,1,36,1,1,0,1,0,0,2,4,John McSherry,"J.Richard (4-24-L), J.Andújar (11), R.Niemann (13), D.Smith (4)",HOU,1980
23,24,May 6,False,MON,"W,8-4",9.0,7,4,3,1,2,3,0,0,2.87,35,,,,,1,0,32,2,0,0,0,1,0,1,1,Joe West,J.Niekro (4-60-W),HOU,1980
24,25,May 7,False,MON,"L,0-3",8.0,5,3,3,0,7,7,0,0,2.88,33,,,0.0,0.0,1,0,26,1,0,0,0,0,0,3,3,Charlie Williams,"N.Ryan (4-55-L), J.Sambito (2), F.LaCorte (2)",HOU,1980
25,26,May 9,False,ATL,"L,4-5",8.0,8,5,5,0,3,8,1,0,2.98,35,,,4.0,0.0,1,0,32,1,0,0,0,0,2,2,4,Paul Pryor,"K.Forsch (4-39-L), D.Smith (3), R.Niemann (3), F.LaCorte (1)",HOU,1980
26,27,May 10,False,ATL,"W,3-2",11.0,7,2,2,0,3,10,0,0,2.92,40,,,0.0,0.0,0,0,37,3,0,1,0,0,0,0,3,Joe West,"J.Richard (4-71), F.LaCorte (0-W), J.Sambito (2-Sv)",HOU,1980
27,28,May 11,False,ATL,"L,4-7",8.0,12,7,6,1,1,2,0,1,3.03,38,,,2.0,2.0,0,0,35,1,1,0,1,0,1,1,3,John McSherry,"J.Niekro (4-24-L), V.Ruhle (7), D.Smith (1)",HOU,1980
