,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 10,True,DET,"L,1-5",34,31,1,3,2,0,0,1,3,0,5,0,0,0,1,0,1,0,0.097,0.176,0.161,0.338,6,9,R,J.Morris(81),KCR,1980
1,2,Apr 11,True,DET,"W,4-0",31,29,4,7,2,0,0,4,2,1,4,0,0,0,0,0,0,1,0.167,0.231,0.233,0.464,3,10,L,D.Schatzeder(50),KCR,1980
2,3,Apr 12,True,DET,"W,8-6",38,36,8,15,5,3,0,7,1,0,4,0,0,1,0,2,3,0,0.26,0.301,0.417,0.718,6,12,R,M.Wilcox(16),KCR,1980
3,4,Apr 13,True,DET,"W,3-2",35,30,3,8,0,0,0,3,5,2,2,0,0,0,0,1,1,0,0.262,0.319,0.381,0.7,8,10,R,D.Rozema(46),KCR,1980
4,5,Apr 15,False,BAL,"L,2-12",34,34,2,6,0,0,1,2,0,0,6,0,0,0,1,0,0,0,0.244,0.291,0.356,0.647,5,9,R,J.Palmer(67),KCR,1980
5,6,Apr 16,False,BAL,"L,1-2",34,33,1,7,0,0,0,1,1,0,4,0,0,0,0,1,1,0,0.238,0.282,0.332,0.613,6,9,L,M.Flanagan(72),KCR,1980
6,7,Apr 17,False,BAL,"L,2-5",36,33,2,8,2,1,0,2,2,0,4,1,0,0,0,1,0,1,0.239,0.285,0.336,0.621,7,10,R,S.Stone(56),KCR,1980
7,8,Apr 18,False,DET,"W,9-6",52,44,9,15,3,1,0,9,5,2,3,0,1,2,0,1,0,0,0.256,0.304,0.356,0.659,10,13,R,D.Rozema(40),KCR,1980
8,9,Apr 19,False,DET,"L,6-8",37,33,6,7,3,0,2,6,4,0,1,0,0,0,0,0,0,1,0.251,0.303,0.37,0.673,4,10,R,J.Morris(46),KCR,1980
9,10,Apr 20,False,DET,"W,9-6",42,37,9,11,5,0,2,9,4,1,7,0,0,1,0,0,2,0,0.256,0.309,0.394,0.703,6,10,L,D.Schatzeder(17),KCR,1980
10,11,Apr 21,True,TOR,"L,1-7",34,31,1,5,1,0,0,1,3,0,3,0,0,0,0,0,3,0,0.248,0.303,0.377,0.68,6,11,R,D.Stieb(73),KCR,1980
11,12,Apr 22,True,TOR,"W,7-2",36,34,7,12,3,0,0,7,2,0,2,0,0,0,1,2,1,0,0.257,0.31,0.383,0.693,5,13,L,P.Mirabella(43),KCR,1980
