,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 10,True,DET,"L,1-5",9.0,9,5,4,1,3,4,2,0,4.0,36,,,2.0,0.0,1,1,33,1,2,0,0,0,1,2,2,Dave Phillips,"D.Leonard (99-48-L), G.Christenson (99)",KCR,1980
1,2,Apr 11,True,DET,"W,4-0",9.0,6,0,0,0,3,5,0,0,2.0,34,,,,,1,0,31,0,0,0,0,0,0,1,1,Lou DiMuro,L.Gura (99-77-W),KCR,1980
2,3,Apr 12,True,DET,"W,8-6",9.0,10,6,5,1,5,7,0,0,3.0,42,,,1.0,1.0,2,0,37,2,1,0,0,0,0,1,2,Al Clark,"R.Gale (99-39), M.Pattin (99-W)",KCR,1980
3,4,Apr 13,True,DET,"W,3-2",9.0,10,2,2,0,2,1,1,0,2.75,35,,,2.0,0.0,2,1,32,2,0,0,1,0,0,2,3,Al Clark,"P.Splittorff (99-60-W), D.Quisenberry (99-H), G.Christenson (2-Sv)",KCR,1980
4,5,Apr 15,False,BAL,"L,2-12",8.0,12,12,11,1,7,6,2,0,4.5,42,,,2.0,0.0,0,0,34,3,0,0,0,1,0,1,3,Mike Reilly,"D.Leonard (4-25-L), S.Busby (99), R.Martin (99)",KCR,1980
5,6,Apr 16,False,BAL,"L,1-2",8.0,7,2,2,0,4,1,1,0,4.15,34,,,,,0,1,29,0,0,0,1,0,0,0,1,Jerry Neudecker,L.Gura (4-57-L),KCR,1980
6,7,Apr 17,False,BAL,"L,2-5",8.0,8,5,5,0,4,2,2,0,4.35,34,,,1.0,0.0,1,1,30,0,1,0,0,0,0,0,2,Bill Deegan,"R.Gale (4-40-L), G.Christenson (3)",KCR,1980
7,8,Apr 18,False,DET,"W,9-6",11.0,14,6,6,0,2,8,0,0,4.44,48,,,2.0,0.0,1,1,45,1,1,0,0,1,0,0,4,George Maloney,"P.Splittorff (4-26), M.Pattin (5), G.Christenson (0), D.Quisenberry (4-W)",KCR,1980
8,9,Apr 19,False,DET,"L,6-8",8.0,10,8,8,0,2,6,3,0,4.9,35,,,2.0,2.0,1,1,32,1,0,0,0,1,0,0,3,Vic Voltaggio,"D.Leonard (3-42), R.Martin (3-L), G.Christenson (0-BSv)",KCR,1980
9,10,Apr 20,False,DET,"W,9-6",9.0,10,6,5,1,5,5,0,0,4.91,40,,,4.0,1.0,0,1,34,1,0,0,0,1,0,1,3,Bill Haller,"L.Gura (3-20), R.Martin (0-W), D.Quisenberry (1-Sv)",KCR,1980
10,11,Apr 21,True,TOR,"L,1-7",9.0,8,7,3,4,5,4,0,0,4.73,40,,,4.0,3.0,1,0,34,4,0,1,1,0,1,0,3,Jim McKean,"R.Gale (3-51-L), D.Quisenberry (0), S.Busby (5)",KCR,1980
11,12,Apr 22,True,TOR,"W,7-2",9.0,7,2,2,0,0,1,0,0,4.5,34,,,0.0,0.0,0,0,34,1,0,0,0,0,1,1,2,Ted Hendry,"P.Splittorff (3-61-W), M.Pattin (3)",KCR,1980
