,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 5,True,TEX,"W,3-2",30,29,3,6,2,0,1,3,1,0,0,0,0,0,0,1,0,0,0.207,0.233,0.379,0.613,3,10,R,R.Drese(52),LAA,2005
1,2,Apr 6,True,TEX,"L,2-3",49,41,2,7,4,0,0,2,8,0,3,0,0,0,0,2,1,0,0.186,0.278,0.314,0.593,11,13,L,K.Rogers(57),LAA,2005
2,3,Apr 7,True,TEX,"W,7-6",41,37,7,12,3,0,1,7,4,0,6,0,0,0,0,0,0,0,0.234,0.317,0.374,0.69,9,10,R,C.Young(38),LAA,2005
3,4,Apr 8,True,KCR,"L,2-6",32,32,2,5,1,0,0,2,0,0,8,0,0,0,0,0,1,0,0.216,0.283,0.331,0.614,3,10,R,D.Bautista(80),LAA,2005
4,5,Apr 9,True,KCR,"W,8-3",37,34,8,10,1,1,1,8,2,0,5,0,0,1,0,0,2,0,0.231,0.291,0.358,0.649,5,9,R,J.Lima(25),LAA,2005
5,6,Apr 10,True,KCR,"L,3-8",35,35,3,6,0,2,1,3,0,0,8,0,0,0,2,0,0,0,0.221,0.272,0.361,0.633,5,11,L,B.Anderson(55),LAA,2005
6,7,Apr 11,False,TEX,"W,7-6",45,41,7,13,3,0,2,7,3,1,4,0,0,1,0,1,0,0,0.237,0.286,0.39,0.676,8,12,L,K.Rogers(49),LAA,2005
7,8,Apr 12,False,TEX,"W,13-8",49,39,13,14,5,1,0,11,8,1,4,0,0,2,0,0,2,1,0.253,0.311,0.41,0.721,9,12,R,C.Young(22),LAA,2005
8,9,Apr 13,False,TEX,"L,5-7",38,36,5,9,3,1,1,5,2,0,9,0,0,0,0,0,0,0,0.253,0.309,0.417,0.726,6,10,R,C.Park(57),LAA,2005
9,10,Apr 15,False,OAK,"W,6-1",40,35,6,8,1,0,1,5,2,0,7,3,0,0,0,0,0,0,0.251,0.311,0.409,0.72,7,10,L,B.Zito(71),LAA,2005
