,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 5,True,TEX,"W,3-2",9.0,7,2,2,0,6,8,1,0,2.0,38,146.0,87.0,1.0,0.0,0,0,32,2,0,0,0,0,0,1,3,Tim Welke,"B.Colón (99-59-W), S.Shields (99-H), F.Rodríguez (99-Sv)",LAA,2005
1,2,Apr 6,True,TEX,"L,2-3",12.0,13,3,3,0,0,8,2,1,2.14,49,174.0,122.0,0.0,0.0,0,0,47,2,0,0,1,0,1,1,6,Brian O'Nora,"J.Washburn (99-63), S.Shields (0-H), B.Donnelly (99-BSv), E.Yan (99), F.Rodríguez (0), B.Prinz (99-L)",LAA,2005
2,3,Apr 7,True,TEX,"W,7-6",9.0,6,6,6,0,7,10,1,0,3.3,40,175.0,110.0,2.0,0.0,0,0,33,2,0,0,0,0,0,0,4,Gary Cederstrom,"J.Lackey (99-42), E.Yan (0), B.Donnelly (0-H), S.Shields (0-BW)",LAA,2005
3,4,Apr 8,True,KCR,"L,2-6",9.0,10,6,4,2,1,4,0,1,3.46,40,134.0,89.0,0.0,0.0,1,0,37,3,1,0,0,1,2,0,2,Doug Eddings,"P.Byrd (99-43-L), J.Woods (99)",LAA,2005
4,5,Apr 9,True,KCR,"W,8-3",9.0,3,3,3,0,7,6,1,1,3.38,38,154.0,88.0,0.0,0.0,0,0,29,1,0,0,1,0,0,0,3,Gerry Davis,"K.Gregg (99-49-W), E.Yan (1), B.Prinz (2)",LAA,2005
5,6,Apr 10,True,KCR,"L,3-8",9.0,17,8,8,0,4,6,2,0,4.11,44,183.0,117.0,2.0,1.0,2,0,40,4,0,0,0,0,0,2,4,Bill Hohn,"B.Colón (4-28-L), J.Woods (1), B.Prinz (0), B.Donnelly (2)",LAA,2005
6,7,Apr 11,False,TEX,"W,7-6",10.0,14,6,6,0,4,6,3,0,4.3,45,169.0,104.0,2.0,0.0,0,0,41,1,1,1,0,0,0,3,4,Phil Cuzzi,"J.Washburn (4-18), C.Bootcheck (99), S.Shields (3-W), F.Rodríguez (4-Sv)",LAA,2005
7,8,Apr 12,False,TEX,"W,13-8",9.0,13,8,8,0,5,11,2,0,4.74,45,187.0,121.0,5.0,0.0,0,0,40,3,0,0,0,0,0,0,4,Ed Rapuano,"J.Lackey (4-45-W), B.Donnelly (1), E.Yan (2), S.Shields (0-Sv)",LAA,2005
8,9,Apr 13,False,TEX,"L,5-7",8.0,11,7,7,0,3,4,1,0,5.04,38,131.0,86.0,1.0,0.0,1,0,35,1,1,0,0,0,0,0,3,Lance Barksdale,"P.Byrd (4-32-L), K.Gregg (3), J.Woods (2)",LAA,2005
9,10,Apr 15,False,OAK,"W,6-1",9.0,2,1,1,0,0,7,0,0,4.65,29,124.0,84.0,0.0,0.0,0,0,29,1,0,0,0,0,0,0,3,Tim Tschida,"B.Colón (4-74-W), S.Shields (2-H), F.Rodríguez (3)",LAA,2005
10,11,Apr 16,False,OAK,"L,0-1",9.0,6,1,0,1,2,7,0,0,4.24,36,137.0,87.0,0.0,0.0,0,0,33,1,0,0,1,0,2,1,3,Ron Kulpa,"J.Washburn (4-79), B.Donnelly (3), S.Shields (0-L)",LAA,2005
11,12,Apr 17,False,OAK,"L,6-7",8.0,11,7,7,0,0,5,1,0,4.5,35,128.0,90.0,1.0,0.0,0,0,35,3,0,0,0,0,0,0,3,Dan Iassogna,"J.Lackey (4-25-L), J.Woods (3), E.Yan (4)",LAA,2005
12,13,Apr 18,True,SEA,"W,6-1",9.0,12,1,1,0,0,3,0,0,4.24,38,118.0,88.0,0.0,0.0,0,0,38,4,0,0,0,0,1,1,2,Kerwin Danley,"P.Byrd (4-59-W), B.Donnelly (1)",LAA,2005
13,14,Apr 19,True,SEA,"L,3-5",9.0,8,5,5,0,8,7,2,0,4.29,43,183.0,104.0,4.0,0.0,1,0,34,1,0,1,1,0,1,0,4,Jim Reynolds,"K.Gregg (5-27-L), C.Bootcheck (7), E.Yan (1), S.Shields (2)",LAA,2005
14,15,Apr 20,True,CLE,"W,2-0",9.0,4,0,0,0,2,8,0,0,4.01,32,128.0,84.0,0.0,0.0,0,1,30,2,0,0,0,0,0,0,2,Mike Everitt,"B.Colón (4-78-W), F.Rodríguez (4-Sv)",LAA,2005
15,16,Apr 21,True,CLE,"W,6-5",10.0,13,5,5,0,0,10,1,1,4.04,43,178.0,118.0,0.0,0.0,0,0,42,4,0,0,0,0,0,1,5,Tim Timmons,"J.Washburn (4-32), E.Yan (1), B.Donnelly (2), J.Woods (3), F.Rodríguez (0-W)",LAA,2005
16,17,Apr 22,True,OAK,"L,3-4",9.0,10,4,3,1,5,8,0,1,3.98,42,178.0,102.0,0.0,0.0,0,1,36,2,0,0,0,0,1,1,4,Chris Guccione,"J.Lackey (4-51), K.Gregg (2), S.Shields (2-H), F.Rodríguez (0-BL)",LAA,2005
17,18,Apr 23,True,OAK,"W,9-5",9.0,8,5,5,0,2,6,1,0,4.04,37,150.0,93.0,2.0,0.0,0,0,35,3,0,0,0,0,0,0,4,Mike Reilly,"P.Byrd (4-33), J.Woods (1-W), E.Yan (1), B.Donnelly (1)",LAA,2005
18,19,Apr 24,True,OAK,"W,1-0",9.0,4,0,0,0,4,9,0,0,3.83,34,137.0,82.0,1.0,0.0,1,1,30,1,0,0,0,0,0,1,3,Paul Schrieber,"K.Escobar (99-72), S.Shields (1-W), F.Rodríguez (1-Sv)",LAA,2005
19,20,Apr 26,False,NYY,"L,4-12",8.0,12,12,7,5,7,5,3,0,4.01,44,172.0,102.0,0.0,0.0,0,0,37,2,0,0,0,0,2,1,3,Tom Hallion,"B.Colón (5-19-L), K.Gregg (3), J.Woods (2)",LAA,2005
20,21,Apr 27,False,NYY,"W,5-1",9.0,9,1,1,0,2,6,1,0,3.86,35,114.0,70.0,1.0,0.0,0,0,32,2,0,0,1,0,0,3,2,Mark Carlson,"J.Washburn (5-59-W), S.Shields (2)",LAA,2005
21,22,Apr 28,False,NYY,"W,3-1",9.0,8,1,1,0,4,9,0,1,3.73,38,164.0,99.0,2.0,0.0,1,1,33,1,0,0,0,0,0,0,5,Joe West,"J.Lackey (5-52-W), J.Woods (1-H), B.Donnelly (4-H), S.Shields (0-H), F.Rodríguez (3-Sv)",LAA,2005
22,23,Apr 29,False,MIN,"L,4-7",8.0,11,7,5,2,3,3,0,0,3.81,37,129.0,84.0,0.0,0.0,1,0,33,4,0,2,0,1,1,2,3,Jim Wolf,"P.Byrd (5-42-L), J.Woods (0), E.Yan (5)",LAA,2005
23,24,Apr 30,False,MIN,"L,2-4",8.0,11,4,4,0,4,8,1,0,3.83,35,127.0,75.0,0.0,0.0,2,1,31,0,2,0,0,0,0,1,2,Randy Marsh,"K.Escobar (5-46-L), K.Gregg (3)",LAA,2005
24,25,May 1,False,MIN,"W,2-1",9.0,4,1,1,0,1,8,1,0,3.72,31,117.0,81.0,4.0,0.0,0,0,30,0,0,0,0,0,0,1,3,Larry Vanover,"B.Colón (4-81-W), S.Shields (2), F.Rodríguez (2-Sv)",LAA,2005
25,26,May 2,False,SEA,"W,5-0",9.0,4,0,0,0,4,6,0,0,3.58,34,140.0,90.0,2.0,0.0,0,1,30,2,0,0,0,0,0,0,2,Gary Darling,"J.Washburn (4-73-W), B.Donnelly (3)",LAA,2005
26,27,May 3,False,SEA,"W,5-2",9.0,8,2,2,0,1,13,1,0,3.52,37,142.0,102.0,1.0,0.0,0,0,36,1,0,0,0,0,0,0,2,Larry Poncino,"J.Lackey (4-66-W), S.Shields (1-Sv)",LAA,2005
27,28,May 4,False,SEA,"W,5-2",9.0,10,2,2,0,0,6,0,0,3.46,36,124.0,92.0,1.0,0.0,0,0,36,1,0,0,0,0,0,0,4,Mark Wegner,"P.Byrd (4-51-W), J.Woods (4-H), B.Donnelly (1-H), F.Rodríguez (2-Sv)",LAA,2005
28,29,May 6,True,DET,"W,4-3",9.0,7,3,3,0,4,7,1,0,3.45,38,149.0,90.0,1.0,1.0,0,0,34,3,0,0,0,0,1,1,3,Bill Miller,"K.Escobar (5-57-W), S.Shields (2-H), F.Rodríguez (1-Sv)",LAA,2005
29,30,May 7,True,DET,"L,1-2",9.0,8,2,2,0,0,6,0,0,3.4,33,106.0,73.0,,,0,0,31,0,0,0,1,1,0,1,1,Joe Brinkman,B.Colón (5-69-L),LAA,2005
30,31,May 8,True,DET,"L,1-10",9.0,13,10,9,1,4,5,1,0,3.58,42,159.0,98.0,2.0,1.0,0,1,38,2,1,0,0,0,0,0,4,Derryl Cousins,"J.Washburn (5-13-L), K.Gregg (7), E.Yan (8), J.Woods (3)",LAA,2005
31,32,May 9,True,CLE,"L,0-3",9.0,8,3,3,0,3,7,2,0,3.56,37,141.0,86.0,0.0,0.0,1,1,34,0,0,0,0,0,0,0,3,Angel Hernandez,"J.Lackey (5-55-L), J.Woods (0), B.Donnelly (4)",LAA,2005
32,33,May 10,True,CLE,"W,5-4",9.0,9,4,4,0,0,8,2,0,3.58,36,138.0,91.0,0.0,0.0,1,0,36,3,1,0,0,0,0,0,3,Greg Gibson,"P.Byrd (5-47-W), S.Shields (3-H), F.Rodríguez (3-Sv)",LAA,2005
33,34,May 11,True,CLE,"L,3-9",9.0,13,9,9,0,3,14,3,0,3.74,42,159.0,99.0,0.0,0.0,1,1,39,5,0,0,0,0,0,0,3,Charlie Reliford,"K.Escobar (4-46-L), E.Yan (2), J.Woods (1)",LAA,2005
34,35,May 14(1),False,DET,"W,4-2",9.0,9,2,2,0,4,7,0,0,3.69,39,147.0,92.0,1.0,0.0,0,0,34,1,0,0,1,0,0,1,4,Jerry Meals,"B.Colón (6-43), B.Donnelly (4-W), S.Shields (3-H), F.Rodríguez (3-Sv)",LAA,2005
35,36,May 14(2),False,DET,"L,2-3",8.0,9,3,3,0,4,4,2,0,3.68,35,130.0,83.0,0.0,0.0,0,1,31,0,0,0,0,0,0,1,2,Hunter Wendelstedt,"J.Washburn (5-47-L), E.Yan (2)",LAA,2005
36,37,May 15,False,DET,"W,9-3",9.0,10,3,3,0,6,6,0,0,3.66,39,142.0,85.0,2.0,0.0,0,0,33,4,0,0,0,0,0,2,2,Mike Winters,"J.Lackey (5-51-W), K.Gregg (6)",LAA,2005
37,38,May 16,False,CLE,"W,3-1",9.0,5,1,1,0,3,7,0,1,3.59,33,119.0,73.0,0.0,0.0,0,1,29,0,0,0,0,0,0,2,3,Dan Iassogna,"P.Byrd (5-73-W), B.Donnelly (1-H), S.Shields (1-Sv)",LAA,2005
38,39,May 17,False,CLE,"L,5-13",8.0,19,13,12,1,4,5,3,1,3.82,47,164.0,100.0,1.0,0.0,1,0,40,3,1,0,0,2,0,0,4,Ron Kulpa,"E.Santana (99-20-L), K.Gregg (1), E.Yan (2), J.Woods (5)",LAA,2005
39,40,May 18,False,CLE,"W,2-1",9.0,4,1,1,0,4,5,0,0,3.75,34,124.0,66.0,0.0,0.0,0,0,29,1,0,0,1,0,0,1,2,James Hoye,"B.Colón (3-69-W), S.Shields (1-Sv)",LAA,2005
40,41,May 20,False,LAD,"W,9-0",9.0,6,0,0,0,2,1,0,0,3.65,33,128.0,86.0,0.0,0.0,0,0,31,2,0,0,0,0,0,1,3,Paul Emmel,"J.Washburn (5-67-W), B.Donnelly (3), E.Yan (2)",LAA,2005
41,42,May 21,False,LAD,"W,3-1",9.0,7,1,1,0,2,12,0,1,3.59,36,149.0,89.0,1.0,0.0,0,1,33,2,0,0,0,0,2,1,3,Tony Randazzo,"J.Lackey (5-68), B.Donnelly (0-W), S.Shields (2-Sv)",LAA,2005
42,43,May 22,False,LAD,"L,2-6",8.0,11,6,5,1,2,3,2,0,3.63,37,122.0,77.0,2.0,1.0,1,0,33,2,0,0,2,0,1,0,3,Ed Montague,"P.Byrd (5-50-L), K.Gregg (4), J.Woods (4)",LAA,2005
43,44,May 23,True,CHW,"W,4-0",9.0,5,0,0,0,1,7,0,0,3.55,32,115.0,83.0,,,0,0,31,1,0,0,0,0,0,1,1,Rick Reed,E.Santana (5-83-W),LAA,2005
44,45,May 24,True,CHW,"L,1-2",11.0,5,2,2,0,1,8,1,0,3.5,39,158.0,110.0,0.0,0.0,0,0,36,1,0,0,2,0,0,0,4,Terry Craft,"B.Colón (5-73), B.Donnelly (2), S.Shields (2), E.Yan (3-L)",LAA,2005
45,46,May 25,True,CHW,"L,2-4",9.0,7,4,4,0,3,7,2,1,3.51,35,141.0,92.0,1.0,0.0,0,1,31,1,0,0,0,0,0,1,2,Ted Barrett,"J.Washburn (4-44-L), J.Peralta (99)",LAA,2005
46,47,May 26,True,CHW,"W,3-2",9.0,6,2,2,0,4,8,0,1,3.48,36,145.0,86.0,2.0,0.0,1,1,31,2,0,0,0,0,0,0,3,Alfonso Márquez,"J.Lackey (4-60-W), B.Donnelly (1-H), S.Shields (1-Sv)",LAA,2005
47,48,May 27,True,KCR,"W,9-8",10.0,12,8,5,3,1,4,1,0,3.5,43,162.0,103.0,0.0,0.0,0,0,42,2,1,0,0,0,0,0,4,Jim Wolf,"P.Byrd (4-49), J.Woods (4), E.Yan (2), S.Shields (0-W)",LAA,2005
