,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 10,False,HOU,"L,2-3",30,29,2,2,1,0,0,2,0,0,13,0,0,1,1,0,1,0,0.069,0.067,0.103,0.17,1,15,R,J.Richard(85),LAD,1980
1,2,Apr 11,False,HOU,"L,6-10",43,36,6,9,1,0,0,6,6,0,7,0,0,1,3,1,0,1,0.169,0.233,0.2,0.433,10,11,R,J.Niekro(42),LAD,1980
2,3,Apr 12,False,HOU,"W,6-5",72,62,6,15,1,0,2,6,9,0,8,0,1,0,0,2,2,0,0.205,0.285,0.276,0.56,15,23,R,N.Ryan(42),LAD,1980
3,4,Apr 13,False,HOU,"L,2-4",36,32,2,7,2,0,0,2,3,0,4,1,0,0,0,1,0,0,0.208,0.289,0.277,0.566,7,13,R,K.Forsch(59),LAD,1980
4,5,Apr 14,False,SDP,"L,1-2",33,32,1,7,0,0,0,1,0,0,5,0,0,1,0,1,0,0,0.209,0.277,0.267,0.544,5,11,L,R.Jones(69),LAD,1980
5,6,Apr 15,False,SDP,"L,5-9",39,35,5,10,1,1,1,5,3,0,2,0,0,1,1,2,2,0,0.221,0.286,0.296,0.582,7,14,R,R.Wise(33),LAD,1980
6,7,Apr 16,False,SDP,"W,10-4",51,41,10,14,2,1,2,9,10,1,6,0,0,0,2,2,0,0,0.24,0.317,0.341,0.658,14,13,L,J.Curtis(31),LAD,1980
7,8,Apr 17,True,HOU,"W,6-4",36,32,6,12,3,1,1,6,3,0,6,0,1,0,0,0,0,3,0.254,0.328,0.371,0.7,6,12,R,N.Ryan(42),LAD,1980
8,9,Apr 18,True,HOU,"L,4-7",41,40,4,14,0,0,1,3,0,0,7,0,0,1,1,0,0,0,0.265,0.33,0.378,0.707,10,14,R,K.Forsch(45),LAD,1980
9,10,Apr 19,True,HOU,"L,0-2",32,28,0,1,0,0,0,0,3,0,12,0,1,0,1,0,1,0,0.248,0.315,0.351,0.666,5,13,R,J.Richard(94),LAD,1980
10,11,Apr 20,True,HOU,"W,4-2",33,25,4,5,1,1,0,3,3,2,3,1,2,2,1,1,3,0,0.245,0.313,0.349,0.662,5,10,R,J.Niekro(60),LAD,1980
11,12,Apr 21,True,SFG,"W,4-3",34,30,4,7,1,0,2,4,3,0,2,0,1,0,0,0,1,0,0.244,0.312,0.358,0.67,6,10,L,V.Blue(41),LAD,1980
12,13,Apr 22,True,SFG,"W,6-0",42,37,6,12,1,0,1,5,4,0,8,0,0,1,2,0,3,0,0.251,0.318,0.364,0.682,12,11,L,B.Knepper(38),LAD,1980
13,14,Apr 23,True,SFG,"W,4-0",38,32,4,10,0,0,0,4,3,1,5,1,0,2,1,0,4,0,0.255,0.321,0.36,0.682,10,10,R,E.Whitson(38),LAD,1980
14,15,Apr 24,True,SFG,"W,5-2",41,37,5,11,2,0,2,5,4,1,1,0,0,0,0,0,1,1,0.258,0.324,0.371,0.696,8,12,R,J.Montefusco(50),LAD,1980
15,16,Apr 25,True,SDP,"W,6-3",36,32,6,11,1,0,3,6,3,1,6,0,1,0,0,1,0,1,0.263,0.329,0.388,0.716,6,17,R,R.Wise(47),LAD,1980
16,17,Apr 26,True,SDP,"W,4-3",36,34,4,11,0,0,0,4,1,0,1,0,1,0,0,0,0,1,0.266,0.329,0.384,0.713,7,14,L,G.Lucas(53),LAD,1980
